smiles_safe,safe,frag,score,size
CC(C)[NH2+]C[C@@H](O)c1ccc(O)c(O)c1,C2(C)(C)[NH2+]C[C@@H](O)c1ccc(O)c(O)c1,[1*]C(C)(C)[NH2+]C[C@@H](O)c1ccc(O)c(O)c1,0.6666666666666666,16
CC(C)(C)[C@H](O)/C=C/c1ccc(O)cc1,c12cc(/C=C/[C@@H](O)C(C)(C)C)ccc1O,[1*]c1cc(/C=C/[C@@H](O)C(C)(C)C)ccc1O,0.6327683615819208,16
Cc1ccc(O)c([C@@H](C)O)c1,O2c1ccc(C)cc1[C@@H](C)O,[1*]Oc1ccc(C)cc1[C@@H](C)O,0.6327683615819208,12
CC(C)[C@H](O)/C=C/c1ccc(O)c(O)c1,C2(C)(C)[C@H](O)/C=C/c1ccc(O)c(O)c1,[1*]C(C)(C)[C@H](O)/C=C/c1ccc(O)c(O)c1,0.6327683615819208,16
CCOc1ccc(C)cc1[C@@H](C)O,[C@@H]2(C)Oc1ccc(C)cc1[C@@H](C)O,[1*][C@H](C)Oc1ccc(C)cc1[C@@H](C)O,0.6327683615819208,14
CC[C@H](C)Oc1ccc(C)cc1[C@@H](C)O,[C@@H]2(C)[C@H](C)Oc1ccc(C)cc1[C@@H](C)O,[1*][C@H](C)[C@H](C)Oc1ccc(C)cc1[C@@H](C)O,0.6327683615819208,16
C=Cc1ccc(O)c(O)c1,C\2=C/c1ccc(O)c(O)c1,[1*]/C=C/c1ccc(O)c(O)c1,0.6327683615819208,11
CC(O)c1cccc(C(C)(C)O)c1,C2(C)(O)c1cccc(C(C)(C)O)c1,[1*]C(C)(O)c1cccc(C(C)(C)O)c1,0.6303030303030303,14
CC(C)c1cccc(C(C)(C)O)c1,C2(C)(C)c1cccc(C(C)(C)O)c1,[1*]C(C)(C)c1cccc(C(C)(C)O)c1,0.6303030303030303,14
CC(C)(O)c1ccccc1,c12cccc(C(C)(C)O)c1,[1*]c1cccc(C(C)(C)O)c1,0.6303030303030303,11
CC[NH2+]Cc1cc(C(C)=O)ccc1O,[NH+]2(CC)Cc1cc(C(C)=O)ccc1O,[1*][NH+](CC)Cc1cc(C(C)=O)ccc1O,0.6222222222222222,15
CC[NH+](CC)Cc1cccc(C(C)=O)c1,c12ccc(C(C)=O)cc1C[NH+](CC)CC,[1*]c1ccc(C(C)=O)cc1C[NH+](CC)CC,0.6222222222222222,16
OCc1ccc(O)cc1,[C@H]2(O)c1ccc(O)cc1,[1*][C@@H](O)c1ccc(O)cc1,0.6081871345029239,10
CCCc1cccc([C@@H]([NH3+])CO)c1,c12ccc(CCC)cc1[C@@H]([NH3+])CO,[1*]c1ccc(CCC)cc1[C@@H]([NH3+])CO,0.6081871345029239,14
[NH3+][C@@H](CO)c1ccccc1O,c12ccc(O)c([C@@H]([NH3+])CO)c1,[1*]c1ccc(O)c([C@@H]([NH3+])CO)c1,0.6081871345029239,12
CC[NH2+]C[C@@H](O)c1ccc(O)cc1,C2(C)[NH2+]C[C@@H](O)c1ccc(O)cc1,[1*]C(C)[NH2+]C[C@@H](O)c1ccc(O)cc1,0.6081871345029239,14
Cc1ccc(O)c(CO)c1,c12cc(C)cc(CO)c1O,[1*]c1cc(C)cc(CO)c1O,0.6037735849056604,11
Cc1cc(C)c(O)c(CO)c1,C2c1cc(C)cc(CO)c1O,[1*]Cc1cc(C)cc(CO)c1O,0.6037735849056604,12
C[C@@H]([NH3+])c1cc(O)ccc1O,[NH2+]2[C@H](C)c1cc(O)ccc1O,[1*][NH2+][C@H](C)c1cc(O)ccc1O,0.6021505376344085,12
CC(C)[C@@H](CO)[NH2+][C@H](C)c1cccc(O)c1,c12ccc(O)cc1[C@@H](C)[NH2+][C@H](CO)C(C)C,[1*]c1ccc(O)cc1[C@@H](C)[NH2+][C@H](CO)C(C)C,0.6021505376344085,17
C[C@@H]([NH2+]CCO)c1cc(O)ccc1O,[C@H]2(CO)[NH2+][C@H](C)c1cc(O)ccc1O,[1*][C@@H](CO)[NH2+][C@H](C)c1cc(O)ccc1O,0.6021505376344085,15
CCC(C)(C)c1cccc(CCO)c1O,[C@H]2(CO)c1cccc(C(C)(C)CC)c1O,[1*][C@@H](CO)c1cccc(C(C)(C)CC)c1O,0.6,16
CC(C)(C)c1cccc([C@@H]([NH3+])CO)c1O,C2C(C)(C)c1cccc([C@@H]([NH3+])CO)c1O,[1*]CC(C)(C)c1cccc([C@@H]([NH3+])CO)c1O,0.6,16
CCC(C)(C)c1cccc([C@@H]([NH3+])CO)c1,c12c([C@@H]([NH3+])CO)cccc1C(C)(C)CC,[1*]c1c([C@@H]([NH3+])CO)cccc1C(C)(C)CC,0.6,16
COc1ccc(C(C)C)cc1[C@@H](C)O,C2(C)(C)c1ccc(OC)c([C@@H](C)O)c1,[1*]C(C)(C)c1ccc(OC)c([C@@H](C)O)c1,0.5977011494252873,15
COc1ccc(C(C)(C)C)cc1CO,[C@H]2(O)c1cc(C(C)(C)C)ccc1OC,[1*][C@@H](O)c1cc(C(C)(C)C)ccc1OC,0.5977011494252873,15
CC(C)c1ccccc1C(C)(C)O,C2(C)(C)c1ccccc1C(C)(C)O,[1*]C(C)(C)c1ccccc1C(C)(C)O,0.5952380952380952,14
CC(C)(O)c1ccccc1,c12ccccc1C(C)(C)O,[1*]c1ccccc1C(C)(C)O,0.5952380952380952,11
CC(O)c1ccccc1C(C)(C)O,C2(C)(O)c1ccccc1C(C)(C)O,[1*]C(C)(O)c1ccccc1C(C)(C)O,0.5952380952380952,14
CC[C@@H](C[C@H](O)c1ccccc1)[C@@H](C)O,C2(C)[C@@H](C[C@H](O)c1ccccc1)[C@@H](C)O,[1*]C(C)[C@@H](C[C@H](O)c1ccccc1)[C@@H](C)O,0.5901639344262295,16
CC(C)[C@H](CO)C[C@H](O)c1ccccc1,[C@H]2(O)[C@H](C[C@H](O)c1ccccc1)C(C)C,[1*][C@@H](O)[C@H](C[C@H](O)c1ccccc1)C(C)C,0.5901639344262295,16
CC(C)[C@@H](CCc1ccccc1)[C@@H](C)O,[C@H]2(C[C@H](C(C)C)[C@@H](C)O)c1ccccc1,[1*][C@@H](C[C@H](C(C)C)[C@@H](C)O)c1ccccc1,0.5901639344262295,16
CC=C[C@@H](O)c1ccc(F)c(C)c1,C2(C)=C[C@@H](O)c1ccc(F)c(C)c1,[1*]C(C)=C[C@@H](O)c1ccc(F)c(C)c1,0.5847953216374269,14
CC(C)=C[C@@H](O)c1cccc(C)c1,c12ccc([C@H](O)C=C(C)C)cc1C,[1*]c1ccc([C@H](O)C=C(C)C)cc1C,0.5847953216374269,14
CC(C)(C)c1n[nH]cc1CNCCO,[C@H]2(O)CNCc1c[nH]nc1C(C)(C)C,[1*][C@@H](O)CNCc1c[nH]nc1C(C)(C)C,0.5740740740740741,15
O[C@@H](CNCc1cn[nH]c1)c1cccc(F)c1,c12n[nH]cc1CNC[C@H](O)c1cccc(F)c1,[1*]c1n[nH]cc1CNC[C@H](O)c1cccc(F)c1,0.5740740740740741,18
CNCc1c[nH]nc1C(C)(C)C,C2NCc1c[nH]nc1C(C)(C)C,[1*]CNCc1c[nH]nc1C(C)(C)C,0.5740740740740741,13
C=C(C)CCc1cccc(C)c1,[C@@H]2(CC(=C)C)c1cccc(C)c1,[1*][C@H](CC(=C)C)c1cccc(C)c1,0.5714285714285714,13
CNc1ccc([C@@H](C)O)c(O)c1,N2(C)c1ccc([C@@H](C)O)c(O)c1,[1*]N(C)c1ccc([C@@H](C)O)c(O)c1,0.5714285714285714,13
C[C@H]1C[C@@H]1CN(C)c1cccc(O)c1,c13ccc(N(C)C[C@H]2C[C@@H]2C)cc1O,[1*]c1ccc(N(C)C[C@H]2C[C@@H]2C)cc1O,0.5714285714285714,15
