smiles_safe,safe,frag,score,size
CCC1=C(C(=O)OC)[C@@H](c2ccccc2Cl)C2=C(CCCC2=O)N1,C3OC(=O)C1=C(CC)NC2=C(C(=O)CCC2)[C@@H]1c1ccccc1Cl,[1*]COC(=O)C1=C(CC)NC2=C(C(=O)CCC2)[C@@H]1c1ccccc1Cl,0.6855654600401043,25
CCC1=C(C(=O)O)[C@@H](c2ccccc2Cl)C2=C(CCCC2=O)N1,O3C(=O)C1=C(CC)NC2=C(C(=O)CCC2)[C@@H]1c1ccccc1Cl,[1*]OC(=O)C1=C(CC)NC2=C(C(=O)CCC2)[C@@H]1c1ccccc1Cl,0.6855654600401043,24
CCOC(=O)C1=C(CC)NC2=C(C1)C(=O)CCC2,[C@H]13C2=C(CCCC2=O)NC(CC)=C1C(=O)OCC,[1*][C@H]1C2=C(CCCC2=O)NC(CC)=C1C(=O)OCC,0.6855654600401043,19
CC1=C[C@H](c2ccccc2Cl)c2c([nH]c(=S)[nH]c2=O)N1,C13=C(C)Nc2[nH]c(=S)[nH]c(=O)c2[C@H]1c1ccccc1Cl,[1*]C1=C(C)Nc2[nH]c(=S)[nH]c(=O)c2[C@H]1c1ccccc1Cl,0.6776309271789384,21
COC(=O)C1=C(C)Nc2[nH]c(=S)[nH]c(=O)c2[C@H]1c1ccccc1,c13ccccc1[C@H]1C(C(=O)OC)=C(C)Nc2[nH]c(=S)[nH]c(=O)c21,[1*]c1ccccc1[C@H]1C(C(=O)OC)=C(C)Nc2[nH]c(=S)[nH]c(=O)c21,0.6776309271789384,24
COC(=O)C1=C(C)Nc2[nH]c(=S)[nH]c(=O)c2C1,[C@H]13C(C(=O)OC)=C(C)Nc2[nH]c(=S)[nH]c(=O)c21,[1*][C@H]1C(C(=O)OC)=C(C)Nc2[nH]c(=S)[nH]c(=O)c21,0.6776309271789384,18
CCOC(=O)C1=C(N)N2C(=O)[C@@H](C)SC2=C[C@@H]1c1ccccc1F,C13=C2S[C@H](C)C(=O)N2C(N)=C(C(=O)OCC)[C@H]1c1ccccc1F,[1*]C1=C2S[C@H](C)C(=O)N2C(N)=C(C(=O)OCC)[C@H]1c1ccccc1F,0.6761234037828132,25
COC(=O)C1=C(N)N2C(=O)[C@@H](C)SC2=C(C(=O)OC)[C@@H]1c1ccccc1F,C3OC(=O)C1=C(N)N2C(=O)[C@@H](C)SC2=C(C(=O)OC)[C@@H]1c1ccccc1F,[1*]COC(=O)C1=C(N)N2C(=O)[C@@H](C)SC2=C(C(=O)OC)[C@@H]1c1ccccc1F,0.6761234037828132,28
CCOC(=O)C1=CN2C(=O)[C@@H](C)SC2=C(C(=O)OC)[C@@H]1c1ccccc1F,C13=C(C(=O)OCC)[C@@H](c2ccccc2F)C(C(=O)OC)=C2S[C@H](C)C(=O)N12,[1*]C1=C(C(=O)OCC)[C@@H](c2ccccc2F)C(C(=O)OC)=C2S[C@H](C)C(=O)N12,0.6761234037828132,28
COC(=O)C1=CN2C(=O)[C@@H](C)SC2=C(C(=O)OC)[C@H]1c1ccccc1Cl,C13=C(C(=O)OC)[C@H](c2ccccc2Cl)C(C(=O)OC)=C2S[C@H](C)C(=O)N12,[1*]C1=C(C(=O)OC)[C@H](c2ccccc2Cl)C(C(=O)OC)=C2S[C@H](C)C(=O)N12,0.6755077198756877,27
Cc1n[nH]c2c1[C@H](c1ccccc1Cl)C=C(N)O2,C13=C(N)Oc2[nH]nc(C)c2[C@@H]1c1ccccc1Cl,[1*]C1=C(N)Oc2[nH]nc(C)c2[C@@H]1c1ccccc1Cl,0.6735044524148898,19
CCOC(=O)C1=COc2[nH]nc(C)c2[C@@H]1c1ccccc1Cl,C13=C(C(=O)OCC)[C@@H](c2ccccc2Cl)c2c(C)n[nH]c2O1,[1*]C1=C(C(=O)OCC)[C@@H](c2ccccc2Cl)c2c(C)n[nH]c2O1,0.6735044524148898,23
Cc1n[nH]c2c1[C@H](c1ccccc1Cl)C(C(=O)O)=C(N)O2,O3C(=O)C1=C(N)Oc2[nH]nc(C)c2[C@@H]1c1ccccc1Cl,[1*]OC(=O)C1=C(N)Oc2[nH]nc(C)c2[C@@H]1c1ccccc1Cl,0.6735044524148898,22
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,C12C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OCC,[1*]C1C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OCC,0.6690433824641326,19
CCOC(=O)C1=C(C)NC(C)=CC1c1nc2ccccc2[nH]1,C13=C(C)NC(C)=C(C(=O)OCC)C1c1nc2ccccc2[nH]1,[1*]C1=C(C)NC(C)=C(C(=O)OCC)C1c1nc2ccccc2[nH]1,0.6690433824641326,23
CCOC(=O)C1=C(C)NC(C)=C(C=O)C1c1nc2ccccc2[nH]1,C3(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1nc2ccccc2[nH]1,[1*]C(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1nc2ccccc2[nH]1,0.6690433824641326,25
COC(=O)[C@H]1C(=O)C2=C(C[C@@H]1C)NC(C)=C[C@H]2c1ccc(Cl)cc1,C13=C(C)NC2=C(C(=O)[C@H](C(=O)OC)[C@@H](C)C2)[C@@H]1c1ccc(Cl)cc1,[1*]C1=C(C)NC2=C(C(=O)[C@H](C(=O)OC)[C@@H](C)C2)[C@@H]1c1ccc(Cl)cc1,0.6267831705280087,25
