smiles_safe,safe,frag,score,size
Cc1ccc(S(=O)(=O)c2nn[nH]c2N)cc1,n13nnc(S(=O)(=O)c2ccc(C)cc2)c1N,[1*]n1nnc(S(=O)(=O)c2ccc(C)cc2)c1N,0.4583333333333333,17
CC(C)c1ccc(-n2nncc2N)cc1,c13nnn(-c2ccc(C(C)C)cc2)c1N,[1*]c1nnn(-c2ccc(C(C)C)cc2)c1N,0.4583333333333333,16
CCc1ccc(-n2nnc(S(=O)(=O)c3ccc(C)cc3)c2N)cc1,C4(C)c1ccc(-n2nnc(S(=O)(=O)c3ccc(C)cc3)c2N)cc1,[1*]C(C)c1ccc(-n2nnc(S(=O)(=O)c3ccc(C)cc3)c2N)cc1,0.4583333333333333,25
O=[SH](=O)[N-]c1nc(-c2ccc(F)cc2)cs1,S3(=O)(=O)[N-]c1nc(-c2ccc(F)cc2)cs1,[1*]S(=O)(=O)[N-]c1nc(-c2ccc(F)cc2)cs1,0.4468085106382978,17
O=S(=O)([N-]c1nc(-c2ccc(F)cc2)cs1)c1ccccc1,c14ccc(S(=O)(=O)[N-]c2nc(-c3ccc(F)cc3)cs2)cc1,[1*]c1ccc(S(=O)(=O)[N-]c2nc(-c3ccc(F)cc3)cs2)cc1,0.4468085106382978,23
Cc1ccc(S(=O)(=O)[N-]c2nc(-c3ccccc3)cs2)cc1,c14ccc(-c2csc([N-]S(=O)(=O)c3ccc(C)cc3)n2)cc1,[1*]c1ccc(-c2csc([N-]S(=O)(=O)c3ccc(C)cc3)n2)cc1,0.4468085106382978,23
O=Cc1cnn(Cc2cccc(C(F)(F)F)c2)c1,c13nn(Cc2cccc(C(F)(F)F)c2)cc1C=O,[1*]c1nn(Cc2cccc(C(F)(F)F)c2)cc1C=O,0.4387755102040816,19
Cc1ccc(-c2nn(Cc3ccccc3)cc2C=O)cc1,c14cccc(Cn2cc(C=O)c(-c3ccc(C)cc3)n2)c1,[1*]c1cccc(Cn2cc(C=O)c(-c3ccc(C)cc3)n2)c1,0.4387755102040816,22
O=Cc1cn(Cc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,c14ccc(-c2nn(Cc3cccc(C(F)(F)F)c3)cc2C=O)cc1,[1*]c1ccc(-c2nn(Cc3cccc(C(F)(F)F)c3)cc2C=O)cc1,0.4387755102040816,25
Cc1ccc(S(=O)(=O)c2cn(-c3ccccc3)c(=O)[nH]2)cc1,c14ccc(-n2cc(S(=O)(=O)c3ccc(C)cc3)[nH]c2=O)cc1,[1*]c1ccc(-n2cc(S(=O)(=O)c3ccc(C)cc3)[nH]c2=O)cc1,0.4361702127659574,23
Cc1ccc(-n2cc([SH](=O)=O)[nH]c2=O)cc1,S3(=O)(=O)c1cn(-c2ccc(C)cc2)c(=O)[nH]1,[1*]S(=O)(=O)c1cn(-c2ccc(C)cc2)c(=O)[nH]1,0.4361702127659574,17
O=C(Cn1ncccc1=O)Nc1ccc(C(F)(F)F)cc1,c13ccc(=O)n(CC(=O)Nc2ccc(C(F)(F)F)cc2)n1,[1*]c1ccc(=O)n(CC(=O)Nc2ccc(C(F)(F)F)cc2)n1,0.4326923076923077,22
Cc1ccc(-c2ccc(=O)n(CC=O)n2)cc1,C3(=O)Cn1nc(-c2ccc(C)cc2)ccc1=O,[1*]C(=O)Cn1nc(-c2ccc(C)cc2)ccc1=O,0.4326923076923077,18
Cc1ccc(-c2ccc(=O)n(CC(=O)Nc3ccc(C(F)F)cc3)n2)cc1,C4(F)(F)c1ccc(NC(=O)Cn2nc(-c3ccc(C)cc3)ccc2=O)cc1,[1*]C(F)(F)c1ccc(NC(=O)Cn2nc(-c3ccc(C)cc3)ccc2=O)cc1,0.4326923076923077,28
COC(=O)c1ccc(-n2nccc2N)cc1,c13cnn(-c2ccc(C(=O)OC)cc2)c1N,[1*]c1cnn(-c2ccc(C(=O)OC)cc2)c1N,0.431578947368421,17
Cc1ccc(-c2cnn(-c3ccc(C=O)cc3)c2N)cc1,C4(=O)c1ccc(-n2ncc(-c3ccc(C)cc3)c2N)cc1,[1*]C(=O)c1ccc(-n2ncc(-c3ccc(C)cc3)c2N)cc1,0.431578947368421,22
COC(=O)c1ccc(-n2ncc(-c3ccccc3)c2N)cc1,c14ccc(-c2cnn(-c3ccc(C(=O)OC)cc3)c2N)cc1,[1*]c1ccc(-c2cnn(-c3ccc(C(=O)OC)cc3)c2N)cc1,0.431578947368421,23
O=S(=O)(Cc1nc(-c2ccccc2)no1)c1ccc(F)cc1,c14ccc(-c2noc(CS(=O)(=O)c3ccc(F)cc3)n2)cc1,[1*]c1ccc(-c2noc(CS(=O)(=O)c3ccc(F)cc3)n2)cc1,0.431578947368421,23
CS(=O)(=O)c1ccc(-c2csc(Nc3cccc(C(F)F)c3)n2)cc1,C4(F)(F)c1cccc(Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)c1,[1*]C(F)(F)c1cccc(Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)c1,0.43,26
Cc1ccc2cccc(OS(=O)(=O)c3ccc(C(F)F)cc3)c2n1,C4(F)(F)c1ccc(S(=O)(=O)Oc2cccc3ccc(C)nc23)cc1,[1*]C(F)(F)c1ccc(S(=O)(=O)Oc2cccc3ccc(C)nc23)cc1,0.4285714285714285,25
O=[SH](=O)[N-]c1ncc(C(F)(F)F)cc1Cl,S2(=O)(=O)[N-]c1ncc(C(F)(F)F)cc1Cl,[1*]S(=O)(=O)[N-]c1ncc(C(F)(F)F)cc1Cl,0.4285714285714285,16
Cc1ccc(S(=O)(=O)[N-]c2ccc(C(F)(F)F)cn2)cc1,c12cc(C(F)(F)F)cnc1[N-]S(=O)(=O)c1ccc(C)cc1,[1*]c1cc(C(F)(F)F)cnc1[N-]S(=O)(=O)c1ccc(C)cc1,0.4285714285714285,22
[NH-]c1ncc(C(F)(F)F)cc1Cl,[N-]2c1ncc(C(F)(F)F)cc1Cl,[1*][N-]c1ncc(C(F)(F)F)cc1Cl,0.4285714285714285,13
O=C([O-])c1cc(-c2ncc[nH]2)ccc1O,n12ccnc1-c1ccc(O)c(C(=O)[O-])c1,[1*]n1ccnc1-c1ccc(O)c(C(=O)[O-])c1,0.4285714285714285,16
O=C([O-])c1cc(-c2nccn2-c2ccc([SH](=O)=O)cc2)ccc1O,S3(=O)(=O)c1ccc(-n2ccnc2-c2ccc(O)c(C(=O)[O-])c2)cc1,[1*]S(=O)(=O)c1ccc(-n2ccnc2-c2ccc(O)c(C(=O)[O-])c2)cc1,0.4285714285714285,25
NS(=O)(=O)c1ccc(-n2ccnc2-c2cccc(C(=O)[O-])c2)cc1,c13ccc(-c2nccn2-c2ccc(S(N)(=O)=O)cc2)cc1C(=O)[O-],[1*]c1ccc(-c2nccn2-c2ccc(S(N)(=O)=O)cc2)cc1C(=O)[O-],0.4285714285714285,25
O=S(=O)(O)c1ccc(C(F)(F)F)cc1,O2S(=O)(=O)c1ccc(C(F)(F)F)cc1,[1*]OS(=O)(=O)c1ccc(C(F)(F)F)cc1,0.4285714285714285,15
