smiles_safe,safe,frag,score,size
COc1cc2ncnc(N)c2cc1OC,N3c1ncnc2cc(OC)c(OC)cc12,[1*]Nc1ncnc2cc(OC)c(OC)cc12,0.870790932406718,16
COc1cc2ncnc(Nc3ccccc3)c2cc1OC,c14cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,[1*]c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.870790932406718,22
COc1ccc2c(NCc3ccccc3F)ncnc2c1,c14cc2c(NCc3ccccc3F)ncnc2cc1OC,[1*]c1cc2c(NCc3ccccc3F)ncnc2cc1OC,0.8663630527245004,22
COc1ccc2ncnc(NCc3ccccc3F)c2c1,c14cc2ncnc(NCc3ccccc3F)c2cc1OC,[1*]c1cc2ncnc(NCc3ccccc3F)c2cc1OC,0.8663630527245004,22
COc1cc2cncnc2cc1OC,c13ncnc2cc(OC)c(OC)cc12,[1*]c1ncnc2cc(OC)c(OC)cc12,0.7099943966846425,15
Fc1ccc2nc(CCNc3ncnc4cc(F)c(F)cc34)[nH]c2c1,n14c(CCNc2ncnc3cc(F)c(F)cc23)nc2ccc(F)cc21,[1*]n1c(CCNc2ncnc3cc(F)c(F)cc23)nc2ccc(F)cc21,0.6275976443511813,26
CCCNc1cc(-n2ccnc2)ncn1,[C@@H]3(C)CNc1cc(-n2ccnc2)ncn1,[1*][C@H](C)CNc1cc(-n2ccnc2)ncn1,0.6263463131731566,16
C[C@H](CNc1ccncn1)c1nc(-c2ccccc2)no1,c14cc(NC[C@@H](C)c2nc(-c3ccccc3)no2)ncn1,[1*]c1cc(NC[C@@H](C)c2nc(-c3ccccc3)no2)ncn1,0.6263463131731566,22
Cc1nc(Nc2cc(Nc3ccc4c(c3)OCO4)ncn2)sc1C,c14c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,[1*]c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,0.6262363352420615,25
Cc1nc(Nc2ncnc(N)c2[N+](=O)[O-])sc1C,N3c1ncnc(Nc2nc(C)c(C)s2)c1[N+](=O)[O-],[1*]Nc1ncnc(Nc2nc(C)c(C)s2)c1[N+](=O)[O-],0.6262363352420615,19
Cc1nc(Nc2ncnc(Nc3ccc4c(c3)OCO4)c2[NH+]=O)sc1C,[N+]4(=O)c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,[1*][N+](=O)c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,0.6262363352420615,27
c1nc(Nc2ccc3c(c2)OCCO3)c2ccsc2n1,c15csc2ncnc(Nc3ccc4c(c3)OCCO4)c12,[1*]c1csc2ncnc(Nc3ccc4c(c3)OCCO4)c12,0.6247156321091973,21
Cc1cccc(Nc2cc(Nc3ccc(F)c(F)c3)ncn2)n1,c13c(Nc2ccc(F)c(F)c2)ncnc1Nc1cccc(C)n1,[1*]c1c(Nc2ccc(F)c(F)c2)ncnc1Nc1cccc(C)n1,0.6240135287485907,24
CNc1ncc2c(=O)n(-c3cccc(C)c3C)c([O-])nc2n1,C4Nc1ncc2c(=O)n(-c3cccc(C)c3C)c([O-])nc2n1,[1*]CNc1ncc2c(=O)n(-c3cccc(C)c3C)c([O-])nc2n1,0.6211828993892639,23
Cc1ccccc1-n1c([O-])nc2nc(NCc3ccc4c(c3)OCO4)ncc2c1=O,c16cccc(-n2c([O-])nc3nc(NCc4ccc5c(c4)OCO5)ncc3c2=O)c1C,[1*]c1cccc(-n2c([O-])nc3nc(NCc4ccc5c(c4)OCO5)ncc3c2=O)c1C,0.6211828993892639,31
Cc1ccc(-n2ncc3c(Nc4ccc5c(c4)OCO5)ncnc32)cc1,c16cc(-n2ncc3c(Nc4ccc5c(c4)OCO5)ncnc32)ccc1C,[1*]c1cc(-n2ncc3c(Nc4ccc5c(c4)OCO5)ncnc32)ccc1C,0.6211273372458032,27
