smiles_safe,safe,frag,score,size
CN1C(=O)C[C@@](CC(=O)N2CCC([C@@H](O)c3ccccn3)CC2)(c2ccccc2)C1=O,c15ccc([C@]2(CC(=O)N3CCC([C@@H](O)c4ccccn4)CC3)CC(=O)N(C)C2=O)cc1,[1*]c1ccc([C@]2(CC(=O)N3CCC([C@@H](O)c4ccccn4)CC3)CC(=O)N(C)C2=O)cc1,0.7563948721762482,32
CN1C(=O)C[C@@](CC(=O)N2CCC(Cc3ccccn3)CC2)(c2ccc(-c3ccccc3)cc2)C1=O,[C@H]5(c1ccccn1)C1CCN(C(=O)C[C@@]2(c3ccc(-c4ccccc4)cc3)CC(=O)N(C)C2=O)CC1,[1*][C@@H](c1ccccn1)C1CCN(C(=O)C[C@@]2(c3ccc(-c4ccccc4)cc3)CC(=O)N(C)C2=O)CC1,0.7563948721762482,37
O=C(CC(c1ccccc1)c1ccccc1)N1CCN([SH](=O)=O)CC1,S3(=O)(=O)N1CCN(C(=O)CC(c2ccccc2)c2ccccc2)CC1,[1*]S(=O)(=O)N1CCN(C(=O)CC(c2ccccc2)c2ccccc2)CC1,0.7553514433312596,26
O=C(CC(c1ccccc1)c1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,c13ccccc1S(=O)(=O)N1CCN(C(=O)CC(c2ccccc2)c2ccccc2)CC1,[1*]c1ccccc1S(=O)(=O)N1CCN(C(=O)CC(c2ccccc2)c2ccccc2)CC1,0.7553514433312596,32
O=C(c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])N1CCNCC1,N13CCN(C(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1,[1*]N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1,0.7447256168822545,21
O=[NH+]c1ccc(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)c([N+](=O)[O-])c1,[N+]4(=O)c1ccc(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)c([N+](=O)[O-])c1,[1*][N+](=O)c1ccc(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)c([N+](=O)[O-])c1,0.7447256168822545,33
NC(=O)[C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,N3C(=O)[C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,[1*]NC(=O)[C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,0.743960206350907,27
O=C(c1ccc([N+](=O)[O-])cc1)N1CCN(CC2CCCC2)CC1,[C@H]3(C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,[1*][C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,0.743960206350907,24
O=C[C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,C3(=O)[C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,[1*]C(=O)[C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,0.743960206350907,26
CCC[NH+](Cc1ccc([NH+]=O)c(O)c1)C1CCN(C(=O)c2ccccc2)CC1,[N+]4(=O)c1ccc(C[NH+](CCC)C2CCN(C(=O)c3ccccc3)CC2)cc1O,[1*][N+](=O)c1ccc(C[NH+](CCC)C2CCN(C(=O)c3ccccc3)CC2)cc1O,0.7325794899829511,29
CCC[NH+](Cc1ccc([N+](=O)[O-])c(O)c1)C1CCN(C=O)CC1,C3(=O)N1CCC([NH+](CCC)Cc2ccc([N+](=O)[O-])c(O)c2)CC1,[1*]C(=O)N1CCC([NH+](CCC)Cc2ccc([N+](=O)[O-])c(O)c2)CC1,0.7325794899829511,24
CCC[NH+](Cc1cccc(O)c1)C1CCN(C(=O)c2ccccc2)CC1,c14ccc(C[NH+](CCC)C2CCN(C(=O)c3ccccc3)CC2)cc1O,[1*]c1ccc(C[NH+](CCC)C2CCN(C(=O)c3ccccc3)CC2)cc1O,0.7325794899829511,27
C[NH+]1CCN([C@@H](C(=O)[O-])c2c[nH]c3ccc(Cl)cc23)CC1,C4[NH+]1CCN([C@@H](C(=O)[O-])c2c[nH]c3ccc(Cl)cc23)CC1,[1*]C[NH+]1CCN([C@@H](C(=O)[O-])c2c[nH]c3ccc(Cl)cc23)CC1,0.7319587495200228,22
CCNc1cc(=O)oc2ccccc12,C3CNc1cc(=O)oc2ccccc12,[1*]CCNc1cc(=O)oc2ccccc12,0.7319587495200228,15
O=C([O-])[C@@H](c1c[nH]c2ccc(Cl)cc12)N1CC[NH2+]CC1,[NH+]14CCN([C@@H](C(=O)[O-])c2c[nH]c3ccc(Cl)cc23)CC1,[1*][NH+]1CCN([C@@H](C(=O)[O-])c2c[nH]c3ccc(Cl)cc23)CC1,0.7319587495200228,21
O=C(CCCn1c2ccccc2c(=O)c2ccccc21)N1CCNCC1,N14CCN(C(=O)CCCn2c3ccccc3c(=O)c3ccccc32)CC1,[1*]N1CCN(C(=O)CCCn2c3ccccc3c(=O)c3ccccc32)CC1,0.73173124217589,27
O=CNc1c[nH+]c(N2CCN(C(c3ccccc3)c3ccccc3)CC2)c(C(=O)[O-])c1,C4(=O)Nc1c[nH+]c(N2CCN(C(c3ccccc3)c3ccccc3)CC2)c(C(=O)[O-])c1,[1*]C(=O)Nc1c[nH+]c(N2CCN(C(c3ccccc3)c3ccccc3)CC2)c(C(=O)[O-])c1,0.7286217784094793,32
CCC(=O)Nc1ccc(N2CCN(C(c3ccccc3)c3ccccc3)CC2)[nH+]c1,c13cc(NC(=O)CC)c[nH+]c1N1CCN(C(c2ccccc2)c2ccccc2)CC1,[1*]c1cc(NC(=O)CC)c[nH+]c1N1CCN(C(c2ccccc2)c2ccccc2)CC1,0.7286217784094793,31
O=CCOC(=O)c1cc(O)c2ccccc2c1O,C3(=O)COC(=O)c1cc(O)c2ccccc2c1O,[1*]C(=O)COC(=O)c1cc(O)c2ccccc2c1O,0.7278539562383143,19
O=C(O)c1cc(O)c2ccccc2c1O,O3C(=O)c1cc(O)c2ccccc2c1O,[1*]OC(=O)c1cc(O)c2ccccc2c1O,0.7278539562383143,16
O=[NH+]c1cccc(CN2CCN(C(=O)CCNC(=O)c3ccc4ccccc4c3)CC2)c1,[N+]5(=O)c1cccc(CN2CCN(C(=O)CCNC(=O)c3ccc4ccccc4c3)CC2)c1,[1*][N+](=O)c1cccc(CN2CCN(C(=O)CCNC(=O)c3ccc4ccccc4c3)CC2)c1,0.727523408305827,33
