smiles_safe,safe,frag,score,size
O=C1NN=C(c2ccccc2)/C1=N/Nc1cccc(O)c1,O3c1cccc(N/N=C2\C(=O)NN=C2c2ccccc2)c1,[1*]Oc1cccc(N/N=C2\C(=O)NN=C2c2ccccc2)c1,0.99,22
COc1cccc(N/N=C2/C=NNC2=O)c1,C12=NNC(=O)/C1=N\Nc1cccc(OC)c1,[1*]C1=NNC(=O)/C1=N\Nc1cccc(OC)c1,0.99,17
O=C1NN=C(c2ccccc2)/C1=N/Nc1ccccc1,c13cccc(N/N=C2\C(=O)NN=C2c2ccccc2)c1,[1*]c1cccc(N/N=C2\C(=O)NN=C2c2ccccc2)c1,0.99,21
O/N=C\c1cnn(-c2ccccc2)c1,c13nn(-c2ccccc2)cc1/C=N\O,[1*]c1nn(-c2ccccc2)cc1/C=N\O,0.96,15
O/N=C\c1cn(-c2ccccc2)nc1-c1ccccc1,c14ccc(-c2nn(-c3ccccc3)cc2/C=N\O)cc1,[1*]c1ccc(-c2nn(-c3ccccc3)cc2/C=N\O)cc1,0.96,21
O=[NH+]c1ccc(-c2nnc(SCc3ccccc3)o2)cc1,[N+]4(=O)c1ccc(-c2nnc(SCc3ccccc3)o2)cc1,[1*][N+](=O)c1ccc(-c2nnc(SCc3ccccc3)o2)cc1,0.95,22
Cc1ccc(Nc2nc(N)c(C=O)s2)cc1,C3(=O)c1sc(Nc2ccc(C)cc2)nc1N,[1*]C(=O)c1sc(Nc2ccc(C)cc2)nc1N,0.89,17
Nc1nc(N)c(C(=O)c2ccccc2)s1,N3c1nc(N)c(C(=O)c2ccccc2)s1,[1*]Nc1nc(N)c(C(=O)c2ccccc2)s1,0.89,16
Nc1nc(Nc2ccccc2)sc1C(=O)c1ccccc1,c14ccc(Nc2nc(N)c(C(=O)c3ccccc3)s2)cc1,[1*]c1ccc(Nc2nc(N)c(C(=O)c3ccccc3)s2)cc1,0.89,22
COc1cccc(/C=C2/S/C(=N/c3ccc(O)cc3)NC2=O)c1,c14ccc(/C=C2/S/C(=N/c3ccc(O)cc3)NC2=O)cc1OC,[1*]c1ccc(/C=C2/S/C(=N/c3ccc(O)cc3)NC2=O)cc1OC,0.88,24
