smiles_safe,safe,frag,score,size
Cc1cc(Cl)c(N)cc1S(=O)(=O)NCC(F)F,C2(F)(F)CNS(=O)(=O)c1cc(N)c(Cl)cc1C,[1*]C(F)(F)CNS(=O)(=O)c1cc(N)c(Cl)cc1C,0.8688150562628432,18
Cc1cc(Cl)c(N)cc1S(N)(=O)=O,N2S(=O)(=O)c1cc(N)c(Cl)cc1C,[1*]NS(=O)(=O)c1cc(N)c(Cl)cc1C,0.8688150562628432,14
CSCC(=O)NNC(=O)c1cccc(Cl)c1,c12ccc(Cl)cc1C(=O)NNC(=O)CSC,[1*]c1ccc(Cl)cc1C(=O)NNC(=O)CSC,0.8290291181804004,17
NNC(=O)c1cc(Cl)ccc1F,N2NC(=O)c1cc(Cl)ccc1F,[1*]NNC(=O)c1cc(Cl)ccc1F,0.8290291181804004,13
C[C@@H](O)C(=O)N/N=C\c1ccccc1Cl,c12cccc(Cl)c1/C=N\NC(=O)[C@@H](C)O,[1*]c1cccc(Cl)c1/C=N\NC(=O)[C@@H](C)O,0.8161762130223398,16
C[C@@H](O)C(=O)N/N=C\c1ccccc1F,c12cccc(F)c1/C=N\NC(=O)[C@@H](C)O,[1*]c1cccc(F)c1/C=N\NC(=O)[C@@H](C)O,0.8161762130223398,16
CCC(=O)N/N=C\c1c(F)cccc1Cl,[C@@H]2(C)C(=O)N/N=C\c1c(F)cccc1Cl,[1*][C@H](C)C(=O)N/N=C\c1c(F)cccc1Cl,0.8161762130223398,16
CNCc1ccc(C(=O)OC)[nH]1,C2NCc1ccc(C(=O)OC)[nH]1,[1*]CNCc1ccc(C(=O)OC)[nH]1,0.7788007830714049,13
COC(=O)c1ccc(CNCC(F)F)[nH]1,C2(F)(F)CNCc1ccc(C(=O)OC)[nH]1,[1*]C(F)(F)CNCc1ccc(C(=O)OC)[nH]1,0.7788007830714049,16
O=C(CCC(F)F)NCc1ccc(Cl)nc1,C2(F)(F)CCC(=O)NCc1ccc(Cl)nc1,[1*]C(F)(F)CCC(=O)NCc1ccc(Cl)nc1,0.7788007830714049,17
CCC(=O)OCc1cn(C)nc1C(F)F,C2(F)(F)c1nn(C)cc1COC(=O)CC,[1*]C(F)(F)c1nn(C)cc1COC(=O)CC,0.7788007830714049,16
