smiles_safe,safe,frag,score,size
COc1ccc(-c2ccnc(N)n2)cc1,N3c1nccc(-c2ccc(OC)cc2)n1,[1*]Nc1nccc(-c2ccc(OC)cc2)n1,0.68,16
c1ccc(Nc2ncccn2)cc1,c13ccnc(Nc2ccccc2)n1,[1*]c1ccnc(Nc2ccccc2)n1,0.68,14
Clc1ccc(-c2csc(Nc3ccccc3)n2)cc1,c14ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,[1*]c1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,0.67,20
Cc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,C4c1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,[1*]Cc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,0.66,22
O=C1NN(c2cccc(Cl)c2)C(=O)/C1=C/c1cccc([N+](=O)[O-])c1,c14ccc(/C=C2\C(=O)NN(c3cccc(Cl)c3)C2=O)cc1[N+](=O)[O-],[1*]c1ccc(/C=C2\C(=O)NN(c3cccc(Cl)c3)C2=O)cc1[N+](=O)[O-],0.62,25
O=C1NN(c2cccc(Cl)c2)C(=O)/C1=C/c1ccc(O)cc1,c14cc(/C=C2\C(=O)NN(c3cccc(Cl)c3)C2=O)ccc1O,[1*]c1cc(/C=C2\C(=O)NN(c3cccc(Cl)c3)C2=O)ccc1O,0.62,23
O=C1NNC(=O)C1=Cc1ccc(O)c([N+](=O)[O-])c1,N13NC(=O)/C(=C\c2ccc(O)c([N+](=O)[O-])c2)C1=O,[1*]N1NC(=O)/C(=C\c2ccc(O)c([N+](=O)[O-])c2)C1=O,0.62,19
O=C(Nc1cc2c(s1)CCC2)c1ccccc1OC(F)F,c13c(NC(=O)c2ccccc2OC(F)F)sc2c1CCC2,[1*]c1c(NC(=O)c2ccccc2OC(F)F)sc2c1CCC2,0.55,22
N#Cc1c(NC(=O)c2ccccc2)sc2c1CCC2,c13ccccc1C(=O)Nc1sc2c(c1C#N)CCC2,[1*]c1ccccc1C(=O)Nc1sc2c(c1C#N)CCC2,0.55,20
Cc1ccccc1NC(=O)Cc1cccc2ccccc12,c14ccc(C)c(NC(=O)Cc2cccc3ccccc23)c1,[1*]c1ccc(C)c(NC(=O)Cc2cccc3ccccc23)c1,0.51,22
O=CN[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2ccc(-c3ccccc3)cc2)n1,C4(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2ccc(-c3ccccc3)cc2)n1,[1*]C(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2ccc(-c3ccccc3)cc2)n1,0.5,31
O=C(Nc1ccccc1)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2ccccc2)n1,c15ccc(-c2ccnc(N[C@H]3CO[C@H]4[C@@H]3OC[C@@H]4NC(=O)Nc3ccccc3)n2)cc1,[1*]c1ccc(-c2ccnc(N[C@H]3CO[C@H]4[C@@H]3OC[C@@H]4NC(=O)Nc3ccccc3)n2)cc1,0.5,32
C[NH+]1CCc2c(sc(NC=O)c2C#N)C1,C3(=O)Nc1sc2c(c1C#N)CC[NH+](C)C2,[1*]C(=O)Nc1sc2c(c1C#N)CC[NH+](C)C2,0.5,16
N#Cc1c(NC(=O)c2ccccc2F)sc2c1CC[NH2+]C2,[NH+]14CCc2c(sc(NC(=O)c3ccccc3F)c2C#N)C1,[1*][NH+]1CCc2c(sc(NC(=O)c3ccccc3F)c2C#N)C1,0.5,22
C[NH+]1CCc2cc(NC(=O)c3ccccc3F)sc2C1,c13c(NC(=O)c2ccccc2F)sc2c1CC[NH+](C)C2,[1*]c1c(NC(=O)c2ccccc2F)sc2c1CC[NH+](C)C2,0.5,21
O=C(Nc1cc2c(s1)CCC2)c1cccc2ncccc12,c14c(NC(=O)c2cccc3ncccc23)sc2c1CCC2,[1*]c1c(NC(=O)c2cccc3ncccc23)sc2c1CCC2,0.49,22
COc1cc(O)c(Cl)cc1NC(=O)Cc1cccc2ccccc12,O4c1cc(OC)c(NC(=O)Cc2cccc3ccccc23)cc1Cl,[1*]Oc1cc(OC)c(NC(=O)Cc2cccc3ccccc23)cc1Cl,0.49,25
O=C(Cc1cccc2ccccc12)Nc1ccccc1S,S3c1ccccc1NC(=O)Cc1cccc2ccccc12,[1*]Sc1ccccc1NC(=O)Cc1cccc2ccccc12,0.49,22
CC(C)(C)C(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2N,N3[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(=O)C(C)(C)C,[1*]N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(=O)C(C)(C)C,0.49,17
CC(C)(C)C(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1ncccn1,c14ccnc(N[C@H]2CO[C@H]3[C@@H]2OC[C@@H]3NC(=O)C(C)(C)C)n1,[1*]c1ccnc(N[C@H]2CO[C@H]3[C@@H]2OC[C@@H]3NC(=O)C(C)(C)C)n1,0.49,23
O=CN[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2cccc(F)c2)n1,C3(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2cccc(F)c2)n1,[1*]C(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2cccc(F)c2)n1,0.49,26
COc1cc(O)c(NC(=O)Cc2cccc3ccccc23)cc1Cl,O3c1cc(OC)c(Cl)cc1NC(=O)Cc1cccc2ccccc12,[1*]Oc1cc(OC)c(Cl)cc1NC(=O)Cc1cccc2ccccc12,0.49,25
O=c1nc[nH]c2ccsc12,c13nc(=O)c2sccc2[nH]1,[1*]c1nc(=O)c2sccc2[nH]1,0.47,11
Nc1nc(=O)c2sccc2[nH]1,N3c1nc(=O)c2sccc2[nH]1,[1*]Nc1nc(=O)c2sccc2[nH]1,0.47,12
O=C(Nc1cc2c(s1)CCC2)c1cc(F)ccc1Br,c13c(NC(=O)c2cc(F)ccc2Br)sc2c1CCC2,[1*]c1c(NC(=O)c2cc(F)ccc2Br)sc2c1CCC2,0.47,20
O=c1nc(Nc2ncccn2)[nH]c2ccsc12,c14ccnc(Nc2nc(=O)c3sccc3[nH]2)n1,[1*]c1ccnc(Nc2nc(=O)c3sccc3[nH]2)n1,0.47,18
Nc1nccc(-c2ccccc2)n1,N3c1nccc(-c2ccccc2)n1,[1*]Nc1nccc(-c2ccccc2)n1,0.47,14
O=C(Cc1cccc2ccccc12)Nc1ccc(O)cc1[N+](=O)[O-],O4c1ccc(NC(=O)Cc2cccc3ccccc23)c([N+](=O)[O-])c1,[1*]Oc1ccc(NC(=O)Cc2cccc3ccccc23)c([N+](=O)[O-])c1,0.47,25
CCOc1ccc(NC(=O)Cc2cccc3ccccc23)c([NH+]=O)c1,[N+]3(=O)c1cc(OCC)ccc1NC(=O)Cc1cccc2ccccc12,[1*][N+](=O)c1cc(OCC)ccc1NC(=O)Cc1cccc2ccccc12,0.47,26
O=C([O-])COc1ccc(/C=C2/C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)cc1,c14cc(/C=C2/C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)ccc1OCC(=O)[O-],[1*]c1cc(/C=C2/C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)ccc1OCC(=O)[O-],0.46,28
COc1cc(/C=C2/C(=O)NN(c3ccc(Cl)cc3)C2=O)ccc1OCC(=O)[O-],c14cc(N2NC(=O)/C(=C/c3ccc(OCC(=O)[O-])c(OC)c3)C2=O)ccc1Cl,[1*]c1cc(N2NC(=O)/C(=C/c3ccc(OCC(=O)[O-])c(OC)c3)C2=O)ccc1Cl,0.46,29
