smiles_safe,safe,frag,score,size
CCCCN1CC(=O)N2[C@@H](c3ccc(OC)c(O)c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,O5c1cc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CCCC)CC(=O)N23)ccc1OC,[1*]Oc1cc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CCCC)CC(=O)N23)ccc1OC,0.2913224817729938,33
CCCCN1CC(=O)N2[C@@H](c3ccc(O)c(OC)c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,O5c1ccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CCCC)CC(=O)N23)cc1OC,[1*]Oc1ccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CCCC)CC(=O)N23)cc1OC,0.2913224817729938,33
CCCCN1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@@H]2C1=O,[C@H]14c2[nH]c3ccccc3c2C[C@@H]2C(=O)N(CCCC)CC(=O)N21,[1*][C@H]1c2[nH]c3ccccc3c2C[C@@H]2C(=O)N(CCCC)CC(=O)N21,0.276469787067889,24
CCCCN1CC(=O)N2[C@@H](c3ccccc3O)c3[nH]c4ccccc4c3C[C@@H]2C1=O,O4c1ccccc1[C@H]1c2[nH]c3ccccc3c2C[C@@H]2C(=O)N(CCCC)CC(=O)N12,[1*]Oc1ccccc1[C@H]1c2[nH]c3ccccc3c2C[C@@H]2C(=O)N(CCCC)CC(=O)N12,0.276469787067889,31
CCCCN1CC(=O)N2[C@@H](c3ccccc3OC)c3[nH]c4ccccc4c3C[C@@H]2C1=O,C4Oc1ccccc1[C@H]1c2[nH]c3ccccc3c2C[C@@H]2C(=O)N(CCCC)CC(=O)N12,[1*]COc1ccccc1[C@H]1c2[nH]c3ccccc3c2C[C@@H]2C(=O)N(CCCC)CC(=O)N12,0.276469787067889,32
COc1cc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(C(C)C)CC(=O)N23)ccc1OC(C)C,C5[C@H](C)N1CC(=O)N2[C@@H](c3ccc(OC(C)C)c(OC)c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,[1*]C[C@H](C)N1CC(=O)N2[C@@H](c3ccc(OC(C)C)c(OC)c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,0.2748875234272446,35
CC[C@H](C)N1CC(=O)N2[C@@H](c3ccc(O)c(OC)c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,O5c1ccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N([C@@H](C)CC)CC(=O)N23)cc1OC,[1*]Oc1ccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N([C@@H](C)CC)CC(=O)N23)cc1OC,0.2748875234272446,33
CC[C@H](C)N1CC(=O)N2[C@@H](c3ccc(OC(C)C)c(O)c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,O5c1cc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N([C@@H](C)CC)CC(=O)N23)ccc1OC(C)C,[1*]Oc1cc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N([C@@H](C)CC)CC(=O)N23)ccc1OC(C)C,0.2748875234272446,35
CCCN1CC(=O)N2[C@@H](c3cccc([NH+]=O)c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,[N+]5(=O)c1cccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CCC)CC(=O)N23)c1,[1*][N+](=O)c1cccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CCC)CC(=O)N23)c1,0.2713006835850318,31
CCN1CC(=O)N2[C@@H](c3cccc([N+](=O)[O-])c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,C5CN1CC(=O)N2[C@@H](c3cccc([N+](=O)[O-])c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,[1*]CCN1CC(=O)N2[C@@H](c3cccc([N+](=O)[O-])c3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,0.2713006835850318,31
CCCN1CC(=O)N2[C@@H](c3ccccc3)c3[nH]c4ccccc4c3C[C@@H]2C1=O,c15cccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CCC)CC(=O)N23)c1,[1*]c1cccc([C@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N(CCC)CC(=O)N23)c1,0.2713006835850318,29
