smiles_safe,safe,frag,score,size
COc1cc2c(cc1NC(=O)CN1C(=O)N[C@H](C)C1=O)oc1ccccc12,C5[C@H]1NC(=O)N(CC(=O)Nc2cc3oc4ccccc4c3cc2OC)C1=O,[1*]C[C@H]1NC(=O)N(CC(=O)Nc2cc3oc4ccccc4c3cc2OC)C1=O,0.8288042708674448,28
O=C(CN1C(=O)N[C@H](CC2=c3ccccc3=[NH+]C2)C1=O)Nc1ccc2c(c1)oc1ccccc12,c15cc2c(cc1NC(=O)CN1C(=O)N[C@H](CC3=c4ccccc4=[NH+]C3)C1=O)oc1ccccc12,[1*]c1cc2c(cc1NC(=O)CN1C(=O)N[C@H](CC3=c4ccccc4=[NH+]C3)C1=O)oc1ccccc12,0.8288042708674448,35
C[C@H](C[NH+]1CCN(c2ccccn2)CC1)C(=O)[O-],C3[C@H](C[NH+]1CCN(c2ccccn2)CC1)C(=O)[O-],[1*]C[C@H](C[NH+]1CCN(c2ccccn2)CC1)C(=O)[O-],0.8279263263631186,19
O=CC[C@H](C[NH+]1CCN(c2ccccn2)CC1)C(=O)[O-],C3(=O)C[C@H](C[NH+]1CCN(c2ccccn2)CC1)C(=O)[O-],[1*]C(=O)C[C@H](C[NH+]1CCN(c2ccccn2)CC1)C(=O)[O-],0.8279263263631186,21
O=C([O-])CCC(=O)Nc1cccc2ncccc12,[C@H]3(CC(=O)Nc1cccc2ncccc12)C(=O)[O-],[1*][C@@H](CC(=O)Nc1cccc2ncccc12)C(=O)[O-],0.8279263263631186,19
CNc1ccc(NC(=O)Cn2c(=O)[nH]c(=O)c3ccccc32)cn1,N4(C)c1ccc(NC(=O)Cn2c(=O)[nH]c(=O)c3ccccc32)cn1,[1*]N(C)c1ccc(NC(=O)Cn2c(=O)[nH]c(=O)c3ccccc32)cn1,0.824709576294067,25
CNc1nc(N)nc(CN2C[C@@H](C)C(=O)Nc3ccccc32)n1,N4(C)c1nc(N)nc(CN2C[C@@H](C)C(=O)Nc3ccccc32)n1,[1*]N(C)c1nc(N)nc(CN2C[C@@H](C)C(=O)Nc3ccccc32)n1,0.8160655376735687,24
CC(=O)N1CCN(c2ccnc3c2c(=O)n(CC(N)=O)c(=O)n3C)CC1,N4C(=O)Cn1c(=O)c2c(N3CCN(C(C)=O)CC3)ccnc2n(C)c1=O,[1*]NC(=O)Cn1c(=O)c2c(N3CCN(C(C)=O)CC3)ccnc2n(C)c1=O,0.8142880224789864,27
CC(=O)N1CCN(c2ccnc3c2c(=O)n(CC=O)c(=O)n3C)CC1,C4(=O)Cn1c(=O)c2c(N3CCN(C(C)=O)CC3)ccnc2n(C)c1=O,[1*]C(=O)Cn1c(=O)c2c(N3CCN(C(C)=O)CC3)ccnc2n(C)c1=O,0.8142880224789864,26
Cn1c(=O)n(CC(=O)Nc2ccccc2F)c(=O)c2cccnc21,c13ccnc2c1c(=O)n(CC(=O)Nc1ccccc1F)c(=O)n2C,[1*]c1ccnc2c1c(=O)n(CC(=O)Nc1ccccc1F)c(=O)n2C,0.8142880224789864,25
