smiles_safe,safe,frag,score,size
CCn1cc(NC(=O)[C@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)c2ccccc2)cn1,C4(C)n1cc(NC(=O)[C@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)c2ccccc2)cn1,[1*]C(C)n1cc(NC(=O)[C@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)c2ccccc2)cn1,0.5595028849441883,28
NC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1ccccc1,N3C(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1ccccc1,[1*]NC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1ccccc1,0.5595028849441883,21
CC(C)n1cc(NC(=O)[C@H]2C[C@@H]3CCCC[C@@H]3N2)cn1,N13[C@@H](C(=O)Nc2cnn(C(C)C)c2)C[C@@H]2CCCC[C@@H]21,[1*]N1[C@@H](C(=O)Nc2cnn(C(C)C)c2)C[C@@H]2CCCC[C@@H]21,0.5595028849441883,21
Cc1cc(COC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C=O)on1,C3(=O)N1[C@H](C(=O)OCc2cc(C)no2)C[C@@H]2CCCC[C@@H]21,[1*]C(=O)N1[C@H](C(=O)OCc2cc(C)no2)C[C@@H]2CCCC[C@@H]21,0.5492942180025514,22
Cc1cc(COC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2)on1,N13[C@H](C(=O)OCc2cc(C)no2)C[C@@H]2CCCC[C@@H]21,[1*]N1[C@H](C(=O)OCc2cc(C)no2)C[C@@H]2CCCC[C@@H]21,0.5492942180025514,20
O=C(c1cc2cccc([N+](=O)[O-])c2[n-]1)N1CC[C@@H]2CCCC[C@@H]21,[C@H]13C[C@@H]2CCCC[C@@H]2N1C(=O)c1cc2cccc([N+](=O)[O-])c2[n-]1,[1*][C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1cc2cccc([N+](=O)[O-])c2[n-]1,0.5485298130021854,24
COC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1,N13[C@@H](C(=O)OC)C[C@@H]2CCCC[C@@H]21,[1*]N1[C@@H](C(=O)OC)C[C@@H]2CCCC[C@@H]21,0.5485298130021854,14
O=C[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1cc2cccc([N+](=O)[O-])c2[n-]1,C3(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1cc2cccc([N+](=O)[O-])c2[n-]1,[1*]C(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1cc2cccc([N+](=O)[O-])c2[n-]1,0.5485298130021854,26
O=C(O)[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1cnc(-c2cccs2)s1,O3C(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1cnc(-c2cccs2)s1,[1*]OC(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1cnc(-c2cccs2)s1,0.5477225575051662,25
O=C[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1cnc(-c2cccs2)s1,C3(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1cnc(-c2cccs2)s1,[1*]C(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1cnc(-c2cccs2)s1,0.5477225575051662,24
Cc1noc(-c2ccc(C(=O)N3[C@@H](C(=O)O)C[C@H]4CCCC[C@H]43)cc2)n1,O3C(=O)[C@H]1C[C@H]2CCCC[C@H]2N1C(=O)c1ccc(-c2nc(C)no2)cc1,[1*]OC(=O)[C@H]1C[C@H]2CCCC[C@H]2N1C(=O)c1ccc(-c2nc(C)no2)cc1,0.5461186812727502,27
COC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)Cc1cn[nH]c1,n14cc(CC(=O)N2[C@@H](C(=O)OC)C[C@@H]3CCCC[C@@H]32)cn1,[1*]n1cc(CC(=O)N2[C@@H](C(=O)OC)C[C@@H]3CCCC[C@@H]32)cn1,0.5437390678561211,22
O=C[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)Cc1cnn(-c2ccccc2)c1,C3(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)Cc1cnn(-c2ccccc2)c1,[1*]C(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)Cc1cnn(-c2ccccc2)c1,0.5437390678561211,26
COC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(C)=O,C3C(=O)N1[C@@H](C(=O)OC)C[C@@H]2CCCC[C@@H]21,[1*]CC(=O)N1[C@@H](C(=O)OC)C[C@@H]2CCCC[C@@H]21,0.5437390678561211,17
CNC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccccc1,C3NC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccccc1,[1*]CNC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccccc1,0.5312796481290517,22
O=C(NCCCNc1ccccc1)[C@H]1C[C@@H]2CCCC[C@H]2N1,N13[C@@H](C(=O)NCCCNc2ccccc2)C[C@@H]2CCCC[C@H]21,[1*]N1[C@@H](C(=O)NCCCNc2ccccc2)C[C@@H]2CCCC[C@H]21,0.5312796481290517,23
CCCNC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccccc1,C3CCNC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccccc1,[1*]CCCNC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccccc1,0.5312796481290517,24
Cc1nc2ccnn2c(C)c1CCC(=O)N1[C@H](C)C[C@@H]2CCCC[C@@H]21,c15cnn2c(C)c(CCC(=O)N3[C@H](C)C[C@@H]4CCCC[C@@H]43)c(C)nc12,[1*]c1cnn2c(C)c(CCC(=O)N3[C@H](C)C[C@@H]4CCCC[C@@H]43)c(C)nc12,0.5169539431229293,26
Cc1c(CCC(=O)N2[C@H](C)C[C@@H]3CCCC[C@@H]32)cnc2c(C#N)cnn12,c13nc2c(C#N)cnn2c(C)c1CCC(=O)N1[C@H](C)C[C@@H]2CCCC[C@@H]21,[1*]c1nc2c(C#N)cnn2c(C)c1CCC(=O)N1[C@H](C)C[C@@H]2CCCC[C@@H]21,0.5169539431229293,27
Cc1ccc(C(=O)N2CCC(NC(=O)[C@H]3C[C@H]4CCCC[C@@H]4N3C=O)CC2)cc1,C4(=O)N1[C@@H](C(=O)NC2CCN(C(=O)c3ccc(C)cc3)CC2)C[C@H]2CCCC[C@@H]21,[1*]C(=O)N1[C@@H](C(=O)NC2CCN(C(=O)c3ccc(C)cc3)CC2)C[C@H]2CCCC[C@@H]21,0.5144957554275266,30
