smiles_safe,safe,frag,score,size
COc1ccc(N)cc1S(=O)(=O)[N-]c1ccccc1Cl,N3c1ccc(OC)c(S(=O)(=O)[N-]c2ccccc2Cl)c1,[1*]Nc1ccc(OC)c(S(=O)(=O)[N-]c2ccccc2Cl)c1,0.5861130563398868,21
COc1ccc(NC=O)cc1S(=O)(=O)[N-]c1ccccc1Cl,C3(=O)Nc1ccc(OC)c(S(=O)(=O)[N-]c2ccccc2Cl)c1,[1*]C(=O)Nc1ccc(OC)c(S(=O)(=O)[N-]c2ccccc2Cl)c1,0.5861130563398868,23
O=C(Nc1cccc(S(=O)(=O)[N-]c2ccccc2Cl)c1)C1(c2cccc(F)c2)CCC1,c14ccc(NC(=O)C2(c3cccc(F)c3)CCC2)cc1S(=O)(=O)[N-]c1ccccc1Cl,[1*]c1ccc(NC(=O)C2(c3cccc(F)c3)CCC2)cc1S(=O)(=O)[N-]c1ccccc1Cl,0.5861130563398868,32
O=[NH+]c1cc([C@@H]2Nc3c(C(=O)NC4CCCCC4)cccc3[C@@H]3C=CC[C@H]32)ccc1Cl,[N+]5(=O)c1cc([C@@H]2Nc3c(C(=O)NC4CCCCC4)cccc3[C@@H]3C=CC[C@H]32)ccc1Cl,[1*][N+](=O)c1cc([C@@H]2Nc3c(C(=O)NC4CCCCC4)cccc3[C@@H]3C=CC[C@H]32)ccc1Cl,0.5777653887709047,32
COc1ccc(-n2nc(C)c3c2N=CC[C@@H]3c2ccc(OCc3ccccc3F)c(OC)c2)cc1,C14=Nc2c(c(C)nn2-c2ccc(OC)cc2)[C@@H](c2ccc(OCc3ccccc3F)c(OC)c2)C1,[1*]C1=Nc2c(c(C)nn2-c2ccc(OC)cc2)[C@@H](c2ccc(OCc3ccccc3F)c(OC)c2)C1,0.569908033330181,36
COc1cc([C@H]2CC(O)=Nc3c2c(C)nn3-c2ccccc2)ccc1OCc1ccccc1F,c14ccc(-n2nc(C)c3c2N=C(O)C[C@@H]3c2ccc(OCc3ccccc3F)c(OC)c2)cc1,[1*]c1ccc(-n2nc(C)c3c2N=C(O)C[C@@H]3c2ccc(OCc3ccccc3F)c(OC)c2)cc1,0.569908033330181,35
COc1ccc(-n2nc(C)c3c2N=C(O)CC3)cc1,[C@H]13CC(O)=Nc2c1c(C)nn2-c1ccc(OC)cc1,[1*][C@H]1CC(O)=Nc2c1c(C)nn2-c1ccc(OC)cc1,0.569908033330181,20
Cc1sc2nc(C3CCCCC3)nc(SCC(N)=O)c2c1C,N3C(=O)CSc1nc(C2CCCCC2)nc2sc(C)c(C)c12,[1*]NC(=O)CSc1nc(C2CCCCC2)nc2sc(C)c(C)c12,0.5580256739673609,23
Cc1sc2nc(C3CCCCC3)nc(SCC(=O)Nc3ccccc3)c2c1C,c14ccc(NC(=O)CSc2nc(C3CCCCC3)nc3sc(C)c(C)c23)cc1,[1*]c1ccc(NC(=O)CSc2nc(C3CCCCC3)nc3sc(C)c(C)c23)cc1,0.5580256739673609,29
Cc1sc2nc(C3CCCCC3)nc(S)c2c1C,S3c1nc(C2CCCCC2)nc2sc(C)c(C)c12,[1*]Sc1nc(C2CCCCC2)nc2sc(C)c(C)c12,0.5580256739673609,19
CCn1ncc2c(C(=O)N[C@H](C)c3ccc(NC(=O)c4ccc(F)cc4)cc3)cc(C3CC3)nc21,C5(C)n1ncc2c(C(=O)N[C@H](C)c3ccc(NC(=O)c4ccc(F)cc4)cc3)cc(C3CC3)nc21,[1*]C(C)n1ncc2c(C(=O)N[C@H](C)c3ccc(NC(=O)c4ccc(F)cc4)cc3)cc(C3CC3)nc21,0.5544795350793194,36
Cc1ccc2c(NC(=O)[C@@H]3CCCc4sc(NC=O)nc43)cccc2n1,C3(=O)Nc1nc2c(s1)CCC[C@H]2C(=O)Nc1cccc2nc(C)ccc12,[1*]C(=O)Nc1nc2c(s1)CCC[C@H]2C(=O)Nc1cccc2nc(C)ccc12,0.5531448419002398,27
O=C(Nc1nc2c(s1)CCCC2)c1ccc(Cl)cc1,[C@@H]14CCCc2sc(NC(=O)c3ccc(Cl)cc3)nc21,[1*][C@@H]1CCCc2sc(NC(=O)c3ccc(Cl)cc3)nc21,0.5531448419002398,20
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)Nc1nccs1,c14csc(NC(=O)c2c(-c3c(F)cccc3Cl)noc2C)n1,[1*]c1csc(NC(=O)c2c(-c3c(F)cccc3Cl)noc2C)n1,0.5526535973348968,23
CCOC(=O)c1ccccc1-c1csc(NC(=O)c2conc2-c2c(F)cccc2Cl)n1,c13onc(-c2c(F)cccc2Cl)c1C(=O)Nc1nc(-c2ccccc2C(=O)OCC)cs1,[1*]c1onc(-c2c(F)cccc2Cl)c1C(=O)Nc1nc(-c2ccccc2C(=O)OCC)cs1,0.5526535973348968,33
CCOC(=O)c1ccccc1-c1csc(NC(=O)c2cnoc2C)n1,c13noc(C)c1C(=O)Nc1nc(-c2ccccc2C(=O)OCC)cs1,[1*]c1noc(C)c1C(=O)Nc1nc(-c2ccccc2C(=O)OCC)cs1,0.5526535973348968,26
CC(C)n1ncc2c(C(=O)Nc3ccc(Cl)cc3)cc(C3CC3)nc21,c14cc(NC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)ccc1Cl,[1*]c1cc(NC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)ccc1Cl,0.5469890844752772,26
CC(C)n1ncc2c(C(=O)Nc3ccc(Cl)c(C=O)c3)cc(C3CC3)nc21,C4(=O)c1cc(NC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)ccc1Cl,[1*]C(=O)c1cc(NC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)ccc1Cl,0.5469890844752772,28
CCCC1=NN2C(=N)/C(=C/c3ccc(-c4cc(Cl)ccc4Cl)o3)C(=O)N=C2S1,C5CCC1=NN2C(=N)/C(=C/c3ccc(-c4cc(Cl)ccc4Cl)o3)C(=O)N=C2S1,[1*]CCCC1=NN2C(=N)/C(=C/c3ccc(-c4cc(Cl)ccc4Cl)o3)C(=O)N=C2S1,0.546791252135009,29
