smiles_safe,safe,frag,score,size
Fc1ccc2nc(CCNc3ncnc4cc(F)c(F)cc34)[nH]c2c1,n14c(CCNc2ncnc3cc(F)c(F)cc23)nc2ccc(F)cc21,[1*]n1c(CCNc2ncnc3cc(F)c(F)cc23)nc2ccc(F)cc21,0.5261475514640072,26
CCCNc1cc(-n2ccnc2)ncn1,[C@@H]3(C)CNc1cc(-n2ccnc2)ncn1,[1*][C@H](C)CNc1cc(-n2ccnc2)ncn1,0.5242566510172143,16
C[C@H](CNc1ccncn1)c1nc(-c2ccccc2)no1,c14cc(NC[C@@H](C)c2nc(-c3ccccc3)no2)ncn1,[1*]c1cc(NC[C@@H](C)c2nc(-c3ccccc3)no2)ncn1,0.5242566510172143,22
Cc1nc(Nc2cc(Nc3ccc4c(c3)OCO4)ncn2)sc1C,c14c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,[1*]c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,0.5240904621435595,25
Cc1nc(Nc2ncnc(Nc3ccc4c(c3)OCO4)c2[NH+]=O)sc1C,[N+]4(=O)c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,[1*][N+](=O)c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,0.5240904621435595,27
Cc1nc(Nc2ncnc(N)c2[N+](=O)[O-])sc1C,N3c1ncnc(Nc2nc(C)c(C)s2)c1[N+](=O)[O-],[1*]Nc1ncnc(Nc2nc(C)c(C)s2)c1[N+](=O)[O-],0.5240904621435595,19
c1nc(Nc2ccc3c(c2)OCCO3)c2ccsc2n1,c15csc2ncnc(Nc3ccc4c(c3)OCCO4)c12,[1*]c1csc2ncnc(Nc3ccc4c(c3)OCCO4)c12,0.521792510742787,21
Cc1cccc(Nc2cc(Nc3ccc(F)c(F)c3)ncn2)n1,c13c(Nc2ccc(F)c(F)c2)ncnc1Nc1cccc(C)n1,[1*]c1c(Nc2ccc(F)c(F)c2)ncnc1Nc1cccc(C)n1,0.520731554553426,24
CNc1ncc2c(=O)n(-c3cccc(C)c3C)c([O-])nc2n1,C4Nc1ncc2c(=O)n(-c3cccc(C)c3C)c([O-])nc2n1,[1*]CNc1ncc2c(=O)n(-c3cccc(C)c3C)c([O-])nc2n1,0.5164541590771099,23
Cc1ccccc1-n1c([O-])nc2nc(NCc3ccc4c(c3)OCO4)ncc2c1=O,c16cccc(-n2c([O-])nc3nc(NCc4ccc5c(c4)OCO5)ncc3c2=O)c1C,[1*]c1cccc(-n2c([O-])nc3nc(NCc4ccc5c(c4)OCO5)ncc3c2=O)c1C,0.5164541590771099,31
Cc1ccc(-n2ncc3c(Nc4ccc5c(c4)OCO5)ncnc32)cc1,c16cc(-n2ncc3c(Nc4ccc5c(c4)OCO5)ncnc32)ccc1C,[1*]c1cc(-n2ncc3c(Nc4ccc5c(c4)OCO5)ncnc32)ccc1C,0.5163701985047693,27
O=[N+]([O-])c1c(Nc2ccc(F)cc2)ncnc1Oc1cccc2cccnc12,c15cc(Nc2ncnc(Oc3cccc4cccnc34)c2[N+](=O)[O-])ccc1F,[1*]c1cc(Nc2ncnc(Oc3cccc4cccnc34)c2[N+](=O)[O-])ccc1F,0.5163110129997547,29
O=[NH+]c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,[N+]3(=O)c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,[1*][N+](=O)c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,0.5163110129997547,29
COc1ccc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)cc1,c14cc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)ccc1OC,[1*]c1cc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)ccc1OC,0.51430781129157,26
COc1ccc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)cc1O,O4c1cc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)ccc1OC,[1*]Oc1cc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)ccc1OC,0.51430781129157,27
c1ccc(-n2ncc3c(Nc4ccc5c(c4)OCCO5)ncnc32)cc1,c16cccc(-n2ncc3c(Nc4ccc5c(c4)OCCO5)ncnc32)c1,[1*]c1cccc(-n2ncc3c(Nc4ccc5c(c4)OCCO5)ncnc32)c1,0.513672135520875,27
Clc1cccc(-n2ncc3cncnc32)c1,c13ncnc2c1cnn2-c1cccc(Cl)c1,[1*]c1ncnc2c1cnn2-c1cccc(Cl)c1,0.513672135520875,17
CC(C)c1nn(C)cc1C(=O)Nc1cc(-c2nncn2C)ccn1,C3(C)(C)c1nn(C)cc1C(=O)Nc1cc(-c2nncn2C)ccn1,[1*]C(C)(C)c1nn(C)cc1C(=O)Nc1cc(-c2nncn2C)ccn1,0.5127145183514968,25
Cn1cc(C(=O)Nc2cc(-c3nnc[nH]3)ccn2)c(C(C)(C)C)n1,n13cnnc1-c1ccnc(NC(=O)c2cn(C)nc2C(C)(C)C)c1,[1*]n1cnnc1-c1ccnc(NC(=O)c2cn(C)nc2C(C)(C)C)c1,0.5127145183514968,25
Cn1cc(C(=O)Nc2ccccn2)c(C(C)(C)C)n1,c13ccnc(NC(=O)c2cn(C)nc2C(C)(C)C)c1,[1*]c1ccnc(NC(=O)c2cn(C)nc2C(C)(C)C)c1,0.5127145183514968,20
COc1cccc(CNc2ncnc3sccc23)c1OC,c14cc2c(NCc3cccc(OC)c3OC)ncnc2s1,[1*]c1cc2c(NCc3cccc(OC)c3OC)ncnc2s1,0.5120334342124225,22
COc1c(O)cccc1CNc1ncnc2sc(-c3ccccc3)cc12,O5c1cccc(CNc2ncnc3sc(-c4ccccc4)cc23)c1OC,[1*]Oc1cccc(CNc2ncnc3sc(-c4ccccc4)cc23)c1OC,0.5120334342124225,27
COc1cccc(CNc2ncnc3sc(-c4ccccc4)cc23)c1O,O5c1c(CNc2ncnc3sc(-c4ccccc4)cc23)cccc1OC,[1*]Oc1c(CNc2ncnc3sc(-c4ccccc4)cc23)cccc1OC,0.5120334342124225,27
c1cc(Nc2ccc3c(c2)OCCO3)ncn1,c14cc(Nc2ccc3c(c2)OCCO3)ncn1,[1*]c1cc(Nc2ccc3c(c2)OCCO3)ncn1,0.5116997792494481,18
Cc1ccnc(Nc2ncnc(N)c2[N+](=O)[O-])c1,N3c1ncnc(Nc2cc(C)ccn2)c1[N+](=O)[O-],[1*]Nc1ncnc(Nc2cc(C)ccn2)c1[N+](=O)[O-],0.5101721439749608,19
Cc1ccnc(Nc2cc(Nc3ccc(F)c(Cl)c3)ncn2)c1,c13c(Nc2ccc(F)c(Cl)c2)ncnc1Nc1cc(C)ccn1,[1*]c1c(Nc2ccc(F)c(Cl)c2)ncnc1Nc1cc(C)ccn1,0.5101721439749608,24
