smiles_safe,safe,frag,score,size
C[NH+](CC(=O)Nc1ccc(Cl)cn1)CC(=O)Nc1ccccc1C(F)F,C2(F)(F)c1ccccc1NC(=O)C[NH+](C)CC(=O)Nc1ccc(Cl)cn1,[1*]C(F)(F)c1ccccc1NC(=O)C[NH+](C)CC(=O)Nc1ccc(Cl)cn1,0.4785643210660746,27
C[NH2+]CC(=O)Nc1ccc(Cl)cn1,[NH+]2(C)CC(=O)Nc1ccc(Cl)cn1,[1*][NH+](C)CC(=O)Nc1ccc(Cl)cn1,0.4785643210660746,14
Cc1nn(C)cc1[C@H](C)NC(=O)C=O,C2(=O)C(=O)N[C@@H](C)c1cn(C)nc1C,[1*]C(=O)C(=O)N[C@@H](C)c1cn(C)nc1C,0.4784582417416688,15
C[C@H](NC(=O)C(=O)Nc1ccc(F)c(F)c1F)c1cnn(C)c1,c12nn(C)cc1[C@H](C)NC(=O)C(=O)Nc1ccc(F)c(F)c1F,[1*]c1nn(C)cc1[C@H](C)NC(=O)C(=O)Nc1ccc(F)c(F)c1F,0.4784582417416688,24
CCNC(=O)C(=O)Nc1ccc(F)c(F)c1F,[C@@H]2(C)NC(=O)C(=O)Nc1ccc(F)c(F)c1F,[1*][C@H](C)NC(=O)C(=O)Nc1ccc(F)c(F)c1F,0.4784582417416688,18
O=C(NCc1cccnc1)NCc1ccnc(O)c1,O3c1cc(CNC(=O)NCc2cccnc2)ccn1,[1*]Oc1cc(CNC(=O)NCc2cccnc2)ccn1,0.4775801731244342,20
O=C(NCc1cccnc1)NCc1ccnc(OCCF)c1,C3(F)COc1cc(CNC(=O)NCc2cccnc2)ccn1,[1*]C(F)COc1cc(CNC(=O)NCc2cccnc2)ccn1,0.4775801731244342,23
CC(C)CN1C(=O)N[C@H](NC(=O)c2ccccc2F)C1=O,[C@@]13(NC(=O)c2ccccc2F)NC(=O)N(CC(C)C)C1=O,[1*][C@]1(NC(=O)c2ccccc2F)NC(=O)N(CC(C)C)C1=O,0.4729607630932609,22
CCCN1C(=O)N[C@@](NC(=O)c2ccccc2F)(C(F)(F)F)C1=O,C3(C)CN1C(=O)N[C@@](NC(=O)c2ccccc2F)(C(F)(F)F)C1=O,[1*]C(C)CN1C(=O)N[C@@](NC(=O)c2ccccc2F)(C(F)(F)F)C1=O,0.4729607630932609,25
COC(=O)[C@@H](NC(=O)c1ccc(F)cc1)C(F)(F)F,[C@@]2(NC(=O)c1ccc(F)cc1)(C(=O)OC)C(F)(F)F,[1*][C@@](NC(=O)c1ccc(F)cc1)(C(=O)OC)C(F)(F)F,0.4667873160803328,20
