smiles_safe,safe,frag,score,size
Cc1ccccc1C(=O)NCCN(C)c1ccccc1,c13ccc(C)c(C(=O)NCCN(C)c2ccccc2)c1,[1*]c1ccc(C)c(C(=O)NCCN(C)c2ccccc2)c1,0.4083333333333333,21
CCNC(=O)c1cc(S(=O)(=O)N2CCN(C)CC2)ccc1C,C3CNC(=O)c1cc(S(=O)(=O)N2CCN(C)CC2)ccc1C,[1*]CCNC(=O)c1cc(S(=O)(=O)N2CCN(C)CC2)ccc1C,0.4083333333333333,23
Cc1ccc(S(=O)(=O)N2CCNCC2)cc1C(=O)NCCN(C)c1ccccc1,N14CCN(S(=O)(=O)c2ccc(C)c(C(=O)NCCN(C)c3ccccc3)c2)CC1,[1*]N1CCN(S(=O)(=O)c2ccc(C)c(C(=O)NCCN(C)c3ccccc3)c2)CC1,0.4083333333333333,30
CNS(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,N3(C)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,[1*]N(C)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,0.3852459016393442,30
O=C(CCCn1c(=O)oc2ccccc21)N1CCc2ccccc21,c13ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,[1*]c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,0.3852459016393442,25
O=C(CCCn1c(=O)oc2ccccc21)N1CCc2cc([SH](=O)=O)ccc21,S3(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,[1*]S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,0.3852459016393442,28
CNS(=O)(=O)c1ccc2c(c1)CCCN2C(=O)CN(C)c1ccccc1,N3(C)S(=O)(=O)c1ccc2c(c1)CCCN2C(=O)CN(C)c1ccccc1,[1*]N(C)S(=O)(=O)c1ccc2c(c1)CCCN2C(=O)CN(C)c1ccccc1,0.3793103448275862,27
CN(C)S(=O)(=O)c1ccc2c(c1)CCCN2C(=O)CNc1ccccc1,N3(CC(=O)N1CCCc2cc(S(=O)(=O)N(C)C)ccc21)c1ccccc1,[1*]N(CC(=O)N1CCCc2cc(S(=O)(=O)N(C)C)ccc21)c1ccccc1,0.3793103448275862,27
CN(C)S(=O)(=O)c1ccc2c(c1)CCCN2,N13CCCc2cc(S(=O)(=O)N(C)C)ccc21,[1*]N1CCCc2cc(S(=O)(=O)N(C)C)ccc21,0.3793103448275862,17
CN(C)S(=O)(=O)c1ccc(N2CCCC2)c(C=O)c1,C2(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1,[1*]C(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1,0.3740458015267175,20
CNS(=O)(=O)c1ccc(N2CCCC2)c(C(=O)NCc2c(C)nn(-c3ccccc3)c2C)c1,N4(C)S(=O)(=O)c1ccc(N2CCCC2)c(C(=O)NCc2c(C)nn(-c3ccccc3)c2C)c1,[1*]N(C)S(=O)(=O)c1ccc(N2CCCC2)c(C(=O)NCc2c(C)nn(-c3ccccc3)c2C)c1,0.3740458015267175,34
CCN1C[C@H](CN(C)C(=O)c2cc(S(=O)(=O)NC)ccc2N2CCCC2)Oc2ccccc21,N4(C)S(=O)(=O)c1ccc(N2CCCC2)c(C(=O)N(C)C[C@H]2CN(CC)c3ccccc3O2)c1,[1*]N(C)S(=O)(=O)c1ccc(N2CCCC2)c(C(=O)N(C)C[C@H]2CN(CC)c3ccccc3O2)c1,0.3740458015267175,34
CN(C)C(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1,C2N(C)C(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1,[1*]CN(C)C(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1,0.3740458015267175,23
C[C@@H]1Cc2ccccc2N1c1ccc(S(=O)(=O)N2CCNCC2)cn1,N15CCN(S(=O)(=O)c2ccc(N3c4ccccc4C[C@H]3C)nc2)CC1,[1*]N1CCN(S(=O)(=O)c2ccc(N3c4ccccc4C[C@H]3C)nc2)CC1,0.3706896551724138,26
C[C@@H]1Cc2ccccc2N1c1ccccn1,c14ccc(N2c3ccccc3C[C@H]2C)nc1,[1*]c1ccc(N2c3ccccc3C[C@H]2C)nc1,0.3706896551724138,17
CNS(=O)(=O)c1cccc(C(=O)N2CCCc3ccccc32)c1,N4(C)S(=O)(=O)c1cccc(C(=O)N2CCCc3ccccc32)c1,[1*]N(C)S(=O)(=O)c1cccc(C(=O)N2CCCc3ccccc32)c1,0.3693693693693693,24
CN1CCN(S(=O)(=O)c2cccc(C(=O)Nc3ccccc3O)c2)CC1,O3c1ccccc1NC(=O)c1cccc(S(=O)(=O)N2CCN(C)CC2)c1,[1*]Oc1ccccc1NC(=O)c1cccc(S(=O)(=O)N2CCN(C)CC2)c1,0.3688524590163934,27
