smiles_safe,safe,frag,score,size
O=CN1CCc2c(nc[nH]c2=O)C1,C3(=O)N1CCc2c(nc[nH]c2=O)C1,[1*]C(=O)N1CCc2c(nc[nH]c2=O)C1,0.3697478991596639,14
Cc1c(C)c2c(c(C)c1O)CC[C@H](C)O2,[C@@]13(C)CCc2c(C)c(O)c(C)c(C)c2O1,[1*][C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,0.3697478991596639,16
Cc1cc(C)c2c(c1C)O[C@](C)(C(=O)N1CCc3c(nc[nH]c3=O)C1)CC2,c14c(C)c(C)c2c(c1C)CC[C@@](C)(C(=O)N1CCc3c(nc[nH]c3=O)C1)O2,[1*]c1c(C)c(C)c2c(c1C)CC[C@@](C)(C(=O)N1CCc3c(nc[nH]c3=O)C1)O2,0.3697478991596639,28
Cc1cc(O)c(C)c2c1O[C@](C)(C(=O)N1CCc3c(nc[nH]c3=O)C1)CC2,c14c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N1CCc3c(nc[nH]c3=O)C1)O2,[1*]c1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N1CCc3c(nc[nH]c3=O)C1)O2,0.3697478991596639,28
C[C@@H]1SC(=O)NC1=O,C2[C@@H]1SC(=O)NC1=O,[1*]C[C@@H]1SC(=O)NC1=O,0.3350631760221357,9
COc1ccc(CC2(C)CC(=O)NC(=O)C2)cc1,[C@@H]12C(=O)NC(=O)C[C@@]1(C)Cc1ccc(OC)cc1,[1*][C@@H]1C(=O)NC(=O)C[C@@]1(C)Cc1ccc(OC)cc1,0.330188679245283,19
CC[C@@H]1C(=O)NC(=O)C[C@H]1Cc1ccc(OC)cc1,[C@]13(Cc2ccc(OC)cc2)CC(=O)NC(=O)[C@H]1CC,[1*][C@@]1(Cc2ccc(OC)cc2)CC(=O)NC(=O)[C@H]1CC,0.330188679245283,20
CC[C@@H]1C(=O)NC(=O)C[C@@]1(C)Cc1ccccc1,c13ccc(C[C@]2(C)CC(=O)NC(=O)[C@H]2CC)cc1,[1*]c1ccc(C[C@]2(C)CC(=O)NC(=O)[C@H]2CC)cc1,0.330188679245283,19
C=N/N=C1/NC(=O)[C@H](Cc2ccc(OCC)cc2)S1,C\3=N/N=C1/NC(=O)[C@H](Cc2ccc(OCC)cc2)S1,[1*]/C=N/N=C1/NC(=O)[C@H](Cc2ccc(OCC)cc2)S1,0.325,20
O=C1CS/C(=N\N=C\c2ccccc2)N1,[C@@H]13S/C(=N\N=C\c2ccccc2)NC1=O,[1*][C@@H]1S/C(=N\N=C\c2ccccc2)NC1=O,0.325,16
