smiles_safe,safe,frag,score,size
CC(=O)NCC(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,[C@@H]3(NC(C)=O)C(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,[1*][C@H](NC(C)=O)C(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,0.3201308357906798,29
C[C@H](N)C(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,N3[C@@H](C)C(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,[1*]N[C@@H](C)C(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,0.3201308357906798,27
CC=O,C1(C)=O,[1*]C(C)=O,0.00013439581687266154,4
C,C1,[1*]C,2.862579365304372e-06,2
C[C@@H]1NC(=O)N(Cc2ccc(-c3ccccc3)cc2)C1=O,[C@]14(C)NC(=O)N(Cc2ccc(-c3ccccc3)cc2)C1=O,[1*][C@@]1(C)NC(=O)N(Cc2ccc(-c3ccccc3)cc2)C1=O,1.767031256555663e-06,22
CN(Cc1ccccc1)C(=O)c1cnn2cccnc12,c14ccc(CN(C)C(=O)c2cnn3cccnc23)cc1,[1*]c1ccc(CN(C)C(=O)c2cnn3cccnc23)cc1,3.532952198784043e-07,21
C[C@]1(C2CC2)NC(=O)NC1=O,N13C(=O)N[C@](C)(C2CC2)C1=O,[1*]N1C(=O)N[C@](C)(C2CC2)C1=O,2.9450520942594385e-07,12
CN(C=O)Cc1ccc(-c2ccccc2)cc1,C3(=O)N(C)Cc1ccc(-c2ccccc2)cc1,[1*]C(=O)N(C)Cc1ccc(-c2ccccc2)cc1,1.7664761081440087e-07,18
Cc1ccc(-c2ccccc2)cc1,C3c1ccc(-c2ccccc2)cc1,[1*]Cc1ccc(-c2ccccc2)cc1,1.0394301509150958e-07,14
c1cnc2ccnn2c1,c13cnn2cccnc12,[1*]c1cnn2cccnc12,2.9441268323200358e-08,10
C[C@@H](c1ccc(-c2ccccc2)cc1)N(C)C(=O)c1cn[nH]c1,c13[nH]ncc1C(=O)N(C)[C@@H](C)c1ccc(-c2ccccc2)cc1,[1*]c1[nH]ncc1C(=O)N(C)[C@@H](C)c1ccc(-c2ccccc2)cc1,2.369404006443682e-09,24
Cc1[nH]ncc1C(=O)N[C@@H](C)c1ccc(-c2ccccc2)cc1,N3(C(=O)c1cn[nH]c1C)[C@@H](C)c1ccc(-c2ccccc2)cc1,[1*]N(C(=O)c1cn[nH]c1C)[C@@H](C)c1ccc(-c2ccccc2)cc1,2.369404006443682e-09,24
C1CC1,C12CC1,[1*]C1CC1,4.692063878267825e-10,4
CCN1C(=O)C(=O)N(Cc2ccc(-c3ccccc3C#N)cc2)C1=O,C4CN1C(=O)C(=O)N(Cc2ccc(-c3ccccc3C#N)cc2)C1=O,[1*]CCN1C(=O)C(=O)N(Cc2ccc(-c3ccccc3C#N)cc2)C1=O,6.41285897722978e-11,26
c1ccccc1,c12ccccc1,[1*]c1ccccc1,2.8737206757638222e-11,7
CN1C(=O)C(=O)N(CCC2=CCCCC2)C1=O,C3N1C(=O)C(=O)N(CCC2=CCCCC2)C1=O,[1*]CN1C(=O)C(=O)N(CCC2=CCCCC2)C1=O,2.137619659076593e-11,18
N#Cc1ccccc1-c1ccccc1,c13ccc(-c2ccccc2C#N)cc1,[1*]c1ccc(-c2ccccc2C#N)cc1,7.125398863588644e-12,15
C1=CCCCC1,C12=CCCCC1,[1*]C1=CCCCC1,8.11754300915162e-13,7
