rv,smi,cur_sentence,elapsed_time,seed
11.6,Cc1ccc(C(=O)NC2(c3ccc(NC(=O)c4onc5ccccc45)cc3)CCC2)cc1C(F)(F)F,[BOS]Cc1ccc(C(=O)NC2(c3ccc(NC(=O)c4onc5ccccc45)cc3)CCC2)cc1C(F)(F)F[EOS],5415.479031324387,42
11.8,O=C(CNS(=O)(=O)c1ccc2ccccc2c1)Nc1ccc(CC(=O)N2CCN(c3ccccn3)CC2)cc1,[BOS]O=C(CNS(=O)(=O)c1ccc2ccccc2c1)Nc1ccc(CC(=O)N2CCN(c3ccccn3)CC2)cc1[EOS],11048.718946695328,42
12.3,O=C(Nc1cc(C2CCCCN2C(=O)c2ccccc2Oc2ccccc2)[nH]n1)c1cc2n(n1)CCNC2=O,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)c2ccccc2Oc2ccccc2)[nH]n1)c1cc2n(n1)CCNC2=O[EOS],16697.365826129913,42
13.5,O=C(C1C[NH+](Cc2ccccc2)CC1c1nnc(-c2ccc3c(c2)CCCc2ccccc2-3)o1)N1CCc2ccccc2CC1,[BOS]O=C([C@@H]1C[NH+](Cc2ccccc2)C[C@H]1c1nnc(-c2ccc3c(c2)CCCc2ccccc2-3)o1)N1CCc2ccccc2CC1[EOS],22479.54446530342,42
10.6,O=C1CC(C(O)=NC2C(=O)N(CCCO)C3CN(Cc4ccc(F)cc4)CCCC23)CN1c1cccc2ccccc12,[BOS]O=C1[C@@H](N=C(O)[C@H]2CC(=O)N(c3cccc4ccccc34)C2)[C@@H]2CCCN(Cc3ccc(F)cc3)C[C@H]2N1CCCO[EOS][EOS],27672.356202363968,42
10.8,O=C(NCC[NH+]1CCN(C(=O)C2CCCCN2C(=O)c2ccccc2)CC1)c1ccc2[nH]c(=O)[nH]c2c1,[BOS]O=C(NCC[NH+]1CCN(C(=O)[C@@H]2CCCCN2C(=O)c2ccccc2)CC1)c1ccc2[nH]c(=O)[nH]c2c1[EOS],34180.26688361168,42
13.0,Cc1cnc(C(=O)N2CCC([NH+]3CCC(NC(=O)c4cccc5c4oc4cc(-c6ccccc6)ccc45)CC3)CC2)cn1,[BOS]Cc1cnc(C(=O)N2CCC([NH+]3CCC(NC(=O)c4cccc5c4oc4cc(-c6ccccc6)ccc45)CC3)CC2)cn1[EOS],40771.501678943634,42
13.9,O=C1CC2(CCC(c3nnc(-c4cc(-c5ccccc5)nc5ccccc45)o3)CC2)c2ccccc2N1C1CCCC1,[BOS]O=C1CC2(CCC(c3nnc(-c4cc(-c5ccccc5)nc5ccccc45)o3)CC2)c2ccccc2N1C1CCCC1[EOS],45738.435389995575,42
11.8,O=C(c1nnc2c(F)cccn12)N1CCC(c2nc(C3(c4cccc(C(F)(F)F)c4)CCCCC3)no2)CC1,[BOS]O=C(c1nnc2c(F)cccn12)N1CCC(c2nc(C3(c4cccc(C(F)(F)F)c4)CCCCC3)no2)CC1[EOS],51153.35962963104,42
11.9,O=C1NCc2cc(C(=O)N3CCCC4(CCN(C(=O)c5cccc6ccccc56)CC4)C3)ccc21,[BOS]O=C1NCc2cc(C(=O)N3CCCC4(CCN(C(=O)c5cccc6ccccc56)CC4)C3)ccc21[EOS],55772.52085733414,42
14.1,O=C(C=Cc1nc(-c2cc3ccccc3c3ccccc23)no1)c1ccc2ccc(-c3ccccc3)nc2c1,[BOS]O=C(C=Cc1nc(-c2cc3ccccc3c3ccccc23)no1)c1ccc2ccc(-c3ccccc3)nc2c1[EOS],61338.366841077805,42
11.9,O=C(Nc1cc(C2CCCCN2C(=O)Cc2c[nH]c3ccccc23)[nH]n1)c1ncn(-c2cccc(F)c2)n1,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)Cc2c[nH]c3ccccc23)[nH]n1)c1ncn(-c2cccc(F)c2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],66532.75033926964,42
