rv,smi,cur_sentence,elapsed_time,seed
12.3,O=C(Cc1coc2ccc3ccccc3c12)Nc1cc(=O)n(-c2ccccc2)[nH]1,[BOS]O=C(Cc1coc2ccc3ccccc3c12)Nc1cc(=O)n(-c2ccccc2)[nH]1[EOS],5382.956324100494,42
12.6,NC(=O)C1CCCN(c2ccc(-c3noc(CC([NH3+])Cc4cccc5ccccc45)n3)cc2)C1,[BOS]NC(=O)[C@H]1CCCN(c2ccc(-c3noc(C[C@H]([NH3+])Cc4cccc5ccccc45)n3)cc2)C1[EOS],10775.419999837875,42
13.3,O=C(Nc1ccc(Oc2cnc3ccccc3c2)cc1)C(=O)NC1c2ccccc2CCC1n1ccnc1,[BOS]O=C(Nc1ccc(Oc2cnc3ccccc3c2)cc1)C(=O)N[C@H]1c2ccccc2CC[C@H]1n1ccnc1[EOS],16152.719226837158,42
13.4,O=C(COc1ccc(C(=O)C=Cc2ccc3c(c2)-c2ccccc2C3)cc1)Nc1cccc(N2CCCCCC2=O)c1,[BOS]O=C(COc1ccc(C(=O)C=Cc2ccc3c(c2)-c2ccccc2C3)cc1)Nc1cccc(N2CCCCCC2=O)c1[EOS],22420.513753414154,42
12.7,Cc1cc(-c2noc(C(C)NC(=O)C(=O)Nc3ccc4c(c3)CCCC(=O)N4)n2)ccc1F,[BOS]Cc1cc(-c2noc([C@H](C)NC(=O)C(=O)Nc3ccc4c(c3)CCCC(=O)N4)n2)ccc1F[EOS],27618.533663272858,42
12.2,CN1C(=O)CCC2CN(C(=O)c3cccc(Oc4ccc(OC(F)(F)F)cc4)c3)CCC21,[BOS]CN1C(=O)CC[C@@H]2CN(C(=O)c3cccc(Oc4ccc(OC(F)(F)F)cc4)c3)CC[C@H]21[EOS],32315.154819488525,42
10.8,Cc1cccnc1CCNC(=O)C(=O)Nc1ccc2nc3n(c(=O)c2c1)CCCCC3,[BOS]Cc1cccnc1CCNC(=O)C(=O)Nc1ccc2nc3n(c(=O)c2c1)CCCCC3[EOS],37281.808952093124,42
12.3,O=C(Nc1ccc(C2(NC(=O)C3CNc4ccccc43)CCC2)cc1)C1=NOC(c2ccccc2)C1,[BOS]O=C(Nc1ccc(C2(NC(=O)[C@@H]3CNc4ccccc43)CCC2)cc1)C1=NO[C@@H](c2ccccc2)C1[EOS],42837.98892235756,42
13.6,Cc1ccc(Oc2ccc(NC(=O)Nc3ccc4c(c3)N(C)CC4)cc2)cc1C1=NN=C(N)C2CCCN2C1O,[BOS]Cc1ccc(Oc2ccc(NC(=O)Nc3ccc4c(c3)N(C)CC4)cc2)cc1C1=NN=C(N)C2CCCN2C1O[EOS],47715.9797668457,42
11.6,Cc1c([O-])n(-c2cccc(C(=O)NCc3ccccn3)c2)c(=O)n1-c1ccc(F)cc1,[BOS]Cc1c([O-])n(-c2cccc(C(=O)NCc3ccccn3)c2)c(=O)n1-c1ccc(F)cc1[EOS],52484.3380446434,42
11.2,CC(c1ccc(NC(=O)NC2(Cc3ccccc3)CC2)cc1)[NH+]1CCOCC1,[BOS]C[C@H](c1ccc(NC(=O)NC2(Cc3ccccc3)CC2)cc1)[NH+]1CCOCC1[EOS],57696.62497115135,42
12.2,Cc1c(NC(=O)Cc2coc3cc4c(cc23)CCC4)cccc1C(=O)Nc1ccccc1,[BOS]Cc1c(NC(=O)Cc2coc3cc4c(cc23)CCC4)cccc1C(=O)Nc1ccccc1[EOS],62755.74088382721,42
12.5,Cc1ccc(-n2nc(C(=O)Nc3ccc4c(c3)CCNC4=O)c3ccccc3c2=O)c(C)c1,[BOS]Cc1ccc(-n2nc(C(=O)Nc3ccc4c(c3)CCNC4=O)c3ccccc3c2=O)c(C)c1[EOS],4537.351190567017,42
13.0,Cc1ccc(Oc2ccc(NC(=O)NCC3(C)CCCc4ccccc43)cn2)cc1C,[BOS]Cc1ccc(Oc2ccc(NC(=O)NC[C@@]3(C)CCCc4ccccc43)cn2)cc1C[EOS],9757.243897914886,42
12.6,NC(=O)N1CCc2cc(NC(=O)c3cccc(NC(=O)C4Cc5ccccc5O4)c3)ccc21,[BOS]NC(=O)N1CCc2cc(NC(=O)c3cccc(NC(=O)[C@H]4Cc5ccccc5O4)c3)ccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],14448.986700057983,42
13.5,Cc1ccc(-c2ccc(C(=O)Nc3ccc(Oc4ncnc5c4cnn5-c4ccccc4)c(Cl)c3)c(Cl)c2)cc1C,[BOS]Cc1ccc(-c2ccc(C(=O)Nc3ccc(Oc4ncnc5c4cnn5-c4ccccc4)c(Cl)c3)c(Cl)c2)cc1C[EOS],19582.963069200516,42
12.3,O=C(Nc1ccc(Cn2c(O)cc3ccc(Cl)cc32)cc1)N1CCC(c2ccc(F)cc2)C1,[BOS]O=C(Nc1ccc(Cn2c(O)cc3ccc(Cl)cc32)cc1)N1CC[C@H](c2ccc(F)cc2)C1[EOS],25070.073139190674,42
13.4,O=C(NCc1ccc(-c2ccc3c(c2)CCO3)cc1)c1ccc2[nH]c3c(c2c1)CCCNC3=O,[BOS]O=C(NCc1ccc(-c2ccc3c(c2)CCO3)cc1)c1ccc2[nH]c3c(c2c1)CCCNC3=O[EOS],30071.384509801865,42
11.6,O=C(NC1(c2ccc(NC(=O)C3(c4ccc(O)cc4)CC3)cc2)CCC1)c1cnn2cccc(F)c12,[BOS]O=C(NC1(c2ccc(NC(=O)C3(c4ccc(O)cc4)CC3)cc2)CCC1)c1cnn2cccc(F)c12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],35810.55513429642,42
12.3,O=C(NCCCc1nc(-c2ccc(F)cc2)no1)C1CC12CCCc1ccccc12,[BOS]O=C(NCCCc1nc(-c2ccc(F)cc2)no1)[C@H]1C[C@]12CCCc1ccccc12[EOS],41894.58263134956,42
12.2,CC(C)(NC(=O)NCc1nc(-c2ccc(F)cc2)n[nH]1)c1nnc2n1CCCCC2,[BOS]CC(C)(NC(=O)NCc1nc(-c2ccc(F)cc2)n[nH]1)c1nnc2n1CCCCC2[EOS],47074.05324983597,42
11.5,CC(NC(=O)NC1CCN(c2ccc(C(F)(F)F)cc2)C1)c1ccc2c(c1)CCCC2,[BOS]C[C@H](NC(=O)N[C@@H]1CCN(c2ccc(C(F)(F)F)cc2)C1)c1ccc2c(c1)CCCC2[EOS],52495.74550485611,42
12.7,O=C(NCCC1C(=O)Nc2ccccc21)C(=O)Nc1ccc(CC(=O)N2CCn3c2nc2ccccc23)cc1,[BOS]O=C(NCC[C@H]1C(=O)Nc2ccccc21)C(=O)Nc1ccc(CC(=O)N2CCn3c2nc2ccccc23)cc1[EOS],58563.36305761337,42
12.3,O=C(C=CC(=O)N1Cc2ccccc2C(c2ccccc2)C1)N1CCC(c2ncccc2Cl)CC1,[BOS]O=C(C=CC(=O)N1CCC(c2ncccc2Cl)CC1)N1Cc2ccccc2[C@H](c2ccccc2)C1[EOS],63323.842433452606,42
13.7,O=C(Nc1ccc2nc(Cc3ccccc3)oc2c1)c1ccc2c(c1)C(=O)c1ccccc1S2(=O)=O,[BOS]O=C(Nc1ccc2nc(Cc3ccccc3)oc2c1)c1ccc2c(c1)C(=O)c1ccccc1S2(=O)=O[EOS],5028.08259677887,42
11.1,O=S(=O)(c1ccc(NCc2ccnc(N3CCCC3)c2)cc1)c1nnc2n1CCCCC2,[BOS]O=S(=O)(c1ccc(NCc2ccnc(N3CCCC3)c2)cc1)c1nnc2n1CCCCC2[EOS],10232.439051389694,42
11.8,Cc1c(COc2ccccc2)cccc1NC(=O)C(=O)NCc1cc2ccccc2n(C)c1=O,[BOS]Cc1c(COc2ccccc2)cccc1NC(=O)C(=O)NCc1cc2ccccc2n(C)c1=O[EOS],15679.001460075378,42
13.1,O=C(NC1CCN(CCCc2ccccc2)C1=O)c1nc(-c2cccc3ccccc23)n(-c2ccc(F)cc2)n1,[BOS]O=C(N[C@H]1CCN(CCCc2ccccc2)C1=O)c1nc(-c2cccc3ccccc23)n(-c2ccc(F)cc2)n1[EOS],21336.076449394226,42
12.1,O=C(Nc1cnn(Cc2nnc3n2CCCC3)c1)NC(c1ccc(Cl)cc1)C1CCCCC1,[BOS]O=C(Nc1cnn(Cc2nnc3n2CCCC3)c1)N[C@@H](c1ccc(Cl)cc1)C1CCCCC1[EOS],26822.792362451553,42
12.4,CC(NC(=O)NCc1cccc(NC(=O)c2ccc(F)cc2)c1)c1ccc(F)c2ccccc12,[BOS]C[C@@H](NC(=O)NCc1cccc(NC(=O)c2ccc(F)cc2)c1)c1ccc(F)c2ccccc12[EOS],32773.03518462181,42
13.4,O=C(OCC(=O)N1Cc2ccccc2C(c2ccccc2)C1)C1CC(=O)N(c2ccc3c(c2)CCC3)C1,[BOS]O=C(OCC(=O)N1Cc2ccccc2[C@H](c2ccccc2)C1)[C@H]1CC(=O)N(c2ccc3c(c2)CCC3)C1[EOS],38911.51769781113,42
11.8,O=C(NCCCCCN1C(=O)c2ccccc2C1=O)Nc1ccc2c(c1)C(=O)NC2=O,[BOS]O=C(NCCCCCN1C(=O)c2ccccc2C1=O)Nc1ccc2c(c1)C(=O)NC2=O[EOS],44610.91817307472,42
12.9,Cc1ccc(C(=O)NC2COc3c(C)cccc3C2)cc1C(=O)c1ccc2c(c1)OCCC2C(=O)O,[BOS]Cc1ccc(C(=O)N[C@H]2COc3c(C)cccc3C2)cc1C(=O)c1ccc2c(c1)OCCC2C(=O)O[EOS],49312.76824879646,42
12.8,CC(C)Cn1nc(-c2nnc(-c3ccc(COc4ccc5ccccc5c4)o3)o2)c2ccccc2c1=O,[BOS]CC(C)Cn1nc(-c2nnc(-c3ccc(COc4ccc5ccccc5c4)o3)o2)c2ccccc2c1=O[EOS],54580.178745269775,42
12.1,CC(=O)Nc1ccc(-c2cc(F)cc3c2NC(=O)C32CC[NH2+]CC2)c(C(F)(F)F)c1,[BOS]CC(=O)Nc1ccc(-c2cc(F)cc3c2NC(=O)C32CC[NH2+]CC2)c(C(F)(F)F)c1[EOS],59027.68726015091,42
12.4,O=c1cc(-c2[nH+]c(-c3ccc(-c4ccc5c(c4)CCCO5)c([N+](=O)[O-])c3)no2)[nH]n1-c1cccc(O)c1,[BOS]O=[N+]([O-])c1cc(-c2noc(-c3cc(=O)n(-c4cccc(O)c4)[nH]3)[nH+]2)ccc1-c1ccc2c(c1)CCCO2[EOS],63450.65906095505,42
13.9,O=C(Nc1ccc(F)c(C(=O)NCc2ccccc2F)c1)NC12CC3CC(CC(C3)C1c1ccc3cccnc3c1)C2,[BOS]O=C(NCc1ccccc1F)c1cc(NC(=O)NC23CC4C[C@@H](CC(C4)C2)[C@H]3c2ccc3cccnc3c2)ccc1F[EOS],5809.22377538681,42
11.5,Cc1cc(Nc2ccn3cc(-c4ccccc4)nc3c2)nc(-n2nc(C(F)(F)F)cc2C2CC2)c1,[BOS]Cc1cc(Nc2ccn3cc(-c4ccccc4)nc3c2)nc(-n2nc(C(F)(F)F)cc2C2CC2)c1[EOS],10348.983095884323,42
11.7,O=C(CCNC(=O)c1nn(-c2ccccc2)c(=O)c2ccccc12)NCc1ccccc1Cl,[BOS]O=C(CCNC(=O)c1nn(-c2ccccc2)c(=O)c2ccccc12)NCc1ccccc1Cl[EOS],16392.62023973465,42
