rv,smi,cur_sentence,elapsed_time,seed
10.7,O=C1CCCc2ccc(S(=O)(=O)N3Cc4ccccc4C(c4ccccc4)C3)cc21,[BOS]O=C1CCCc2ccc(S(=O)(=O)N3Cc4ccccc4[C@H](c4ccccc4)C3)cc21[EOS],4232.462670087814,42
10.9,O=C(c1cnn2cccc(F)c12)N1CCOC2(COCCN(C(=O)C3CC3c3ccccc3)C2)C1,[BOS]O=C(c1cnn2cccc(F)c12)N1CCO[C@]2(COCCN(C(=O)[C@H]3C[C@@H]3c3ccccc3)C2)C1[EOS][EOS][EOS][EOS],8788.611479520798,42
11.4,O=C(Nc1nccc2cnccc12)C1C2CCC(O)C1CC1c3[nH]c4ccccc4c3CC[NH+]1C2,[BOS]O=C(Nc1nccc2cnccc12)[C@@H]1[C@@H]2C[C@@H]3c4[nH]c5ccccc5c4CC[NH+]3C[C@@H]1CC[C@@H]2O[EOS],13244.396061182022,42
10.7,Cc1ccc2c(C[NH+]3CCN(c4nn5c(C)nnc5c5ccccc45)CC3)cc(=O)oc2c1C,[BOS]Cc1ccc2c(C[NH+]3CCN(c4nn5c(C)nnc5c5ccccc45)CC3)cc(=O)oc2c1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],18066.9153945446,42
11.4,Cc1cnc2c(C(=O)N3CCCCC3C3CCN(C(=O)c4cc(=O)c5ccccc5o4)CC3)cnn2c1,[BOS]Cc1cnc2c(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)c4cc(=O)c5ccccc5o4)CC3)cnn2c1[EOS],23163.42985200882,42
10.5,CC1CCCC1C(=O)NC1CCc2nc(NC(=O)c3cc(C(F)(F)F)nc4ccccc34)sc2C1,[BOS]C[C@@H]1CCC[C@H]1C(=O)N[C@H]1CCc2nc(NC(=O)c3cc(C(F)(F)F)nc4ccccc34)sc2C1[EOS],27537.24224805832,42
10.3,Cc1c(NC(=O)NC2CC3(CCOCC3)Oc3ccccc32)noc1-c1ccccc1F,[BOS]Cc1c(NC(=O)N[C@H]2CC3(CCOCC3)Oc3ccccc32)noc1-c1ccccc1F[EOS],31911.712737321854,42
10.8,Cc1ccncc1C(=O)N1C2CCC1CC(NC(=O)c1cccc(-c3cncc(-c4ccoc4)c3)n1)C2,[BOS]Cc1ccncc1C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cccc(-c3cncc(-c4ccoc4)c3)n1)C2[EOS],36887.29552030563,42
11.8,CC1CN(C(=O)C2CC23CCCc2ccccc23)CCN1S(=O)(=O)c1cccc2c[nH]c(=N)nc12,[BOS]C[C@H]1CN(C(=O)[C@@H]2C[C@]23CCCc2ccccc23)CCN1S(=O)(=O)c1cccc2c[nH]c(=N)nc12[EOS],40860.14575409889,42
10.9,Cc1nnc(C2CCCN(c3cc4c(nn3)-c3ccccc3CC43CCN(C(=O)OC(C)(C)C)CC3)C2)o1,[BOS]Cc1nnc([C@@H]2CCCN(c3cc4c(nn3)-c3ccccc3CC43CCN(C(=O)OC(C)(C)C)CC3)C2)o1[EOS],44517.827536821365,42
10.5,CC(=O)N1CCc2ccccc2C1CC(=O)N1CCC(C(=O)c2ccc3c(c2)NC(=O)C(C)O3)CC1,[BOS]CC(=O)N1CCc2ccccc2[C@@H]1CC(=O)N1CCC(C(=O)c2ccc3c(c2)NC(=O)[C@@H](C)O3)CC1[EOS],49110.910542964935,42
11.2,Cc1cc(C)n2ccc(C(=O)Nc3nc4c(s3)CC(NC(=O)c3c[nH]c5cccc(Cl)c35)CC4)c2n1,[BOS]Cc1cc(C)n2ccc(C(=O)Nc3nc4c(s3)C[C@H](NC(=O)c3c[nH]c5cccc(Cl)c35)CC4)c2n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],53934.11088871956,42
10.9,COc1ccc2oc(C(=O)N3CCC([NH+]4CCC(NC(=O)c5nnc6cc(C)nn6c5C)CC4)CC3)cc2c1,[BOS]COc1ccc2oc(C(=O)N3CCC([NH+]4CCC(NC(=O)c5nnc6cc(C)nn6c5C)CC4)CC3)cc2c1[EOS][EOS][EOS][EOS][EOS][EOS],5443.542901754379,42
11.4,CNC(=O)c1ccc2c(c1)C1(CCN(C(=O)c3cc([S-])cc4nc5ccccc5nc34)CC1)C(=O)N2,[BOS]CNC(=O)c1ccc2c(c1)C1(CCN(C(=O)c3cc([S-])cc4nc5ccccc5nc34)CC1)C(=O)N2[EOS][EOS][EOS][EOS][EOS][EOS],9662.12679719925,42
10.7,O=C1CN(CC(=O)N2CCCCC2c2cc(NC(=O)c3cccc4c3CCCC4)n[nH]2)C(=O)N1,[BOS]O=C1CN(CC(=O)N2CCCC[C@@H]2c2cc(NC(=O)c3cccc4c3CCCC4)n[nH]2)C(=O)N1[EOS][EOS][EOS][EOS][EOS],14454.612966775894,42
10.6,CC(=O)Nc1cccc(C(=O)N2CCOC3(CCN(C(=O)C4CCc5ccccc5O4)C3)C2)c1C,[BOS]CC(=O)Nc1cccc(C(=O)N2CCO[C@]3(CCN(C(=O)[C@@H]4CCc5ccccc5O4)C3)C2)c1C[EOS],19151.519251823425,42
11.1,O=C(c1cn2c(C(F)(F)F)cccc2[nH+]1)N1CCC2(CCCN(C(=O)C(F)c3ccccc3)C2)CC1,[BOS]O=C(c1cn2c(C(F)(F)F)cccc2[nH+]1)N1CCC2(CCCN(C(=O)[C@@H](F)c3ccccc3)C2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],23691.022275924683,42
10.5,CC#CCC(C(=O)Nc1cc(C2CCCCN2C(=O)c2ccnc3ncccc23)[nH]n1)c1ccccc1,[BOS]CC#CC[C@@H](C(=O)Nc1cc([C@@H]2CCCCN2C(=O)c2ccnc3ncccc23)[nH]n1)c1ccccc1[EOS][EOS][EOS][EOS][EOS],28608.049328565598,42
12.8,O=C(c1c2c(nc3ccccc13)C(=Cc1ccc3ccccc3c1)CCC2)N1CCS(=O)(=O)C2(CCCCC2)C1,[BOS]O=C(c1c2c(nc3ccccc13)C(=Cc1ccc3ccccc3c1)CCC2)N1CCS(=O)(=O)C2(CCCCC2)C1[EOS],33267.6893620491,42
11.6,O=C(CCC1CNc2ccccc2C1)NC1CCc2nc(NC(=O)c3ccc4c(c3)CCCC4=O)sc2C1,[BOS]O=C(CC[C@H]1CNc2ccccc2C1)N[C@H]1CCc2nc(NC(=O)c3ccc4c(c3)CCCC4=O)sc2C1[EOS],38778.16141247749,42
10.8,CCc1cc(=O)[nH]c(-c2cccc(NC(C)c3nnc(-c4ccc5ccccc5c4)o3)c2)n1,[BOS]CCc1cc(=O)[nH]c(-c2cccc(N[C@H](C)c3nnc(-c4ccc5ccccc5c4)o3)c2)n1[EOS],43685.46418619156,42
10.4,O=C(C=CC1CCCCC1)N1CCOCC2(C1)CN(C(=O)C1CC1c1ccc(F)cc1)CCO2,[BOS]O=C(C=CC1CCCCC1)N1CCOC[C@]2(C1)CN(C(=O)[C@H]1C[C@@H]1c1ccc(F)cc1)CCO2[EOS][EOS][EOS][EOS][EOS][EOS],48195.86452960968,42
12.6,O=C1C(N2CCCC(c3nc4ccccc4[nH]3)C2)C2C=CC(c3ccccc3-c3ccccc3C3N=NNN3)N1CCCC2,[BOS]O=C1[C@H](N2CCC[C@@H](c3nc4ccccc4[nH]3)C2)[C@H]2CCCCN1C(c1ccccc1-c1ccccc1C1N=NNN1)C=C2[EOS],52955.21811628342,42
10.7,Cc1ccc(-n2c([O-])c(C=NCC3CCN(c4cc[nH+]cc4)CC3)c3cc(Br)ccc3c2=O)cc1C,[BOS]Cc1ccc(-n2c([O-])c(C=NCC3CCN(c4cc[nH+]cc4)CC3)c3cc(Br)ccc3c2=O)cc1C[EOS][EOS][EOS][EOS],57796.801062107086,42
11.6,Cc1ccc(N2CC34C=CC(O3)C(C2=O)C(=O)N2CC4CC2COc2ccccc2C)cc1C,[BOS]Cc1ccc(N2C[C@@]34C=C[C@H](O3)[C@@H](C(=O)N3C[C@@H]4C[C@H]3COc3ccccc3C)C2=O)cc1C[EOS][EOS][EOS][EOS][EOS][EOS],4406.605370998383,42
11.3,CC(C)C(C(=O)N1C2CCC1CC(NC(=O)C1C3CCCC1c1ccccc1N3)C2)c1ccc(F)cc1,[BOS]CC(C)[C@H](C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)[C@@H]1[C@@H]3CCC[C@H]1c1ccccc1N3)C2)c1ccc(F)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],9700.2778403759,42
11.5,O=C(NC1CC2CCC(C1)N2C(=O)c1cc(=O)[nH]c(=O)[nH]1)c1nc2c(=O)[nH]c3ccccc3n2n1,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc(=O)[nH]c(=O)[nH]1)c1nc2c(=O)[nH]c3ccccc3n2n1[EOS],14233.244562149048,42
10.5,O=C(C=CC1CCCCC1)N1CCC2(C1)CN(C(=O)C1CCc3ccccc3O1)CCO2,[BOS]O=C(C=CC1CCCCC1)N1CC[C@@]2(C1)CN(C(=O)[C@@H]1CCc3ccccc3O1)CCO2[EOS][EOS],18711.060185670853,42
12.1,Cc1cc(C)cc(-c2cc(C(=O)n3nc(-c4ccco4)c4c(N)ncnc43)cc(-c3nccc(C)n3)n2)c1,[BOS]Cc1ccnc(-c2cc(C(=O)n3nc(-c4ccco4)c4c(N)ncnc43)cc(-c3cc(C)cc(C)c3)n2)n1[EOS],23497.609371185303,42
10.2,Cc1noc(CC(=O)N2CCCCC2C2CCN(C(=O)C3Cc4ccccc4C3)CC2)n1,[BOS]Cc1noc(CC(=O)N2CCCC[C@@H]2C2CCN(C(=O)C3Cc4ccccc4C3)CC2)n1[EOS][EOS][EOS],28113.126221895218,42
10.7,O=C(NC1CCCC1)c1noc2c1CN(c1nc(-c3ccccc3Cl)nc3ccccc13)CC2,[BOS]O=C(NC1CCCC1)c1noc2c1CN(c1nc(-c3ccccc3Cl)nc3ccccc13)CC2[EOS],32474.329669952393,42
11.8,O=C(C1CCc2ccoc2C1)N1CCC2(CCCN(C(=O)C3CCc4ccccc4C3)C2)CC1,[BOS]O=C([C@H]1CCc2ccoc2C1)N1CCC2(CCCN(C(=O)[C@@H]3CCc4ccccc4C3)C2)CC1[EOS],36803.754888534546,42
11.2,Cc1cc2ncccc2cc1CC(=O)Nc1cc(C2CCCCN2C(=O)c2cc(C)c(C(=O)[O-])c(C)c2)[nH]n1,[BOS]Cc1cc(C(=O)N2CCCC[C@@H]2c2cc(NC(=O)Cc3cc4cccnc4cc3C)n[nH]2)cc(C)c1C(=O)[O-][EOS],41621.0371966362,42
11.2,Cc1ccc2cc(C(=O)NC3CC4CCC(C3)N4c3cncc(-n4nc(C)cc4C)n3)cc(C)c2n1,[BOS]Cc1ccc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4c3cncc(-n4nc(C)cc4C)n3)cc(C)c2n1[EOS],45858.37574982643,42
10.2,O=C1CC(C(=O)Nc2ccc(C3(NC(=O)C4C5CCCC4c4ccccc4N5)CCC3)cc2)CCN1,[BOS]O=C1C[C@H](C(=O)Nc2ccc(C3(NC(=O)[C@H]4[C@@H]5CCC[C@H]4c4ccccc4N5)CCC3)cc2)CCN1[EOS][EOS],50687.55324268341,42
10.5,CC1(c2ccc(NC(=O)C3CCC[NH+](C4Cc5ccccc5C4)C3)cc2)NC(=O)NC1=O,[BOS]C[C@@]1(c2ccc(NC(=O)[C@@H]3CCC[NH+](C4Cc5ccccc5C4)C3)cc2)NC(=O)NC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],55336.960980176926,42
11.4,O=C(NC1CCc2nc(NC(=O)C3Cc4ccccc4C3)sc2C1)c1cnn2cccc(F)c12,[BOS]O=C(N[C@@H]1CCc2nc(NC(=O)C3Cc4ccccc4C3)sc2C1)c1cnn2cccc(F)c12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],4645.201586961746,42
11.3,CC1CN(C(=O)C23C[NH+](Cc4ccccc4)CC(O2)c2ccccc23)c2cccc(F)c2O1,[BOS]C[C@@H]1CN(C(=O)[C@@]23C[NH+](Cc4ccccc4)C[C@@H](O2)c2ccccc23)c2cccc(F)c2O1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],9045.510826349258,42
11.9,O=C(c1cc(-c2ccccc2)ccc1F)N1CCC2C1CCN2C(=O)c1c[nH]c2c(Cl)cccc2c1=O,[BOS]O=C(c1cc(-c2ccccc2)ccc1F)N1CC[C@H]2[C@@H]1CCN2C(=O)c1c[nH]c2c(Cl)cccc2c1=O[EOS],13407.757521390915,42
11.0,C[NH+]1CCCC(C(=O)NC2CCc3nc(NC(=O)C4CCc5ccccc5C4)sc3C2)C1,[BOS]C[NH+]1CCC[C@@H](C(=O)N[C@H]2CCc3nc(NC(=O)[C@H]4CCc5ccccc5C4)sc3C2)C1[EOS],17806.146644353867,42
10.6,Cc1cc2oc3c(c(=O)c2cc1C)C(c1ccc(Cl)cc1)N(c1ccc(F)cc1F)C3=O,[BOS]Cc1cc2oc3c(c(=O)c2cc1C)[C@@H](c1ccc(Cl)cc1)N(c1ccc(F)cc1F)C3=O[EOS],22289.46906852722,42
11.3,O=C(NCC1OCC2CCN(C(=O)c3nc4c(=O)[nH]c5ccccc5n4n3)CC21)c1cc2cccnc2[nH]1,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)c3nc4c(=O)[nH]c5ccccc5n4n3)C[C@@H]21)c1cc2cccnc2[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],27549.75390291214,42
