rv,smi,cur_sentence,elapsed_time,seed
11.7,O=C(NC(c1ccccc1)c1cccnn1)c1cc(-c2ccc(F)cc2)nc2ccc(Cl)cc12,[BOS]O=C(N[C@@H](c1ccccc1)c1cccnn1)c1cc(-c2ccc(F)cc2)nc2ccc(Cl)cc12[EOS],4868.026403665543,42
11.2,CC(=Cc1cccnc1)C(=O)NC1CC2CCC(C1)N2C(=O)c1cc(C(F)(F)F)nc2ccccc12,[BOS]CC(=Cc1cccnc1)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc(C(F)(F)F)nc2ccccc12[EOS],10058.531502485275,42
10.5,CCc1nc(NC2CCCN(c3ccc(F)cc3C)C2)cc(-c2nn[n-]n2)n1,[BOS]CCc1nc(N[C@H]2CCCN(c3ccc(F)cc3C)C2)cc(-c2nn[n-]n2)n1[EOS],14138.688739538193,42
10.6,Cc1cc(C)n2nc(C)c(-c3nc(-c4cc(C(F)(F)F)ccc4C(F)(F)F)no3)c2n1,[BOS]Cc1cc(C)n2nc(C)c(-c3nc(-c4cc(C(F)(F)F)ccc4C(F)(F)F)no3)c2n1[EOS],18173.539405822754,42
11.6,Brc1ccc(-c2nc(N3CCOCC3)c3ccc(-c4ccccc4)nc3n2)c2cc3c(nc12)CCCCC3,[BOS]Brc1ccc(-c2nc(N3CCOCC3)c3ccc(-c4ccccc4)nc3n2)c2cc3c(nc12)CCCCC3[EOS],22334.215076208115,42
13.5,Fc1cccc2oc(-c3cc4ccccc4c(-c4ccc5ccccc5c4)c3-n3cc(-c4cccc5ccccc45)cn3)cc12,[BOS]Fc1cccc2oc(-c3cc4ccccc4c(-c4ccc5ccccc5c4)c3-n3cc(-c4cccc5ccccc45)cn3)cc12[EOS],27394.917316913605,42
11.4,O=C(Nc1cc(C2CCCCN2C(=O)C=Cc2cccc(O)c2)[nH]n1)c1cccc2c1oc1ccccc12,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)C=Cc2cccc(O)c2)[nH]n1)c1cccc2c1oc1ccccc12[EOS],32889.9440305233,42
11.8,O=C(NC(Cc1ccccc1)C(=O)Oc1cnc2ccccc2c1)OCC1c2ccccc2-c2ccccc21,[BOS]O=C(Oc1cnc2ccccc2c1)C(Cc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21[EOS],38478.63786363602,42
12.3,Cc1ccnc(-c2ccccc2CNc2cccc(-c3ccc4cc(F)c(C)cc4c3)c2)c1,[BOS]Cc1ccnc(-c2ccccc2CNc2cccc(-c3ccc4cc(F)c(C)cc4c3)c2)c1[EOS],44156.38952708244,42
11.3,O=c1[nH]cc(-c2nc(C3(c4ccc(F)cc4F)CCC3)nn2-c2ccc([N+](=O)[O-])cn2)c(=O)[nH]1,[BOS]O=c1[nH]c(=O)[nH]cc1-c1nc(C2(c3ccc(F)cc3F)CCC2)nn1-c1ccc([N+](=O)[O-])cn1[EOS],48081.75230503082,42
11.0,O=c1[nH]c(-c2ccc3ccccc3c2)c([O-])n1Cc1ccc(F)c2ccccc12,[BOS]O=c1[nH]c(-c2ccc3ccccc3c2)c([O-])n1Cc1ccc(F)c2ccccc12[EOS],52714.28673315048,42
12.4,FC1CNCC1Nc1nccc(-c2nc(NCC3CC4c5ccccc5C3c3ccccc34)c3ccccc3n2)n1,[BOS]c1ccc2c(NC[C@H]3CC4c5ccccc5C3c3ccccc34)nc(-c3ccnc(N[C@H]4CNC[C@@H]4F)n3)nc2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],57116.9597325325,42
