rv,smi,cur_sentence,elapsed_time,seed
13.2,O=C(Nc1cc(C2CCCCN2C(=O)c2cccc(F)n2)[nH]n1)c1ccc(-c2nc3ccccc3[nH]2)cc1,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)c2cccc(F)n2)[nH]n1)c1ccc(-c2nc3ccccc3[nH]2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],4716.408096313477,42
12.8,CC#CCC(C(=O)NC1C2COCC1CN(C(=O)Cc1ccc3c(c1)CCCO3)C2)c1ccccc1,[BOS]CC#CC[C@@H](C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)Cc1ccc3c(c1)CCCO3)C2)c1ccccc1[EOS],9728.07544541359,42
12.2,O=C1COc2ccc(NC(=O)N3CCCCC3c3cccc(C(F)(F)F)c3)cc2N1,[BOS]O=C1COc2ccc(NC(=O)N3CCCC[C@@H]3c3cccc(C(F)(F)F)c3)cc2N1[EOS],13888.099444150925,42
13.1,CCC1CCC(C(=O)N2CCCCC2c2cc(NC(=O)c3ccc4nc(C)ccc4c3)n[nH]2)CC1,[BOS]CC[C@H]1CC[C@H](C(=O)N2CCCC[C@@H]2c2cc(NC(=O)c3ccc4nc(C)ccc4c3)n[nH]2)CC1[EOS],18574.6933760643,42
13.8,O=C(NC1C2COCC1CN(C(=O)C1CC1c1ccc(F)c(F)c1)C2)c1cc2cccnc2[nH]c1=O,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@H]1C[C@H]1c1ccc(F)c(F)c1)C2)c1cc2cccnc2[nH]c1=O[EOS],23601.197713136673,42
12.1,O=C(c1cn(Cc2ccc(Cl)cc2Cl)nn1)N1CCC(c2ccccn2)CC1N1CCC(c2ccccc2F)C1,[BOS]O=C(c1cn(Cc2ccc(Cl)cc2Cl)nn1)N1CC[C@@H](c2ccccn2)C[C@@H]1N1CC[C@H](c2ccccc2F)C1[EOS],28087.18489432335,42
12.0,CC([NH2+]C(C)c1cccc(N2CCCC2=O)c1)C(=O)N1CC(=O)Nc2cc(C(F)(F)F)ccc21,[BOS]C[C@@H]([NH2+][C@H](C)C(=O)N1CC(=O)Nc2cc(C(F)(F)F)ccc21)c1cccc(N2CCCC2=O)c1[EOS][EOS],32917.38013648987,42
13.5,O=C(CC1NC(=O)c2ccccc2NC1=O)NCC1CC2c3ccccc3C1c1ccccc12,[BOS]O=C(C[C@@H]1NC(=O)c2ccccc2NC1=O)NC[C@H]1CC2c3ccccc3C1c1ccccc12[EOS],37839.723737716675,42
14.4,O=C(NCC1OCC2CCN(C(=O)C3(c4ccccc4)CC3)CC21)C1CCC(c2ccc(Cl)cc2)CC1,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)C3(c4ccccc4)CC3)C[C@@H]21)C1CCC(c2ccc(Cl)cc2)CC1[EOS],43316.41657280922,42
13.4,O=C(C(c1c[nH]c2cccc(F)c12)C(F)(F)F)N1CCC2(CCc3ccc(-c4ccoc4)cc32)CC1,[BOS]O=C([C@H](c1c[nH]c2cccc(F)c12)C(F)(F)F)N1CCC2(CCc3ccc(-c4ccoc4)cc32)CC1[EOS],47996.676929950714,42
12.2,O=C(NCc1ccnc(Oc2ccccc2F)c1)N1CCc2c(F)cc(F)cc2C1,[BOS]O=C(NCc1ccnc(Oc2ccccc2F)c1)N1CCc2c(F)cc(F)cc2C1[EOS],52884.954709768295,42
12.3,Cc1c(-c2nc(C3Cc4ccc(F)cc43)no2)nnn1Cc1ccc(-c2nn[n-]n2)cc1,[BOS]Cc1c(-c2nc([C@@H]3Cc4ccc(F)cc43)no2)nnn1Cc1ccc(-c2nn[n-]n2)cc1[EOS],56789.590717315674,42
12.9,O=C(Nc1cc(C2CCCCN2C(=O)c2cc(Cl)ccc2F)[nH]n1)c1cnc2c(F)c(F)ccc2c1,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)c2cc(Cl)ccc2F)[nH]n1)c1cnc2c(F)c(F)ccc2c1[EOS],4818.367339134216,42
12.4,Cn1c(-c2ccc(NC(=O)C3CCCCN3S(=O)(=O)Cc3ccccc3)cc2)nc2ccccc21,[BOS]Cn1c(-c2ccc(NC(=O)[C@H]3CCCCN3S(=O)(=O)Cc3ccccc3)cc2)nc2ccccc21[EOS][EOS][EOS][EOS],9636.370609760284,42
13.9,O=C(NCc1cc(=O)oc2cc3c(cc12)OCO3)N1CCC2(CC1)c1ncc(-c3ccccc3)n1CCC2O,[BOS]O=C(NCc1cc(=O)oc2cc3c(cc12)OCO3)N1CCC2(CC1)c1ncc(-c3ccccc3)n1CC[C@H]2O[EOS],14612.138774633408,42
13.7,O=C(NCCc1coc(-c2ccc(F)cc2)n1)N1CCC2(C1)Oc1cccc3c1N2CCc1ccccc1-3,[BOS]O=C(NCCc1coc(-c2ccc(F)cc2)n1)N1CCC2(C1)Oc1cccc3c1N2CCc1ccccc1-3[EOS],19367.725286722183,42
13.4,O=C(CCC(=O)N1CCCCC1c1[nH]c(-c2cccc(F)c2)c[nH+]1)N1CCN(c2ccccn2)CC1,[BOS]O=C(CCC(=O)N1CCCC[C@H]1c1[nH]c(-c2cccc(F)c2)c[nH+]1)N1CCN(c2ccccn2)CC1[EOS],25110.434342861176,42
14.3,O=C(NC1C2COCC1CN(C(=O)c1cccc3c1oc1ccccc13)C2)c1ccc2c(c1)CCCC2=O,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)c1cccc3c1oc1ccccc13)C2)c1ccc2c(c1)CCCC2=O[EOS],29919.40300965309,42
12.7,O=C(COc1ccc2oc3c(c2c1)CCCC3)Nc1ccc(CC(=O)N2CCN(c3ccccn3)CC2)cc1,[BOS]O=C(COc1ccc2oc3c(c2c1)CCCC3)Nc1ccc(CC(=O)N2CCN(c3ccccn3)CC2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],34859.55218911171,42
12.9,Cc1cc2cc(NC(=O)C(c3c[nH]c4cc(F)ccc34)C(F)(F)F)cc(F)c2n(C)c1=O,[BOS]Cc1cc2cc(NC(=O)[C@@H](c3c[nH]c4cc(F)ccc34)C(F)(F)F)cc(F)c2n(C)c1=O[EOS],39412.73429989815,42
13.0,CC(c1ccc2ccccc2c1)N1C(=O)N=C(O)C2(Cc3ccccc3N3CCCCC32)C1=O,[BOS]C[C@H](c1ccc2ccccc2c1)N1C(=O)N=C(O)[C@]2(Cc3ccccc3N3CCCC[C@@H]32)C1=O[EOS][EOS][EOS][EOS][EOS][EOS],43657.61048364639,42
13.0,c1ccc(C2(c3nnc(C4COc5ccccc5O4)c4ccccc34)CCCCC2)cc1,[BOS]c1ccc(C2(c3nnc([C@H]4COc5ccccc5O4)c4ccccc34)CCCCC2)cc1[EOS],47755.66319847107,42
12.2,Cc1ccc(O)c(C(=O)N2CCC(OC3CCN(C(=O)c4c[nH]c5cc(Cl)ccc45)CC3)CC2)c1,[BOS]Cc1ccc(O)c(C(=O)N2CCC(OC3CCN(C(=O)c4c[nH]c5cc(Cl)ccc45)CC3)CC2)c1[EOS][EOS],53057.680341243744,42
13.9,COc1ccc2[nH]cc(C(=O)N3CCCCC3C3CCN(C(=O)CCN4Cc5ccccc5C4=O)CC3)c2c1,[BOS]COc1ccc2[nH]cc(C(=O)N3CCCC[C@H]3C3CCN(C(=O)CCN4Cc5ccccc5C4=O)CC3)c2c1[EOS],58544.75688314438,42
13.5,O=C(Nc1cc(C2CCCCN2C(=O)C(F)c2ccccc2)[nH]n1)c1ccc2cc(O)ccc2n1,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)[C@H](F)c2ccccc2)[nH]n1)c1ccc2cc(O)ccc2n1[EOS],5107.901946306229,42
13.5,O=c1c2ccccc2c(-c2cc(F)c(F)c(F)c2)nn1Cc1nc(Cc2cccc3ccccc23)no1,[BOS]O=c1c2ccccc2c(-c2cc(F)c(F)c(F)c2)nn1Cc1nc(Cc2cccc3ccccc23)no1[EOS],10064.084092378616,42
