rv,smi,cur_sentence,elapsed_time,seed
12.2,NC(=O)c1cccc(CNc2cc3c(cc2F)C2CC3N(c3cccc4cc(F)cnc34)C(=O)OC2(F)F)c1,[BOS]NC(=O)c1cccc(CNc2cc3c(cc2F)[C@H]2C[C@H]3N(c3cccc4cc(F)cnc34)C(=O)OC2(F)F)c1[EOS],5093.648231983185,42
12.1,O=C(Cn1ncn(-c2cccc(C[NH+]3CCN(c4cccc[nH+]4)CC3)c2)c1=O)c1ccc(F)c(C(F)(F)F)c1,[BOS]O=C(Cn1ncn(-c2cccc(C[NH+]3CCN(c4cccc[nH+]4)CC3)c2)c1=O)c1ccc(F)c(C(F)(F)F)c1[EOS][EOS][EOS],10613.919784784317,42
13.4,Fc1cc(F)c(F)c(-c2cc(-c3nc(-c4cn(-c5ccc(C6=NCCN6)nn5)nn4)no3)ccn2)c1F,[BOS]Fc1cc(F)c(F)c(-c2cc(-c3nc(-c4cn(-c5ccc(C6=NCCN6)nn5)nn4)no3)ccn2)c1F[EOS],14977.420092344284,42
12.9,O=C(Nc1cccc(-c2coc(-c3ccccc3)n2)c1)N1CC2C3C=CC(CC3)C2C1,[BOS]O=C(Nc1cccc(-c2coc(-c3ccccc3)n2)c1)N1C[C@H]2[C@H](C1)[C@H]1C=C[C@H]2CC1[EOS],19892.14226293564,42
11.7,NC(=[NH+]C(=O)c1ccc(C(=O)c2ccccc2)cc1)c1c[nH+]c2cc(Br)ccn12,[BOS]O=C(c1ccccc1)c1ccc(C(=O)[NH+]=C(N)c2c[nH+]c3cc(Br)ccn23)cc1[EOS],24255.16922235489,42
12.7,Cc1ccc(-n2nc(C(=O)Nc3cc(CCc4ccccc4C)[nH]n3)c3c2CCC3)c(F)c1,[BOS]Cc1ccc(-n2nc(C(=O)Nc3cc(CCc4ccccc4C)[nH]n3)c3c2CCC3)c(F)c1[EOS],28536.887773513794,42
11.3,Cc1cc(NC(=O)c2cc(=O)[nH]c3ccc(S(=O)(=O)Nc4ccc(F)cc4)cc23)c(C)c(C)c1O,[BOS]Cc1cc(NC(=O)c2cc(=O)[nH]c3ccc(S(=O)(=O)Nc4ccc(F)cc4)cc23)c(C)c(C)c1O[EOS],33869.597083330154,42
11.5,O=C(NCCc1ccc(Oc2ccc(F)cc2)cc1)Nc1cc2c(cn1)CCCC2,[BOS]O=C(NCCc1ccc(Oc2ccc(F)cc2)cc1)Nc1cc2c(cn1)CCCC2[EOS],39906.424584150314,42
13.1,CN(c1ccccc1)c1ccc2[nH]c(-c3cccc(C(=O)NCCc4ccc(C(F)(F)F)cc4)c3)cc2c1,[BOS]CN(c1ccccc1)c1ccc2[nH]c(-c3cccc(C(=O)NCCc4ccc(C(F)(F)F)cc4)c3)cc2c1[EOS],45724.554817676544,42
11.3,CC(=O)Nc1cc(-c2ccc(S(=O)(=O)Nc3cc(F)cc(F)c3)cn2)c2cc[nH]c2c1,[BOS]CC(=O)Nc1cc(-c2ccc(S(=O)(=O)Nc3cc(F)cc(F)c3)cn2)c2cc[nH]c2c1[EOS],50292.03528189659,42
11.6,O=C(NC1CCC(c2ccc(Cl)cc2)C1)c1nn(-c2ccc(Cl)cc2)c2c1CCCCC2,[BOS]O=C(N[C@H]1CC[C@H](c2ccc(Cl)cc2)C1)c1nn(-c2ccc(Cl)cc2)c2c1CCCCC2[EOS],55012.2362177372,42
11.8,CC(NC(=O)NCc1cccc(NC(=O)c2ccncc2)c1)c1ccc(F)c2ccccc12,[BOS]C[C@@H](NC(=O)NCc1cccc(NC(=O)c2ccncc2)c1)c1ccc(F)c2ccccc12[EOS],60926.21766757965,42
11.9,O=C(Nc1cc(C2CCCCN2C(=O)c2cc3n(n2)CCNC3=O)[nH]n1)c1nc2ccccn2n1,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2cc3n(n2)CCNC3=O)[nH]n1)c1nc2ccccn2n1[EOS],5329.602308988571,42
