rv,smi,cur_sentence,elapsed_time,seed
12.7,O=C(c1ccccc1)c1cccc(-n2c([O-])c(Cc3cccc4ccccc34)[nH]c2=O)c1,[BOS]O=C(c1ccccc1)c1cccc(-n2c([O-])c(Cc3cccc4ccccc34)[nH]c2=O)c1[EOS],5017.805830478668,42
11.7,COc1ccc2onc(C(=O)[NH+]=C(N)c3cccc4ccccc34)c2c1,[BOS]COc1ccc2onc(C(=O)[NH+]=C(N)c3cccc4ccccc34)c2c1[EOS],9318.411743402481,42
12.0,Cc1cccc(-c2nnc3n2CC(C(=O)N2CCCC(c4cc5ccccc5[nH]4)C2)CC3)c1,[BOS]Cc1cccc(-c2nnc3n2C[C@H](C(=O)N2CCC[C@@H](c4cc5ccccc5[nH]4)C2)CC3)c1[EOS],13857.585213184357,42
11.8,O=C(CSc1nnc(-c2ccc3ccccc3c2)o1)N1Cc2ccnn2CC(C(=O)N2CCOCC2)C1,[BOS]O=C(CSc1nnc(-c2ccc3ccccc3c2)o1)N1Cc2ccnn2C[C@H](C(=O)N2CCOCC2)C1[EOS],19762.11617231369,42
11.5,Cc1ccnc2ccc(C(=O)NCc3ccc(Oc4ccc(C(F)(F)F)cc4)cc3)cc12,[BOS]Cc1ccnc2ccc(C(=O)NCc3ccc(Oc4ccc(C(F)(F)F)cc4)cc3)cc12[EOS],24002.07414007187,42
12.1,Cn1cc[nH+]c1C(NC(=O)Cc1cccc2ccccc12)c1cccc(C(F)(F)F)c1,[BOS]Cn1cc[nH+]c1[C@@H](NC(=O)Cc1cccc2ccccc12)c1cccc(C(F)(F)F)c1[EOS],28910.006665706635,42
12.8,Cc1ccc2oc(C(=O)Oc3ccc4cc(C(=O)NC5c6ccccc6Cc6ccncc65)c(=O)oc4c3)cc2c1,[BOS]Cc1ccc2oc(C(=O)Oc3ccc4cc(C(=O)NC5c6cnccc6Cc6ccccc65)c(=O)oc4c3)cc2c1[EOS][EOS][EOS],33342.882486343384,42
12.8,O=C(c1n[nH]c(=O)c2ccccc12)N1CCC(n2c(=O)oc3ccc(F)cc32)C(F)C1,[BOS]O=C(c1n[nH]c(=O)c2ccccc12)N1CCC(n2c(=O)oc3ccc(F)cc32)C(F)C1[EOS],37167.6635184288,42
12.1,Cc1nn(-c2ccccn2)c(C)c1C[NH2+]C1Cc2ccccc2-c2ccccc21,[BOS]Cc1nn(-c2ccccn2)c(C)c1C[NH2+][C@H]1Cc2ccccc2-c2ccccc21[EOS],41613.91360759735,42
11.5,CC(C)(C(=O)NCc1ccc(F)c(Cl)c1)c1cccc2ccccc12,[BOS]CC(C)(C(=O)NCc1ccc(F)c(Cl)c1)c1cccc2ccccc12[EOS],46025.48928761482,42
11.5,Cc1cccc(NS(=O)(=O)c2ccc3c(c2)C2(CCCCN2)C(=O)N3C2CC2)c1C,[BOS]Cc1cccc(NS(=O)(=O)c2ccc3c(c2)[C@]2(CCCCN2)C(=O)N3C2CC2)c1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],51427.23134684563,42
11.8,Cn1c(C2CCCN2C(=O)Cc2ccc3c(c2)CCCC3)nc2ccccc21,[BOS]Cn1c([C@H]2CCCN2C(=O)Cc2ccc3c(c2)CCCC3)nc2ccccc21[EOS],55882.97231245041,42
11.4,O=C(OCc1nc2cc(C(F)(F)F)ccc2o1)c1ccc2c(c1)CC(c1ccccc1)OC2=O,[BOS]O=C(OCc1nc2cc(C(F)(F)F)ccc2o1)c1ccc2c(c1)C[C@@H](c1ccccc1)OC2=O[EOS][EOS][EOS][EOS][EOS],4919.631405115128,42
12.9,Cc1ccccc1Oc1ccc(C2=Nc3ccccc3CCCN=C2c2cccc(CCc3ccccc3)c2O)cc1,[BOS]Cc1ccccc1Oc1ccc(C2=Nc3ccccc3CCCN=C2c2cccc(CCc3ccccc3)c2O)cc1[EOS],9424.349281787872,42
11.7,COc1ccccc1-c1cccc(NC(=O)NC2CCCC2C(=O)NCc2cc(=O)n3c(n2)C[NH2+]CCC3)c1,[BOS]COc1ccccc1-c1cccc(NC(=O)N[C@@H]2CCC[C@@H]2C(=O)NCc2cc(=O)n3c(n2)C[NH2+]CCC3)c1[EOS],14708.775912761688,42
11.3,CC1Sc2ccc(C(=O)NS(=O)(=O)c3ccc4c(c3)CCCC4)cc2NC1=O,[BOS]C[C@H]1Sc2ccc(C(=O)NS(=O)(=O)c3ccc4c(c3)CCCC4)cc2NC1=O[EOS],19290.827197790146,42
12.2,Cc1cccc2cc(C(=O)N3CCCCC3C3CCN(C(=O)Cc4cc5cccnc5cc4F)CC3)[nH]c12,[BOS]Cc1cccc2cc(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)Cc4cc5cccnc5cc4F)CC3)[nH]c12[EOS],24651.551548719406,42
13.0,Cc1cccc2nc(Cc3ccc4ccccc4c3)nc(OC3CCC4C[NH+](Cc5ccccc5)CC43)c12,[BOS]Cc1cccc2nc(Cc3ccc4ccccc4c3)nc(O[C@@H]3CC[C@H]4C[NH+](Cc5ccccc5)C[C@@H]43)c12[EOS],30390.57839488983,42
12.4,O=C(CCc1cncc2ccccc12)NC(c1ccccc1)c1ccc2ccccc2c1,[BOS]O=C(CCc1cncc2ccccc12)N[C@@H](c1ccccc1)c1ccc2ccccc2c1[EOS],35314.401111125946,42
13.0,O=C1Cc2cccc(-c3noc(Cc4ccc(NC(=O)c5cc6ccccc6o5)cc4)n3)c2CN1,[BOS]O=C1Cc2cccc(-c3noc(Cc4ccc(NC(=O)c5cc6ccccc6o5)cc4)n3)c2CN1[EOS][EOS][EOS][EOS][EOS],39727.765625,42
13.4,O=C(c1cc(N2CCc3ccccc32)nc2ccccc12)N1CCOC2CCCCC21,[BOS]O=C(c1cc(N2CCc3ccccc32)nc2ccccc12)N1CCO[C@H]2CCCC[C@@H]21[EOS],44493.255366802216,42
12.1,CN1CC(C(=O)Nc2nc(-c3ccc(Oc4ccccc4)cc3)ns2)c2ccccc2C1=O,[BOS]CN1C[C@@H](C(=O)Nc2nc(-c3ccc(Oc4ccccc4)cc3)ns2)c2ccccc2C1=O[EOS],48766.053924798965,42
11.8,O=C(NCC1OCC2CCN(C(=O)c3cc4c(F)cc(F)cc4[nH]3)CC21)C1CCc2cccc(Cl)c21,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)c3cc4c(F)cc(F)cc4[nH]3)C[C@@H]21)[C@H]1CCc2cccc(Cl)c21[EOS],54522.582030296326,42
12.3,O=C(c1ccc2ccccc2c1F)N1CCCC2(CC1)CCN(c1ccccn1)C2=O,[BOS]O=C(c1ccc2ccccc2c1F)N1CCC[C@@]2(CCN(c3ccccn3)C2=O)CC1[EOS],58443.11549496651,42
12.8,Cc1[nH]c(-c2ccccc2Cl)nc1C(=O)N1CC(C)CC1c1cccc(Oc2ccc(F)cc2)n1,[BOS]Cc1[nH]c(-c2ccccc2Cl)nc1C(=O)N1C[C@@H](C)C[C@@H]1c1cccc(Oc2ccc(F)cc2)n1[EOS],4727.250618696213,42
13.5,Fc1ccccc1C1=CC(c2c[nH]c3cc4ccccc4cc23)N2NC(C(F)(F)F)=NC2=[NH+]1,[BOS]Fc1ccccc1C1=C[C@H](c2c[nH]c3cc4ccccc4cc23)N2NC(C(F)(F)F)=NC2=[NH+]1[EOS],9113.940216064453,42
12.2,Cc1cc(C)cc(OC(=O)c2nn(-c3cccc(C)c3C)c3ccccc3c2=O)c1,[BOS]Cc1cc(C)cc(OC(=O)c2nn(-c3cccc(C)c3C)c3ccccc3c2=O)c1[EOS],13160.176214694977,42
11.7,O=C(c1ccc2cnccc2c1)N1CCC(C2CCCCN2C(=O)c2ccc3nccn3c2)CC1,[BOS]O=C(c1ccc2cnccc2c1)N1CCC([C@@H]2CCCCN2C(=O)c2ccc3nccn3c2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],17619.69519138336,42
13.9,COc1ccc2ccccc2c1CN=C(O)c1c2ccccc2c(=O)n2c3c(ccc12)C(=O)C1=CC(C)N1CC3=O,[BOS]COc1ccc2ccccc2c1CN=C(O)c1c2ccccc2c(=O)n2c3c(ccc12)C(=O)C1=CC(C)N1CC3=O[EOS],22756.210252523422,42
12.9,O=C(CCn1[nH]c(=O)c2ccccc2c1=O)OC1c2ccccc2CCCC(F)(F)C1Cc1cccc2cccnc12,[BOS]O=C(CCn1[nH]c(=O)c2ccccc2c1=O)OC1c2ccccc2CCCC(F)(F)C1Cc1cccc2cccnc12[EOS],28149.625121593475,42
12.3,O=C(c1cc2c(ccc3ccccc32)o1)N1CCCN(C(=O)c2ccccc2F)CC1,[BOS]O=C(c1ccccc1F)N1CCCN(C(=O)c2cc3c(ccc4ccccc43)o2)CC1[EOS],32437.35738635063,42
12.1,Cc1ccccc1-c1ncccc1C(=O)N1CCCC12CN(C(=O)COc1cccc3ccccc13)C2,[BOS]Cc1ccccc1-c1ncccc1C(=O)N1CCCC12CN(C(=O)COc1cccc3ccccc13)C2[EOS],37991.59396314621,42
