rv,smi,cur_sentence,elapsed_time,seed
13.4,O=C(Cn1ccc2ccccc21)Nc1ccc(C2(NC(=O)c3ccnc4ccccc34)CCC2)cc1,[BOS]O=C(Cn1ccc2ccccc21)Nc1ccc(C2(NC(=O)c3ccnc4ccccc34)CCC2)cc1[EOS],5824.148531198502,42
12.6,O=C(NCC1CCCc2ccccc21)C(=O)Nc1cccc(N2C(=O)c3ccccc3C2=O)c1,[BOS]O=C(NC[C@H]1CCCc2ccccc21)C(=O)Nc1cccc(N2C(=O)c3ccccc3C2=O)c1[EOS],10643.76182961464,42
13.8,O=C(c1n[nH]c2ccc(C(F)(F)F)cc12)N1CCc2c(-c3ccncc3)cnn2C12CCCC(F)(F)C2,[BOS]O=C(c1n[nH]c2ccc(C(F)(F)F)cc12)N1CCc2c(-c3ccncc3)cnn2C12CCCC(F)(F)C2[EOS],15525.203510522842,42
13.4,O=C(NN=C1C(c2ccc3ccccc3c2)C(=O)C(=O)N1CCc1c[nH]c2ccccc12)c1ccc(Br)cc1,[BOS]O=C1C(=O)N(CCc2c[nH]c3ccccc23)C(=NNC(=O)c2ccc(Br)cc2)C1c1ccc2ccccc2c1[EOS],21569.216312885284,42
12.1,O=C1CC(C(=O)N2CCCCC2c2cc(NC(=O)CCc3cncc(C(F)(F)F)c3)n[nH]2)CCN1,[BOS]O=C(CCc1cncc(C(F)(F)F)c1)Nc1cc([C@H]2CCCCN2C(=O)[C@@H]2CCNC(=O)C2)[nH]n1[EOS][EOS][EOS],27462.381051301956,42
13.5,C[NH+]1CCC(CNC(=O)c2c3c(nc4ccccc24)CCC3)C1C1c2ccccc2-c2ccccc21,[BOS]C[NH+]1CC[C@H](CNC(=O)c2c3c(nc4ccccc24)CCC3)[C@H]1C1c2ccccc2-c2ccccc21[EOS],32867.732127189636,42
13.0,OC1CC2(CC[NH+](CC(O)c3cc(Cl)cc4c3-c3ccc(Cl)cc3C4)C2)Oc2ccccc21,[BOS]O[C@@H](C[NH+]1CC[C@@]2(C[C@H](O)c3ccccc3O2)C1)c1cc(Cl)cc2c1-c1ccc(Cl)cc1C2[EOS],37683.53739261627,42
13.8,O=C(NCC1OCC2CCN(C(=O)Cc3cccc4ccccc34)CC21)c1cc(=O)[nH]c2ccccc12,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3cccc4ccccc34)C[C@@H]21)c1cc(=O)[nH]c2ccccc12[EOS],43943.29077911377,42
14.1,FC(F)(F)c1ccc(C([NH2+]CC2CC3c4ccccc4C2c2ccccc23)c2nnc(-c3ccccc3)o2)cc1,[BOS]FC(F)(F)c1ccc([C@H]([NH2+]C[C@@H]2CC3c4ccccc4C2c2ccccc23)c2nnc(-c3ccccc3)o2)cc1[EOS],48883.60931777954,42
12.5,Cc1cc(NC(=O)C(=O)NC2CCOc3c(F)cccc32)ccc1-n1nnnc1C(C)C,[BOS]Cc1cc(NC(=O)C(=O)N[C@@H]2CCOc3c(F)cccc32)ccc1-n1nnnc1C(C)C[EOS],53388.9456744194,42
12.9,N#Cc1ccc(F)c(C(=O)NCC23CCCOC2CCN(C(=O)Cc2cc4cccnc4cc2F)C3)c1,[BOS]N#Cc1ccc(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)Cc2cc4cccnc4cc2F)C3)c1[EOS],58637.2436375618,42
13.4,O=C(NC1CC2CCC(C1)N2C(=O)C1Cc2n[nH]c(C(F)(F)F)c2C1)c1cc(Cl)cc2n[nH]nc12,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H]1Cc2n[nH]c(C(F)(F)F)c2C1)c1cc(Cl)cc2n[nH]nc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],63487.384221315384,42
13.1,O=C(Nc1ccc(C2(NC(=O)c3[nH]nc4c(F)cccc34)CCC2)cc1)c1cc2cc[nH]c2cc1F,[BOS]O=C(NC1(c2ccc(NC(=O)c3cc4cc[nH]c4cc3F)cc2)CCC1)c1[nH]nc2c(F)cccc12[EOS],5890.122944831848,42
13.1,Cn1nc(-c2cccc(C(=O)N3CCCC3C(O)(c3ccccc3)c3ccccc3)c2)c2ccccc2c1=O,[BOS]Cn1nc(-c2cccc(C(=O)N3CCC[C@H]3C(O)(c3ccccc3)c3ccccc3)c2)c2ccccc2c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],10807.322118282318,42
13.4,Cc1ccc(CC(=O)N2CCC3COC(CNC(=O)c4ccc5c(Cl)c6c(nc5c4)CCCC6)C3C2)cc1C,[BOS]Cc1ccc(CC(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4ccc5c(Cl)c6c(nc5c4)CCCC6)[C@H]3C2)cc1C[EOS],16596.165380954742,42
16.7,O=S(=O)(c1cn(-c2cccc3ccccc23)nc1-c1nc(-c2ccnc3[nH]ccc23)no1)N1CCc2ccc(Cl)cc2C1,[BOS]O=S(=O)(c1cn(-c2cccc3ccccc23)nc1-c1nc(-c2ccnc3[nH]ccc23)no1)N1CCc2ccc(Cl)cc2C1[EOS],22281.982988357544,42
14.8,O=C(Nc1cc(C2CCCCN2C(=O)c2cccc3c2oc2ccccc23)[nH]n1)C1CNc2ccccc21,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2cccc3c2oc2ccccc23)[nH]n1)[C@@H]1CNc2ccccc21[EOS],27863.45901966095,42
13.7,Cc1cccc2[nH]c(C(=O)N3CCC4OCCCC4(CNC(=O)c4cccc5cccnc45)C3)cc12,[BOS]Cc1cccc2[nH]c(C(=O)N3CC[C@H]4OCCC[C@@]4(CNC(=O)c4cccc5cccnc45)C3)cc12[EOS][EOS][EOS][EOS][EOS],34026.98046016693,42
13.4,O=C(Cc1cc(F)cc(F)c1)NC1CC2CCC(C1)N2C(=O)c1ccc(-c2ccccc2)c(F)c1,[BOS]O=C(Cc1cc(F)cc(F)c1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccc(-c2ccccc2)c(F)c1[EOS],39225.140989780426,42
13.5,Nc1c(NC(=O)c2c3c(nc4ccccc24)CCN(c2cccc(OC(F)(F)F)c2F)C3=O)c(=O)c1=O,[BOS]Nc1c(NC(=O)c2c3c(nc4ccccc24)CCN(c2cccc(OC(F)(F)F)c2F)C3=O)c(=O)c1=O[EOS],44164.04001426697,42
12.3,CC1CC2(CCC(C(=O)Nc3cc(C4CC4C)nn3-c3ccc(Cl)c(C(F)(F)F)c3)CC2)C[NH2+]1,[BOS]C[C@@H]1C[C@H]1c1cc(NC(=O)C2CCC3(CC2)C[NH2+][C@H](C)C3)n(-c2ccc(Cl)c(C(F)(F)F)c2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],48626.74062824249,42
13.1,O=C(Oc1ccccc1-c1nc2ccccc2[nH]1)C1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1,[BOS]O=C(Oc1ccccc1-c1nc2ccccc2[nH]1)[C@@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1[EOS],54189.85828566551,42
13.8,O=C(Nc1ccc2ccccc2c1)C(Cc1ccc(O)cc1)n1c([O-])c(Cc2cccc3ccccc23)[nH]c1=O,[BOS]O=c1[nH]c(Cc2cccc3ccccc23)c([O-])n1[C@H](Cc1ccc(O)cc1)C(=O)Nc1ccc2ccccc2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],58839.605353832245,42
14.8,O=Cn1c2ccccc2c2cc(-c3ccccc3CN(Cc3ccccc3)C(=O)c3cc(F)c4ncccc4c3)ccc21,[BOS]O=C(c1cc(F)c2ncccc2c1)N(Cc1ccccc1)Cc1ccccc1-c1ccc2c(c1)c1ccccc1n2C=O[EOS],62987.37660741806,42
