rv,smi,cur_sentence,elapsed_time,seed
11.6,O=C(NCc1cccc(-n2cncn2)c1)NC1CCC(c2ccc(F)cc2)C1,[BOS]O=C(NCc1cccc(-n2cncn2)c1)N[C@@H]1CC[C@H](c2ccc(F)cc2)C1[EOS],4725.944940567017,42
12.5,O=C(Nc1ccc(-c2cn3ccccc3[nH+]2)cc1)C(=O)Nc1ccc2c(c1)S(=O)(=O)CC2,[BOS]O=C(Nc1ccc2c(c1)S(=O)(=O)CC2)C(=O)Nc1ccc(-c2cn3ccccc3[nH+]2)cc1[EOS],9066.297094345093,42
12.1,Cc1cccc(NC(=O)NCC2C[NH+](Cc3ccc(F)c(F)c3)CC(C)O2)c1C,[BOS]Cc1cccc(NC(=O)NC[C@H]2C[NH+](Cc3ccc(F)c(F)c3)C[C@H](C)O2)c1C[EOS],14136.314177751541,42
11.0,Cc1onc(-c2ccccc2)c1-c1nnc(COC(=O)Cc2cnn(-c3ccccc3)c2C)o1,[BOS]Cc1c(CC(=O)OCc2nnc(-c3c(-c4ccccc4)noc3C)o2)cnn1-c1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],19395.582777261734,42
11.9,O=C1C([NH2+]C2CCOc3c(F)ccc(F)c32)CCN1c1ccc(C(F)(F)F)cc1,[BOS]O=C1[C@H]([NH2+][C@H]2CCOc3c(F)ccc(F)c32)CCN1c1ccc(C(F)(F)F)cc1[EOS],23536.55794286728,42
11.9,O=C(CC[NH+]1CCCC1c1cccc2ccccc12)Nc1cccc(C(=O)N2CCOCC2)c1,[BOS]O=C(CC[NH+]1CCC[C@H]1c1cccc2ccccc12)Nc1cccc(C(=O)N2CCOCC2)c1[EOS],28977.579665660858,42
11.8,O=C(Nc1ccc2ncccc2c1)c1cccc2c1OC(F)(F)C2,[BOS]O=C(Nc1ccc2ncccc2c1)c1cccc2c1OC(F)(F)C2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],33792.319264650345,42
11.8,O=C(NCC1CC(c2ccc3c(c2)CCO3)=NO1)c1ccnc2[nH]c(=O)[nH]c(=O)c12,[BOS]O=C(NC[C@H]1CC(c2ccc3c(c2)CCO3)=NO1)c1ccnc2[nH]c(=O)[nH]c(=O)c12[EOS],38764.45699620247,42
11.5,CC([NH2+]Cc1ccc2ncccc2c1)c1cccc(S(=O)(=O)NCc2ccc3c(c2)CCO3)c1,[BOS]C[C@H]([NH2+]Cc1ccc2ncccc2c1)c1cccc(S(=O)(=O)NCc2ccc3c(c2)CCO3)c1[EOS],43194.40236854553,42
12.5,CC([NH2+]Cc1cccc(NC(=O)c2cccc(F)c2)c1)c1ccccc1-c1ccncc1,[BOS]C[C@H]([NH2+]Cc1cccc(NC(=O)c2cccc(F)c2)c1)c1ccccc1-c1ccncc1[EOS],48477.57957434654,42
11.1,CC1=CCCN(C(=O)C(=O)Nc2cccc(Cn3cnc4cccnc43)c2)C1,[BOS]CC1=CCCN(C(=O)C(=O)Nc2cccc(Cn3cnc4cccnc43)c2)C1[EOS],52338.7555744648,42
12.4,CNC(=O)c1cccc(CCNC(=O)c2cc(NC(=O)C=C(C)C)ccc2C)c1,[BOS]CNC(=O)c1cccc(CCNC(=O)c2cc(NC(=O)C=C(C)C)ccc2C)c1[EOS],56642.705219984055,42
12.0,CC(Cc1cccc(O)c1)NC(=O)Nc1cccc(C(=O)c2ccccc2)c1,[BOS]C[C@@H](Cc1cccc(O)c1)NC(=O)Nc1cccc(C(=O)c2ccccc2)c1[EOS],4457.112336158752,42
11.9,CCc1cc(-c2noc(-c3cc4c(C(F)(F)F)cc(=O)[nH]c4o3)n2)ccc1F,[BOS]CCc1cc(-c2noc(-c3cc4c(C(F)(F)F)cc(=O)[nH]c4o3)n2)ccc1F[EOS],8092.755125761032,42
11.9,CN(Cc1nccn1Cc1ccccc1)C(=O)CCN1C(=O)CCc2cc(F)ccc21,[BOS]CN(Cc1nccn1Cc1ccccc1)C(=O)CCN1C(=O)CCc2cc(F)ccc21[EOS],13320.074720621109,42
13.0,O=C(NCc1ccc(OCC2CCC3(CC[NH2+]2)CO3)cc1)c1c2c(nc3ccccc13)CCO2,[BOS]O=C(NCc1ccc(OCC2CCC3(CC[NH2+]2)CO3)cc1)c1c2c(nc3ccccc13)CCO2[EOS],18624.354529619217,42
