SMILES,DS,QED,SA,SIM
CC(=O)c1cc(C2=NO[C@H](C)C2)cc2c1ccn2C1CN(C(=O)c2cccs2)C1,9.7,0.6114608091938059,0.7329946133060596,0.21737577750260967
C[NH+](CC(=O)O)c1csc(=O)n1C1CN(C(=O)c2cccs2)C1,6.8,0.785371765792414,0.6525031760753595,0.17423557433701756
NC(=O)c1sccc1S(=O)(=O)c1cc(Cl)ccc1Oc1cc(F)ccc1C(=O)CNc1cccc(F)c1,8.8,0.2528837729237805,0.8028186450215107,0.08932871548770262
CNC(=O)c1cc(NCC(=O)N[C@@H](C)COC(=O)C(=O)Nc2cccc(C)c2)ccc1C,8.5,0.36615055390850737,0.8012262095539339,0.12468200368452934
CCN(C(=O)[C@@H](C)NC(=O)CNC(=O)C1CN(C(=O)c2cccs2)C1)C1=NO[C@H](C)C1,8.0,0.6248065656627327,0.6947346292406503,0.17362990309712906
Cc1cc(C(=O)C(=O)NC(=O)CN2C(c3ccc4c(c3)CNC4=O)=CC(F)=CC=CC[C@@H]2C)nc(=O)[nH]1,7.8,0.4148075118698509,0.6006537770502186,0.09717072251383743
Oc1cc(-c2cc(SC3=Cc4ccccc4OC=C3)ccc2Cl)ccc1F,10.2,0.5222035452709132,0.7862971810975505,0.20940965955888977
CN1CC(=CNC(=O)N2CCCC[C@H]2CO)C(=O)/C(=C/C2=CC=CC=CC[C@@H](C(=O)[O-])NC2)C1,8.3,0.49582942800164737,0.5510902097572239,0.11339739854471137
CNC(=O)CN(C(=O)C(=O)NC1=NCCS1)C1=CC(C(=N)O)=CC=CNP(=O)(COC)N1,8.2,0.1258506036062311,0.5225600563748597,0.026963444391265717
NC(=O)c1cccc(F)c1-c1ccccc1S(=O)(=O)Nc1ccc2c(c1)CNC2=O,10.1,0.5822586901192666,0.8351202845187115,0.24555930169272652
CC(C)N[C@@H](N)[C@H](Oc1cc(O)cc(C#N)c1)c1ccc(C(=O)N2CC[C@H](CO)C2)cc1,0.0,0.4642396359632038,0.6938900948756846,0.0
Cc1ccc(C(Oc2ccccc2)c2ccccc2C)cc1,8.4,0.6180919442007436,0.8682627152531668,0.2253997996940956
O=C(NCc1ccc(-c2ccc(C[C@@H]3C(=O)Nc4ccccc43)cc2)cc1)c1ccccc1O,11.0,0.37613248732835114,0.8170094519363172,0.169017088530169
N#Cc1cc(O)cc([C@H]2C(=O)NC(=O)N(S(=O)(=O)NCC=O)C2=O)c1,8.4,0.41490131519819257,0.686859267574867,0.11969110165860944
Cc1cccc(C2(c3nnc(-c4cccc5c4O[C@H](C)[C@@H]5C)[nH]3)CCC2)c1,10.6,0.7047522705728421,0.6927568046574191,0.2587576234496646
CCC(=O)Nc1nc([C@H]2C(=O)NC(=O)CC2=NC2CN(C(=O)c3cccs3)C2)cs1,0.0,0.6781421139844167,0.7006400287755348,0.0
CCC(=O)Nc1nc(N2C(=O)C(COC(=O)O)(C(=O)c3cc(C)[nH]c(=O)n3)C3=CC=C23)cs1,9.2,0.3080859758158812,0.6373992965526837,0.09033194076088331
CCNc1cc(-c2cccc(C(O)=NC(=O)Nc3cccc(C)c3)c2)nc(C)n1,9.2,0.4326963982088324,0.8265450066352277,0.16451580177113687
Cc1cccc(C2(c3ccc4ncsc4c3)CCC2)c1,8.6,0.6375680896348985,0.8379455777003914,0.22972636531275345
COc1c(NC(=O)N2CCCC[C@H]2CO)ccc2c1CN(C(=O)c1ccc(C(N)=O)cc1)C[NH2+]2,8.5,0.4841806539041471,0.7081183194576848,0.1457143061565242
Cc1cc(=O)c(O)c(Cc2nc(N)n(-c3ccc(Oc4ccccc4)cc3)n2)n1C,8.5,0.5303919287984576,0.8123419199421116,0.183115329048824
C=CCN(C(=O)C(=O)N1CC[C@H](CO)C1)[C@@H]1CCCN(C(=O)NC)C1,6.5,0.534025212584274,0.711684682619563,0.12351870827688721
O=C(Nc1ncc2c(n1)CCC2)C(=O)N1CC[C@H](O)C1,8.3,0.6740091086597284,0.7706481061723945,0.21556089489959884
CCOC(=O)c1cc([C@@H]2CC[C@H](N)CN(S(=O)(=O)c3ccsc3C(N)=O)C2)[nH]n1,8.2,0.5541189855441022,0.712248490899745,0.1618148686054006
CN(CCC1=Cc2ccccc2OC=C1)C(=O)CNC=O,8.2,0.8075888210937285,0.7572660079861692,0.2507394206840008
CC(C)Cc1cnc(=O)n(C[C@@H](C)NCC(=O)N2CCc3[nH]c(=O)ccc3C2)n1,8.6,0.6810150149786226,0.7175670891590235,0.21012980364787354
O=C(c1cccs1)N1CC(c2cccc(Oc3ccc(-c4ccnc5c4OCO5)cc3)c2)C1,10.2,0.3928927763014621,0.8172607491191268,0.16375888078864947
O=C(CN[SH](=O)=O)NNC(=O)[C@H](NCNC(=O)c1ccccc1O)C(=O)N1CCCCC1,8.1,0.08798470483443262,0.7032387026787865,0.02505907112175365
CN(C(=O)S1(c2ccc(F)c(O)c2)CCCC[C@@H]1Cn1nc(C(N)=O)ccc1=O)C(C=O)=CO,7.2,0.3171552534335341,0.5896736034243045,0.0673265092093562
CCC(C)(C)c1cccc(F)c1-c1c(N)noc1NC(=O)c1ccc(F)cc1Cl,8.5,0.5475771047763799,0.8077363762412314,0.18797662718801372
CC1(CCNC(=O)[C@@H]2CC(=O)N(N3CC[C@@H]3C(=O)[O-])c3ccccc32)OCCO1,7.3,0.683802854960127,0.6432612488734785,0.16055031563968902
COc1ccc(-c2c3c(nn2C)CCCC3)cc1NC1=Cc2ccccc2OC=C1,9.7,0.6438544010227402,0.7750428619412888,0.242022157456447
CCCOc1c(C)nn(C)c1C1=NC=C(N2CCc3[nH]c(=O)ccc3C2)C1,9.1,0.8798219922600566,0.722685149539365,0.28930460106023886
Cc1noc(C)c1CNC(=O)C1Nc2ccc(C3=Cc4ccccc4OC=C3)cc2-c2ccccc21,11.0,0.3681703585468087,0.718387989725492,0.14546904006412553
CCCCCc1nc(Nc2ccc3c(c2)NC(=O)CC3)nc(O)c1-c1c2c(nn1C)CCCC2,8.5,0.43663401153979137,0.7677151829978263,0.14246448803074702
COC(=O)NC1CCN(N2CCN([S+]([O-])CC(=O)N3CCO[C@@H](C(=O)NC4=NCCS4)C3)CC2)CC1,7.3,0.37681805266809454,0.6036028399450986,0.08301868305756091
CCC(=O)Nc1nc([C@]2(C#N)C=CC=CC=C(C(=O)N3CCC(=O)NC[C@H]3C)S(=O)(=O)CC2)cs1,7.3,0.6183273724745388,0.5625426102434413,0.12695995534533042
O=C1Cc2ccccc2N1N1CCc2[nH]c(=O)ccc2C1,9.3,0.8552970824315935,0.7816552345519531,0.3108745603345458
NC(=O)c1ccc(C(=O)c2nc3ccc(COC(=O)c4cccc(C(F)(F)F)c4)cc3s2)cc1,9.2,0.30669143042391694,0.8468847459161112,0.11947685529943548
C[C@@H]1c2cccc(-c3ccc(COc4cc(O)cc(C#N)c4)cc3)c2O[C@@H]1C,9.9,0.6673898905203736,0.7567894173883032,0.2500114351767897
COc1cc(-c2cc(O)cc(C#N)c2)ccc1-c1ccc(C(=O)Nc2cccc(C)c2)cc1,9.2,0.3936321114814353,0.8690974761341604,0.15736815032238288
C[C@@H](NC(=O)N(C)CCC(C)(C)c1c[nH+]cc(N(C)C)c1)c1ccc2c(c1)NC(=O)CC2,9.6,0.6942264601857284,0.6708922934700178,0.22356056738955615
CN1CC(=CN2C(=O)CCCc3sccc32)C(=O)/C(=C/NC(=O)c2ccccc2)C1,8.0,0.7734308091216484,0.7499675244880445,0.2320191957118992
Cc1cccc(C2(c3ccc([C@@H]4C[C@H]4c4cc(F)ccc4F)cc3)CCC2)c1,9.9,0.4604354085357743,0.7646128789267645,0.17426714742377789
CCNC(=O)c1cc(N2C(=O)CCCc3sccc32)cs1,7.5,0.939817797963645,0.800392161832323,0.2820835496402307
Cc1cccc(C)c1C(=O)[C@H]1CCN2c3ccc(Cc4c(O)c(=O)cc(C)n4C)cc3OC[C@H]2C1,8.4,0.5676518237102178,0.6972529557544839,0.1662347030069765
NCC(=O)NC(=O)CNC(=O)CNS(=O)(=O)NC(=O)NN1CCc2[nH]c(=O)ccc2C1,9.1,0.19888600214157715,0.7501889399215034,0.0678869459958761
O=C(NN1C(=O)Cc2ccccc21)c1ccc(F)cc1Cl,8.8,0.9271758065343695,0.8626549823451436,0.3519264447673704
CCc1nc(N)sc1C(=O)c1cccc(CC2CCN(C(C)=O)CC2)c1OC(F)F,8.3,0.6638350450591601,0.7914110100582321,0.21802704086176364
