,SMILES,DOCKING,QED,SA,TOTAL,MOL,FPS,SIM
0,CC1=CC(N)=CC=C1C1=CC=CC=C1C1ON(C)C(=O)N1C1=C(C)N(C)C=CC1=O,11.9,0.67433266970404,0.7180306770830505,0.2880939683270536,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b112e0>,0.29850746268656714
1,O=C(CCl)CC1=CC=C(C2=NC([O-])=CN=N2)C(N(C2=NCCS2)N2CCNCC2)=C1,8.0,0.6405152489699529,0.6731149100081644,0.1724561456677067,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11d60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b11190>,0.26373626373626374
2,CC1=C(S(C)(=O)=O)C=CC=C1C1=CC(C2CNCCNC2=O)=CC=C1NC1=NCCCN1,10.6,0.5576773140926546,0.7131867874375887,0.2107958887942186,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b116d0>,0.2727272727272727
3,CC1=CC(C2=CC(C(O)C34CCC[NH+]3CCC4)=CC=C2C2=CC=NC=C2Br)=NC2=NN=CN12,10.5,0.4447541472692122,0.6099580789561777,0.1424227272699638,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11c80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b11f90>,0.3150684931506849
4,CN(C)C1=C(C2=CC=C3SCCN(C)C3=C2)C=CC([N+]2(C3CNCCNC3=O)CCCC2)=C1,10.4,0.678256958957268,0.657564194003411,0.2319186950828491,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b11580>,0.2823529411764706
5,O=C(NN=C1SCC(=O)N1N1CCOCC(O)C1)C1=CC=CC=C1N1C(=O)CCS1(=O)=O,8.9,0.5110215650961306,0.6788507472384714,0.1543737802376142,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b34ac0>,0.37037037037037035
6,CC1=NOC(C2=CC=C(C3SC(=N)N(C4=NN=C(S(C)(=O)=O)S4)C3=O)C=C2CC2=C(C)N=NC2)C1,10.7,0.5566146991129596,0.5838783874656299,0.1738724817323917,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b344a0>,0.24271844660194175
7,CN1C=[NH+]C=C1C1=CC=C(C23CCC[NH+]2CCC3)C=C1C1=CC2=C(CC(C)(C)CC2=O)OC1=O,10.6,0.6547628296401381,0.5959749266415169,0.2068177815620578,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11b30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b34510>,0.3246753246753247
8,CC1=CCC=CC1C1=CC=C(C2CC3CCCC32)C(C2=CC=C3C(=O)NCC3=C2)=C1,11.3,0.5913200541533452,0.6382018472881952,0.2132205762580596,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b34f20>,0.25675675675675674
9,CC1(C)CC(C2=CC=C(N3CNC(=O)C3)C(C3=CC4=CC(Cl)=CN=C4N3)=C2)CC(C)(C)C1,9.6,0.506602103471181,0.744495020075665,0.1810381167331924,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b34120>,0.2926829268292683
10,CC1COC(=O)N(C2=C(C3=CC=C(N4CCCC4)C=C3)C=C3NC(N4CCNC(=O)C4)=CC3=C2)C1,10.3,0.5995556276084432,0.7218465628207041,0.2228853920396168,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11a50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7452b14820>,0.3424657534246575
11,CC1=CC(C(O)C2=CC=C(C3=CC=C4NC(=O)C5=C4C3=CC=C5)C=C2)=NC2=NN=CN12,11.3,0.4732240813597609,0.7429081361642492,0.1986325414531257,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11dd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74567efdd0>,0.3466666666666667
12,CN1CCSC2=CC=C(C3=CC=C(C4=CC=C(S(N)(=O)=O)S4)C=C3C3=CC=C4CCC(=O)NC4=N3)C=C21,11.1,0.3624031351725104,0.7668119827700416,0.1542317619872602,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74567ef040>,0.3023255813953488
13,CC1CS(=O)(=O)CCN1C1=CC=C(C2NC(=O)CCC2N2CCNC(=O)CC2)C(C2CCC2)=C1,10.1,0.6697513520350457,0.6491385444837391,0.2195545160021531,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74567efb30>,0.29411764705882354
14,O=S1(=O)NCCCN1C1=CC=C(C2=CC3=C(SN=C3)S2)C(C2=NN=C3SCCCN32)=C1,10.2,0.4692855214452382,0.6904576048312542,0.1652510961307233,<rdkit.Chem.rdchem.Mol object at 0x7f7452b110b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74567ef890>,0.2857142857142857
15,CC1=NC(C2=CC=C(C3=C[NH+]=CN3C)C=C2C2C=CC=NC2=O)=CC2=C1CNC2=O,10.7,0.7343715152151886,0.6192128203250706,0.2432817575499939,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11ba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74567ef970>,0.4117647058823529
16,CC1CN=C(N(C2=CC=CC=C2C2=CC=C3C(=O)NC=CC3=C2)N2CCNC2=O)S1,11.2,0.6816011450672372,0.6996690928149437,0.2670613427052595,<rdkit.Chem.rdchem.Mol object at 0x7f7452b11740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74567ef270>,0.2916666666666667
