rv,smi,qed,sa,cur_sentence,seed
12.1,Cc1cc(=O)n(-c2ccc(C(=O)NCC3OCC4CCN(C(=O)Cc5cccc(F)c5)CC43)cc2)[nH]1,0.5526309594547114,3.737992078785215,[BOS]Cc1cc(=O)n(-c2ccc(C(=O)NC[C@@H]3OC[C@@H]4CCN(C(=O)Cc5cccc(F)c5)C[C@@H]43)cc2)[nH]1[EOS],42
12.4,CC1CC(O)CN1C(=O)c1cc(-c2ccc(F)cc2)cnc1N1CCC2(CCC(=O)O2)Cc2ccccc2O1,0.5039457705921304,4.57529417008212,[BOS]C[C@@H]1C[C@@H](O)CN1C(=O)c1cc(-c2ccc(F)cc2)cnc1N1CCC2(CCC(=O)O2)Cc2ccccc2O1[EOS],42
13.0,CC(NC(=O)N1CCCC(C(=O)Nc2ccc(F)cn2)C1)C(C1=CCCOCC1)c1ccccc1,0.5970507085395295,3.774191491756758,[BOS]C[C@H](NC(=O)N1CCC[C@H](C(=O)Nc2ccc(F)cn2)C1)C(c1ccccc1)C1=CCCOCC1[EOS],42
11.7,O=C(NS(=O)(=O)c1ccc2ccccc2c1)C1CC(=O)N(c2ccc3c(c2)CCC3)C1,0.6836574856683513,2.7494541383938387,[BOS]O=C(NS(=O)(=O)c1ccc2ccccc2c1)[C@H]1CC(=O)N(c2ccc3c(c2)CCC3)C1[EOS],42
12.2,O=C1Nc2c(cccc2C(=O)N2CCCCC2C2CCN(C(=O)c3ccc4cnccc4c3)CC2)C1=O,0.5544000097703582,3.160416190952427,[BOS]O=C1Nc2c(cccc2C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3ccc4cnccc4c3)CC2)C1=O[EOS][EOS],42
11.8,Cc1cc(C(=O)NCc2ccc(-n3cnc4ccccc43)cc2)n(C2CCOCC2)n1,0.5379031562440575,2.547410043416429,[BOS]Cc1cc(C(=O)NCc2ccc(-n3cnc4ccccc43)cc2)n(C2CCOCC2)n1[EOS],42
11.8,O=C(NC(c1cccc(C(F)(F)F)c1)C1CCOCC1)C1CCS(=O)(=O)c2ccccc21,0.7298681743049679,3.5451711720077768,[BOS]O=C(N[C@@H](c1cccc(C(F)(F)F)c1)C1CCOCC1)[C@H]1CCS(=O)(=O)c2ccccc21[EOS],42
13.3,O=C(c1ccc(N2CCCCCC2=O)cc1)N1CCCC(N2Cc3c(F)cccc3C2=O)C1,0.7119305369821823,2.885242901742579,[BOS]O=C(c1ccc(N2CCCCCC2=O)cc1)N1CCC[C@@H](N2Cc3c(F)cccc3C2=O)C1[EOS],42
10.4,N#Cc1cn(CCC(=O)N2CCCC(NC(=O)CCCc3ccccc3)C2)c(=O)[nH]c1=O,0.6348993742736462,2.9197268589619565,[BOS]N#Cc1cn(CCC(=O)N2CCC[C@H](NC(=O)CCCc3ccccc3)C2)c(=O)[nH]c1=O[EOS],42
11.4,CN(C)c1cc(NC(=O)NC(c2ccccc2)c2ccccc2)cc(C(F)(F)F)n1,0.6124047307269888,2.357966889881048,[BOS]CN(C)c1cc(NC(=O)NC(c2ccccc2)c2ccccc2)cc(C(F)(F)F)n1[EOS],42
11.2,Cc1c(C(=O)NC2CCCc3cc(C#N)ccc32)nnn1-c1cccc2cccnc12,0.5561009011956489,3.025408312983295,[BOS]Cc1c(C(=O)N[C@@H]2CCCc3cc(C#N)ccc32)nnn1-c1cccc2cccnc12[EOS],42
11.5,O=C(NCC1CCN(c2ccc(F)c(F)c2)C1)C1CCCN1c1ncnc2ccccc12,0.6619636835478038,3.1547221893775044,[BOS]O=C(NC[C@H]1CCN(c2ccc(F)c(F)c2)C1)[C@@H]1CCCN1c1ncnc2ccccc12[EOS],42
12.6,O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)NC(Cc1cccc(F)c1)c1cccc(F)c1,0.5615504230300863,2.6281376955244795,[BOS]O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)N[C@H](Cc1cccc(F)c1)c1cccc(F)c1[EOS],42
14.2,N#Cc1ccc2c(c1)CCCC2NS(=O)(=O)C1=Cc2ccc(NC(=O)C3OCC4CNCC43)nc2CCC1,0.5382302968927339,4.545894014848583,[BOS]N#Cc1ccc2c(c1)CCC[C@H]2NS(=O)(=O)C1=Cc2ccc(NC(=O)[C@@H]3OC[C@@H]4CNC[C@@H]43)nc2CCC1[EOS],42
12.4,Cc1cc(-c2nc(C3CC(=O)N(c4cc5c(cc4F)N=C(O)CC5)C3)no2)cc(C2CCN(C)CC2)n1,0.5594987676515092,3.8012927586450074,[BOS]Cc1cc(-c2nc(C3CC(=O)N(c4cc5c(cc4F)N=C(O)CC5)C3)no2)cc(C2CCN(C)CC2)n1[EOS][EOS][EOS],42
12.5,CC(C)c1nc(-c2ccc(C(=O)N3CC(C(=O)N4CC=CC4)C4(CCOCC4)C3)cc2)no1,0.6652645949930476,3.9566560941194275,[BOS]CC(C)c1nc(-c2ccc(C(=O)N3C[C@H](C(=O)N4CC=CC4)C4(CCOCC4)C3)cc2)no1[EOS],42
12.0,Cc1cc(C(=O)NCc2cccc(NC(=O)C3CCCCC3)c2)nc2c1c(=O)n(C)c(=O)n2C,0.6029417804419012,2.4200581774432592,[BOS]Cc1cc(C(=O)NCc2cccc(NC(=O)C3CCCCC3)c2)nc2c1c(=O)n(C)c(=O)n2C[EOS],42
11.8,Cc1ccc2oc(C(=O)N3CCC4COC(CNC(=O)C5CCc6ccccc6C5)C4C3)cc2n1,0.6267112770981882,3.9221399511459873,[BOS]Cc1ccc2oc(C(=O)N3CC[C@H]4CO[C@@H](CNC(=O)[C@H]5CCc6ccccc6C5)[C@H]4C3)cc2n1[EOS],42
11.5,CC(=O)Nc1cccc(CNC(=O)NC2CCc3ccc(-c4ccccc4)cc32)c1,0.5767913423045342,2.5181659630739954,[BOS]CC(=O)Nc1cccc(CNC(=O)N[C@@H]2CCc3ccc(-c4ccccc4)cc32)c1[EOS],42
11.5,NC(=O)NC(CC(=O)N1CCc2cc(O)ccc2C1)c1cccc(-c2ccccc2)c1,0.5922556084966636,2.716862781436191,[BOS]NC(=O)N[C@H](CC(=O)N1CCc2cc(O)ccc2C1)c1cccc(-c2ccccc2)c1[EOS],42
