rv,smi,qed,sa,cur_sentence,seed
11.4,O=C1N=C(O)CCC1(C(=O)N1CCCC(c2c[nH]c3ncccc23)C1)c1cccc(F)c1,0.615296689985737,3.883886155285369,[BOS]O=C(N1CCC[C@@H](c2c[nH]c3ncccc23)C1)C1(c2cccc(F)c2)CCC(O)=NC1=O[EOS],42
10.3,Cc1ccc(N2CCC(NC(=O)CCNC(=O)C3CC(=O)N(c4ccc5c(c4)CCN5)C3)C2=O)cc1,0.548875724921993,3.3410740670811174,[BOS]Cc1ccc(N2CC[C@@H](NC(=O)CCNC(=O)[C@H]3CC(=O)N(c4ccc5c(c4)CCN5)C3)C2=O)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.7,O=C1c2ccccc2OCC1Cc1nc(C2(c3cccc(C(F)(F)F)c3)CC2)no1,0.6242732235900678,3.2648518547887715,[BOS]O=C1c2ccccc2OC[C@H]1Cc1nc(C2(c3cccc(C(F)(F)F)c3)CC2)no1[EOS],42
11.0,O=C(NC1CCOC(c2ccc(F)cc2)C1)C(=O)N1CCCc2cc(F)ccc2C1,0.7677340725919041,3.219666968611212,[BOS]O=C(N[C@H]1CCO[C@@H](c2ccc(F)cc2)C1)C(=O)N1CCCc2cc(F)ccc2C1[EOS],42
10.1,Cc1cc(Br)cc2cc(C(=O)Nc3cccc4c3CN(C)C(=O)N4)[nH]c12,0.5799921773967277,2.733680279769244,[BOS]Cc1cc(Br)cc2cc(C(=O)Nc3cccc4c3CN(C)C(=O)N4)[nH]c12[EOS],42
11.0,O=C1CC2C(=O)CCC(C(=O)Nc3cccc(S(=O)(=O)c4ccccc4)c3)N2CCN1,0.7413523699980865,3.2615826087387134,[BOS]O=C1CC[C@@H](C(=O)Nc2cccc(S(=O)(=O)c3ccccc3)c2)N2CCNC(=O)C[C@H]12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.3,O=C1NCc2c1cccc2-c1nc(-c2cccc3c2CN(CCCC2CCNCC2)C3=O)no1,0.5886600445019555,2.965483246269171,[BOS]O=C1NCc2c1cccc2-c1nc(-c2cccc3c2CN(CCCC2CCNCC2)C3=O)no1[EOS],42
10.7,Cc1nn(-c2ccc(C(=O)N3CCCC3C(N)=O)cc2)c(C)c1CCC(=O)N1CCCC(C)C1,0.7086915290620249,3.141975056447812,[BOS]Cc1nn(-c2ccc(C(=O)N3CCC[C@H]3C(N)=O)cc2)c(C)c1CCC(=O)N1CCC[C@H](C)C1[EOS][EOS][EOS],42
10.8,CC(=O)Nc1ccc(CC(=O)NC2CC3CCC(C2)N3C(=O)c2cccc3c2NC(=O)C3=O)cc1,0.5736953310961722,4.038228866068952,[BOS]CC(=O)Nc1ccc(CC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2cccc3c2NC(=O)C3=O)cc1[EOS],42
11.2,O=c1[nH]c(NC2COc3cc(F)ccc3C2)nc2c1cnn2-c1ccccc1F,0.557326950156848,3.2273344759570666,[BOS]O=c1[nH]c(N[C@H]2COc3cc(F)ccc3C2)nc2c1cnn2-c1ccccc1F[EOS],42
