rv,smi,qed,sa,cur_sentence,seed
12.8,O=C(C1=CC2=NC(c3ccc4c(c3)CCC4)CC2C(F)(F)C1)N1Cc2ccccc2C2OCCC21,0.5756593405732795,4.562604657028341,[BOS]O=C(C1=CC2=N[C@H](c3ccc4c(c3)CCC4)C[C@H]2C(F)(F)C1)N1Cc2ccccc2C2OCC[C@H]21[EOS],42
12.0,Cc1c(NC(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)cccc1C(=O)N1CCc2sccc2C1,0.5940183696444056,2.558596380385712,[BOS]Cc1c(NC(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)cccc1C(=O)N1CCc2sccc2C1[EOS],42
13.0,CC1C(=O)Nc2cc(C(=O)Nc3nc4ccccc4n3C3CCCCC3)cc3c2N1CCC3,0.6042751972673536,3.2321998855482486,[BOS]C[C@@H]1C(=O)Nc2cc(C(=O)Nc3nc4ccccc4n3C3CCCCC3)cc3c2N1CCC3[EOS],42
12.6,O=C1CCC2CN(C(=O)C3(Cc4ccc(C(F)(F)F)cc4)CCS(=O)(=O)CC3)c3cccc1c32,0.6317604857344299,3.5737423009941978,[BOS]O=C1CC[C@H]2CN(C(=O)C3(Cc4ccc(C(F)(F)F)cc4)CCS(=O)(=O)CC3)c3cccc1c32[EOS],42
12.2,O=C(NCC(=O)N1CCCCCC1c1ccccc1)C1c2ccccc2C(=O)N1Cc1ccccc1,0.5575459911301742,3.0153944511630533,[BOS]O=C(NCC(=O)N1CCCCC[C@@H]1c1ccccc1)[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.0,O=C1CCC2CN(C(=O)C(=O)Nc3ccc(S(=O)(=O)NC4=NCC(c5ccccc5)O4)cc3)CCC2N1,0.5108027056963572,3.9228969906674127,[BOS]O=C1CC[C@@H]2CN(C(=O)C(=O)Nc3ccc(S(=O)(=O)NC4=NC[C@H](c5ccccc5)O4)cc3)CC[C@H]2N1[EOS][EOS][EOS][EOS],42
12.9,O=C(Nc1cccc(-c2n[nH]c3c2CCCC3)c1)C1CC12CCOc1ccccc12,0.6745241983075592,3.8729479334422514,[BOS]O=C(Nc1cccc(-c2n[nH]c3c2CCCC3)c1)[C@H]1C[C@@]12CCOc1ccccc12[EOS],42
14.1,O=C(CC1Cc2ccccc2C1)NC1CC(C2CCCCN2C(=O)c2cc(-c3ccccc3)no2)N=N1,0.5282462443116016,3.9989055564654716,[BOS]O=C(CC1Cc2ccccc2C1)NC1CC([C@@H]2CCCCN2C(=O)c2cc(-c3ccccc3)no2)N=N1[EOS],42
12.6,O=C(CCn1nnnc1N1CCCC(c2ccccc2)C1)N1CCN(c2ccccn2)CC1,0.5739400578929327,2.957568606113398,[BOS]O=C(CCn1nnnc1N1CCC[C@H](c2ccccc2)C1)N1CCN(c2ccccn2)CC1[EOS],42
13.1,O=C(c1cc(-c2ccccc2)c[nH]c1=O)N1CC2CC(C1)c1cc3nccnc3cc12,0.5484077843421076,4.089201616080514,[BOS]O=C(c1cc(-c2ccccc2)c[nH]c1=O)N1C[C@H]2C[C@@H](C1)c1cc3nccnc3cc12[EOS],42
11.6,Cc1cccc(NC(=O)C2CCC3(CCN(S(=O)(=O)c4cccc5cnccc45)CC3)C2)c1C,0.5695542701949812,3.4930589233973404,[BOS]Cc1cccc(NC(=O)[C@@H]2CCC3(CCN(S(=O)(=O)c4cccc5cnccc45)CC3)C2)c1C[EOS],42
12.1,Cc1cccc2c1N(C(=O)c1cnn3c(Cc4ccccc4)cc(O)nc13)CCC2,0.5677063871966648,2.6960443245153787,[BOS]Cc1cccc2c1N(C(=O)c1cnn3c(Cc4ccccc4)cc(O)nc13)CCC2[EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,CC1CN(C(=O)C2CC(=O)N(Cc3cccc(C(F)(F)F)c3)C2)CCc2ccc(F)cc21,0.6542511008067916,3.202838017297319,[BOS]C[C@H]1CN(C(=O)[C@H]2CC(=O)N(Cc3cccc(C(F)(F)F)c3)C2)CCc2ccc(F)cc21[EOS],42
12.3,Cc1ccc2c(c1F)N(C(=O)c1nn(-c3cccc(C(F)(F)F)c3)c(C)cc1=O)CCC2,0.5420951812812809,2.7233217074309017,[BOS]Cc1ccc2c(c1F)N(C(=O)c1nn(-c3cccc(C(F)(F)F)c3)c(C)cc1=O)CCC2[EOS],42
11.4,CC1(C(=O)Nc2ccc3cccc(Br)c3n2)Cc2ccccc2C(=O)O1,0.6449898929835154,2.9264703982208573,[BOS]C[C@@]1(C(=O)Nc2ccc3cccc(Br)c3n2)Cc2ccccc2C(=O)O1[EOS],42
11.4,N#Cc1ccc(C(=O)NCC2CCN(C(=O)C3CCCC4CCCCC43)C2c2cccnc2)c(Cl)c1,0.5793952254766059,3.9976458230122525,[BOS]N#Cc1ccc(C(=O)NC[C@@H]2CCN(C(=O)[C@@H]3CCC[C@@H]4CCCC[C@@H]43)[C@@H]2c2cccnc2)c(Cl)c1[EOS],42
12.6,NC(=O)C1Cc2ccccc2CC1C(=O)Nc1nc2c(c(-c3ccc(F)cc3)n1)C(Cl)CCC2,0.5443642333147188,3.7601469487740253,[BOS]NC(=O)[C@@H]1Cc2ccccc2C[C@@H]1C(=O)Nc1nc(-c2ccc(F)cc2)c2c(n1)CCC[C@@H]2Cl[EOS],42
12.3,Cc1nccc(-c2cccc(NC(=O)C3CCC(=O)N(c4ccc(C)c(C)c4)C3)c2)n1,0.6843540257267562,2.718213417878399,[BOS]Cc1nccc(-c2cccc(NC(=O)[C@H]3CCC(=O)N(c4ccc(C)c(C)c4)C3)c2)n1[EOS],42
13.0,Cc1c(C(=O)NS(=O)(=O)C2=Cc3ccccc3CC2)sc2nc3n(c(=O)c12)CCCCC3,0.6327220876928231,2.8947744220240015,[BOS]Cc1c(C(=O)NS(=O)(=O)C2=Cc3ccccc3CC2)sc2nc3n(c(=O)c12)CCCCC3[EOS],42
12.3,CC1C(=O)Nc2cc(C(=O)N3CC4CC(C3)c3cccc(=O)n3C4)ccc2N1C(=O)c1ccccc1Cl,0.5613304324959029,4.349103285301024,[BOS]C[C@H]1C(=O)Nc2cc(C(=O)N3C[C@@H]4C[C@H](C3)c3cccc(=O)n3C4)ccc2N1C(=O)c1ccccc1Cl[EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1cccc(C(=O)NCC2CCN(C(=O)C3CCc4ccccc43)C2c2cccnc2)c1C,0.6065569250814429,3.471328050588265,[BOS]Cc1cccc(C(=O)NC[C@@H]2CCN(C(=O)[C@H]3CCc4ccccc43)[C@H]2c2cccnc2)c1C[EOS],42
12.6,O=C(c1cc2c(F)cc(F)cc2[nH]1)N1CCC2COC(CNC(=O)C34CC(c5ccccc5)(C3)C4)C2C1,0.5470179540454317,4.734945483103222,[BOS]O=C(c1cc2c(F)cc(F)cc2[nH]1)N1CC[C@H]2CO[C@@H](CNC(=O)C34CC(c5ccccc5)(C3)C4)[C@H]2C1[EOS][EOS][EOS][EOS],42
11.9,O=C(Nc1cc2c(cc1Cl)OCCO2)c1ccc(Cl)c(S(=O)(=O)N2CCc3ccccc32)c1,0.5525735769007757,2.3699759062819172,[BOS]O=C(Nc1cc2c(cc1Cl)OCCO2)c1ccc(Cl)c(S(=O)(=O)N2CCc3ccccc32)c1[EOS],42
12.1,O=C1CCC2CN(C(=O)c3cc(-c4ccccc4Cl)nc4ccccc34)CCC2N1,0.6733294145425749,3.0838281307850455,[BOS]O=C1CC[C@H]2CN(C(=O)c3cc(-c4ccccc4Cl)nc4ccccc34)CC[C@H]2N1[EOS],42
11.6,Cc1coc(-c2cccc(NC(=O)N3CCCC(S(=O)(=O)N4CCc5ccccc54)C3)c2)n1,0.6261368845864398,3.1673706750219317,[BOS]Cc1coc(-c2cccc(NC(=O)N3CCC[C@H](S(=O)(=O)N4CCc5ccccc54)C3)c2)n1[EOS][EOS][EOS][EOS],42
11.6,Cc1c(-c2ccc3[nH]nc(-c4cncc(N5CCNCC5)c4)c3c2)ccn(C)c1=O,0.5528655081206556,2.8503955181493303,[BOS]Cc1c(-c2ccc3[nH]nc(-c4cncc(N5CCNCC5)c4)c3c2)ccn(C)c1=O[EOS][EOS][EOS][EOS],42
12.0,Cc1n[nH]nc1NC(=O)c1nn(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2c1CCCC2,0.5673559389507015,2.9332923368015322,[BOS]Cc1n[nH]nc1NC(=O)c1nn(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2c1CCCC2[EOS],42
11.6,Cc1ccc(C)c(NC(=O)C2CC(=O)N(C(C)c3nc4ccccc4c(=O)n3C3CCCCC3)C2)c1,0.5459275618554622,3.2760919689393955,[BOS]Cc1ccc(C)c(NC(=O)[C@H]2CC(=O)N([C@H](C)c3nc4ccccc4c(=O)n3C3CCCCC3)C2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.8,O=C(Cc1ccc(O)cc1Cl)Nc1cccc(C(=O)N2CCC(O)CC2)c1,0.750844667699821,2.098971710825875,[BOS]O=C(Cc1ccc(O)cc1Cl)Nc1cccc(C(=O)N2CCC(O)CC2)c1[EOS][EOS],42
