rv,smi,qed,sa,cur_sentence,seed
11.7,CN(Cc1ccc(C(F)(F)F)cc1)C1=NS(=O)(=O)c2cc(C(=O)Nc3ccc(F)cc3F)ccc21,0.5120783233878128,2.61308329355856,[BOS]CN(Cc1ccc(C(F)(F)F)cc1)C1=NS(=O)(=O)c2cc(C(=O)Nc3ccc(F)cc3F)ccc21[EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1ccc(N2CC(C(=O)Nc3cccc(Cn4ccccc4=O)c3)CCC2=O)cc1C,0.6687977761740317,2.6949840018190994,[BOS]Cc1ccc(N2C[C@H](C(=O)Nc3cccc(Cn4ccccc4=O)c3)CCC2=O)cc1C[EOS],42
11.4,NC(=O)c1cccc(CCNC(=O)C(NC(=O)c2ccccc2)c2ccccc2)c1,0.540724628647139,2.3590005383623804,[BOS]NC(=O)c1cccc(CCNC(=O)[C@@H](NC(=O)c2ccccc2)c2ccccc2)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,Cc1ccc2c(c1)CCC(C(=O)Nc1cc(C(=O)N3CC(C)CC(C)C3)ccc1C)O2,0.7792727893898796,3.2394355748840864,[BOS]Cc1ccc2c(c1)CC[C@@H](C(=O)Nc1cc(C(=O)N3C[C@H](C)C[C@H](C)C3)ccc1C)O2[EOS],42
11.0,O=C(NC1CC(C(F)(F)F)CC(C(F)(F)F)C1)c1c[nH]c2c(F)cc(F)cc2c1=O,0.6758587063089085,3.671135385426954,[BOS]O=C(NC1C[C@@H](C(F)(F)F)C[C@H](C(F)(F)F)C1)c1c[nH]c2c(F)cc(F)cc2c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,CN1CCN(CC(=O)NC(c2ccccc2)c2ccc3c(c2)CCCC3)c2ccccc2S1(=O)=O,0.5900607994376766,3.104227796313409,[BOS]CN1CCN(CC(=O)N[C@@H](c2ccccc2)c2ccc3c(c2)CCCC3)c2ccccc2S1(=O)=O[EOS],42
11.8,O=C(c1ccccc1)N1CCN(C(=O)c2cccc(N3C(=O)C4C5CCC(C5)C4C3=O)c2)CC1,0.6644100696418281,3.9650870429522325,[BOS]O=C(c1cccc(N2C(=O)[C@@H]3[C@@H]4CC[C@@H](C4)[C@H]3C2=O)c1)N1CCN(C(=O)c2ccccc2)CC1[EOS],42
11.8,Cc1ccc(C2(CNC(=O)c3ccc4c(c3)C(=O)N(C3CCCCC3)C4=O)CCOCC2)c(C)c1,0.6370659179253821,2.6238385243277893,[BOS]Cc1ccc(C2(CNC(=O)c3ccc4c(c3)C(=O)N(C3CCCCC3)C4=O)CCOCC2)c(C)c1[EOS],42
11.1,Cn1ncc2c1CCCN(C(=O)NCc1cccc(NC(=O)Nc3ccccc3)c1)C2,0.6030213001330443,2.306977549756242,[BOS]Cn1ncc2c1CCCN(C(=O)NCc1cccc(NC(=O)Nc3ccccc3)c1)C2[EOS],42
12.4,CC(c1ccc(C(N)=O)cc1)c1nnc(C2CC2c2ccc(C(C)N3CCOCC3)cc2F)n1C,0.5583749095073499,3.930603998862977,[BOS]C[C@H](c1ccc(C(N)=O)cc1)c1nnc([C@H]2C[C@H]2c2ccc(C(C)N3CCOCC3)cc2F)n1C[EOS],42
11.7,Cn1cc2cccc(-c3ccc4[nH]cc(C5=CCC6(CC5)OCCO6)c4c3)c2n1,0.5263631878794797,3.4514654879683118,[BOS]Cn1cc2cccc(-c3ccc4[nH]cc(C5=CCC6(CC5)OCCO6)c4c3)c2n1[EOS],42
11.6,CC1(c2ccc(C(=O)Nc3cccc(-c4ccc5c(c4)OCCO5)n3)cc2)NC(=O)NC1=O,0.5327634254627472,2.9505909179369123,[BOS]C[C@]1(c2ccc(C(=O)Nc3cccc(-c4ccc5c(c4)OCCO5)n3)cc2)NC(=O)NC1=O[EOS][EOS][EOS][EOS],42
10.9,CCCc1ccc(N2CC(C(=O)NCc3nc4c(s3)C(=O)NC(c3ccccc3)C4)CC2=O)cc1,0.5294053545954758,3.384878602835288,[BOS]CCCc1ccc(N2C[C@@H](C(=O)NCc3nc4c(s3)C(=O)N[C@H](c3ccccc3)C4)CC2=O)cc1[EOS][EOS][EOS],42
11.3,CC(NC(=O)NCC1CCc2ccccc21)c1ccc2[nH]c(=O)[nH]c(=O)c2c1,0.5595112316123948,3.1684860127360412,[BOS]C[C@@H](NC(=O)NC[C@H]1CCc2ccccc21)c1ccc2[nH]c(=O)[nH]c(=O)c2c1[EOS],42
11.1,CS(=O)(=O)c1cccc(C2CCCN(C(=O)OCC3c4ccccc4-c4ccccc43)C2)c1,0.5344919968408552,2.8112490555887337,[BOS]CS(=O)(=O)c1cccc([C@H]2CCCN(C(=O)OCC3c4ccccc4-c4ccccc43)C2)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,CC1Cc2cn[nH]c2C(C(=O)NCc2cccc(Cn3cnc4ccccc43)c2)C1,0.5360966953896293,3.401279511301081,[BOS]C[C@H]1Cc2cn[nH]c2[C@H](C(=O)NCc2cccc(Cn3cnc4ccccc43)c2)C1[EOS],42
11.4,CN(C)c1ccc(NC(=O)C(=O)N2CCCC(c3nc(-c4ccc(F)cc4)no3)C2)cn1,0.6246665764500601,2.980026098184272,[BOS]CN(C)c1ccc(NC(=O)C(=O)N2CCC[C@H](c3nc(-c4ccc(F)cc4)no3)C2)cn1[EOS],42
10.6,COc1coc(C(=O)N2CC(c3cccc(C(F)(F)F)c3)CCC2C)cc1=O,0.7860243891099562,3.304577633615163,[BOS]COc1coc(C(=O)N2C[C@H](c3cccc(C(F)(F)F)c3)CC[C@@H]2C)cc1=O[EOS],42
10.9,Cc1cc(F)ccc1C(C)NC(=O)N1CC2(CCOCC2)c2ccccc21,0.8495251773010145,3.4247960397406754,[BOS]Cc1cc(F)ccc1[C@H](C)NC(=O)N1CC2(CCOCC2)c2ccccc21[EOS],42
11.8,O=S(=O)(c1ccc(N2CCc3cc(F)ccc32)nc1)N1CC=C(c2ccc(F)cc2)CC(F)C1,0.5292671888063512,3.285420721629449,[BOS]O=S(=O)(c1ccc(N2CCc3cc(F)ccc32)nc1)N1CC=C(c2ccc(F)cc2)C[C@@H](F)C1[EOS],42
11.4,CC1Cc2cc(Nc3cnc(F)c(-c4ccccc4)c3)ccc2NC1=O,0.6716424029201659,2.879085791152251,[BOS]C[C@@H]1Cc2cc(Nc3cnc(F)c(-c4ccccc4)c3)ccc2NC1=O[EOS][EOS][EOS][EOS][EOS],42
12.4,Cc1cc(-c2ccccc2F)nnc1-c1cc(C(=O)N(C)CC(=O)N2CCC(O)C2)c(F)cc1F,0.6012736060270394,3.179402066301865,[BOS]Cc1cc(-c2ccccc2F)nnc1-c1cc(C(=O)N(C)CC(=O)N2CC[C@H](O)C2)c(F)cc1F[EOS],42
11.8,O=C(NC1CCc2ccccc21)c1ccc2c(c1)C(=O)N(C1CCCCC1)C2=O,0.8074762819762318,2.651525684748277,[BOS]O=C(N[C@@H]1CCc2ccccc21)c1ccc2c(c1)C(=O)N(C1CCCCC1)C2=O[EOS],42
12.6,Cc1nc2cc(C(=O)N3CCC4(CCc5ccccc5O4)CC3)ccc2c(=O)o1,0.6359250605591222,3.0209707396933316,[BOS]Cc1nc2cc(C(=O)N3CCC4(CCc5ccccc5O4)CC3)ccc2c(=O)o1[EOS],42
11.8,Cc1ccc(C2OCCCC2CNC(=O)Nc2ccc(S(=O)(=O)C3CCCCC3)cc2F)cc1,0.5599599510360844,3.2902219415431846,[BOS]Cc1ccc([C@H]2OCCC[C@H]2CNC(=O)Nc2ccc(S(=O)(=O)C3CCCCC3)cc2F)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,O=C(NC(c1cccc(C(F)(F)F)c1)C1CCCCC1)c1ccc2[nH]c(=O)[nH]c(=O)c2c1,0.5593112620516577,2.9233571210076033,[BOS]O=C(N[C@H](c1cccc(C(F)(F)F)c1)C1CCCCC1)c1ccc2[nH]c(=O)[nH]c(=O)c2c1[EOS],42
12.1,O=C(Cc1cc2cccnc2cc1F)NC1CC2CCC(C1)N2C(=O)CC1Cc2ccccc2C1,0.6015620644389253,4.115964324727942,[BOS]O=C(Cc1cc2cccnc2cc1F)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CC1Cc2ccccc2C1[EOS],42
12.4,O=C(c1ccc(N2CCCC3(CCc4c(F)cccc43)C2)nc1)N1CCS(=O)(=O)CC1,0.713629828684365,3.7017563450089632,[BOS]O=C(c1ccc(N2CCC[C@]3(CCc4c(F)cccc43)C2)nc1)N1CCS(=O)(=O)CC1[EOS],42
12.3,O=C(Cc1ccc(NC(=O)N2CCc3c(F)cccc32)cc1)N1CCN(c2ncccn2)CC1,0.6472060183462314,2.428002071443995,[BOS]O=C(Cc1ccc(NC(=O)N2CCc3c(F)cccc32)cc1)N1CCN(c2ncccn2)CC1[EOS],42
11.3,O=C(NC1CCC(Cc2ccccc2)C1)c1cn[nH]c1-c1ccc2c(c1)OCCO2,0.6754281325390319,3.1079157354701685,[BOS]O=C(N[C@@H]1CC[C@H](Cc2ccccc2)C1)c1cn[nH]c1-c1ccc2c(c1)OCCO2[EOS],42
12.7,Cc1ccc(-n2nc(C(=O)N3CC(=O)Nc4ccccc43)cc2-c2ccccc2)cc1C,0.5178692054305536,2.3575078962420903,[BOS]Cc1ccc(-n2nc(C(=O)N3CC(=O)Nc4ccccc43)cc2-c2ccccc2)cc1C[EOS],42
12.2,O=C(c1ccc(-c2ccc(F)cc2)cc1)N1CC2c3nc(N4CCOCC4)ncc3CS(=O)(=O)C2C1,0.537130643056853,3.6675665686609413,[BOS]O=C(c1ccc(-c2ccc(F)cc2)cc1)N1C[C@@H]2c3nc(N4CCOCC4)ncc3CS(=O)(=O)[C@@H]2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,CC(NC(=O)N1CCN(c2ccccn2)CC1)C(c1ccccc1)c1ccccc1,0.7004453739006922,2.5968631176435633,[BOS]C[C@@H](NC(=O)N1CCN(c2ccccn2)CC1)C(c1ccccc1)c1ccccc1[EOS],42
11.7,CC1C(=O)Nc2cc(C(=O)Nc3ccc4c(c3)N(C(=O)Cc3ccccc3)CC4)ccc2N1C,0.627577819745061,2.9048998651663247,[BOS]C[C@@H]1C(=O)Nc2cc(C(=O)Nc3ccc4c(c3)N(C(=O)Cc3ccccc3)CC4)ccc2N1C[EOS][EOS][EOS][EOS],42
10.9,O=C(Cc1coc2c(F)c(F)ccc12)N1CCc2c(cccc2S(=O)(=O)N2CCCC2)C1,0.5963861957352597,2.7157208294627164,[BOS]O=C(Cc1coc2c(F)c(F)ccc12)N1CCc2c(cccc2S(=O)(=O)N2CCCC2)C1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,CC1(C(=O)NCc2ccccc2CN2CCCC2=O)c2ccccc2C(=O)N1Cc1ccccc1,0.5711902044390216,3.0036430286058673,[BOS]C[C@]1(C(=O)NCc2ccccc2CN2CCCC2=O)c2ccccc2C(=O)N1Cc1ccccc1[EOS],42
12.0,CC(=O)N1CCc2c(Nc3cc(C)ccc3-c3ccccc3)cnc(N3CCOCC3)c2C1C,0.5917629932417512,3.178323095838449,[BOS]CC(=O)N1CCc2c(Nc3cc(C)ccc3-c3ccccc3)cnc(N3CCOCC3)c2C1C[EOS],42
12.3,Cc1ccc2nc(C(=O)N3CCC4OCCCC4(CNC(=O)Cc4ccc5c(c4)CCO5)C3)ccc2c1,0.5769360598049807,3.69412765628282,[BOS]Cc1ccc2nc(C(=O)N3CC[C@H]4OCCC[C@@]4(CNC(=O)Cc4ccc5c(c4)CCO5)C3)ccc2c1[EOS],42
11.6,Cc1ccc(F)cc1C(=O)N1CCCCC1c1cc(NC(=O)C2(F)CCCC=C2F)n[nH]1,0.7007075085591624,3.845658864315469,[BOS]Cc1ccc(F)cc1C(=O)N1CCCC[C@H]1c1cc(NC(=O)[C@@]2(F)CCCC=C2F)n[nH]1[EOS],42
11.2,Cc1ccnc(-c2cccc(NC(=O)C3CC3c3cccc4ccccc34)c2)n1,0.5201148545889015,2.894278604526731,[BOS]Cc1ccnc(-c2cccc(NC(=O)[C@H]3C[C@@H]3c3cccc4ccccc34)c2)n1[EOS],42
11.1,Cc1cccc(NC(=O)C2CSCN2C(=O)CC(Cc2ccccc2)c2ccccc2)c1C,0.5042567597910155,3.0331150094229162,[BOS]Cc1cccc(NC(=O)[C@H]2CSCN2C(=O)C[C@@H](Cc2ccccc2)c2ccccc2)c1C[EOS],42
11.6,COc1cc2nc(NC3CCOC(c4ccccc4)C3)nc(N)c2c(C)c1OC,0.6785851942403464,3.318466547611285,[BOS]COc1cc2nc(N[C@@H]3CCO[C@@H](c4ccccc4)C3)nc(N)c2c(C)c1OC[EOS],42
11.3,O=C(Nc1ccccc1)Nc1cccc(CNC(=O)NC2CCCC3OCCC23)c1,0.6005672574895711,3.1949389158356496,[BOS]O=C(NCc1cccc(NC(=O)Nc2ccccc2)c1)N[C@H]1CCC[C@H]2OCC[C@H]12[EOS],42
11.0,CC(NC(=O)NCC1CC(c2ccc3c(c2)CCO3)=NO1)c1noc(-c2ccccc2)n1,0.6175281780497495,3.435927342220543,[BOS]C[C@@H](NC(=O)NC[C@@H]1CC(c2ccc3c(c2)CCO3)=NO1)c1noc(-c2ccccc2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,CC1CC(c2nc(Cc3cccc(OCCCc4ccccc4)c3)no2)CC(=O)N1,0.5721764160361466,3.2041087071052745,[BOS]C[C@H]1C[C@H](c2nc(Cc3cccc(OCCCc4ccccc4)c3)no2)CC(=O)N1[EOS],42
12.4,O=C(NC1CC2CCC(C1)N2C(=O)CC1Cc2ccccc2C1)C1CC1c1ccc(F)c(F)c1,0.7079190734159372,4.449514515479704,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CC1Cc2ccccc2C1)[C@@H]1C[C@@H]1c1ccc(F)c(F)c1[EOS],42
11.4,CC(c1ccccc1)c1ccc(OCC(=O)Nc2cccc(S(=O)(=O)NC3=NCCC3)c2)cc1,0.5047816843013087,2.7924293752733025,[BOS]C[C@@H](c1ccccc1)c1ccc(OCC(=O)Nc2cccc(S(=O)(=O)NC3=NCCC3)c2)cc1[EOS][EOS][EOS][EOS][EOS],42
12.3,O=C(c1cccc(N2CCCNC2=O)c1)N1Cc2ccccc2C(c2ccccc2)C1,0.6948147692209109,2.7917905445978324,[BOS]O=C(c1cccc(N2CCCNC2=O)c1)N1Cc2ccccc2[C@H](c2ccccc2)C1[EOS],42
12.1,O=C(C1CCc2nc[nH]c2C1)N1CCc2ccc(-c3ccc(C(F)F)nc3F)cc2N1,0.6184747641215798,3.8654463596557225,[BOS]O=C([C@@H]1CCc2nc[nH]c2C1)N1CCc2ccc(-c3ccc(C(F)F)nc3F)cc2N1[EOS],42
11.4,CC(O)c1cncc(-c2nn(-c3c#cc(F)cc3)c3c2CN(C2CCC(O)=NC2=O)C3=O)c1,0.6333381675438751,4.898390574265543,[BOS]CC(O)c1cncc(-c2nn(-c3c#cc(F)cc3)c3c2CN(C2CCC(O)=NC2=O)C3=O)c1[EOS][EOS],42
11.8,CC1CCCC(NC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCc4ccccc43)c2)CC1,0.6863517860482626,2.9100296161961854,[BOS]C[C@H]1CCC[C@H](NC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCc4ccccc43)c2)CC1[EOS],42
11.4,O=C(NC(c1ccccc1)C1CCCCC1)C1CSC2(c3ccc(F)cc3)CCC(=O)N12,0.682255973948563,3.547637363142842,[BOS]O=C(N[C@H](c1ccccc1)C1CCCCC1)[C@@H]1CS[C@@]2(c3ccc(F)cc3)CCC(=O)N12[EOS],42
11.2,CC(C(=O)NCc1cccc(COc2ccccc2)c1)C1OCCc2sccc21,0.6063713298331392,3.166762767422659,[BOS]C[C@@H](C(=O)NCc1cccc(COc2ccccc2)c1)[C@H]1OCCc2sccc21[EOS],42
12.4,Cc1ccc(-c2cncc(-c3nc4cc(C(F)(F)F)ccc4c(=O)[nH]3)c2C)cc1,0.5018738984969232,2.5319811608374643,[BOS]Cc1ccc(-c2cncc(-c3nc4cc(C(F)(F)F)ccc4c(=O)[nH]3)c2C)cc1[EOS],42
12.3,O=C(NC1CC1)c1ccc2c(c1)CC1OC3OC=CNC3C1C2CCc1ccnc2ccccc12,0.5885347781304601,4.42125851253636,[BOS]O=C(NC1CC1)c1ccc2c(c1)C[C@@H]1O[C@@H]3OC=CNC3[C@H]1[C@@H]2CCc1ccnc2ccccc12[EOS],42
10.9,O=C1C(NC(=O)C(O)(c2ccccc2)C2CCCCC2)CCCN1Cc1ccc(F)cc1F,0.6894360977250963,3.231582258970681,[BOS]O=C1[C@@H](NC(=O)[C@@](O)(c2ccccc2)C2CCCCC2)CCCN1Cc1ccc(F)cc1F[EOS][EOS],42
11.8,CC1(C(=O)NCc2cccc(NC(=O)C3CCCCC3)c2)CCCN(C(=O)c2ccccc2)C1,0.6507932071527305,2.7050488415213394,[BOS]C[C@]1(C(=O)NCc2cccc(NC(=O)C3CCCCC3)c2)CCCN(C(=O)c2ccccc2)C1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,O=C(c1ccc(OCc2ccc3c(c2)N=C(O)C3)cc1)c1ccc(C2CCC(O)=NC2=O)cc1,0.5096207644700993,3.455599390971889,[BOS]O=C(c1ccc(OCc2ccc3c(c2)N=C(O)C3)cc1)c1ccc(C2CCC(O)=NC2=O)cc1[EOS][EOS][EOS],42
12.0,Cc1cc(N2CCC(NC(=O)N3CCCC3c3cc4ccccc4o3)CC2)n[nH]1,0.705593324388206,3.122354779770901,[BOS]Cc1cc(N2CCC(NC(=O)N3CCC[C@@H]3c3cc4ccccc4o3)CC2)n[nH]1[EOS],42
11.5,O=C(NC1CC2CCC(C1)N2C(=O)C1CCc2ccccc2O1)c1ccc(-c2ccccc2)c(F)c1,0.558094449866103,4.109083669924849,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H]1CCc2ccccc2O1)c1ccc(-c2ccccc2)c(F)c1[EOS][EOS],42
12.5,O=C(C1CCc2ccccc2C1)N1CCCC1c1ccc2c(c1)OCCCO2,0.782506866885177,3.0284429056924838,[BOS]O=C([C@H]1CCc2ccccc2C1)N1CCC[C@H]1c1ccc2c(c1)OCCCO2[EOS],42
12.5,O=C(c1n[nH]c2ccccc12)N1CCOCC2(C1)CN(C(=O)C1CCc3ccccc3C1)CCO2,0.6165604518808667,3.9892128067857993,[BOS]O=C(c1n[nH]c2ccccc12)N1CCOC[C@@]2(C1)CN(C(=O)[C@@H]1CCc3ccccc3C1)CCO2[EOS],42
11.8,Cc1ccc(CNC(=O)c2ccc(N3CCCC(C(N)=O)C3)cc2)c(Oc2ccccc2)c1,0.5661755831255684,2.5553925373701105,[BOS]Cc1ccc(CNC(=O)c2ccc(N3CCC[C@@H](C(N)=O)C3)cc2)c(Oc2ccccc2)c1[EOS],42
12.3,Cc1ccc(N2CC(C(=O)Nc3cccc(-c4n[nH]c5c4CCC5)c3)CCC2=O)cc1C,0.6392561187555965,2.9120668200042594,[BOS]Cc1ccc(N2C[C@@H](C(=O)Nc3cccc(-c4n[nH]c5c4CCC5)c3)CCC2=O)cc1C[EOS][EOS],42
11.5,Cc1cccc(NC2CCN(C(=O)C(=O)NC(C)c3ccc(-c4cccc(C#N)c4)cc3)CC2)c1,0.5284505203381257,2.8122223644779165,[BOS]Cc1cccc(NC2CCN(C(=O)C(=O)N[C@@H](C)c3ccc(-c4cccc(C#N)c4)cc3)CC2)c1[EOS],42
12.1,O=C(NC1COc2ccccc2C1)NC(Cc1cccc(F)c1)c1cccc(F)c1,0.6507557118335954,3.0013146029335855,[BOS]O=C(N[C@H]1COc2ccccc2C1)N[C@H](Cc1cccc(F)c1)c1cccc(F)c1[EOS],42
11.4,Cc1noc2ncc(NC(=O)C3CCC(F)(F)CC3C(=O)Nc3ccc(C(C)C)cn3)cc12,0.5757677755497744,3.685724321163807,[BOS]Cc1noc2ncc(NC(=O)[C@@H]3CCC(F)(F)C[C@H]3C(=O)Nc3ccc(C(C)C)cn3)cc12[EOS][EOS][EOS][EOS][EOS][EOS],42
11.4,CC1Oc2ccc(NC(=O)NCc3ccncc3OCc3ccccc3)cc2NC1=O,0.5666002032542385,2.8137298514448332,[BOS]C[C@H]1Oc2ccc(NC(=O)NCc3ccncc3OCc3ccccc3)cc2NC1=O[EOS],42
11.8,Cc1nc(NC(=O)CN2c3ccc(-c4ccc(Cl)cc4C)cc3CC2C)nc(N(C)C)n1,0.625479660406925,3.074069999140706,[BOS]Cc1nc(NC(=O)CN2c3ccc(-c4ccc(Cl)cc4C)cc3C[C@H]2C)nc(N(C)C)n1[EOS],42
12.5,O=C(c1cc(-c2ccc3ccccc3c2)n[nH]1)N1CCCC1C1=NOC(C2=CC=CNN2)C1,0.5774596712274508,3.9990189836441825,[BOS]O=C(c1cc(-c2ccc3ccccc3c2)n[nH]1)N1CCCC1C1=NOC(C2=CC=CNN2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,Cc1ccc2[nH]c(C(=O)N3CCCC(NC(=O)NC(C)C)C3)nc2c1-c1ccccc1,0.5999490251274623,2.940839117179099,[BOS]Cc1ccc2[nH]c(C(=O)N3CCC[C@@H](NC(=O)NC(C)C)C3)nc2c1-c1ccccc1[EOS],42
12.2,O=C(NC1CCc2[nH]ncc2C1)c1ccc2c(c1)N(C(=O)Cc1cc(Cl)cc3c1OCOC3)CC2,0.5819489849829994,3.476500391627239,[BOS]O=C(N[C@H]1CCc2[nH]ncc2C1)c1ccc2c(c1)N(C(=O)Cc1cc(Cl)cc3c1OCOC3)CC2[EOS][EOS][EOS][EOS],42
11.3,Cc1noc(CC(NC(=O)CCC(=O)c2ccc3c(c2)OCCCO3)c2ccccc2)n1,0.5392483806863735,2.9018424808090924,[BOS]Cc1noc(C[C@H](NC(=O)CCC(=O)c2ccc3c(c2)OCCCO3)c2ccccc2)n1[EOS],42
11.7,O=C(c1cccn2c(=O)[nH]nc12)N1CCCCC1C1CCN(C(=O)C23CC(c4ccccc4)(C2)C3)CC1,0.5959700160671302,4.132714205673393,[BOS]O=C(c1cccn2c(=O)[nH]nc12)N1CCCC[C@@H]1C1CCN(C(=O)C23CC(c4ccccc4)(C2)C3)CC1[EOS][EOS][EOS][EOS][EOS],42
11.9,CC1Cc2cn[nH]c2C(C(=O)N2CC=C(c3c[nH]c4cc(F)ccc34)CC2)C1,0.7075818320120191,3.797305350342879,[BOS]C[C@H]1Cc2cn[nH]c2[C@H](C(=O)N2CC=C(c3c[nH]c4cc(F)ccc34)CC2)C1[EOS],42
11.5,O=C1CC(c2cccc(NC(=O)C3(c4ccc(F)cc4)CC3F)c2)CN1,0.8846684519070083,3.556340583884043,[BOS]O=C1C[C@H](c2cccc(NC(=O)C3(c4ccc(F)cc4)CC3F)c2)CN1[EOS],42
11.7,O=C(NCc1ccc(CN2C(=O)CCCC2=O)cc1)C1CC2CCCCC2N1c1ncccn1,0.6648303462938471,3.491177444051944,[BOS]O=C(NCc1ccc(CN2C(=O)CCCC2=O)cc1)[C@@H]1C[C@H]2CCCC[C@H]2N1c1ncccn1[EOS][EOS],42
12.4,Cc1nnc(-c2ccc(-c3cccc4c3C(=O)NC4=O)c3c(=O)c(C)coc23)o1,0.525712380985362,3.03051839244055,[BOS]Cc1nnc(-c2ccc(-c3cccc4c3C(=O)NC4=O)c3c(=O)c(C)coc23)o1[EOS],42
12.2,C1=NC=C(c2cncc(-c3ccc4c(c3)CC=C3N=c5ccccc5=C34)c2)CC1N1CCNCC1,0.6577117079619519,3.9979076831592355,[BOS]C1=C(c2cncc(-c3ccc4c(c3)CC=C3N=c5ccccc5=C34)c2)CC(N2CCNCC2)C=N1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,O=C(c1ccccc1)c1cccc(-c2noc(C3CNC(=O)c4ccccc43)n2)c1,0.5308085519540701,2.819244935825381,[BOS]O=C1NC[C@H](c2nc(-c3cccc(C(=O)c4ccccc4)c3)no2)c2ccccc21[EOS],42
11.2,O=C(c1cn(-c2ccccc2)nc1-c1ccc(O)cc1)N1CC2CC(C1)c1ccccc12,0.5080217443446868,3.752781812748913,[BOS]O=C(c1cn(-c2ccccc2)nc1-c1ccc(O)cc1)N1C[C@H]2C[C@@H](C1)c1ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,Cc1cc(CNC(=O)N2CCCc3cc(-c4cccc(F)c4)ccc32)cc(N2CCCC2)n1,0.5814446120886566,2.446064603090427,[BOS]Cc1cc(CNC(=O)N2CCCc3cc(-c4cccc(F)c4)ccc32)cc(N2CCCC2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,O=C(CC1CCc2cc(F)ccc2C1)N1CCC2(CC1)Cc1ccccc1CNC2=O,0.8034733108465473,3.5850883069795767,[BOS]O=C(C[C@H]1CCc2cc(F)ccc2C1)N1CCC2(CC1)Cc1ccccc1CNC2=O[EOS],42
11.4,O=C(Nc1cccc2c1COC2=O)c1cccc(S(=O)(=O)N2CCc3sccc3C2)c1,0.6100820256183834,2.549943980179753,[BOS]O=C1OCc2c(NC(=O)c3cccc(S(=O)(=O)N4CCc5sccc5C4)c3)cccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.0,O=C(C1CCS(=O)(=O)C2CN(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)CC12)N1CCOCC1,0.5607285436643665,3.845811794731272,[BOS]O=C([C@H]1CCS(=O)(=O)[C@@H]2CN(Cc3cccc(N4C(=O)c5ccccc5C4=O)c3)C[C@H]12)N1CCOCC1[EOS],42
