rv,smi,qed,sa,cur_sentence,seed
10.6,CC1CCc2c1n[nH]c2C(=O)N1CCCCC1c1cc(NC(=O)c2cnn(C)c2C(F)(F)F)n[nH]1,0.515948328924188,4.0294390967967715,[BOS]C[C@H]1CCc2c1n[nH]c2C(=O)N1CCCC[C@@H]1c1cc(NC(=O)c2cnn(C)c2C(F)(F)F)n[nH]1[EOS],42
9.4,CNC(=O)C1Cc2ccccc2N1Cc1cc(=O)oc2cc3c(cc12)CCC3,0.716251976106175,3.0199345472059527,[BOS]CNC(=O)[C@@H]1Cc2ccccc2N1Cc1cc(=O)oc2cc3c(cc12)CCC3[EOS],42
9.9,O=C(Nc1cccc(-c2ccc3c(c2)CCO3)n1)C1CCc2ccccc2C1,0.7421222434259123,2.7289310048313276,[BOS]O=C(Nc1cccc(-c2ccc3c(c2)CCO3)n1)[C@@H]1CCc2ccccc2C1[EOS],42
9.7,Cn1c(=O)c(CNC(=O)N2CC=C(c3cccc4ccccc34)C2)cc2ccccc21,0.5485175542948381,2.4853160112947066,[BOS]Cn1c(=O)c(CNC(=O)N2CC=C(c3cccc4ccccc34)C2)cc2ccccc21[EOS][EOS][EOS],42
9.7,Cn1cnc(NC(=O)NC2CCc3ccc(-c4ccccc4)cc32)cc1=O,0.7526940723589091,2.8195935297988015,[BOS]Cn1cnc(NC(=O)N[C@H]2CCc3ccc(-c4ccccc4)cc32)cc1=O[EOS],42
10.1,O=C(NCC1CC=CCC1)Nc1cc(C2CCOCC2)nn1-c1noc2ccc(F)cc12,0.5700906138519503,3.5022566300092404,[BOS]O=C(NC[C@@H]1CC=CCC1)Nc1cc(C2CCOCC2)nn1-c1noc2ccc(F)cc12[EOS],42
9.1,CC1(c2c[nH]c3nccc-3c2)Oc2ccccc2-c2ccc(F)cc21,0.5345524624051544,3.2008194282761897,[BOS]C[C@@]1(c2c[nH]c3nccc-3c2)Oc2ccccc2-c2ccc(F)cc21[EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,Cc1[nH]c(=O)c(C(=O)N2CCC(c3ccc(F)cc3)C(COc3ccc4c(c3)OCO4)C2)cc1Cl,0.5587711543861605,3.402171338555015,[BOS]Cc1[nH]c(=O)c(C(=O)N2CC[C@@H](c3ccc(F)cc3)[C@@H](COc3ccc4c(c3)OCO4)C2)cc1Cl[EOS],42
9.8,O=C(Cc1csc(N2CCN=C2O)n1)Nc1ccc(C(=O)N2CCc3ccccc3C2)cc1,0.607864393433531,2.6592881607827348,[BOS]O=C(Cc1csc(N2CCN=C2O)n1)Nc1ccc(C(=O)N2CCc3ccccc3C2)cc1[EOS],42
9.6,Cc1cnc(C(=O)N2CCC3COC(CNC(=O)C4=COC(c5ccccc5)C4)C3C2)cn1,0.7552092158611642,4.193873551401838,[BOS]Cc1cnc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)C4=CO[C@@H](c5ccccc5)C4)[C@H]3C2)cn1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
