rv,smi,qed,sa,cur_sentence,seed
12.2,CN(C)c1cc(CNC(=O)C2CC(=O)N(C)C2c2ccc3c(c2)OCC(C2CC2)O3)c2ccccc2n1,0.5559732500463299,3.8190628666781947,[BOS]CN1C(=O)C[C@H](C(=O)NCc2cc(N(C)C)nc3ccccc23)[C@@H]1c1ccc2c(c1)OCC(C1CC1)O2[EOS],42
12.8,O=c1ccc(C2=NC(c3cc(Cl)c4c(c3O)CCCC4)NN2)nn1C1CCS(=O)(=O)C1,0.6275565707206033,4.18691005629116,[BOS]O=c1ccc(C2=NC(c3cc(Cl)c4c(c3O)CCCC4)NN2)nn1[C@@H]1CCS(=O)(=O)C1[EOS],42
11.9,CC(NC(=O)Nc1cccc(C2CCC(=O)N2)c1)c1ccc(F)c2ccccc12,0.5971402772677548,3.056919374302667,[BOS]C[C@H](NC(=O)Nc1cccc([C@@H]2CCC(=O)N2)c1)c1ccc(F)c2ccccc12[EOS],42
12.8,Cc1ccc(F)c(C(=O)NCC23CCCOC2CCN(C(=O)c2cnc4cccc(Cl)c4c2)C3)c1,0.5652992395266286,3.5861548770165523,[BOS]Cc1ccc(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2cnc4cccc(Cl)c4c2)C3)c1[EOS],42
12.3,NC1CCc2cc(-c3nc4ccc(C(F)(F)F)nc4n3C3CCCC(O)C3)cc(F)c2C1=O,0.5573653756392978,3.971184812654897,[BOS]NC1CCc2cc(-c3nc4ccc(C(F)(F)F)nc4n3C3CCC[C@@H](O)C3)cc(F)c2C1=O[EOS],42
12.5,Cn1c(CC2CCc3ccccc32)nnc1N1CCC(c2nnc3n2CCCC3)CC1,0.6509963080336136,3.3172858715117233,[BOS]Cn1c(C[C@@H]2CCc3ccccc32)nnc1N1CCC(c2nnc3n2CCCC3)CC1[EOS],42
13.8,O=C(c1ccc2c(c1)COC2)N1CCOCC2(C1)CN(C(=O)c1ccnc3ncccc13)CCO2,0.5611326276976574,3.8822156489895097,[BOS]O=C(c1ccc2c(c1)COC2)N1CCOC[C@@]2(C1)CN(C(=O)c1ccnc3ncccc13)CCO2[EOS],42
13.2,O=C(CN1CCNc2ccccc21)N1c2ccccc2C=C(O)C12CCN(c1ncc(Cl)cn1)CC(F)C2,0.5042623309187358,4.463738956928511,[BOS]O=C(CN1CCNc2ccccc21)N1c2ccccc2C=C(O)C12CCN(c1ncc(Cl)cn1)CC(F)C2[EOS],42
12.6,Cn1ccnc1C(=O)N1CCOC2(COCCN(C(=O)c3cccc4c3NC(=O)C4)C2)C2(C)CCC12,0.6793103452903605,4.796914865910699,[BOS]Cn1ccnc1C(=O)N1CCO[C@]2(COCCN(C(=O)c3cccc4c3NC(=O)C4)C2)C2(C)CC[C@@H]21[EOS],42
12.4,CN1CC(CNC(=O)N2CCC3(C2)C(=O)Nc2ccccc23)Cc2ccccc21,0.8285438580649891,3.791461158316162,[BOS]CN1C[C@@H](CNC(=O)N2CC[C@@]3(C2)C(=O)Nc2ccccc23)Cc2ccccc21[EOS],42
12.4,Cc1cc(=O)c2ccc(NC(=O)NC(=O)c3ccccc3C(=O)NC3CCN(C)C(=O)C3)cc2o1,0.528783577076716,3.025655909218891,[BOS]Cc1cc(=O)c2ccc(NC(=O)NC(=O)c3ccccc3C(=O)N[C@H]3CCN(C)C(=O)C3)cc2o1[EOS],42
13.1,O=C1CN(c2nc3ccccc3oc2=O)CCN1c1ccc2c(c1)N(C(=O)O)C(C(F)(F)F)OC2,0.5831073819557782,3.648238326801308,[BOS]O=C1CN(c2nc3ccccc3oc2=O)CCN1c1ccc2c(c1)N(C(=O)O)[C@H](C(F)(F)F)OC2[EOS],42
11.9,CC1CN(C(=O)c2ccc3c(c2)[nH]c(=O)n3C)CC(c2cccc(C(F)(F)F)c2)O1,0.6916546087778073,3.2909650008115694,[BOS]C[C@H]1CN(C(=O)c2ccc3c(c2)[nH]c(=O)n3C)C[C@H](c2cccc(C(F)(F)F)c2)O1[EOS],42
13.9,Cc1cc2c(C)c(C)ccc2c(CC(=O)N2Cc3ccccc3N(C)C2CC(=O)N2CCOCC2)c1O,0.5836613983822821,3.423018950450298,[BOS]Cc1ccc2c(CC(=O)N3Cc4ccccc4N(C)C3CC(=O)N3CCOCC3)c(O)c(C)cc2c1C[EOS],42
13.1,O=C(NCC12CCCOC1CCN(C(=O)CC1Cc3ccccc3C1)C2)c1cccc2cnccc12,0.5914495834981374,3.698801778552646,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)CC1Cc3ccccc3C1)C2)c1cccc2cnccc12[EOS],42
12.4,Cc1noc(-c2ccccc2)c1C(=O)NC1C2COCC1CN(C(=O)C1CC1c1ccc(F)c(F)c1)C2,0.5658094209369698,4.663891082702599,[BOS]Cc1noc(-c2ccccc2)c1C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@@H]1C[C@H]1c1ccc(F)c(F)c1)C2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
