rv,smi,qed,sa,cur_sentence,seed
11.9,O=C(NC1CCc2c1ccc(C1=CC=CC3CC13)c2F)C1CC(=O)N(c2ccccc2)C1,0.7755563328604493,3.924302343933154,[BOS]O=C(N[C@@H]1CCc2c1ccc(C1=CC=CC3C[C@@H]13)c2F)[C@@H]1CC(=O)N(c2ccccc2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1ccc(C2=NOC(CNC(=O)N3CCCN(C(=O)c4ccc(F)cc4)CC3)C2)cc1C,0.7718244038179607,2.8395154747462854,[BOS]Cc1ccc(C2=NO[C@@H](CNC(=O)N3CCCN(C(=O)c4ccc(F)cc4)CC3)C2)cc1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,Cn1nc(C(=O)Nc2nc(-c3ccc4c(c3)CCC(=O)N4)cs2)c2ccccc2c1=O,0.518211594312536,2.4525370657458723,[BOS]Cn1nc(C(=O)Nc2nc(-c3ccc4c(c3)CCC(=O)N4)cs2)c2ccccc2c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,O=C1CCC(c2ccccc2)(c2nc(-c3ccc(F)c4ccccc34)no2)CN1,0.5713814299138359,3.1107907978704485,[BOS]O=C1CC[C@](c2nc(-c3ccc(F)c4ccccc34)no2)(c2ccccc2)CN1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(NC1CC2CCC(C1)N2C(=O)C1CC(c2ccccc2)C=N1)c1n[nH]c2cc(Cl)ccc12,0.5949447200778629,4.796550807758855,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H]1CC(c2ccccc2)C=N1)c1n[nH]c2cc(Cl)ccc12[EOS][EOS][EOS][EOS],42
12.1,CN(C(=O)c1cccc(NC(=O)C2CC(c3ccccc3)OC2=O)c1)c1ccccc1,0.5013796003628593,3.0257692611312645,[BOS]CN(C(=O)c1cccc(NC(=O)[C@H]2C[C@@H](c3ccccc3)OC2=O)c1)c1ccccc1[EOS],42
12.3,CC(NC(=O)c1cncc(-c2ccc3c(c2)CN(C2CCC(O)=NC2=O)C3=O)c1)c1ccccc1,0.5909334150218337,3.5427790308627065,[BOS]C[C@@H](NC(=O)c1cncc(-c2ccc3c(c2)CN(C2CCC(O)=NC2=O)C3=O)c1)c1ccccc1[EOS],42
11.8,Cc1ccc(COCC(=O)N2CCOC3(CCN(C(=O)C4CCCC5CCCCC54)C3)C2)cc1C,0.6294209948060926,4.347972554792375,[BOS]Cc1ccc(COCC(=O)N2CCO[C@]3(CCN(C(=O)[C@@H]4CCC[C@@H]5CCCC[C@H]54)C3)C2)cc1C[EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,CC1CCC(C(=O)N2CCCCC2c2cc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)n[nH]2)O1,0.5095501483239523,3.937246779654836,[BOS]C[C@@H]1CC[C@H](C(=O)N2CCCC[C@H]2c2cc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)n[nH]2)O1[EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1nnnn1-c1cccc(NC(=O)C2CC23CCCN(c2nccc(C(C)C)n2)C3)c1,0.6607569010282652,4.015220831555899,[BOS]Cc1nnnn1-c1cccc(NC(=O)[C@H]2C[C@@]23CCCN(c2nccc(C(C)C)n2)C3)c1[EOS],42
