rv,smi,qed,sa,cur_sentence,seed
11.8,CC(C)(Oc1ccc2c(c1)C(=O)NCC2)C1Cc2c(ccc3ccc(=O)oc23)O1,0.6938142970081389,3.4882608562033273,[BOS]CC(C)(Oc1ccc2c(c1)C(=O)NCC2)[C@@H]1Cc2c(ccc3ccc(=O)oc23)O1[EOS][EOS],42
11.5,CC1(C)CCN(C(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)c2cc(Br)ccc21,0.6615932291433395,3.602596317589656,[BOS]CC1(C)CCN(C(=O)CN2C(=O)N[C@@]3(CCc4ccccc43)C2=O)c2cc(Br)ccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,O=C(Cc1coc2cc3c(cc12)CCC3)N1CCCc2cc(S(=O)(=O)N3CCCC3)ccc21,0.5794662113609859,2.6050155646288893,[BOS]O=C(Cc1coc2cc3c(cc12)CCC3)N1CCCc2cc(S(=O)(=O)N3CCCC3)ccc21[EOS][EOS][EOS][EOS][EOS],42
12.1,O=C(Cc1ccc2c(c1)CCCO2)N1CCOC2(COCCN(C(=O)C3Cc4ccccc4O3)C2)C1,0.6526562889507475,4.073185836409595,[BOS]O=C(Cc1ccc2c(c1)CCCO2)N1CCO[C@]2(COCCN(C(=O)[C@H]3Cc4ccccc4O3)C2)C1[EOS][EOS][EOS],42
11.6,CC1(C)CCc2cccc(C(=O)NCC34CCCOC3CCN(C(=O)C3Cc5ccccc5O3)C4)c2O1,0.6831167694344572,4.082588276968838,[BOS]CC1(C)CCc2cccc(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)[C@@H]3Cc5ccccc5O3)C4)c2O1[EOS][EOS],42
11.9,O=C(CC1(c2cccc(-c3ccccc3)c2)CCOCC1)N1CCC(N2CCCC2)C(F)(F)C1,0.6104443524797419,3.343331715789928,[BOS]O=C(CC1(c2cccc(-c3ccccc3)c2)CCOCC1)N1CC[C@H](N2CCCC2)C(F)(F)C1[EOS][EOS][EOS][EOS][EOS],42
12.1,Cc1cc2oc(=O)c3c(c2cc1C(=O)N1CCc2ccccc2C1)CCCC3,0.6014763863667418,2.3689716472267666,[BOS]Cc1cc2oc(=O)c3c(c2cc1C(=O)N1CCc2ccccc2C1)CCCC3[EOS],42
12.3,Cc1nccc(C(=O)N2CCCCC2C2CCN(C(=O)c3ccc4n[nH]nc4c3)CC2)n1,0.6802296474300197,3.1222672947048746,[BOS]Cc1nccc(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3ccc4n[nH]nc4c3)CC2)n1[EOS][EOS][EOS],42
12.2,Cc1c(C(=O)N2CCOC3(COCCN(C(=O)CCc4cnc5ccccc5c4)C3)C2)cnn1C,0.5709702770289181,3.7424618649479235,[BOS]Cc1c(C(=O)N2CCO[C@@]3(COCCN(C(=O)CCc4cnc5ccccc5c4)C3)C2)cnn1C[EOS][EOS][EOS][EOS][EOS][EOS],42
11.2,COc1cc(C(=O)N2CCCCC2C2CCN(C(=O)c3ccc(-c4ccn[nH]4)cc3)CC2)ccc1O,0.5567980781581723,2.9352915413294056,[BOS]COc1cc(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3ccc(-c4ccn[nH]4)cc3)CC2)ccc1O[EOS][EOS][EOS][EOS],42
11.9,Cc1cccc2cc(C(=O)NCC3OCC4CCN(C(=O)c5[nH]nc6c5CCC6C)CC43)[nH]c12,0.5553045306503922,4.29271271538121,[BOS]Cc1cccc2cc(C(=O)NC[C@@H]3OC[C@@H]4CCN(C(=O)c5[nH]nc6c5CC[C@@H]6C)C[C@@H]43)[nH]c12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,O=C(NC1CC2CCC(C1)N2C(=O)C1CCCC2CCCCC21)c1ccnc2ncccc12,0.7538885452462529,4.663381563963046,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H]1CCC[C@H]2CCCC[C@@H]21)c1ccnc2ncccc12[EOS][EOS],42
11.6,O=S(=O)(c1ccc2ccccc2c1F)N1CCCC(c2nc3c(s2)CCCC3)C1,0.5949022972241871,3.023301508924101,[BOS]O=S(=O)(c1ccc2ccccc2c1F)N1CCC[C@@H](c2nc3c(s2)CCCC3)C1[EOS][EOS][EOS][EOS][EOS][EOS],42
13.5,O=C1CCc2ccc(C(=O)N3CCOCC4(C3)CN(C(=O)C3CCCCC3(F)F)CCO4)cc2N1,0.6869440225814704,4.335309332551297,[BOS]O=C1CCc2ccc(C(=O)N3CCOC[C@@]4(C3)CN(C(=O)[C@H]3CCCCC3(F)F)CCO4)cc2N1[EOS][EOS][EOS],42
12.2,Cc1ccc(O)c(C(=O)NCC2OCC3CCN(C(=O)c4ccc5cc(C)ccc5n4)CC32)c1,0.6235034618371393,3.5835899305345347,[BOS]Cc1ccc(O)c(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)c4ccc5cc(C)ccc5n4)C[C@@H]32)c1[EOS][EOS][EOS][EOS][EOS],42
11.4,O=C(CC1CC2CCC1C2)N1CCC(C2CCCCN2C(=O)C2Cc3ccccc3N2)CC1,0.7379479396646388,4.563082594890881,[BOS]O=C(C[C@@H]1C[C@@H]2CC[C@H]1C2)N1CCC([C@@H]2CCCCN2C(=O)[C@@H]2Cc3ccccc3N2)CC1[EOS][EOS],42
12.4,O=C(NCC12CCCOC1CCN(C(=O)c1ccc3nonc3c1)C2)C1CCN(c2ccccn2)CC1,0.5642726945311344,3.7410797263839726,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1ccc3nonc3c1)C2)C1CCN(c2ccccn2)CC1[EOS][EOS][EOS][EOS],42
11.4,CC12CN(Cc3ccccc3)CC(C)(CN(Cc3nc(O)c4ccccc4n3)C1)C2=O,0.7041759227176798,4.133196962134635,[BOS]CC12CN(Cc3nc(O)c4ccccc4n3)CC(C)(CN(Cc3ccccc3)C1)C2=O[EOS][EOS][EOS],42
11.4,Cc1cccc2c1CN(C(=O)C(Cc1ccccc1)N1Cc3ccccc3C1=O)CC2,0.6484413026125758,2.801217543752525,[BOS]Cc1cccc2c1CN(C(=O)[C@@H](Cc1ccccc1)N1Cc3ccccc3C1=O)CC2[EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,Cn1c(C(=O)N2CCCCC2C2CCN(C(=O)C3Cc4ccccc4C3)CC2)cccc1=O,0.7266871785300175,3.0622069503255744,[BOS]Cn1c(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)C3Cc4ccccc4C3)CC2)cccc1=O[EOS],42
11.9,O=C(NCC1CCc2ccccc2C1)N1Cc2cnn(-c3ccccc3)c2C1,0.762070851609507,2.925084294914738,[BOS]O=C(NC[C@H]1CCc2ccccc2C1)N1Cc2cnn(-c3ccccc3)c2C1[EOS][EOS][EOS],42
11.9,O=C(Nc1ccccc1CNC(=O)C1CCOc2ccccc21)C1CCOc2ccccc2C1,0.5948454831526837,3.130364983573318,[BOS]O=C(Nc1ccccc1CNC(=O)[C@H]1CCOc2ccccc21)[C@@H]1CCOc2ccccc2C1[EOS][EOS][EOS][EOS][EOS],42
12.4,Cc1ccc(CC(=O)N2CC3COCC(C2)C3NC(=O)c2cccc3c2CCCC3)cc1[N+](=O)[O-],0.5263098612181655,4.211919691243777,[BOS]Cc1ccc(CC(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)c2cccc3c2CCCC3)cc1[N+](=O)[O-][EOS][EOS][EOS][EOS][EOS],42
12.9,Cc1cc(C(=O)N2CCCCC2C2CCN(C(=O)C3CNC(=O)C3)CC2)cc2cn[nH]c12,0.7694178210696508,3.534639499766974,[BOS]Cc1cc(C(=O)N2CCCC[C@H]2C2CCN(C(=O)[C@@H]3CNC(=O)C3)CC2)cc2cn[nH]c12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,O=C(CCN1C(=O)c2ccccc2C1=O)NCC1OCC2CCN(C(=O)C3Cc4ccccc4N3)CC21,0.5824438088351772,3.906290135382582,[BOS]O=C(CCN1C(=O)c2ccccc2C1=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H]3Cc4ccccc4N3)C[C@@H]21[EOS][EOS],42
