rv,smi,qed,sa,cur_sentence,seed
13.0,Cc1oncc1C(=O)Nc1cc(C2CCCCN2C(=O)C2C3CCCC2c2ccccc2N3)[nH]n1,0.5164545005647619,4.830752638676379,[BOS]Cc1oncc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@H]2[C@@H]3CCC[C@H]2c2ccccc2N3)[nH]n1[EOS][EOS],42
12.4,O=C(c1n[nH]nc1Nc1ccc2ccc(-c3ccccc3)cc2c1)N1CCCC1,0.5398973829786217,2.31601357983965,[BOS]O=C(c1n[nH]nc1Nc1ccc2ccc(-c3ccccc3)cc2c1)N1CCCC1[EOS][EOS],42
12.4,CC(Cc1cc(F)cc2c1OC(CN1C(=O)C(N)COCc3c(F)ccnc31)C2)c1ccc2c(c1)COC2,0.5477269914856996,4.350899201174377,[BOS]C[C@H](Cc1cc(F)cc2c1O[C@H](CN1C(=O)[C@H](N)COCc3c(F)ccnc31)C2)c1ccc2c(c1)COC2[EOS][EOS],42
11.9,Cc1noc(-c2ccnc(NC3N=C(c4ccccc4)c4ccccc4NC3=O)c2)n1,0.5318483501673207,3.1063705953163456,[BOS]Cc1noc(-c2ccnc(N[C@H]3N=C(c4ccccc4)c4ccccc4NC3=O)c2)n1[EOS],42
13.0,Cc1cc(C(F)(F)C2=C3NN=NC3Oc3ccc(C)c(=O)cc3OC2)cc(-c2ccn[nH]2)c1C,0.5942526885787696,4.257135605650067,[BOS]Cc1c(-c2ccn[nH]2)cc(C(F)(F)C2=C3NN=NC3Oc3ccc(C)c(=O)cc3OC2)cc1C[EOS],42
11.4,COc1nc(NCC2COC3(COCCN(C(=O)OC(C)(C)C)C3)C2)nc2c1ccc1ccccc12,0.5382722235806211,4.168853463616608,[BOS]COc1nc(NC[C@@H]2CO[C@@]3(COCCN(C(=O)OC(C)(C)C)C3)C2)nc2c1ccc1ccccc12[EOS][EOS],42
13.0,Cc1oncc1C(=O)Nc1cc(C2CCCCN2C(=O)C2C3CCCC2c2ccccc2N3)[nH]n1,0.5164545005647619,4.830752638676379,[BOS]Cc1oncc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@H]2[C@@H]3CCC[C@H]2c2ccccc2N3)[nH]n1[EOS][EOS],42
13.2,CC(C(=O)N1C2CCC1CC(NC(=O)C1=C3c4ccccc4C(=O)N3CC1)C2)c1ccc(Cl)cc1,0.6936739262471185,4.432762711162963,[BOS]C[C@H](C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)C1=C3c4ccccc4C(=O)N3CC1)C2)c1ccc(Cl)cc1[EOS][EOS],42
12.9,Cn1nnnc1-c1cccc(NC2c3cccc(F)c3C3CCC2N3c2cnccn2)c1,0.5307030447692648,4.651081110900504,[BOS]Cn1nnnc1-c1cccc(N[C@H]2c3cccc(F)c3[C@@H]3CC[C@H]2N3c2cnccn2)c1[EOS][EOS],42
12.1,CCn1nnnc1-c1cccc(NC(=O)N2CC3Oc4c(F)ccc(F)c4OC3C2)c1,0.6895005067258971,3.650103228287703,[BOS]CCn1nnnc1-c1cccc(NC(=O)N2C[C@@H]3Oc4c(F)ccc(F)c4O[C@@H]3C2)c1[EOS][EOS],42
