rv,smi,qed,sa,cur_sentence,seed
12.0,CC(Oc1ccc(C(=O)N2CCCC(c3nnc4n3CCCCC4)C2)cc1)c1ccccc1,0.5450837848246477,3.083797041227249,[BOS]C[C@H](Oc1ccc(C(=O)N2CCC[C@@H](c3nnc4n3CCCCC4)C2)cc1)c1ccccc1[EOS],42
12.2,O=C(Nc1ccc(C(=O)N2CCOCC2)c(F)c1C1CCCC1Cl)C(=O)N1CCc2ccccc2C1,0.5012580592789724,3.5502988617039692,[BOS]O=C(Nc1ccc(C(=O)N2CCOCC2)c(F)c1[C@@H]1CCC[C@@H]1Cl)C(=O)N1CCc2ccccc2C1[EOS],42
12.9,O=C(c1cc2c(C3CCCOC3)cccc2n1C1CCNCC1)N1CC2CC1CN2c1ccc(F)cn1,0.5810886175755543,4.69026201501168,[BOS]O=C(c1cc2c(C3CCCOC3)cccc2n1C1CCNCC1)N1C[C@H]2C[C@H]1CN2c1ccc(F)cn1[EOS],42
11.8,O=C(Nc1nnc(C2CCCOC2)s1)c1ccc(F)cc1-c1nc2ccccc2o1,0.5136416624196521,2.9888257050561506,[BOS]O=C(Nc1nnc([C@H]2CCCOC2)s1)c1ccc(F)cc1-c1nc2ccccc2o1[EOS],42
11.6,CC1CCCN1C(=O)c1cc2oc(-c3c(F)cccc3F)nc2n1CC(=O)N1CCC2(CC1)NC=C(N)C2=O,0.5227969433310109,4.342139218543382,[BOS]C[C@H]1CCCN1C(=O)c1cc2oc(-c3c(F)cccc3F)nc2n1CC(=O)N1CCC2(CC1)NC=C(N)C2=O[EOS],42
11.5,Cc1cc(CN(C)C(=O)Nc2ccon2)cc(C)c1CCc1cccc(F)c1F,0.633265781097528,2.653989707846012,[BOS]Cc1cc(CN(C)C(=O)Nc2ccon2)cc(C)c1CCc1cccc(F)c1F[EOS],42
12.0,CCc1ccc(NC(=O)c2ccc3c(c2)CCC3)cc1S(=O)(=O)N1CCN(c2ccccn2)CC1,0.5668426079967512,2.348486492339976,[BOS]CCc1ccc(NC(=O)c2ccc3c(c2)CCC3)cc1S(=O)(=O)N1CCN(c2ccccn2)CC1[EOS],42
12.4,Cc1ccc(C2CCCN(S(=O)(=O)c3ccc4c(c3)N(C)CCC4)C2)cc1C(=O)N1CCCC(O)C1,0.6792194454724992,3.3500847291203915,[BOS]Cc1ccc([C@@H]2CCCN(S(=O)(=O)c3ccc4c(c3)N(C)CCC4)C2)cc1C(=O)N1CCC[C@@H](O)C1[EOS],42
11.9,O=C(c1ccc(F)cc1)c1ccccc1C(=O)N1CCC(C(=O)Nc2ccc3c(c2)OCO3)CC1,0.5584000114004173,2.1739015723095108,[BOS]O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2ccccc2C(=O)c2ccc(F)cc2)CC1[EOS],42
12.1,Cc1cccc(C(=O)N2CCOC3(CCN(C(=O)Cc4ccccc4Cc4ccccc4F)C3)CC2)c1[O-],0.5172353536072181,3.7892128214990066,[BOS]Cc1cccc(C(=O)N2CCO[C@@]3(CCN(C(=O)Cc4ccccc4Cc4ccccc4F)C3)CC2)c1[O-][EOS],42
11.2,Cc1ccc(C(C)CNC(=O)c2ccc(S(=O)(=O)NC(C)(C)C)c3ccccc23)c(F)c1F,0.5258291480371836,3.006301765409959,[BOS]Cc1ccc([C@@H](C)CNC(=O)c2ccc(S(=O)(=O)NC(C)(C)C)c3ccccc23)c(F)c1F[EOS],42
11.8,O=C(C1CCCCN1C(=O)c1cc(-c2ccc(Cl)c(Cl)c2)nc2ccccc12)N1CCOCC1,0.5065935599149509,2.7569154035307584,[BOS]O=C([C@H]1CCCCN1C(=O)c1cc(-c2ccc(Cl)c(Cl)c2)nc2ccccc12)N1CCOCC1[EOS],42
12.1,O=C(c1ccc2c(c1)NCC(C1CC1)=C2)c1ccc(F)c(S(=O)(=O)N2CCN(C3CCCCC3)CC2)c1,0.5449257548675167,2.938661966390379,[BOS]O=C(c1ccc(F)c(S(=O)(=O)N2CCN(C3CCCCC3)CC2)c1)c1ccc2c(c1)NCC(C1CC1)=C2[EOS],42
