rv,smi,qed,sa,cur_sentence,seed
12.7,Cc1c(C(=O)NCC23CCCOC2CCN(C(=O)C2CCCC4CCCCC42)C3)cn2nc[nH]c(=O)c12,0.6585738121598116,4.722745980017899,[BOS]Cc1c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)[C@@H]2CCC[C@@H]4CCCC[C@@H]42)C3)cn2nc[nH]c(=O)c12[EOS],42
12.2,Cc1onc(C(=O)Nc2cc(C3CCCCN3C(=O)C3CCc4ccccc4C3O)[nH]n2)c1C,0.5428731380472445,3.8719410804155796,[BOS]Cc1onc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3CCc4ccccc4[C@H]3O)[nH]n2)c1C[EOS],42
11.7,CC1C(O)=Nc2nc(-c3cncn3-c3cc(C(=O)N4CCCCC4)ccc3F)nc(O)c2C1C,0.6017071433105178,4.012916291265627,[BOS]C[C@H]1c2c(O)nc(-c3cncn3-c3cc(C(=O)N4CCCCC4)ccc3F)nc2N=C(O)[C@H]1C[EOS],42
12.1,Cc1onc(C(=O)Nc2cc(C3CCCCN3C(=O)C3CCc4ccccc4C3O)[nH]n2)c1C,0.5428731380472445,3.8719410804155796,[BOS]Cc1onc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3CCc4ccccc4[C@@H]3O)[nH]n2)c1C[EOS],42
12.2,Cc1noc2nc(-c3cccc(C(F)(F)F)c3)cc(C(=O)N3CC(C)S(=O)(=O)C(C)C3)c12,0.5682298789425503,3.7377513842093677,[BOS]Cc1noc2nc(-c3cccc(C(F)(F)F)c3)cc(C(=O)N3C[C@H](C)S(=O)(=O)[C@@H](C)C3)c12[EOS],42
11.3,CC(Cc1cn(C)c2ccccc12)C(=O)N1CCCC2(CCN(C(=O)OC(C)(C)C)CC2)C1,0.6574061870519142,3.5653043778722884,[BOS]C[C@H](Cc1cn(C)c2ccccc12)C(=O)N1CCCC2(CCN(C(=O)OC(C)(C)C)CC2)C1[EOS][EOS],42
12.2,CN(c1nnc(-c2n[nH]c(=O)c3ccccc23)n1C)C1CCc2ccccc2C1,0.5856240871119187,3.1628179924405844,[BOS]Cn1c(-c2n[nH]c(=O)c3ccccc23)nnc1N(C)[C@@H]1CCc2ccccc2C1[EOS][EOS],42
12.3,Cc1oncc1C(=O)Nc1cc(C2CCCCN2C(=O)c2ccc3c(c2)CC(=O)N3)[nH]n1,0.5782404745818938,3.311964813315294,[BOS]Cc1oncc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)c2ccc3c(c2)CC(=O)N3)[nH]n1[EOS][EOS],42
12.2,Cc1onc(C(=O)Nc2cc(C3CCCCN3C(=O)C3CCc4ccccc4C3)[nH]n2)c1C,0.6259215559375967,3.5461427017306066,[BOS]Cc1onc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3CCc4ccccc4C3)[nH]n2)c1C[EOS][EOS],42
12.1,Cc1c(-c2nnc(N3CCCC(C(N)=O)C3)n2C)oc2c1ccc1ccccc12,0.5799778962381904,3.102510346472096,[BOS]Cn1c(-c2oc3c(ccc4ccccc43)c2C)nnc1N1CCC[C@@H](C(N)=O)C1[EOS][EOS],42
12.4,Cn1c(-c2n[nH]c(=O)c3ccccc23)nnc1N1CCN2C(=O)C(=O)NCC2C1,0.5260634687481872,3.4139904206148186,[BOS]Cn1c(-c2n[nH]c(=O)c3ccccc23)nnc1N1CCN2C(=O)C(=O)NC[C@H]2C1[EOS][EOS],42
13.2,CC1CN(c2nnc(Cc3cnnc4ccccc34)n2C)Cc2ccccc2O1,0.5388180289230097,3.21621704221434,[BOS]Cn1c(Cc2cnnc3ccccc23)nnc1N1Cc2ccccc2O[C@H](C)C1[EOS][EOS],42
11.7,Cn1nnnc1-c1cccc(NC(=O)N2CCC(C(=O)Nc3nncs3)CC2)c1,0.6641934302489144,2.5154341522904566,[BOS]Cn1nnnc1-c1cccc(NC(=O)N2CCC(C(=O)Nc3nncs3)CC2)c1[EOS],42
12.5,Cc1oncc1C(=O)Nc1cc(C2CCCCN2C(=O)C2=Cc3ccccc3NC(=O)C2)[nH]n1,0.5462178846783016,3.5492234098101942,[BOS]Cc1oncc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)C2=Cc3ccccc3NC(=O)C2)[nH]n1[EOS],42
