rv,smi,qed,sa,cur_sentence,seed
11.4,Oc1cc2ccccc2cc1-c1nnc(-c2ccc(N3CCOCC3)cc2)c2c1CNCC2,0.500800237879338,2.7282700877843045,[BOS]Oc1cc2ccccc2cc1-c1nnc(-c2ccc(N3CCOCC3)cc2)c2c1CNCC2[EOS],42
11.8,CC(=O)Nc1cc(C(=O)N2CCC(C3CCCCN3C(=O)CCc3cccc(C)c3)CC2)ccc1C,0.6117413661725185,2.7742095016496293,[BOS]CC(=O)Nc1cc(C(=O)N2CCC([C@@H]3CCCCN3C(=O)CCc3cccc(C)c3)CC2)ccc1C[EOS],42
11.6,CC1CCC2(CC1)CCN(C(=O)C(=O)Nc1cc3n(n1)CCCOCc1ccccc1-3)CC2,0.6599947910361665,3.881507764159915,[BOS]CC1CCC2(CC1)CCN(C(=O)C(=O)Nc1cc3n(n1)CCCOCc1ccccc1-3)CC2[EOS],42
12.2,O=C1CCc2ccc(-c3noc(C4CCC(=O)N4c4ccc(Cl)c(C(F)(F)F)c4)n3)cc21,0.5212667976525006,3.225463274853758,[BOS]O=C1CC[C@@H](c2nc(-c3ccc4c(c3)C(=O)CC4)no2)N1c1ccc(Cl)c(C(F)(F)F)c1[EOS],42
11.6,Cc1cccc(Cn2cc3c(n2)C(CNS(=O)(=O)c2ccc4c(c2)CCN4C(=O)C(F)(F)F)OCC3)c1,0.5241377018523259,3.5144448380242617,[BOS]Cc1cccc(Cn2cc3c(n2)[C@H](CNS(=O)(=O)c2ccc4c(c2)CCN4C(=O)C(F)(F)F)OCC3)c1[EOS],42
11.2,CC(NC(=O)CN1CCCC(S(=O)(=O)N2CCc3ccccc32)C1)c1ccc2ccccc2c1,0.5851726382308275,3.2073003179532247,[BOS]C[C@@H](NC(=O)CN1CCC[C@@H](S(=O)(=O)N2CCc3ccccc32)C1)c1ccc2ccccc2c1[EOS],42
12.0,O=C(NC1Cc2ccccc2NC1=O)c1ccc(F)c(S(=O)(=O)N2CCN(c3ncccn3)CC2)c1,0.5319806499979597,2.9940329959166405,[BOS]O=C(N[C@@H]1Cc2ccccc2NC1=O)c1ccc(F)c(S(=O)(=O)N2CCN(c3ncccn3)CC2)c1[EOS],42
11.6,CN(C(=O)C(=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1)C1CCS(=O)(=O)CC1,0.6131989344164176,2.5164092487357497,[BOS]CN(C(=O)C(=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1)C1CCS(=O)(=O)CC1[EOS],42
11.7,O=C(NCc1ccc2c(c1)OCO2)c1ccccc1NC(=O)N1Cc2ccccc2CC(O)C1,0.5560315503079829,2.7966030444612553,[BOS]O=C(Nc1ccccc1C(=O)NCc1ccc2c(c1)OCO2)N1Cc2ccccc2C[C@H](O)C1[EOS],42
11.5,CC1Oc2cc(-c3nc(-c4ccc(-c5ccc(F)cc5F)cc4)no3)ccc2NC1=O,0.5018385932343901,2.8625072066738753,[BOS]C[C@H]1Oc2cc(-c3nc(-c4ccc(-c5ccc(F)cc5F)cc4)no3)ccc2NC1=O[EOS][EOS][EOS][EOS][EOS][EOS],42
