rv,smi,qed,sa,cur_sentence,seed
10.6,O=C(NS(=O)(=O)c1cccc2ncccc12)C1CC12CCCc1ccccc12,0.7417585948018107,3.7364255152793318,[BOS]O=C(NS(=O)(=O)c1cccc2ncccc12)[C@H]1C[C@@]12CCCc1ccccc12[EOS],42
11.5,CN1CCN(C(=O)c2c3c(nc4ccccc24)CCCCC3)c2ccc(F)cc21,0.5642679300192354,2.487006679762983,[BOS]CN1CCN(C(=O)c2c3c(nc4ccccc24)CCCCC3)c2ccc(F)cc21[EOS],42
11.0,Cc1cc(C)n2ncc(C(=O)N3CC(c4cccc(C(F)(F)F)c4)CCC3C)c2n1,0.6045655090374115,3.293944426205453,[BOS]Cc1cc(C)n2ncc(C(=O)N3C[C@H](c4cccc(C(F)(F)F)c4)CC[C@@H]3C)c2n1[EOS],42
10.9,O=C(c1ccc2cncc(Br)c2n1)N1Cc2ccc(O)cc2C2(CC2)C1,0.6632612767563606,3.3008236206740795,[BOS]O=C(c1ccc2cncc(Br)c2n1)N1Cc2ccc(O)cc2C2(CC2)C1[EOS],42
10.8,Cc1ccc(C2=CCCN(C(=O)C(NS(=O)(=O)c3ccc4c(c3)OCCCO4)C(C)C)C2)cc1,0.6746894184585346,3.0819533941116077,[BOS]Cc1ccc(C2=CCCN(C(=O)[C@H](NS(=O)(=O)c3ccc4c(c3)OCCCO4)C(C)C)C2)cc1[EOS],42
10.7,NC(=O)C(=O)Nc1cccc(NC(=O)c2cc(Oc3ccccc3)ccc2C(F)(F)F)c1,0.5141231937189652,2.201224490883403,[BOS]NC(=O)C(=O)Nc1cccc(NC(=O)c2cc(Oc3ccccc3)ccc2C(F)(F)F)c1[EOS],42
11.0,Cc1ccc(N2CCC(O)(CNC(=O)c3cncc(-c4ccc5c(c4)CCO5)c3)C2=O)cc1,0.632792919682667,3.144275290406548,[BOS]Cc1ccc(N2CC[C@@](O)(CNC(=O)c3cncc(-c4ccc5c(c4)CCO5)c3)C2=O)cc1[EOS],42
11.3,Cc1cc(C(=O)N2CCCC3(CCN(C(=O)C(C)Nc4cnccn4)CC3)C2)nc2nccn12,0.6329231544883267,3.947569337872409,[BOS]Cc1cc(C(=O)N2CCCC3(CCN(C(=O)[C@H](C)Nc4cnccn4)CC3)C2)nc2nccn12[EOS],42
10.1,CC1CN(C(=O)c2ccncc2)CC(C)N1Cc1cccc(C(=O)N2CCCC2)c1,0.7831653241442031,3.0286624963392974,[BOS]C[C@@H]1CN(C(=O)c2ccncc2)C[C@@H](C)N1Cc1cccc(C(=O)N2CCCC2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.2,NC(=O)c1cccc(-c2nc(-c3ccc(F)c4ccccc34)no2)c1O,0.5892084303199303,2.3304773065114777,[BOS]NC(=O)c1cccc(-c2nc(-c3ccc(F)c4ccccc34)no2)c1O[EOS],42
