rv,smi,qed,sa,cur_sentence,seed
9.2,Cc1cc(C)cc(N2CCN3C(=O)NC(c4ccc(O)cc4)N3C2=O)c1,0.872508261141763,3.337433087253409,[BOS]Cc1cc(C)cc(N2CCN3C(=O)N[C@@H](c4ccc(O)cc4)N3C2=O)c1[EOS],42
9.0,CC1Cc2cn[nH]c2C(C(=O)NC(c2cccc(S(C)(=O)=O)c2)c2ccc(F)c(F)c2)C1,0.6091734791342523,3.7685070372165033,[BOS]C[C@@H]1Cc2cn[nH]c2[C@H](C(=O)N[C@H](c2cccc(S(C)(=O)=O)c2)c2ccc(F)c(F)c2)C1[EOS][EOS][EOS][EOS],42
9.3,O=C(NCC1OCC2CCN(C(=O)Cc3ccc4ncccc4c3)CC21)c1ccc(F)cc1F,0.6275364130285677,3.5483988512162075,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3ccc4ncccc4c3)C[C@@H]21)c1ccc(F)cc1F[EOS],42
9.4,O=C(CC1CNc2ccccc2O1)NCC1OCC2CCN(C(=O)C3CCc4nc[nH]c4C3)CC21,0.6031871782435299,4.464137227995657,[BOS]O=C(C[C@H]1CNc2ccccc2O1)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H]3CCc4nc[nH]c4C3)C[C@@H]21[EOS][EOS][EOS][EOS],42
9.7,O=C(NC(CC(=O)N1CCCOC(c2ccccc2)C1)c1ccccc1)c1ccc(O)cc1,0.5960332297365342,2.8975204750099604,[BOS]O=C(N[C@H](CC(=O)N1CCCO[C@H](c2ccccc2)C1)c1ccccc1)c1ccc(O)cc1[EOS][EOS],42
9.1,O=C(NCc1nnc(N2CCCCCC2)n1CC1CCC(F)(F)CC1)c1cccs1,0.7240463251600777,2.7805329186798353,[BOS]O=C(NCc1nnc(N2CCCCCC2)n1CC1CCC(F)(F)CC1)c1cccs1[EOS][EOS][EOS][EOS],42
10.1,O=C(NCC1CC2c3ccccc3C1c1ccccc12)c1ccc2n[nH]nc2n1,0.5698421494904002,3.8870192467393654,[BOS]O=C(NC[C@@H]1CC2c3ccccc3C1c1ccccc12)c1ccc2n[nH]nc2n1[EOS][EOS][EOS],42
9.3,O=C(Cc1ccc2ncccc2c1)N1CCC(C2CCCCN2C(=O)c2ccc(=O)[nH]n2)CC1,0.6468570458252023,3.0230603871185995,[BOS]O=C(Cc1ccc2ncccc2c1)N1CCC([C@@H]2CCCCN2C(=O)c2ccc(=O)[nH]n2)CC1[EOS][EOS][EOS][EOS],42
9.9,Nc1nnc(CCNC(=O)C2CSC3(c4ccc(C(F)(F)F)cc4)CCC(=O)N23)o1,0.7286253706601946,3.728038627185196,[BOS]Nc1nnc(CCNC(=O)[C@H]2CS[C@@]3(c4ccc(C(F)(F)F)cc4)CCC(=O)N23)o1[EOS],42
9.5,O=C(c1cc2c([nH]1)CCC2)N1Cc2ccccc2-c2ccccc2C1,0.7091139719807116,2.381498845324252,[BOS]O=C(c1cc2c([nH]1)CCC2)N1Cc2ccccc2-c2ccccc2C1[EOS][EOS],42
9.0,O=C(Nc1cccnc1)C12COCC1CN(S(=O)(=O)c1ccc3c(Cl)cccc3c1)C2,0.6496930669987454,3.5660555186939265,[BOS]O=C(Nc1cccnc1)[C@@]12COC[C@@H]1CN(S(=O)(=O)c1ccc3c(Cl)cccc3c1)C2[EOS],42
9.4,Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)Nc4cc5n(n4)CCCC5)c3)cc21,0.5638140646480156,2.7841336028399066,[BOS]Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)Nc4cc5n(n4)CCCC5)c3)cc21[EOS][EOS][EOS],42
9.2,CN1Cc2cc(-c3noc(C4CCCN(C(=O)NC5CCCC5)C4)n3)ccc2NC1=O,0.7842956497978666,3.1618883129832955,[BOS]CN1Cc2cc(-c3noc([C@@H]4CCCN(C(=O)NC5CCCC5)C4)n3)ccc2NC1=O[EOS][EOS][EOS],42
9.8,Cc1noc2ncc(NS(=O)(=O)c3ccc4c(c3)NC(=O)CO4)cc12,0.7278117262301471,2.6380219837389394,[BOS]Cc1noc2ncc(NS(=O)(=O)c3ccc4c(c3)NC(=O)CO4)cc12[EOS],42
9.9,O=C1CC(c2cc3cccnc3o2)C2C(=Nc3[nH]c(=O)[nH]c(=O)c32)N1C1CCCCCCC1,0.6224545225910012,4.121032975009959,[BOS]O=C1C[C@@H](c2cc3cccnc3o2)[C@@H]2C(=Nc3[nH]c(=O)[nH]c(=O)c32)N1C1CCCCCCC1[EOS][EOS],42
8.8,CCn1nc(C(=O)N2C3CCC2CC(NC(=O)CN(C)C(=O)c2ccccc2)C3)c2ccccc21,0.5961059372253036,3.9244167681668545,[BOS]CCn1nc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)CN(C)C(=O)c2ccccc2)C3)c2ccccc21[EOS][EOS][EOS],42
9.0,Cc1cn(CC(=O)NCC2OCC3CCN(C(=O)C4CC4c4ccccc4)CC32)c(=O)[nH]c1=O,0.6483823257455068,4.036498366943112,[BOS]Cc1cn(CC(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)[C@H]4C[C@@H]4c4ccccc4)C[C@@H]32)c(=O)[nH]c1=O[EOS],42
9.7,CC1Oc2cc(C(=O)Nc3ccc4c(c3)C(=O)NCCO4)ccc2NC1=O,0.7503083940833246,2.944805456333805,[BOS]C[C@@H]1Oc2cc(C(=O)Nc3ccc4c(c3)C(=O)NCCO4)ccc2NC1=O[EOS],42
9.1,O=C(C(=O)N1C2CCC1CC(NC(=O)c1noc3c1CCCC3)C2)c1ccccc1,0.6214080458422306,4.085583820343835,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C(=O)c1ccccc1)c1noc2c1CCCC2[EOS][EOS][EOS][EOS],42
8.8,Fc1cccc(-c2nc(N3CCOCC3)nc3c2CCN3)c1OCc1ccccc1,0.6978448909654449,2.57704965935876,[BOS]Fc1cccc(-c2nc(N3CCOCC3)nc3c2CCN3)c1OCc1ccccc1[EOS][EOS],42
9.6,O=C(c1cnc2ccoc2c1)N1CCOCC2(C1)CN(C(=O)c1cc(F)cc(F)c1)CCO2,0.5880488479848108,3.8320115597064737,[BOS]O=C(c1cnc2ccoc2c1)N1CCOC[C@@]2(C1)CN(C(=O)c1cc(F)cc(F)c1)CCO2[EOS][EOS],42
9.5,CC1Oc2cc(C(=O)n3cc(N)c(=O)nc3N)ccc2NC1=O,0.6618364469327288,3.438491195541543,[BOS]C[C@@H]1Oc2cc(C(=O)n3cc(N)c(=O)nc3N)ccc2NC1=O[EOS][EOS][EOS],42
10.5,c1cncc(-c2nc(N3CCOC4(CC5CCC4C5)C3)c3ccccc3n2)c1,0.6781865294813071,4.7495764068128,[BOS]c1ccc2c(N3CCO[C@@]4(CC5CC[C@H]4C5)C3)nc(-c3cccnc3)nc2c1[EOS][EOS][EOS][EOS],42
9.9,Nc1cn(C(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)c(N)nc1=O,0.6913386414256352,2.846014165889539,[BOS]Nc1cn(C(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)c(N)nc1=O[EOS][EOS],42
10.9,CC1(c2cccc(NC(=O)NC3(c4ccc5c(c4)OCCO5)CCCC3)c2)COC(=O)N1,0.6716304446273281,3.3586226296924666,[BOS]C[C@]1(c2cccc(NC(=O)NC3(c4ccc5c(c4)OCCO5)CCCC3)c2)COC(=O)N1[EOS][EOS][EOS],42
9.7,Fc1ccc(-c2nc(N3C4CCC3CNC4)c3ccccc3n2)c(F)c1F,0.6993966273856139,3.9937380754995715,[BOS]Fc1ccc(-c2nc(N3C4CCC3CNC4)c3ccccc3n2)c(F)c1F[EOS][EOS][EOS],42
10.6,CC1Oc2ccc(C(=O)N3CCOC4(CCN(C(=O)c5cc(F)cc(F)c5F)C4)C3)cc2NC1=O,0.6557076746003134,4.051380158296979,[BOS]C[C@H]1Oc2ccc(C(=O)N3CCO[C@@]4(CCN(C(=O)c5cc(F)cc(F)c5F)C4)C3)cc2NC1=O[EOS],42
9.1,O=C(Nc1cccc(CNC(=O)N2CC3C(C2)C3(F)F)c1)c1ccc(F)cc1,0.8411351817684501,3.1001117551897917,[BOS]O=C(Nc1cccc(CNC(=O)N2C[C@@H]3[C@@H](C2)C3(F)F)c1)c1ccc(F)cc1[EOS],42
10.0,O=C1CN(c2ccc(NC(=O)C3CC(=O)N(c4ccc5c(c4)CCC5)C3)cn2)CCN1,0.7833056194334078,2.962940620675603,[BOS]O=C1CN(c2ccc(NC(=O)[C@H]3CC(=O)N(c4ccc5c(c4)CCC5)C3)cn2)CCN1[EOS][EOS][EOS],42
9.0,Nc1n[nH]c2ccc(Nc3cc(C(F)(F)F)cc4ncccc34)cc12,0.5020940558611592,2.4368081159166213,[BOS]Nc1n[nH]c2ccc(Nc3cc(C(F)(F)F)cc4ncccc34)cc12[EOS][EOS],42
9.2,Cn1c(Cc2ccncc2OC2C=C(c3ccc(F)cc3)C=CC2)cc(N2C(=O)CN=C2O)cc1=O,0.5747919664345364,3.9913244074177623,[BOS]Cn1c(Cc2ccncc2OC2C=C(c3ccc(F)cc3)C=CC2)cc(N2C(=O)CN=C2O)cc1=O[EOS][EOS],42
8.7,CC(NC(=O)C1=NN(c2ccccc2)C(C(N)=O)C1)(c1ccccc1)c1ccccc1,0.6517941696805536,2.887318269768082,[BOS]CC(NC(=O)C1=NN(c2ccccc2)[C@H](C(N)=O)C1)(c1ccccc1)c1ccccc1[EOS],42
9.2,CC1COC(c2ccccc2)C(C)N1C(=O)c1cccc(Nc2ncccn2)c1,0.7251178117603336,3.3920183161071957,[BOS]C[C@@H]1CO[C@@H](c2ccccc2)[C@@H](C)N1C(=O)c1cccc(Nc2ncccn2)c1[EOS],42
9.5,O=C(CC1CNc2ccccc2O1)NCC1OCC2CCN(C(=O)c3cc4n(n3)CCNC4=O)CC21,0.5520001947893161,4.305679533049438,[BOS]O=C(C[C@H]1CNc2ccccc2O1)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3cc4n(n3)CCNC4=O)C[C@@H]21[EOS][EOS][EOS][EOS],42
9.1,O=C(NC1Cc2cnccc2NC1=O)c1ccc(=O)n(-c2ccc(F)cc2)n1,0.7078867763756707,2.9860265771204837,[BOS]O=C(N[C@H]1Cc2cnccc2NC1=O)c1ccc(=O)n(-c2ccc(F)cc2)n1[EOS][EOS][EOS],42
9.5,O=C(c1cnc2cccc(Cl)c2c1)N1CCC(C2CCCCN2C(=O)c2n[nH]c(=O)[nH]2)CC1,0.6129091197341296,3.2613073551838747,[BOS]O=C(c1cnc2cccc(Cl)c2c1)N1CCC([C@H]2CCCCN2C(=O)c2n[nH]c(=O)[nH]2)CC1[EOS][EOS][EOS],42
9.4,O=C(NC(Cc1ccc(O)cc1)c1nc2ccccc2[nH]1)C1CCS(=O)(=O)N1,0.5147779771067453,3.513456012736042,[BOS]O=C(N[C@@H](Cc1ccc(O)cc1)c1nc2ccccc2[nH]1)[C@@H]1CCS(=O)(=O)N1[EOS][EOS],42
10.3,O=C(c1ccc(=O)[nH]c1)N1CCC2CN(c3ccc4nccnc4n3)CC21,0.7325555805402245,3.483143901673815,[BOS]O=C(c1ccc(=O)[nH]c1)N1CC[C@H]2CN(c3ccc4nccnc4n3)C[C@H]21[EOS][EOS],42
9.9,O=C(C1CN(C(=O)C2CCN(S(=O)(=O)c3ccccc3)CC2)c2ccccc2O1)N1CCOCC1,0.6359976030167505,2.8768451611268127,[BOS]O=C([C@H]1CN(C(=O)C2CCN(S(=O)(=O)c3ccccc3)CC2)c2ccccc2O1)N1CCOCC1[EOS][EOS],42
9.3,O=C(NCc1cc2ccc(O)nc2c(OCc2ccc(F)c(F)c2)n1)C1CCCN1,0.5738323531259074,3.267969948022486,[BOS]O=C(NCc1cc2ccc(O)nc2c(OCc2ccc(F)c(F)c2)n1)[C@@H]1CCCN1[EOS][EOS],42
10.4,O=C1Cc2cc(-c3nc(N4CCCCC4)cc4ccccc34)ccc2CN1,0.7520698004761934,2.4757719233764828,[BOS]O=C1Cc2cc(-c3nc(N4CCCCC4)cc4ccccc34)ccc2CN1[EOS][EOS][EOS][EOS],42
9.7,O=C(NCC1OCC2CCN(C(=O)C3(c4ccccc4F)CC3)CC21)c1n[nH]c2ccc(F)cc12,0.5874720451152721,3.8732531277049684,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)C3(c4ccccc4F)CC3)C[C@@H]21)c1n[nH]c2ccc(F)cc12[EOS][EOS][EOS][EOS],42
