rv,smi,qed,sa,cur_sentence,seed
12.5,O=C(NC1CC1c1cccc2ccccc12)C1CCCCC1C(=O)N1C=CC=NC1S(=O)(=O)N1CCCCC1,0.5864888432595518,4.377778856522948,[BOS]O=C(N[C@@H]1C[C@H]1c1cccc2ccccc12)[C@@H]1CCCC[C@@H]1C(=O)N1C=CC=NC1S(=O)(=O)N1CCCCC1[EOS],42
11.6,Cc1nnc(-c2cccc(C(=O)N3CC(C)OC(c4cccc(C(F)(F)F)c4)C3)c2)o1,0.6031558914186,3.2212514356015056,[BOS]Cc1nnc(-c2cccc(C(=O)N3C[C@@H](C)O[C@@H](c4cccc(C(F)(F)F)c4)C3)c2)o1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,Cc1nc2ccccc2c(C(=O)NC2CCc3ccccc3C2=O)c1-c1ccccc1,0.5126094622861761,2.739336005290985,[BOS]Cc1nc2ccccc2c(C(=O)N[C@@H]2CCc3ccccc3C2=O)c1-c1ccccc1[EOS],42
12.4,CC(NC(=O)C1CCCN1C(=O)Nc1ccc2ccccc2c1)c1cccc(N2CCCC2=O)c1,0.5598644069856789,3.0047345053486154,[BOS]C[C@H](NC(=O)[C@@H]1CCCN1C(=O)Nc1ccc2ccccc2c1)c1cccc(N2CCCC2=O)c1[EOS],42
12.5,O=C(c1cccc(-c2noc(C(F)(F)F)n2)c1)N1CCC2(CCc3ccccc3O2)C1,0.6054269296239657,3.538138367480874,[BOS]O=C(c1cccc(-c2noc(C(F)(F)F)n2)c1)N1CC[C@]2(CCc3ccccc3O2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,Cc1ccc(-c2cc(C(=O)NC3CCCN(c4ncccn4)C3)c3ccccc3n2)c(C)c1,0.5007757361973731,2.7500421932405548,[BOS]Cc1ccc(-c2cc(C(=O)N[C@@H]3CCCN(c4ncccn4)C3)c3ccccc3n2)c(C)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.3,O=C(Nc1cccc(-c2ccc3c(c2)CCO3)n1)C1CCCN1C(=O)Nc1ccccc1F,0.6200202245138621,2.8050705586251716,[BOS]O=C(Nc1cccc(-c2ccc3c(c2)CCO3)n1)[C@@H]1CCCN1C(=O)Nc1ccccc1F[EOS],42
12.9,O=C(c1cc(-c2ccccc2C(F)(F)F)n[nH]1)N1CCC(C2CCCCN2C(=O)c2cnoc2)CC1,0.5625509176915523,3.3650628689562225,[BOS]O=C(c1cc(-c2ccccc2C(F)(F)F)n[nH]1)N1CCC([C@@H]2CCCCN2C(=O)c2cnoc2)CC1[EOS],42
13.2,CC1CN(C(=O)C2CCc3ccccc3O2)c2ccccc2N1C(=O)C1CCc2ccccc2O1,0.5540952333367539,3.695596222727592,[BOS]C[C@H]1CN(C(=O)[C@H]2CCc3ccccc3O2)c2ccccc2N1C(=O)[C@H]1CCc2ccccc2O1[EOS],42
12.0,O=C(NCC1CC(c2ccc3c(c2)CCO3)=NO1)Nc1ccc(C(=O)N2CCCC2)cc1,0.7561531952507613,2.891384944248193,[BOS]O=C(NC[C@@H]1CC(c2ccc3c(c2)CCO3)=NO1)Nc1ccc(C(=O)N2CCCC2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,CC([NH2+]C1CCC(Cc2ccccc2)C1)c1cccc(-c2nn[n-]n2)c1F,0.7291244550446252,4.761810974173331,[BOS]C[C@H]([NH2+][C@H]1CC[C@@H](Cc2ccccc2)C1)c1cccc(-c2nn[n-]n2)c1F[EOS],42
11.8,CC(=O)N1Cc2ccc(NC(=O)C3CC(=O)N(c4cccc(C(C)C)c4)C3)cc2C1,0.8439219228420979,2.7616106201410666,[BOS]CC(=O)N1Cc2ccc(NC(=O)[C@H]3CC(=O)N(c4cccc(C(C)C)c4)C3)cc2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1cc(C)cc(CCC(=O)NCC2OCC3CCN(C(=O)c4cnc5[nH]ncc5c4)CC32)c1,0.5880434284785742,3.8277916298661285,[BOS]Cc1cc(C)cc(CCC(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)c4cnc5[nH]ncc5c4)C[C@@H]32)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(NCC1OCC2CCN(C(=O)Cc3cccc(C(F)(F)F)c3)CC21)c1c[nH]c2cnccc12,0.5787997322803368,3.773074820012659,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3cccc(C(F)(F)F)c3)C[C@@H]21)c1c[nH]c2cnccc12[EOS][EOS][EOS][EOS],42
11.3,CC1(C)CCC(Cc2nc(-c3cccc(C4(C)NC(=O)NC4=O)c3)no2)CC1,0.7883553265616416,3.2274962046764717,[BOS]CC1(C)CCC(Cc2nc(-c3cccc([C@@]4(C)NC(=O)NC4=O)c3)no2)CC1[EOS],42
11.8,Cc1ccc2c(c1)CCC(C(=O)NC1(c3cccc(C(F)(F)F)c3)CCOCC1)O2,0.7953747782767491,3.1414256104448803,[BOS]Cc1ccc2c(c1)CC[C@H](C(=O)NC1(c3cccc(C(F)(F)F)c3)CCOCC1)O2[EOS],42
12.0,O=C(NCc1ccc2c(c1)CCO2)c1nn(-c2cc(F)cc(F)c2)c2ccccc2c1=O,0.5345603671559078,2.4762251203223578,[BOS]O=C(NCc1ccc2c(c1)CCO2)c1nn(-c2cc(F)cc(F)c2)c2ccccc2c1=O[EOS],42
12.7,O=C1Cc2cccc(C(=O)N3C4CCC3CC(NC(=O)c3cccnc3-c3ccc(F)c(F)c3)C4)c2N1,0.5624746661795335,4.195589766107528,[BOS]O=C1Cc2cccc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3cccnc3-c3ccc(F)c(F)c3)C4)c2N1[EOS][EOS][EOS][EOS][EOS][EOS],42
13.1,O=C1C=Cc2ccccc2C1CC(=O)N1CCOC2(CCN(C(=O)Cc3c[nH]c4ccccc34)C2)C1,0.6173801230502711,4.132922137467029,[BOS]O=C(Cc1c[nH]c2ccccc12)N1CC[C@@]2(C1)CN(C(=O)C[C@H]1c3ccccc3C=CC1=O)CCO2[EOS],42
12.0,CC1C(NC(=O)C2Cc3ccccc3C2)CCN1c1ccc2nnnn2n1,0.7473956462764707,3.602361038966901,[BOS]C[C@@H]1[C@@H](NC(=O)C2Cc3ccccc3C2)CCN1c1ccc2nnnn2n1[EOS],42
12.0,O=C1CC(c2cccc(NC(=O)C(=O)NC3CCCc4c(F)cccc43)c2)CN1,0.6983362993694607,3.256652645850397,[BOS]O=C1C[C@H](c2cccc(NC(=O)C(=O)N[C@@H]3CCCc4c(F)cccc43)c2)CN1[EOS],42
12.5,NC(=O)c1ccc(C(=O)N2CCOC3(CCN(C(=O)c4onc5ccccc45)C3)C2)cc1,0.6700065825532322,3.550664372528968,[BOS]NC(=O)c1ccc(C(=O)N2CCO[C@@]3(CCN(C(=O)c4onc5ccccc45)C3)C2)cc1[EOS],42
11.9,Cc1cc(N2CCNC2=O)ccc1NC1CCCOc2cc3c(cc21)CCCC3,0.7953310329668166,3.0692767707211273,[BOS]Cc1cc(N2CCNC2=O)ccc1N[C@@H]1CCCOc2cc3c(cc21)CCCC3[EOS],42
11.6,Cc1cc(C(=O)NCC2OCC3CCN(C(=O)c4cc(-c5ccccc5)no4)CC32)cnc1C,0.6277494830221685,3.6949208292381854,[BOS]Cc1cc(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)c4cc(-c5ccccc5)no4)C[C@@H]32)cnc1C[EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,CC1CC(=O)NN=C1c1ccc(NC(=O)c2cc(=O)[nH]c3ccc(Br)cc23)cc1,0.5664875799848912,2.9576582363430237,[BOS]C[C@H]1CC(=O)NN=C1c1ccc(NC(=O)c2cc(=O)[nH]c3ccc(Br)cc23)cc1[EOS],42
12.6,Cc1cc(C(=O)N2CCC(OC3CCN(C(=O)C4CNc5ccccc54)CC3)CC2)c2cc(O)ccc2n1,0.5451724911580464,3.2866870098341536,[BOS]Cc1cc(C(=O)N2CCC(OC3CCN(C(=O)[C@H]4CNc5ccccc54)CC3)CC2)c2cc(O)ccc2n1[EOS],42
12.9,O=C1NC2CCC1C(CN1C(=O)COc3ccc(-c4nnc(Cc5ccccc5)c5c4CCCC5)cc31)C2,0.5570349708284547,4.69298252734837,[BOS]O=C1COc2ccc(-c3nnc(Cc4ccccc4)c4c3CCCC4)cc2N1CC1CC2CCC1C(=O)N2[EOS],42
11.5,Nc1ncnc2cc(C(=O)N3CC=C(c4c[nH]c5cc(F)ccc45)CC3)ccc12,0.548152714193316,2.5884627237190276,[BOS]Nc1ncnc2cc(C(=O)N3CC=C(c4c[nH]c5cc(F)ccc45)CC3)ccc12[EOS],42
11.8,Cc1ccnc2ccc(C(=O)N3CCC(O)(CNC(=O)c4ccccc4OCC4CCOCC4)C3)cc12,0.5129220857692601,3.1244912448704723,[BOS]Cc1ccnc2ccc(C(=O)N3CC[C@@](O)(CNC(=O)c4ccccc4OCC4CCOCC4)C3)cc12[EOS][EOS][EOS][EOS],42
12.0,O=C(NCC1CC1)C1CCC2(CCN(c3nc(N4CCCC4)cc4ccccc34)CC2)C1,0.740871558396318,3.5713035634490566,[BOS]O=C(NCC1CC1)[C@@H]1CCC2(CCN(c3nc(N4CCCC4)cc4ccccc34)CC2)C1[EOS],42
12.4,Cc1ccc(C(=O)N2CCC3OCCCC3(CNC(=O)c3ccc4c(c3)CCCO4)C2)c(C)c1F,0.7120814829081256,3.7125868770165535,[BOS]Cc1ccc(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3ccc4c(c3)CCCO4)C2)c(C)c1F[EOS],42
