rv,smi,qed,sa,cur_sentence,seed
10.9,CC1CCCC[NH+]1Cc1ccccc1CNC(=O)c1ccc(-c2nn[n-]n2)c(O)c1,0.5658097183535838,4.646654655983983,[BOS]C[C@H]1CCCC[NH+]1Cc1ccccc1CNC(=O)c1ccc(-c2nn[n-]n2)c(O)c1[EOS],42
12.5,O=C1CCCN1CCCC1CCN(C(=O)CN2N=C(c3nc(-c4ccccc4)no3)CCC2=O)C1,0.5755640988769262,3.299366002486966,[BOS]O=C(CN1N=C(c2nc(-c3ccccc3)no2)CCC1=O)N1CC[C@H](CCCN2CCCC2=O)C1[EOS],42
11.7,Cc1ccn2c(=O)c(C(=O)NCc3cccc(NC(=O)C4CCCCC4)c3)nnc2c1,0.6615699375085714,2.388281577413979,[BOS]Cc1ccn2c(=O)c(C(=O)NCc3cccc(NC(=O)C4CCCCC4)c3)nnc2c1[EOS],42
12.2,O=C(CCN1Cc2ccccc2C1=O)NC1CC2CCC(C1)N2C(=O)Cc1ccc2ncccc2c1,0.5834296076671361,4.015696408247423,[BOS]O=C(CCN1Cc2ccccc2C1=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1ccc2ncccc2c1[EOS],42
11.2,O=C(NCC1OCC2CCN(C(=O)C3CCc4ccccc4C3)CC21)C1CCc2ccccc2O1,0.739344369632531,4.028945891177136,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@H]3CCc4ccccc4C3)C[C@@H]21)[C@@H]1CCc2ccccc2O1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,CN(C(=O)c1c2c(nc3ccccc13)C(=Cc1ccccc1Cl)CCC2)C1CCS(=O)(=O)C1,0.5272699180031568,3.111633641685727,[BOS]CN(C(=O)c1c2c(nc3ccccc13)C(=Cc1ccccc1Cl)CCC2)[C@@H]1CCS(=O)(=O)C1[EOS],42
11.5,Nc1nc(C2CCCC2)ncc1C(=O)N1CC(c2ccccc2)c2ccccc21,0.7211355518212257,2.957214146286738,[BOS]Nc1nc(C2CCCC2)ncc1C(=O)N1C[C@@H](c2ccccc2)c2ccccc21[EOS],42
11.8,CC(C)(C)c1ccc(C(F)(F)c2nc(C3CC(=O)N(c4ccccc4)C3)no2)cc1,0.6043569072300997,3.0929836970641427,[BOS]CC(C)(C)c1ccc(C(F)(F)c2nc([C@@H]3CC(=O)N(c4ccccc4)C3)no2)cc1[EOS],42
11.3,Cc1cc(CNC(=O)NC2CCCC2Cc2ccccc2)ccc1S(N)(=O)=O,0.6935637271855569,2.9624967600583396,[BOS]Cc1cc(CNC(=O)N[C@@H]2CCC[C@@H]2Cc2ccccc2)ccc1S(N)(=O)=O[EOS],42
11.7,O=C(NCC1CC(c2ccc3c(c2)CCO3)=NO1)c1cc2ccccc2cc1NC(=O)C1CC1,0.5870540782632049,3.009446401104613,[BOS]O=C(NC[C@@H]1CC(c2ccc3c(c2)CCO3)=NO1)c1cc2ccccc2cc1NC(=O)C1CC1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.4,O=C(Nc1ccc(F)cc1)c1cc(S(=O)(=O)N2c3ccccc3CC2O)cc2c1CCOCC2,0.5952634315701116,3.146859262470051,[BOS]O=C(Nc1ccc(F)cc1)c1cc(S(=O)(=O)N2c3ccccc3C[C@H]2O)cc2c1CCOCC2[EOS],42
11.4,Cc1c(C(=O)NC2(Cc3ccc(Cl)cc3)CCCOC2)sc2nc3n(c(=O)c12)CCC3,0.644692726117758,3.3022019344180418,[BOS]Cc1c(C(=O)N[C@]2(Cc3ccc(Cl)cc3)CCCOC2)sc2nc3n(c(=O)c12)CCC3[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.4,Cn1nc(C2CCN(C(=O)C3CC(=O)N(c4ccc5c(c4)CCC(=O)N5)C3)CC2)cc(N)c1=O,0.6970914066792302,3.3153966633423764,[BOS]Cn1nc(C2CCN(C(=O)[C@H]3CC(=O)N(c4ccc5c(c4)CCC(=O)N5)C3)CC2)cc(N)c1=O[EOS],42
11.7,CC(NC(=O)C1CC(=O)N(c2ccc3c(c2)CCC3)C1)c1ccc(N2CCCNC2=O)cc1,0.7393075642393107,3.191133147074739,[BOS]C[C@@H](NC(=O)[C@@H]1CC(=O)N(c2ccc3c(c2)CCC3)C1)c1ccc(N2CCCNC2=O)cc1[EOS],42
11.9,CN1Cc2ccc(-c3cccc4c3ccn4S(=O)(=O)c3ccccc3)cc2NC1=O,0.5326419852024318,2.5109801150279942,[BOS]CN1Cc2ccc(-c3cccc4c3ccn4S(=O)(=O)c3ccccc3)cc2NC1=O[EOS],42
11.8,O=C(NCC1OCC2CCN(C(=O)C3Cc4ccccc4N3)CC21)C1CCc2ccccc2C1O,0.6314370500819858,4.298385557107711,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H]3Cc4ccccc4N3)C[C@@H]21)[C@@H]1CCc2ccccc2[C@@H]1O[EOS],42
11.1,Cc1cc(-c2ccnc3ccc(C(F)(F)F)cc23)cc2c1OCC(=O)N2,0.6937910804267231,2.576484705480521,[BOS]Cc1cc(-c2ccnc3ccc(C(F)(F)F)cc23)cc2c1OCC(=O)N2[EOS],42
11.5,CC1(c2ccccc2)CN(C(=O)Nc2ccc(-c3cccc(F)c3)c(F)c2)CCO1,0.6295251018458787,2.8337915938185514,[BOS]C[C@]1(c2ccccc2)CN(C(=O)Nc2ccc(-c3cccc(F)c3)c(F)c2)CCO1[EOS],42
11.1,Cc1c[nH]c(=O)n1-c1ccc(C(=O)NC(C)c2cc(F)ccc2N2CCC(O)CC2)cc1,0.5711673291355913,2.9515525056229883,[BOS]Cc1c[nH]c(=O)n1-c1ccc(C(=O)N[C@H](C)c2cc(F)ccc2N2CCC(O)CC2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(NCc1ccc(N2CCCS2(=O)=O)c(F)c1)NCC(Cc1ccccc1)c1ccccc1,0.5064548479052554,2.9217100660111353,[BOS]O=C(NCc1ccc(N2CCCS2(=O)=O)c(F)c1)NC[C@@H](Cc1ccccc1)c1ccccc1[EOS],42
11.2,Cc1cccc(C2CCN(C(=O)c3ccc(N4NC(=O)CCC4=O)cc3)C2)c1,0.8942287345837558,2.767722923274329,[BOS]Cc1cccc([C@H]2CCN(C(=O)c3ccc(N4NC(=O)CCC4=O)cc3)C2)c1[EOS],42
11.2,CC1CCc2[nH]nc(C(=O)NCc3cccc(NC(=O)C4CCCC4)c3)c2C1,0.7406941830357385,2.787220017291423,[BOS]C[C@H]1CCc2[nH]nc(C(=O)NCc3cccc(NC(=O)C4CCCC4)c3)c2C1[EOS],42
11.9,Cc1c(C(=O)N2CCC3COC(CNC(=O)Cc4ccc5c(c4)CCC5)C3C2)nc2ccc(Cl)cn12,0.5731999158890319,3.881451416982494,[BOS]Cc1c(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)Cc4ccc5c(c4)CCC5)[C@H]3C2)nc2ccc(Cl)cn12[EOS],42
11.4,O=C(NC(c1ccccc1)c1ccccc1)c1cc(N2CCNC2=O)ccc1F,0.6958329392400988,2.1562517347080394,[BOS]O=C(NC(c1ccccc1)c1ccccc1)c1cc(N2CCNC2=O)ccc1F[EOS],42
11.0,CC(=O)Nc1cc(C(=O)NCC2(c3ccc(Br)cc3)CCCCC2)ccc1C,0.6549152233538739,2.199407544662664,[BOS]CC(=O)Nc1cc(C(=O)NCC2(c3ccc(Br)cc3)CCCCC2)ccc1C[EOS],42
11.8,O=C1NCCOc2ccc(C(=O)N3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)cc21,0.7672680895813464,2.373632511626706,[BOS]O=C1NCCOc2ccc(C(=O)N3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)cc21[EOS],42
11.8,Cc1cc(C(=O)NCC23CCCOC2CCN(C(=O)c2ccc4c(c2)NC(=O)CC4)C3)cn2ccnc12,0.5720300021359803,3.943583958703141,[BOS]Cc1cc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2ccc4c(c2)NC(=O)CC4)C3)cn2ccnc12[EOS],42
