rv,smi,qed,sa,cur_sentence,seed
12.0,O=C(CCc1ccc2ccccc2n1)N1CCC(F)(F)C(c2ccc(F)cc2F)CC(O)=N1,0.5345850883273615,3.5666319575085446,[BOS]O=C(CCc1ccc2ccccc2n1)N1CCC(F)(F)[C@H](c2ccc(F)cc2F)CC(O)=N1[EOS],42
12.4,Cc1ccc(-n2nc(C(=O)N3CCc4ccccc4C3(C)C)c3c2CCC3)c(C)c1,0.6139517402422687,2.6686372906567435,[BOS]Cc1ccc(-n2nc(C(=O)N3CCc4ccccc4C3(C)C)c3c2CCC3)c(C)c1[EOS],42
11.7,O=S(=O)(NC1CCc2ccc(C(F)(F)F)cc21)c1cccc(-c2ccccc2)c1,0.6230507958540783,2.609577748538145,[BOS]O=S(=O)(N[C@@H]1CCc2ccc(C(F)(F)F)cc21)c1cccc(-c2ccccc2)c1[EOS],42
12.5,Cc1cccc(F)c1-n1nc(C(=O)N2CCc3cc(Cl)ccc3C2)c2c1CCC2,0.6169857491319527,2.5600916129021343,[BOS]Cc1cccc(F)c1-n1nc(C(=O)N2CCc3cc(Cl)ccc3C2)c2c1CCC2[EOS],42
13.1,O=C1OC(c2ccccc2)Cc2cc(C(=O)N3CCCC4(C3)OCc3ccccc34)ccc21,0.5383661953000752,3.7758807624241655,[BOS]O=C(c1ccc2c(c1)C[C@H](c1ccccc1)OC2=O)N1CCC[C@@]2(C1)OCc1ccccc12[EOS],42
11.6,CN(C)c1cc(CNC(=O)Nc2cc(F)cc(C(N)=O)c2)c2ccccc2n1,0.6325894038561621,2.3169755919999417,[BOS]CN(C)c1cc(CNC(=O)Nc2cc(F)cc(C(N)=O)c2)c2ccccc2n1[EOS],42
11.5,O=C(Nc1nc(-c2ccccc2Cl)ns1)C(=O)N1CCCC12CCCCC2,0.7636016957523614,3.2809491511005753,[BOS]O=C(Nc1nc(-c2ccccc2Cl)ns1)C(=O)N1CCCC12CCCCC2[EOS],42
13.2,O=C(Nc1cc(C(=O)N2CCC(O)CC2)ccn1)c1c2c(nc3ccc(Cl)cc13)CCCC2,0.6101965240334496,2.540545822726056,[BOS]O=C(c1ccnc(NC(=O)c2c3c(nc4ccc(Cl)cc24)CCCC3)c1)N1CCC(O)CC1[EOS],42
12.4,Cc1cccc2c(C(=O)N3CCC(C4CCCCN4C(=O)c4noc5c4CCCCC5)CC3)[nH]nc12,0.539399909039322,3.402029411151891,[BOS]Cc1cccc2c(C(=O)N3CCC([C@@H]4CCCCN4C(=O)c4noc5c4CCCCC5)CC3)[nH]nc12[EOS],42
12.9,CC(=O)N1Cc2ccc(NC(=O)C3CCc4nnc(-c5cccc(C)c5)n4C3)cc2C1,0.7117057813605289,3.003653965532992,[BOS]CC(=O)N1Cc2ccc(NC(=O)[C@H]3CCc4nnc(-c5cccc(C)c5)n4C3)cc2C1[EOS],42
12.8,Cc1ccccc1-c1cccc(NC(=O)C2CCN(C(=O)c3ccc(F)cc3F)CC2)c1,0.5952347583753381,2.023113390747584,[BOS]Cc1ccccc1-c1cccc(NC(=O)C2CCN(C(=O)c3ccc(F)cc3F)CC2)c1[EOS],42
12.0,CC1Oc2cc(C(=O)N3CCC4(CC3)CC(CC(=O)NCC3CC3)c3ccccc34)ccc2NC1=O,0.6678635395622617,3.977726801928781,[BOS]C[C@@H]1Oc2cc(C(=O)N3CCC4(CC3)C[C@@H](CC(=O)NCC3CC3)c3ccccc34)ccc2NC1=O[EOS][EOS],42
