rv,smi,qed,sa,cur_sentence,seed
13.1,O=C(NCc1ccnc2ccccc12)Nc1cccc(F)c1N1CCCC2(CC(=O)N(C3CC3)C2)C(=O)O1,0.5274984933908377,4.017419031802465,[BOS]O=C(NCc1ccnc2ccccc12)Nc1cccc(F)c1N1CCCC2(CC(=O)N(C3CC3)C2)C(=O)O1[EOS],42
12.1,NC(=O)c1cn(C2CCN(c3nnnn3CCC3CCc4ccccc43)CC2)nn1,0.6540873910910543,3.374444236524683,[BOS]NC(=O)c1cn(C2CCN(c3nnnn3CC[C@@H]3CCc4ccccc43)CC2)nn1[EOS],42
13.2,N#Cc1ccc2[nH]nc(C(=O)NCC34CCCOC3CCN(C(=O)c3ccc5c(c3)CCCC5=O)C4)c2c1,0.5526244938355306,3.872963858037126,[BOS]N#Cc1ccc2[nH]nc(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)c3ccc5c(c3)CCCC5=O)C4)c2c1[EOS],42
12.5,CC(=O)N1CCc2cc(C(=O)N3[CH]CC(c4c[nH]c5c(F)cccc45)CC3)cnc21,0.7052657211876981,3.626580502584204,[BOS]CC(=O)N1CCc2cc(C(=O)N3CCC(c4c[nH]c5c(F)cccc45)C[C@@H]3)cnc21[EOS],42
13.6,O=C(NCC12CCCOC1CCN(C(=O)Cc1ccc3ccccc3c1)C2)C1=C2c3ccccc3C(=O)N2CC1,0.5321752925657592,3.8640726757520003,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1ccc3ccccc3c1)C2)C1=C2c3ccccc3C(=O)N2CC1[EOS],42
12.3,Cc1cccc(C(=O)NC2CC3CCC(C2)N3C(=O)C2CCc3[nH]c(=O)[nH]c(=O)c3C2)c1[O-],0.6239537849752381,4.811598701215924,[BOS]Cc1cccc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@H]2CCc3[nH]c(=O)[nH]c(=O)c3C2)c1[O-][EOS],42
12.4,COc1cccc2c1CC(NC(=O)N1CC3(CCCC3)OC3CCCC31)C(=O)N2Cc1ccc(F)cc1,0.6584348417868232,4.271950729627953,[BOS]COc1cccc2c1C[C@@H](NC(=O)N1CC3(CCCC3)O[C@@H]3CCC[C@@H]31)C(=O)N2Cc1ccc(F)cc1[EOS],42
13.1,O=C(c1ccco1)N1CCC2(CC1)CN(S(=O)(=O)c1ccc3c(Cl)c[nH]c(=O)c3c1)CCO2,0.6018739498414324,3.3318302046971855,[BOS]O=c1[nH]cc(Cl)c2ccc(S(=O)(=O)N3CCOC4(CCN(C(=O)c5ccco5)CC4)C3)cc12[EOS][EOS],42
13.6,O=C(NCC12CCCOC1CCN(C(=O)c1cccc3c1CCCC3)C2)c1cnnc2ccccc12,0.6062750118954102,3.7380517059837057,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1cccc3c1CCCC3)C2)c1cnnc2ccccc12[EOS],42
13.1,Cc1cccc2c1OCC(NC(=O)Nc1cc(C(C)(C)C)cc3c1OC(C)(C)CCO3)C2=O,0.6699048506602613,3.4451397207130823,[BOS]Cc1cccc2c1OC[C@H](NC(=O)Nc1cc(C(C)(C)C)cc3c1OC(C)(C)CCO3)C2=O[EOS],42
14.0,Cc1c(C(=O)N2CCC3OCCCC3(CNC(=O)C3CCc4ccccc4C3)C2)oc2c1C(=O)C(=O)C(=O)C2,0.6001109172144501,4.326657630941795,[BOS]Cc1c(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)[C@@H]3CCc4ccccc4C3)C2)oc2c1C(=O)C(=O)C(=O)C2[EOS],42
12.6,O=C(NCC1OCCc2ccccc21)C1(S(=O)(=O)c2ccc3c(c2)CCCC3)CCCC2(C1)OCCO2,0.6383048441669255,4.265898675920125,[BOS]O=C(NC[C@@H]1OCCc2ccccc21)C1(S(=O)(=O)c2ccc3c(c2)CCCC3)CCCC2(C1)OCCO2[EOS],42
13.2,O=C(Nc1ccc2ccccc2n1)C(=O)N1CCC(NC(=O)c2ccc(F)cc2)CC1,0.6377141787974839,2.181560056238526,[BOS]O=C(Nc1ccc2ccccc2n1)C(=O)N1CCC(NC(=O)c2ccc(F)cc2)CC1[EOS],42
12.8,O=C1NC(CC(=O)N2CCN(c3ccc4ccccc4n3)CC2)c2ccc(O)cc2N=C2C=CC=CC12,0.580371929237963,3.833453297308461,[BOS]O=C1N[C@@H](CC(=O)N2CCN(c3ccc4ccccc4n3)CC2)c2ccc(O)cc2N=C2C=CC=C[C@H]12[EOS],42
12.9,CC1CN(C(=O)c2cccc(N3C(=O)c4ccccc4C3=O)c2)CC1NC(=O)c1ccc(F)cc1,0.5902817091964585,2.994725310582986,[BOS]C[C@@H]1CN(C(=O)c2cccc(N3C(=O)c4ccccc4C3=O)c2)C[C@@H]1NC(=O)c1ccc(F)cc1[EOS],42
12.9,O=C1Nc2c(F)cccc2C1C1CCN(C(=O)c2cc(-c3ccc4c(c3)CCO4)no2)CC1,0.6560813396872155,3.298334020163632,[BOS]O=C1Nc2c(F)cccc2[C@@H]1C1CCN(C(=O)c2cc(-c3ccc4c(c3)CCO4)no2)CC1[EOS],42
13.6,O=C(NC1CCc2nc(NC(=O)C3(F)CCCC=C3F)sc2C1)c1cccc2ccccc12,0.5493701220018438,3.697609422378382,[BOS]O=C(N[C@@H]1CCc2nc(NC(=O)[C@@]3(F)CCCC=C3F)sc2C1)c1cccc2ccccc12[EOS],42
12.2,O=C(Cc1ccccc1O)NCC12CCCOC1CCN(C(=O)c1ccc3ncccc3c1)C2,0.6108830541120615,3.518109822734159,[BOS]O=C(Cc1ccccc1O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1ccc3ncccc3c1)C2[EOS],42
12.4,O=C(NCC1CCc2ccccc2C1)N1CCCN2c3ccccc3CC2C1,0.8698814034689195,3.0992401253403052,[BOS]O=C(NC[C@H]1CCc2ccccc2C1)N1CCCN2c3ccccc3C[C@@H]2C1[EOS],42
13.1,O=C(c1ccc2n[nH]c(C(F)(F)F)c2c1)N1CCC2(C1)CN(C(=O)c1cnoc1C1CC1)CCO2,0.6060799782080056,4.137963561271402,[BOS]O=C(c1ccc2n[nH]c(C(F)(F)F)c2c1)N1CC[C@@]2(C1)CN(C(=O)c1cnoc1C1CC1)CCO2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.1,Cc1cc(F)cc(C(=O)N2CCCCC2C2CCN(C(=O)c3cn4nc[nH]c(=O)c4c3C)CC2)c1,0.624027599627234,3.4281723784639304,[BOS]Cc1cc(F)cc(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3cn4nc[nH]c(=O)c4c3C)CC2)c1[EOS],42
12.8,Cc1cccc(CC(=O)N2CCOCC3(C2)CN(c2ccc4c(c2)CC(=O)N4C)C(=O)CO3)c1C,0.6760603710488999,3.90394537945322,[BOS]Cc1cccc(CC(=O)N2CCOC[C@@]3(C2)CN(c2ccc4c(c2)CC(=O)N4C)C(=O)CO3)c1C[EOS],42
13.3,Cc1nc(C(=O)N2CCOC3(COCCN(C(=O)C4Cc5ccccc5C4)C3)C2)c(C(F)(F)F)o1,0.6393846329164027,4.04045586896371,[BOS]Cc1nc(C(=O)N2CCO[C@]3(COCCN(C(=O)C4Cc5ccccc5C4)C3)C2)c(C(F)(F)F)o1[EOS],42
12.3,Cc1c(C(=O)NC2CC(C)CC(c3ccccc3)C2)[nH]c2c1C(=O)CCC1(C2)OCCO1,0.7523289702254041,4.287241523715885,[BOS]Cc1c(C(=O)N[C@@H]2C[C@@H](C)C[C@@H](c3ccccc3)C2)[nH]c2c1C(=O)CCC1(C2)OCCO1[EOS],42
13.4,Cc1ccc(C(=O)NCC23CCCOC2CCN(C(=O)c2cnc4c(F)c(F)ccc4c2)C3)c(=O)[nH]1,0.5781407326830832,3.877646267581931,[BOS]Cc1ccc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2cnc4c(F)c(F)ccc4c2)C3)c(=O)[nH]1[EOS],42
13.4,Cc1nc2ccccn2c1C(=O)N1CCCCC1C1CCN(C(=O)c2ccc3c(c2)NC(=O)CC3)CC1,0.5885337082757548,3.194127046452068,[BOS]Cc1nc2ccccn2c1C(=O)N1CCCC[C@H]1C1CCN(C(=O)c2ccc3c(c2)NC(=O)CC3)CC1[EOS],42
11.9,O=C(Nc1ccc2c(c1)C(=O)OC2)NC1CC=C(c2ccc(F)cc2)CC1,0.7980992970410261,2.914180512047322,[BOS]O=C1OCc2ccc(NC(=O)N[C@H]3CC=C(c4ccc(F)cc4)CC3)cc21[EOS],42
12.0,CC1CN(C(=O)CNC(=O)Cc2cccc3ccccc23)CC2(CCOC2C)O1,0.8611615301769371,4.084043828440563,[BOS]C[C@@H]1CN(C(=O)CNC(=O)Cc2cccc3ccccc23)C[C@@]2(CCO[C@@H]2C)O1[EOS],42
12.6,Cc1noc(C)c1C(=O)N1CCCC1c1nc2c(c(=O)[nH]1)CN(C(=O)c1ccc3c(c1)COC3)CC2,0.6000903795203956,3.473834489568622,[BOS]Cc1noc(C)c1C(=O)N1CCC[C@H]1c1nc2c(c(=O)[nH]1)CN(C(=O)c1ccc3c(c1)COC3)CC2[EOS],42
12.5,O=C(C1=NN(c2ccc(O)cc2)C(=O)OC1)N1CCCC2(CCCc3ccccc32)C1,0.80635329216977,3.7742852300565,[BOS]O=C(C1=NN(c2ccc(O)cc2)C(=O)OC1)N1CCC[C@]2(CCCc3ccccc32)C1[EOS],42
12.1,Cc1cc(C2CN(C(=O)C(=O)Nc3ccc4c(c3)C(=O)CCC4)CCO2)ccc1F,0.7718936457069958,2.993082805015016,[BOS]Cc1cc([C@H]2CN(C(=O)C(=O)Nc3ccc4c(c3)C(=O)CCC4)CCO2)ccc1F[EOS],42
12.4,O=C(Nc1ccccc1N1CCc2ccccc21)N1CCn2c(nnc2C2CCCC2)C1,0.6579513679954238,2.5526898395619266,[BOS]O=C(Nc1ccccc1N1CCc2ccccc21)N1CCn2c(nnc2C2CCCC2)C1[EOS],42
11.9,Cc1cc(C)cc(C(=O)N2C3CCC2CC(NC(=O)c2nc4ccccc4n(C)c2=O)C3)c1,0.6728204135816578,3.925039854994008,[BOS]Cc1cc(C)cc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2nc4ccccc4n(C)c2=O)C3)c1[EOS],42
