rv,smi,qed,sa,cur_sentence,seed
11.0,CC1(C)CNC(=O)c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)cc21,0.8914569150175451,2.3516324553445145,[BOS]CC1(C)CNC(=O)c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)cc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.1,Cc1nc2ccccc2cc1C(=O)OC1CC2C(=O)NCc3cccnc3N2C1,0.6788025526741505,3.4088174280561425,[BOS]Cc1nc2ccccc2cc1C(=O)O[C@@H]1C[C@@H]2C(=O)NCc3cccnc3N2C1[EOS],42
11.9,O=C(C1CC(=O)N(c2cccc3ccccc23)C1)N1Cc2cc(F)c(F)cc2C1,0.6611928602215403,2.7977631731634744,[BOS]O=C([C@@H]1CC(=O)N(c2cccc3ccccc23)C1)N1Cc2cc(F)c(F)cc2C1[EOS],42
10.3,Cc1nn(Cc2nc(C3CCCC(C)C3)no2)c2nc(C(C)C)cc(C(F)(F)F)c12,0.5478571663145092,3.6429692640182427,[BOS]Cc1nn(Cc2nc([C@H]3CCC[C@H](C)C3)no2)c2nc(C(C)C)cc(C(F)(F)F)c12[EOS],42
10.8,CC(NC(=O)Cn1c(-c2ccncc2)noc1=O)c1ccc2ccccc2c1,0.5800328560927315,2.738363607035014,[BOS]C[C@@H](NC(=O)Cn1c(-c2ccncc2)noc1=O)c1ccc2ccccc2c1[EOS],42
11.1,O=C(NCC1C2Cc3ccccc3C12)c1ccccc1C(=O)c1ccc(F)c(F)c1,0.6373742686815436,3.277948510891755,[BOS]O=C(NC[C@@H]1[C@H]2Cc3ccccc3[C@@H]12)c1ccccc1C(=O)c1ccc(F)c(F)c1[EOS],42
11.3,Cc1ccc2c(c1)C([NH2+]C1CCCCc3cc(-c4nn[n-]n4)ccc31)CC(C)(C)N2,0.6558024176384191,4.802618051209447,[BOS]Cc1ccc2c(c1)C([NH2+][C@@H]1CCCCc3cc(-c4nn[n-]n4)ccc31)CC(C)(C)N2[EOS],42
11.3,O=C(c1ccc2ccc(O)cc2c1F)N1CCCC(S(=O)(=O)N2CCc3ccccc32)C1,0.6550044660043435,3.1195557685139423,[BOS]O=C(c1ccc2ccc(O)cc2c1F)N1CCC[C@@H](S(=O)(=O)N2CCc3ccccc32)C1[EOS],42
10.8,CSC1C(=O)Nc2ccc(-c3noc(CC4C(=O)Nc5ccc(F)cc54)n3)cc21,0.6832434345122421,3.7415032482600363,[BOS]CS[C@@H]1C(=O)Nc2ccc(-c3noc(C[C@H]4C(=O)Nc5ccc(F)cc54)n3)cc21[EOS][EOS][EOS],42
11.8,CC1Oc2ccc(Nc3ccc4nnc(-c5ccccc5)n4n3)cc2N(C)C1=O,0.5816827879209995,2.9345097506823414,[BOS]C[C@@H]1Oc2ccc(Nc3ccc4nnc(-c5ccccc5)n4n3)cc2N(C)C1=O[EOS],42
12.3,O=C(Nc1ccc2c3c(cccc13)CC2)NC1CC(=O)N(c2ccc3c(c2)OCCO3)C1,0.6663655466277194,2.9621800342645574,[BOS]O=C1C[C@@H](NC(=O)Nc2ccc3c4c(cccc24)CC3)CN1c1ccc2c(c1)OCCO2[EOS],42
10.3,Cc1cccc2sc(C(=O)N3CCn4c(nnc4C(N)=O)CC3C)cc12,0.7473059342136374,3.293861327506307,[BOS]Cc1cccc2sc(C(=O)N3CCn4c(nnc4C(N)=O)C[C@@H]3C)cc12[EOS],42
11.5,O=C(NC1CCC2CN(C(=O)c3cc(-c4ccccc4)cnc3F)CC21)N1CCCC1,0.7697729539317884,3.4679329223641933,[BOS]O=C(c1cc(-c2ccccc2)cnc1F)N1C[C@@H]2CC[C@@H](NC(=O)N3CCCC3)[C@@H]2C1[EOS],42
12.3,CC1CN(C(=O)c2cc(-c3ccccc3)nc3ccccc23)CC2(CCN(C(=O)O)C2)O1,0.6657656744540699,3.6716631392482064,[BOS]C[C@H]1CN(C(=O)c2cc(-c3ccccc3)nc3ccccc23)C[C@]2(CCN(C(=O)O)C2)O1[EOS],42
10.9,Cn1c(O)cc2ccc(C(=O)N3CC4OCCN(c5cnccn5)C4C3)cc21,0.7247807604437131,3.66081988025741,[BOS]Cn1c(O)cc2ccc(C(=O)N3C[C@@H]4OCCN(c5cnccn5)[C@@H]4C3)cc21[EOS],42
12.4,Cc1nc2cc(C(=O)N3CCCc4ccc(N)nc43)ccc2c(-c2ccccc2)c1C,0.501473329132128,2.552608975858231,[BOS]Cc1nc2cc(C(=O)N3CCCc4ccc(N)nc43)ccc2c(-c2ccccc2)c1C[EOS],42
11.0,O=C(NC1CCCc2[nH]c(=O)ccc21)C1CCCN1C(=O)Nc1ccc2c(c1)OCCO2,0.6809389926452379,3.3239087898737827,[BOS]O=C(N[C@@H]1CCCc2[nH]c(=O)ccc21)[C@H]1CCCN1C(=O)Nc1ccc2c(c1)OCCO2[EOS],42
11.1,O=C1NC2(CCc3ccccc32)C(=O)N1CCc1c[nH]c2cc(F)c(F)cc12,0.6834062853915491,3.426588686501381,[BOS]O=C1N[C@@]2(CCc3ccccc32)C(=O)N1CCc1c[nH]c2cc(F)c(F)cc12[EOS],42
10.7,Cc1cc(C(=O)N2CCC3COC(CNC(=O)c4cccc5c4cnn5C)C3C2)ccc1O,0.6393532721495772,3.658241786254841,[BOS]Cc1cc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4cccc5c4cnn5C)[C@H]3C2)ccc1O[EOS],42
11.1,O=C(Nc1n[nH]c(-c2cccc3ccccc23)n1)C1CC1c1ccc(F)cc1,0.5538072813764097,2.9853699949124017,[BOS]O=C(Nc1n[nH]c(-c2cccc3ccccc23)n1)[C@@H]1C[C@H]1c1ccc(F)cc1[EOS],42
10.6,Cn1cc2c(n1)CCCC2NC(=O)c1cnc2c(c1)c(=O)[nH]c(=O)n2C1CC1,0.7023581366344734,3.3332440138293444,[BOS]Cn1cc2c(n1)CCC[C@@H]2NC(=O)c1cnc2c(c1)c(=O)[nH]c(=O)n2C1CC1[EOS],42
11.1,O=C(NC1CCC(C(F)(F)F)NC1)c1cc(-c2ccccc2)nc2cc(F)ccc12,0.6193169986395716,3.1663333266034233,[BOS]O=C(N[C@H]1CC[C@@H](C(F)(F)F)NC1)c1cc(-c2ccccc2)nc2cc(F)ccc12[EOS],42
11.4,NC(=O)C1CN(C(=O)c2ccc3c4c(cccc24)CC3)C2CC(=O)C1(O)C2,0.8286961900815624,4.611756674988985,[BOS]NC(=O)[C@@H]1CN(C(=O)c2ccc3c4c(cccc24)CC3)[C@H]2C[C@]1(O)C(=O)C2[EOS],42
10.7,Cc1cc2nc(NCC3(Cc4ccc(F)cc4)CCCC3O)c3ccccc3n2n1,0.5135571475784743,3.4826132766736393,[BOS]Cc1cc2nc(NC[C@@]3(Cc4ccc(F)cc4)CCC[C@@H]3O)c3ccccc3n2n1[EOS],42
