rv,smi,qed,sa,cur_sentence,seed
9.7,Nc1n[nH]c(Cn2nnnc2N2CCC3(CCc4ccccc4O3)C2)n1,0.6931558976770816,4.023262204728952,[BOS]Nc1n[nH]c(Cn2nnnc2N2CC[C@]3(CCc4ccccc4O3)C2)n1[EOS],42
9.6,O=C(NCc1cc2ccccc2[nH]1)NC1CCOC(c2cccnc2)C1,0.6755076785389363,3.228584993001574,[BOS]O=C(NCc1cc2ccccc2[nH]1)N[C@H]1CCO[C@@H](c2cccnc2)C1[EOS],42
10.5,Nc1nc(N)nc(Cc2noc(CCN3c4ccccc4CCc4ccccc43)n2)n1,0.5050213047894048,2.654853154151848,[BOS]Nc1nc(N)nc(Cc2noc(CCN3c4ccccc4CCc4ccccc43)n2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,O=C(NC1CCCC2CC21)c1cc(-c2ccccc2)nc2cc(F)ccc12,0.7172536207535309,3.087504255575472,[BOS]O=C(N[C@@H]1CCC[C@@H]2C[C@@H]21)c1cc(-c2ccccc2)nc2cc(F)ccc12[EOS],42
9.3,O=C(NC(Cc1ccccc1)c1ccccc1F)NC1c2ccccc2CC12CCOCC2,0.5457620096538255,3.8693622850252742,[BOS]O=C(NC(Cc1ccccc1)c1ccccc1F)N[C@H]1c2ccccc2CC12CCOCC2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,O=C(c1ccc2cccnc2c1O)N1CCC2(CC1)CC2C(=O)N1CCN(c2ccc(F)cc2F)CC1,0.5848470928677612,3.5605627381274996,[BOS]O=C(c1ccc2cccnc2c1O)N1CCC2(CC1)C[C@H]2C(=O)N1CCN(c2ccc(F)cc2F)CC1[EOS],42
9.3,O=C(NCC(c1ccccc1Cl)c1c[nH]c2ccccc12)N1CCN(C(=O)C2CCCO2)CC1,0.5793838462874317,3.2107405919649263,[BOS]O=C(NC[C@@H](c1ccccc1Cl)c1c[nH]c2ccccc12)N1CCN(C(=O)[C@H]2CCCO2)CC1[EOS],42
10.1,O=C(NCc1ccc2ncccc2c1)Nc1ccc2nc(N3CCOCC3)oc2c1,0.541537719316076,2.38479814682635,[BOS]O=C(NCc1ccc2ncccc2c1)Nc1ccc2nc(N3CCOCC3)oc2c1[EOS],42
10.3,O=C(c1cc(=O)[nH][nH]1)N1CCC(C2CCCCN2C(=O)Cc2ccccc2Cc2ccc(F)cc2)CC1,0.5335582500960572,3.1908622010171293,[BOS]O=C(c1cc(=O)[nH][nH]1)N1CCC([C@@H]2CCCCN2C(=O)Cc2ccccc2Cc2ccc(F)cc2)CC1[EOS][EOS][EOS],42
9.6,CC(c1cccc(N2CCOC2=O)c1)N(C)C(=O)C(=O)Nc1ccc2c(c1)C(=O)CC(C)(C)O2,0.6927235245061933,3.320887436664796,[BOS]C[C@H](c1cccc(N2CCOC2=O)c1)N(C)C(=O)C(=O)Nc1ccc2c(c1)C(=O)CC(C)(C)O2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
