rv,smi,qed,sa,cur_sentence,seed
9.6,O=C(c1cccnc1N1CC2OCC(=O)N(c3cccc(F)c3)C2C1)N1CCc2ccccc2C1,0.5864570937540465,3.435291908690761,[BOS]O=C(c1cccnc1N1C[C@@H]2[C@@H](C1)OCC(=O)N2c1cccc(F)c1)N1CCc2ccccc2C1[EOS][EOS][EOS][EOS][EOS][EOS],42
9.0,CC(C)(CNC(=O)N1CC(c2ccccc2)c2ccccc21)c1ccc2c(c1)OCCO2,0.6292396573594632,2.971773001900903,[BOS]CC(C)(CNC(=O)N1C[C@@H](c2ccccc2)c2ccccc21)c1ccc2c(c1)OCCO2[EOS][EOS],42
9.1,Cc1cccc(-n2nc(C(=O)N3Cc4ccccc4CC3C(=O)NC(C)C)ccc2=O)c1,0.6897279365206603,2.856274044084527,[BOS]Cc1cccc(-n2nc(C(=O)N3Cc4ccccc4C[C@H]3C(=O)NC(C)C)ccc2=O)c1[EOS],42
9.4,O=C(NCc1cccnc1Oc1cccc(F)c1)NC1CCc2ccccc2NC1=O,0.5859976832424925,2.8403636975986792,[BOS]O=C(NCc1cccnc1Oc1cccc(F)c1)N[C@@H]1CCc2ccccc2NC1=O[EOS][EOS],42
10.2,O=C1Cc2ccc(CNc3nc(-c4ccncc4)nc4ccccc34)cc2N1,0.5734902533008008,2.360982150779437,[BOS]O=C1Cc2ccc(CNc3nc(-c4ccncc4)nc4ccccc34)cc2N1[EOS],42
9.6,Cc1noc2nc(-c3ccc(F)cc3)cc(C(=O)N3CC(C)OC4(CCOCC4)C3)c12,0.6224387490546656,3.6908645558991964,[BOS]Cc1noc2nc(-c3ccc(F)cc3)cc(C(=O)N3C[C@H](C)OC4(CCOCC4)C3)c12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,O=C(NC1CC2CCC(C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1n[nH]c2ccc(F)cc12,0.59527326476441,4.397006057444379,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1n[nH]c2ccc(F)cc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.6,O=C(c1cc2n[nH]nc2cc1F)N1Cc2ccccc2C(c2ccccc2)C1,0.5807553762727845,2.9220342553568805,[BOS]O=C(c1cc2n[nH]nc2cc1F)N1Cc2ccccc2[C@@H](c2ccccc2)C1[EOS],42
10.1,O=C(c1cc2ccccc2[nH]c1=O)N1CCCCC1c1cc2ccccc2[nH]1,0.5490650289961297,2.772608927026674,[BOS]O=C(c1cc2ccccc2[nH]c1=O)N1CCCC[C@H]1c1cc2ccccc2[nH]1[EOS],42
8.9,Cc1ccccc1C1CCCN1C(=O)C(=O)NC1CCc2nnc(-c3ccc(F)cc3)n2C1,0.6256902471886624,3.330394847479594,[BOS]Cc1ccccc1[C@@H]1CCCN1C(=O)C(=O)N[C@@H]1CCc2nnc(-c3ccc(F)cc3)n2C1[EOS],42
10.3,O=C1CCC(C(=O)N2CCc3ccccc3C2Cc2ccccc2)CN1c1ccc(F)c(F)c1,0.5451322004182668,3.075920098173004,[BOS]O=C1CC[C@@H](C(=O)N2CCc3ccccc3[C@@H]2Cc2ccccc2)CN1c1ccc(F)c(F)c1[EOS],42
9.3,COc1ccc2c(c1)C(NC(=O)NCc1cccnc1Oc1cccc(F)c1)CCO2,0.6163058240455713,2.8119467745217577,[BOS]COc1ccc2c(c1)[C@@H](NC(=O)NCc1cccnc1Oc1cccc(F)c1)CCO2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.7,Cc1nc2ccncc2cc1C(=O)NCC12CCCOC1CCN(C(=O)C1CCC3(CC1)OCCO3)C2,0.6772948085500184,4.4509050861765385,[BOS]Cc1nc2ccncc2cc1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)C1CCC3(CC1)OCCO3)C2[EOS][EOS][EOS][EOS],42
9.8,O=C(NCc1cn(-c2ccncc2)nc1-c1ccc(F)cc1)N1CCCC2CCCC21,0.674961614454788,3.1699990672801714,[BOS]O=C(NCc1cn(-c2ccncc2)nc1-c1ccc(F)cc1)N1CCC[C@@H]2CCC[C@@H]21[EOS][EOS][EOS][EOS][EOS],42
9.5,O=C(C(Oc1cc(Cl)ccc1Cl)c1ccccc1)N1CCCC(c2n[nH]c(=O)o2)C1,0.6324169981934733,3.3136421027793697,[BOS]O=C([C@H](Oc1cc(Cl)ccc1Cl)c1ccccc1)N1CCC[C@H](c2n[nH]c(=O)o2)C1[EOS][EOS][EOS][EOS][EOS],42
9.0,O=C(CNc1ccc(F)cc1)NCC1OCC2CCN(C(=O)C3CC3c3ccc(F)c(F)c3)CC21,0.6290362932247178,3.948766255628218,[BOS]O=C(CNc1ccc(F)cc1)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H]3C[C@H]3c3ccc(F)c(F)c3)C[C@@H]21[EOS][EOS][EOS][EOS],42
9.7,c1ccc(N2CNc3nc(-c4nc[nH]n4)nc(N4CCOCC4)c3C2)cc1,0.7217617138507113,3.219433654145714,[BOS]c1ccc(N2CNc3nc(-c4nc[nH]n4)nc(N4CCOCC4)c3C2)cc1[EOS][EOS][EOS],42
9.7,Cc1nc(-c2ccccn2)nc(NC2c3ccccc3Oc3ccccc32)c1C,0.5111299937231354,2.5665693559103655,[BOS]Cc1nc(-c2ccccn2)nc(NC2c3ccccc3Oc3ccccc32)c1C[EOS][EOS][EOS],42
9.7,Cc1cc(C(=O)N2CCCC(c3[nH]c(=O)n(-c4cc(C)on4)c3[O-])C2)c2ccccc2[nH+]1,0.5282948894179513,4.14479955549619,[BOS]Cc1cc(C(=O)N2CCC[C@H](c3[nH]c(=O)n(-c4cc(C)on4)c3[O-])C2)c2ccccc2[nH+]1[EOS][EOS][EOS][EOS][EOS][EOS],42
9.8,CN(C)c1cc(CNC(=O)Nc2ccc3c(=O)[nH]ccc3c2)c2ccccc2n1,0.500171363137702,2.4075420299549606,[BOS]CN(C)c1cc(CNC(=O)Nc2ccc3c(=O)[nH]ccc3c2)c2ccccc2n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.3,Cn1cc(C(=O)Nc2cccc(-c3nccn3C)c2)c(-c2ccncc2)n1,0.6078991220618559,2.3532490387610974,[BOS]Cn1cc(C(=O)Nc2cccc(-c3nccn3C)c2)c(-c2ccncc2)n1[EOS],42
10.1,Fc1ccc(-c2nc(Nc3cc[nH]n3)c3ccccc3n2)cc1F,0.5969501246687562,2.56973126552848,[BOS]Fc1ccc(-c2nc(Nc3cc[nH]n3)c3ccccc3n2)cc1F[EOS][EOS],42
9.8,O=C(NC1CC2CCC(C1)N2C(=O)c1cc2cc(Br)cnc2s1)c1c[nH]c(=O)[nH]c1=O,0.5029738628784698,4.352770779609294,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc2cc(Br)cnc2s1)c1c[nH]c(=O)[nH]c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.2,O=C(c1ccc2ncncc2c1)N1CCOC2(COCCN(C(=O)c3cc(Cl)ccn3)C2)C1,0.5685948043184414,3.7508938218522214,[BOS]O=C(c1cc(Cl)ccn1)N1CCOC[C@]2(C1)CN(C(=O)c1ccc3ncncc3c1)CCO2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,Cc1ccnc(C(=O)NCC23CCCOC2CCN(C(=O)Cc2n[nH]c4cc(Cl)ccc24)C3)c1,0.5820974419918513,3.850825749664369,[BOS]Cc1ccnc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)Cc2n[nH]c4cc(Cl)ccc24)C3)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
8.9,O=C(NCCC(=O)N1CCOCC2(C1)CN(C(=O)c1cc3cnccc3[nH]1)CCO2)c1ccccc1,0.5581729233251858,3.6833759985547667,[BOS]O=C(NCCC(=O)N1CCOC[C@]2(C1)CN(C(=O)c1cc3cnccc3[nH]1)CCO2)c1ccccc1[EOS][EOS][EOS][EOS],42
9.6,Cc1cc(=O)[nH]c(N2CCN(c3nc(-c4ccccc4)nc4ccccc34)CC2)n1,0.571617226381463,2.4091527040668623,[BOS]Cc1cc(=O)[nH]c(N2CCN(c3nc(-c4ccccc4)nc4ccccc34)CC2)n1[EOS][EOS][EOS][EOS][EOS],42
