rv,smi,qed,sa,cur_sentence,seed
11.5,O=C(CC1Cc2ccccc2C1)N1C2CCC1CC(NC(=O)C1(c3cccc(Cl)c3)CCCC1)C2,0.593077645138404,4.163654822465496,[BOS]O=C(CC1Cc2ccccc2C1)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)C1(c3cccc(Cl)c3)CCCC1)C2[EOS][EOS][EOS][EOS],42
11.1,CC(NC(=O)Nc1ccc2nncn2c1)c1ccc2c(c1)CCC(=O)N2,0.6754596453701528,3.0659257911522495,[BOS]C[C@@H](NC(=O)Nc1ccc2nncn2c1)c1ccc2c(c1)CCC(=O)N2[EOS],42
11.0,Cc1nc2cccc(Cl)c2cc1C(=O)N1CC2CC1OC2c1cccnc1,0.6707540991037511,4.402281651631775,[BOS]Cc1nc2cccc(Cl)c2cc1C(=O)N1C[C@H]2C[C@H]1O[C@H]2c1cccnc1[EOS],42
11.3,O=C(NC1CCCc2[nH]c(=O)ccc21)c1ccc2noc(-c3ccc(F)cc3)c2c1,0.5384183103392524,2.997247660686728,[BOS]O=C(N[C@H]1CCCc2[nH]c(=O)ccc21)c1ccc2noc(-c3ccc(F)cc3)c2c1[EOS],42
11.0,Cc1ccncc1Cc1noc(-c2c3c(nc4ccccc24)CCCC3)n1,0.542210793584749,2.624728846453406,[BOS]Cc1ccncc1Cc1noc(-c2c3c(nc4ccccc24)CCCC3)n1[EOS],42
11.6,O=C1NC(CC(=O)N2CCCc3c(F)cc(F)c(F)c32)C(=O)Nc2ccccc21,0.7568383203984452,3.251810727483319,[BOS]O=C1N[C@H](CC(=O)N2CCCc3c(F)cc(F)c(F)c32)C(=O)Nc2ccccc21[EOS],42
12.7,Cc1ccc(-n2nc(C(=O)N3Cc4ccccc4OC4(CCOCC4)C3)c3c2CCC3)cc1,0.5941474846720585,3.1745913803936094,[BOS]Cc1ccc(-n2nc(C(=O)N3Cc4ccccc4OC4(CCOCC4)C3)c3c2CCC3)cc1[EOS],42
11.8,Cc1ccc(-c2ccccc2C(=O)NC2CC3CCC(C2)N3C(=O)c2cc(=O)[nH]cn2)cc1,0.6480993569517691,3.994214722435567,[BOS]Cc1ccc(-c2ccccc2C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2cc(=O)[nH]cn2)cc1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.8,CC1(C)CC(O)CCN(C(=O)Nc2ccccc2N2CCc3ccccc32)C1,0.8133266199020993,2.852170615582022,[BOS]CC1(C)C[C@H](O)CCN(C(=O)Nc2ccccc2N2CCc3ccccc32)C1[EOS],42
11.3,Cc1ccc2c(-c3ccc4c(c3)CCCC(=O)N4)cc(=O)oc2c1C,0.6735031743257853,2.383340510282819,[BOS]Cc1ccc2c(-c3ccc4c(c3)CCCC(=O)N4)cc(=O)oc2c1C[EOS],42
10.5,Cc1c(C(=O)NCC2OCC3CCN(C(=O)C4CNc5ccccc54)CC32)cn2nc[nH]c(=O)c12,0.519322900428259,4.459093703218027,[BOS]Cc1c(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)[C@H]4CNc5ccccc54)C[C@@H]32)cn2nc[nH]c(=O)c12[EOS][EOS][EOS],42
11.6,O=C(Nc1cc2ccccc2cc1C(=O)N1CCCN(C(=O)c2ccc(F)cc2)CC1)C1CC1,0.6320086533339623,2.1268929084420485,[BOS]O=C(Nc1cc2ccccc2cc1C(=O)N1CCCN(C(=O)c2ccc(F)cc2)CC1)C1CC1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,O=C1NCc2cccc(NC(=O)c3cc(-c4ccccc4)nc4cc(F)ccc34)c21,0.5333310418059742,2.2860055977249267,[BOS]O=C(Nc1cccc2c1C(=O)NC2)c1cc(-c2ccccc2)nc2cc(F)ccc12[EOS][EOS][EOS][EOS],42
11.0,O=C1CN(C(=O)CCCc2ccc3ccccc3c2)c2ccc(F)c(F)c2N1,0.7281705241567342,2.4619461985088176,[BOS]O=C1CN(C(=O)CCCc2ccc3ccccc3c2)c2ccc(F)c(F)c2N1[EOS],42
11.4,O=C(c1csc(-c2cccc3ccccc23)n1)N1CCN(c2nccs2)CC1,0.5065471024620324,2.29426203956535,[BOS]O=C(c1csc(-c2cccc3ccccc23)n1)N1CCN(c2nccs2)CC1[EOS],42
10.7,NC(=O)c1n[nH]c2c1CN(C(=O)Cc1cc(-c3ccccc3)ccc1F)C2,0.7445378194889966,2.454392495304557,[BOS]NC(=O)c1n[nH]c2c1CN(C(=O)Cc1cc(-c3ccccc3)ccc1F)C2[EOS],42
11.5,Cn1cc(CNC(=O)N2Cc3ccccc3-c3ccccc3C2)c(=O)[nH]c1=O,0.7168275215139106,2.435969083124201,[BOS]Cn1cc(CNC(=O)N2Cc3ccccc3-c3ccccc3C2)c(=O)[nH]c1=O[EOS],42
12.4,CC1CCc2nc3ccccc3c(C(=O)N3CCC(C(=O)N4CCn5cnnc5C4)C3)c2C1,0.6063098658317935,3.4602209557791914,[BOS]C[C@@H]1CCc2nc3ccccc3c(C(=O)N3CC[C@H](C(=O)N4CCn5cnnc5C4)C3)c2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
