rv,smi,qed,sa,cur_sentence,seed
12.3,Cn1c(=O)c(CNC(=O)C2CCN(c3ccc4c(c3)OCCO4)C2=O)cc2ccccc21,0.6358255135224776,2.980638391910613,[BOS]Cn1c(=O)c(CNC(=O)[C@H]2CCN(c3ccc4c(c3)OCCO4)C2=O)cc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,O=C(Cc1cccc(F)c1)NCC12CCCOC1CCN(C(=O)c1cnc3cccc(Cl)c3c1)C2,0.5693165777289547,3.5667087627743594,[BOS]O=C(Cc1cccc(F)c1)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1cnc3cccc(Cl)c3c1)C2[EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(Nc1ccc2ccccc2c1)N1CCN(S(=O)(=O)N=C2C=CC=C3C2=Cc2ccccc23)CC1,0.5694499065685233,3.003980845727038,[BOS]O=C(Nc1ccc2ccccc2c1)N1CCN(S(=O)(=O)N=C2C=CC=C3-c4ccccc4C=C32)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,CC(C(=O)NCC12CCCOC1CCN(C(=O)C1=Cc3ccccc3NC(=O)C1)C2)n1ccccc1=O,0.6497758219117303,4.255349675718212,[BOS]C[C@H](C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)C1=Cc3ccccc3NC(=O)C1)C2)n1ccccc1=O[EOS],42
13.6,Cc1cc(C(=O)N2CCOCC3(C2)CN(C(=O)C2CC2c2ccc(F)cc2)CCO3)cc2cn[nH]c12,0.607684406714567,4.318807742339722,[BOS]Cc1cc(C(=O)N2CCOC[C@@]3(C2)CN(C(=O)[C@@H]2C[C@H]2c2ccc(F)cc2)CCO3)cc2cn[nH]c12[EOS],42
13.1,O=C(Cc1ccc2c(c1)CCC2)N1CCOC2(COCCN(C(=O)c3cc4cc[nH]c4cc3F)C2)C1,0.6111781865714953,3.833600174378943,[BOS]O=C(Cc1ccc2c(c1)CCC2)N1CCO[C@@]2(COCCN(C(=O)c3cc4cc[nH]c4cc3F)C2)C1[EOS][EOS][EOS],42
13.7,Cc1ccc(C(=O)NC2CC3CCC(C2)N3C(=O)c2cc3n(n2)Cc2ccccc2NC3=O)c(C)c1F,0.5704458178617984,4.390184595052168,[BOS]Cc1ccc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2cc3n(n2)Cc2ccccc2NC3=O)c(C)c1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.3,O=C(NC1(c2nc(C3CN4CCCC4Cn4c(O)nnc4O3)no2)CCOCC1)c1ccccc1F,0.5430184548474558,4.249217308305912,[BOS]O=C(NC1(c2nc([C@H]3CN4CCCC4Cn4c(O)nnc4O3)no2)CCOCC1)c1ccccc1F[EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,COc1cccc2c1CC(C(=O)N1C3CCC1CC(NC(=O)Cc1cccc4ncccc14)C3)CC2,0.5896747546826572,4.233580373221553,[BOS]COc1cccc2c1C[C@H](C(=O)N1[C@@H]3CC[C@H]1C[C@@H](NC(=O)Cc1cccc4ncccc14)C3)CC2[EOS][EOS][EOS][EOS][EOS],42
12.4,Cc1ccc(C)c(C(=O)N2CCC(C3CCCCN3C(=O)C3CC(=O)N(C4CCCC4)C3)CC2)c1,0.6459332568624824,3.2320062616319376,[BOS]Cc1ccc(C)c(C(=O)N2CCC([C@H]3CCCCN3C(=O)[C@@H]3CC(=O)N(C4CCCC4)C3)CC2)c1[EOS],42
13.6,Cc1cccc(-c2ncccc2C(=O)NC2C3COCC2CN(C(=O)c2[nH]nc4c2CCC4C)C3)c1F,0.5679152229071797,4.874818147420037,[BOS]Cc1cccc(-c2ncccc2C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)c2[nH]nc4c2CC[C@@H]4C)C3)c1F[EOS][EOS][EOS],42
12.7,O=C1CCCc2ccc(-c3noc(-c4c[nH]c5c(F)cc(Cl)cc5c4=O)n3)cc21,0.5240352539798213,2.736630074440596,[BOS]O=C1CCCc2ccc(-c3noc(-c4c[nH]c5c(F)cc(Cl)cc5c4=O)n3)cc21[EOS],42
13.2,Cc1ccc(C2(C(=O)N3CCOC4(CCN(C(=O)c5ccc(F)cc5F)C4)C3)CCCCC2)cc1C,0.6057935715904442,3.697983613292971,[BOS]Cc1ccc(C2(C(=O)N3CCO[C@]4(CCN(C(=O)c5ccc(F)cc5F)C4)C3)CCCCC2)cc1C[EOS],42
13.3,O=S1(=O)Cc2cnc(N3CCOCC3)nc2C2CN(C3CCc4cccc5cccc3c45)CC21,0.5630098400713105,4.177093695800195,[BOS]O=S1(=O)Cc2cnc(N3CCOCC3)nc2[C@H]2CN([C@H]3CCc4cccc5cccc3c45)C[C@H]21[EOS],42
11.9,Cc1cc(C(=O)Nc2cc(C3CCCCN3C(=O)C3(c4ccc(F)c(F)c4)CC3)[nH]n2)cc(=O)[nH]1,0.5157824224504365,3.412395940616064,[BOS]Cc1cc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)C3(c4ccc(F)c(F)c4)CC3)[nH]n2)cc(=O)[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,CC1Cc2ccccc2N(C(=O)NC(c2cccc(S(C)(=O)=O)c2)c2ccc(F)c(F)c2)C1,0.5919432209513706,3.20230843487618,[BOS]C[C@H]1Cc2ccccc2N(C(=O)N[C@H](c2cccc(S(C)(=O)=O)c2)c2ccc(F)c(F)c2)C1[EOS][EOS][EOS],42
13.4,O=C(NCC1OCC2CCN(C(=O)c3[nH]c(=O)n4c3CCCC4)CC21)c1ccc2c(c1)CCCC2=O,0.6773263657122071,4.058025825266516,[BOS]O=C1CCCc2cc(C(=O)NC[C@@H]3OC[C@@H]4CCN(C(=O)c5[nH]c(=O)n6c5CCCC6)C[C@@H]43)ccc21[EOS],42
11.8,CC1Oc2cc(C(=O)N3CCCC4(CCc5c(F)cccc54)C3)ccc2NC1=O,0.8030512151540122,3.859699182942138,[BOS]C[C@H]1Oc2cc(C(=O)N3CCC[C@@]4(CCc5c(F)cccc54)C3)ccc2NC1=O[EOS][EOS][EOS][EOS][EOS][EOS],42
13.4,Cc1ccc(CCC(=O)N2C3CCC2CC(NC(=O)C2=Cc4ccccc4NC(=O)C2)C3)c2ccccc12,0.5017260921102219,4.2621419589776375,[BOS]Cc1ccc(CCC(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)C2=Cc4ccccc4NC(=O)C2)C3)c2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.0,Cc1ccc(CCC(=O)N2CCOC3(COCCN(c4ncccn4)C3)C2)c2ccccc12,0.6138645857318548,3.6474233965944887,[BOS]Cc1ccc(CCC(=O)N2CCO[C@@]3(COCCN(c4ncccn4)C3)C2)c2ccccc12[EOS][EOS][EOS],42
12.4,Cc1ccc(F)c(C(=O)NCC23CCCOC2CCN(C(=O)C2CCc4ccccc4C2)C3)c1,0.7423342345663362,3.765611096114169,[BOS]Cc1ccc(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)[C@H]2CCc4ccccc4C2)C3)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.4,O=C1CCC2CCC(C(=O)N3CCC4C3CCN4C(=O)c3cc(=O)c4ccccc4o3)CN12,0.6996197675461758,3.787657974478761,[BOS]O=C(c1cc(=O)c2ccccc2o1)N1CC[C@H]2[C@@H]1CCN2C(=O)[C@H]1CC[C@@H]2CCC(=O)N2C1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,O=C(Cc1c[nH]c2ccccc12)NC1C2COCC1CN(C(=O)C1C3Sc4ccccc4C31)C2,0.6104892505656643,4.962639330258363,[BOS]O=C(Cc1c[nH]c2ccccc12)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@@H]1[C@H]3Sc4ccccc4[C@H]31)C2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.8,CC1Oc2ccc(C(=O)N3C4CCC3CC(NC(=O)c3ccnc5ncccc35)C4)cc2NC1=O,0.6073356016170507,4.378040723348796,[BOS]C[C@@H]1Oc2ccc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3ccnc5ncccc35)C4)cc2NC1=O[EOS][EOS][EOS][EOS][EOS],42
12.2,O=C(NC1CC2CCCCN2C1=O)N(Cc1cccc2ccccc12)c1ccccc1,0.6735044316224011,3.095591966688456,[BOS]O=C1[C@H](NC(=O)N(Cc2cccc3ccccc23)c2ccccc2)C[C@H]2CCCCN12[EOS][EOS][EOS][EOS][EOS][EOS],42
13.9,O=C1Nc2c(cccc2C(=O)N2CCCCC2C2CCN(C(=O)c3ccnc4ccccc34)CC2)C1=O,0.5544000097703582,3.103468383619573,[BOS]O=C1Nc2c(cccc2C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3ccnc4ccccc34)CC2)C1=O[EOS][EOS],42
12.2,Cc1ccc(CCC(=O)N2CCC3(C2)CN(C(=O)c2ccccc2)CCO3)c2ccccc12,0.607819117035052,3.3288543987752997,[BOS]Cc1ccc(CCC(=O)N2CC[C@]3(C2)CN(C(=O)c2ccccc2)CCO3)c2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,CN(c1ccc(-c2cccc(C3CC(=O)NC(=O)C3)c2)c2nnnn12)C1CC2CCC1(C)C2(C)C,0.5780220154842906,4.952966417456669,[BOS]CN(c1ccc(-c2cccc(C3CC(=O)NC(=O)C3)c2)c2nnnn12)[C@H]1C[C@@H]2CC[C@]1(C)C2(C)C[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.7,CC(NC(=O)N1CC2(CCOCC2)C2CCCC21)c1cccc2cc(F)ccc12,0.7734729713821032,4.158439518894686,[BOS]C[C@@H](NC(=O)N1CC2(CCOCC2)[C@H]2CCC[C@@H]21)c1cccc2cc(F)ccc12[EOS],42
12.5,O=C(NC1CC2CCC(C1)N2C(=O)c1cnnc2ccccc12)c1cccc(C(F)(F)F)c1F,0.5754200914760366,4.113111105492851,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnnc2ccccc12)c1cccc(C(F)(F)F)c1F[EOS][EOS][EOS][EOS][EOS],42
13.4,Cc1cccc2cc(C(=O)N3CCC4(CC(=O)c5ccccc5O4)C3)c(=O)n(C)c12,0.6273149604550414,3.544681803536184,[BOS]Cc1cccc2cc(C(=O)N3CC[C@@]4(CC(=O)c5ccccc5O4)C3)c(=O)n(C)c12[EOS],42
12.4,O=C1CCCc2cc(C(=O)N3CCCCC3C3CCN(C(=O)c4cccnn4)CC3)ccc21,0.7201360622690168,3.043890750932862,[BOS]O=C(c1cccnn1)N1CCC([C@@H]2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)CC1[EOS],42
12.0,CC1CC(Cn2c(Cc3ccc(F)cc3)nnc2N2CCCN(S(C)(=O)=O)CC2)CC(C)O1,0.6338513980322492,3.4961339985831597,[BOS]C[C@@H]1CC(Cn2c(Cc3ccc(F)cc3)nnc2N2CCCN(S(C)(=O)=O)CC2)C[C@@H](C)O1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.9,Cc1ccc(-c2ccccc2C(=O)NC2C3COCC2CN(C(=O)C2Cc4ccccc4O2)C3)cc1,0.6132075209695511,4.230484109485289,[BOS]Cc1ccc(-c2ccccc2C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)[C@@H]2Cc4ccccc4O2)C3)cc1[EOS][EOS][EOS][EOS],42
13.8,CC1CN(c2cccc3cnccc23)CCN1C(=O)C12CCC(=O)N1c1ccccc1C(=O)N2C1CC1,0.5566871991774689,3.6542815266263116,[BOS]C[C@H]1CN(c2cccc3cnccc23)CCN1C(=O)[C@@]12CCC(=O)N1c1ccccc1C(=O)N2C1CC1[EOS],42
13.9,O=C(C1CCc2ccccc2C1)N1CCOCC2(C1)CN(C(=O)C1CC1c1ccc(F)c(F)c1)CCO2,0.6359175463262651,4.410326491708124,[BOS]O=C([C@@H]1CCc2ccccc2C1)N1CCOC[C@]2(C1)CN(C(=O)[C@@H]1C[C@@H]1c1ccc(F)c(F)c1)CCO2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,CC1CN(C(=O)c2nn(-c3cc(C(F)(F)F)ccc3Cl)c3c2CCC3)CC2(CCCOC2)O1,0.6333125511503903,4.197815233274232,[BOS]C[C@@H]1CN(C(=O)c2nn(-c3cc(C(F)(F)F)ccc3Cl)c3c2CCC3)C[C@@]2(CCCOC2)O1[EOS][EOS][EOS][EOS],42
14.1,O=C(NC1CC2CCC(C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1ccc(F)c2ccccc12,0.5817992425201318,4.240742791621954,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1ccc(F)c2ccccc12[EOS],42
13.1,O=C(C1CC1c1cccc2ccccc12)N1CCC2(C1)C(=O)NCC2c1ccccc1,0.7075065233526612,4.101645377313301,[BOS]O=C([C@@H]1C[C@@H]1c1cccc2ccccc12)N1CC[C@@]2(C1)C(=O)NC[C@@H]2c1ccccc1[EOS],42
12.7,O=C1CCOc2ccc(C3N=C(c4ccc(=O)n(-c5ccc(F)cc5F)n4)ON3)cc21,0.6942672643498238,3.5950745359737875,[BOS]O=C1CCOc2ccc(C3N=C(c4ccc(=O)n(-c5ccc(F)cc5F)n4)ON3)cc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.2,CC1Oc2ccc(C(=O)N3C4CCC3CC(NC(=O)c3sc5ccccc5c3Cl)C4)cc2NC1=O,0.5285894691540315,4.297585480393732,[BOS]C[C@H]1Oc2ccc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3sc5ccccc5c3Cl)C4)cc2NC1=O[EOS][EOS][EOS][EOS][EOS],42
12.4,O=C(c1cccc(F)c1F)N1CCOC2(COCCN(C(=O)c3cccc4ccccc34)C2)C1,0.5802779111588959,3.4857337020796297,[BOS]O=C(c1cccc(F)c1F)N1CCO[C@]2(COCCN(C(=O)c3cccc4ccccc34)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,CC1Oc2ccc(C(=O)N3CCCCC3C3CCN(C(=O)C4CNC(=O)O4)CC3)cc2NC1=O,0.6951732182615118,3.780924744174502,[BOS]C[C@@H]1Oc2ccc(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)[C@@H]4CNC(=O)O4)CC3)cc2NC1=O[EOS][EOS][EOS][EOS][EOS],42
12.1,CC(NC(=O)N1CC2CCCC2(c2nc(-c3cccnc3)no2)C1)c1ccc2c(c1)OCCO2,0.6315306911596063,3.8479913881078875,[BOS]C[C@H](NC(=O)N1C[C@H]2CCC[C@@]2(c2nc(-c3cccnc3)no2)C1)c1ccc2c(c1)OCCO2[EOS][EOS][EOS][EOS][EOS],42
13.1,O=C(NCC12CCCOC1CCN(C(=O)c1cccc3ccccc13)C2)C1CCc2ccccc21,0.60404922955183,3.704980846898396,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1cccc3ccccc13)C2)[C@@H]1CCc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,O=C(NC1CC2CCC(C1)N2C(=O)c1[nH]nc2c1CCc1ncccc1-2)C1COc2ccccc2O1,0.5904708949474731,4.623208355805006,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1[nH]nc2c1CCc1ncccc1-2)[C@@H]1COc2ccccc2O1[EOS][EOS][EOS][EOS],42
12.7,O=C(CCc1ccc2ccccc2c1)N1CCC2(CC1)CN=C(O)c1ccccc1O2,0.6849061402619976,3.092370764378054,[BOS]O=C(CCc1ccc2ccccc2c1)N1CCC2(CC1)CN=C(O)c1ccccc1O2[EOS],42
13.5,Cc1cc(C(=O)NC2CC3CCC(C2)N3C(=O)c2ccc3c(c2)NC(=O)CC3)nc2ccccc12,0.6080630121284286,4.021683051487495,[BOS]Cc1cc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2ccc3c(c2)NC(=O)CC3)nc2ccccc12[EOS],42
12.3,O=C1CCC(C(=O)NC2CC3CCC(C2)N3C(=O)c2cccc(C(F)c3cccc(F)c3)c2)CN1,0.6843250398045928,4.594766883020271,[BOS]O=C1CC[C@@H](C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2cccc([C@H](F)c3cccc(F)c3)c2)CN1[EOS],42
13.0,O=C1CCC2CN(C(=O)c3cc(-c4ccc(F)cc4)c4ccccc4c3)CCC2N1,0.6913422811372376,3.0477183164614363,[BOS]O=C1CC[C@H]2CN(C(=O)c3cc(-c4ccc(F)cc4)c4ccccc4c3)CC[C@H]2N1[EOS][EOS][EOS][EOS],42
