rv,smi,qed,sa,cur_sentence,seed
11.5,COc1ccc(C2CC2C(=O)NC2CC3CCC(C2)N3C(=O)C2=C3c4ccccc4C(=O)N3CC2)cc1,0.6833017296832636,4.626819061759339,[BOS]COc1ccc([C@@H]2C[C@@H]2C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)C2=C3c4ccccc4C(=O)N3CC2)cc1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(c1ccc(-c2cc3ccccc3[nH]c2=O)c(F)c1)N1CCCCC1,0.7605022786441643,2.068250412540584,[BOS]O=C(c1ccc(-c2cc3ccccc3[nH]c2=O)c(F)c1)N1CCCCC1[EOS],42
11.9,CC(NC(=O)c1cccc(N2C(=O)c3ccccc3C2=O)c1)c1ccc2c(c1)CC(O)=N2,0.6143730984386487,2.999996512385458,[BOS]C[C@H](NC(=O)c1cccc(N2C(=O)c3ccccc3C2=O)c1)c1ccc2c(c1)CC(O)=N2[EOS][EOS][EOS][EOS][EOS],42
12.1,O=C(c1ccc(F)c(Nc2cccc3ccccc23)c1)N1CCN(c2ncccn2)CC1,0.5205840370381652,2.1745398111357073,[BOS]O=C(c1ccc(F)c(Nc2cccc3ccccc23)c1)N1CCN(c2ncccn2)CC1[EOS][EOS][EOS][EOS],42
11.7,Cc1ccc(-n2nc(C(=O)N3CCOCC3c3cc(F)cc(F)c3)c3c2CCC3)c(F)c1,0.609045753651336,3.173096258792894,[BOS]Cc1ccc(-n2nc(C(=O)N3CCOC[C@H]3c3cc(F)cc(F)c3)c3c2CCC3)c(F)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,CC(O)C(=O)N1CC2COCC(C1)C2NC(=O)c1cc(-c2ccccc2)c2ccccc2n1,0.643903451245659,4.256533458953941,[BOS]C[C@@H](O)C(=O)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)c1cc(-c2ccccc2)c2ccccc2n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.8,CN1C(=O)CC(NC(=O)N2CC=C(c3ccc4ccccc4c3)CC2)C1c1ccc(F)c(F)c1,0.6040409419026517,3.468481893961899,[BOS]CN1C(=O)C[C@H](NC(=O)N2CC=C(c3ccc4ccccc4c3)CC2)[C@H]1c1ccc(F)c(F)c1[EOS][EOS][EOS][EOS],42
11.7,CC(NC(=O)c1ccc2c(c1)C(=O)NC2=O)c1cccc(NC(=O)Cc2ccccc2F)c1,0.5061512697471923,2.6658473421239304,[BOS]C[C@H](NC(=O)c1ccc2c(c1)C(=O)NC2=O)c1cccc(NC(=O)Cc2ccccc2F)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,O=C(Nc1cc(C2CCCCN2C(=O)C2Cc3ccccc3C2)[nH]n1)C1Cc2ccccc2O1,0.6248934755620689,3.4221048297271652,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)C2Cc3ccccc3C2)[nH]n1)[C@H]1Cc2ccccc2O1[EOS],42
11.9,Cc1cccc(C2(CNC(=O)N3CCCC(c4n[nH]c(C)n4)C3)CCCCC2)c1,0.8141976545307534,3.1625394210120135,[BOS]Cc1cccc(C2(CNC(=O)N3CCC[C@@H](c4n[nH]c(C)n4)C3)CCCCC2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(c1cccc(C(=O)N2Cc3ccccc3CC2c2ccccc2)c1)N1CCCCC1,0.5759776482494334,2.5698330620878007,[BOS]O=C(c1cccc(C(=O)N2Cc3ccccc3C[C@@H]2c2ccccc2)c1)N1CCCCC1[EOS][EOS][EOS][EOS][EOS],42
