rv,smi,qed,sa,cur_sentence,seed
13.8,O=C1NCc2cc(C(=O)N3CCC(OC4CCN(C(=O)c5ccc6occc6c5)CC4)CC3)ccc2N1,0.561463645469801,2.868693098465851,[BOS]O=C1NCc2cc(C(=O)N3CCC(OC4CCN(C(=O)c5ccc6occc6c5)CC4)CC3)ccc2N1[EOS],42
12.1,O=C(NCC1OCCc2ccccc21)N1Cc2ccccc2-c2ccccc2C1,0.6962373478020162,2.797418260776899,[BOS]O=C(NC[C@H]1OCCc2ccccc21)N1Cc2ccccc2-c2ccccc2C1[EOS],42
11.2,O=C(NC1(Cc2ccc(C(F)(F)F)cc2)CCOC1)c1cc(N2CCCC2=O)ccc1Cl,0.6993657134721323,3.1090263517768326,[BOS]O=C(N[C@]1(Cc2ccc(C(F)(F)F)cc2)CCOC1)c1cc(N2CCCC2=O)ccc1Cl[EOS],42
11.9,Cc1cc[nH]c1C(=O)Nc1cc(C2CCCCN2C(=O)C2CC3CN(C(=O)OC(C)(C)C)CC3O2)[nH]n1,0.5753593310936362,4.410815027546492,[BOS]Cc1cc[nH]c1C(=O)Nc1cc([C@H]2CCCCN2C(=O)[C@@H]2C[C@@H]3CN(C(=O)OC(C)(C)C)C[C@@H]3O2)[nH]n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,Cc1cc(C(=O)N2C3CCC2CC(NC(=O)C2(c4ccc(Cl)cc4)CCOCC2)C3)cn2ccnc12,0.5722608235272119,4.359087566320119,[BOS]Cc1cc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)C2(c4ccc(Cl)cc4)CCOCC2)C3)cn2ccnc12[EOS],42
11.8,Cc1cccc(C2CCCN2C(=O)c2cccc(S(=O)(=O)N3c4ccccc4CC3C)c2)c1C,0.5072914612493028,3.0947388874194717,[BOS]Cc1cccc([C@@H]2CCCN2C(=O)c2cccc(S(=O)(=O)N3c4ccccc4C[C@H]3C)c2)c1C[EOS][EOS][EOS][EOS][EOS][EOS],42
12.3,O=C(NC1C2COCC1CN(C(=O)c1cccc(C(F)c3cccc(F)c3)c1)C2)C1CCC(O)CC1,0.6600272176139176,4.557576698837684,[BOS]O=C(c1cccc([C@H](F)c2cccc(F)c2)c1)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)[C@H]1CC[C@H](O)CC1[EOS],42
12.2,CC(NC(=O)NC1CCCc2ccccc2C1)c1nnnn1C1CCCCC1,0.7929622758644681,3.177601889846736,[BOS]C[C@@H](NC(=O)N[C@H]1CCCc2ccccc2C1)c1nnnn1C1CCCCC1[EOS],42
12.5,O=C(Cc1noc(C2CC(=O)N(c3ccc4c(c3)CCC4)C2)n1)N1CCN(c2ccccc2F)CC1,0.5478765319259704,3.0769823781848586,[BOS]O=C(Cc1noc([C@H]2CC(=O)N(c3ccc4c(c3)CCC4)C2)n1)N1CCN(c2ccccc2F)CC1[EOS],42
12.5,O=C(c1[nH]c(=O)n2ccccc12)N1CCC(OC2CCN(C(=O)C3CNc4ccccc43)CC2)CC1,0.5866885448105285,3.4639507298332104,[BOS]O=C(c1[nH]c(=O)n2ccccc12)N1CCC(OC2CCN(C(=O)[C@H]3CNc4ccccc43)CC2)CC1[EOS],42
12.5,O=C1NC2(CCC3(CC2)OCCO3)C(=O)N1CC(=O)N1CCCC1c1ccc2c(c1)OCCCO2,0.653880573579468,4.072540228478897,[BOS]O=C(CN1C(=O)NC2(CCC3(CC2)OCCO3)C1=O)N1CCC[C@@H]1c1ccc2c(c1)OCCCO2[EOS],42
