rv,smi,qed,sa,cur_sentence,seed
11.1,Cc1ccc(C)c(C(=O)NCC2CCN(C(=O)c3ccc4c(c3)NC(=O)C(C)O4)C2c2cccnc2)c1,0.5528358632381695,3.6136426468979757,[BOS]Cc1ccc(C)c(C(=O)NC[C@@H]2CCN(C(=O)c3ccc4c(c3)NC(=O)[C@H](C)O4)[C@H]2c2cccnc2)c1[EOS][EOS][EOS][EOS][EOS],42
11.4,Cc1ccc(C)c(CC(=O)N2CCC3OCCCC3(CNC(=O)c3ccc4c(c3)NC(=O)CC4)C2)c1,0.6724371612188993,3.6875478534888844,[BOS]Cc1ccc(C)c(CC(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3ccc4c(c3)NC(=O)CC4)C2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.4,CC(=O)c1ccc(-c2ccc(C(=O)N3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)o2)cc1,0.5155403000373879,2.232913562058645,[BOS]CC(=O)c1ccc(-c2ccc(C(=O)N3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)o2)cc1[EOS],42
11.6,CC(=O)N1CC2CCCC(NC(=O)c3cc(-c4ccc(F)cc4)nc4ccccc34)C2C1,0.667930027645364,3.235608686910238,[BOS]CC(=O)N1C[C@@H]2CCC[C@H](NC(=O)c3cc(-c4ccc(F)cc4)nc4ccccc34)[C@H]2C1[EOS],42
10.7,CC(C)(C)c1cc(NC(=O)N2CCC3(CC2)CNC(=O)C3)n(-c2ccccn2)n1,0.8163598950439331,3.2921998873749185,[BOS]CC(C)(C)c1cc(NC(=O)N2CCC3(CC2)CNC(=O)C3)n(-c2ccccn2)n1[EOS],42
11.6,CC(=O)N1CC2CCCC(NC(=O)c3cccc(-c4cnc5[nH]c(=O)n(C)c5c4)c3)C2C1,0.6619825513210935,3.6414938352067594,[BOS]CC(=O)N1C[C@@H]2CCC[C@H](NC(=O)c3cccc(-c4cnc5[nH]c(=O)n(C)c5c4)c3)[C@H]2C1[EOS],42
10.6,CC(=O)N1CC2CCCC(NC(=O)c3cccc(NC(=O)c4ccc(F)cc4)c3)C2C1,0.7906832941430492,3.10125057970685,[BOS]CC(=O)N1C[C@@H]2CCC[C@H](NC(=O)c3cccc(NC(=O)c4ccc(F)cc4)c3)[C@H]2C1[EOS],42
10.5,Cc1c(NC(=O)c2cc(=O)[nH]c3ccc(F)cc23)cccc1C(=O)N1CCOCC1,0.6959114620636644,2.216421906041358,[BOS]Cc1c(NC(=O)c2cc(=O)[nH]c3ccc(F)cc23)cccc1C(=O)N1CCOCC1[EOS],42
10.8,Cc1c(C(=O)N2CCCC(c3nncn3C(C)C)C2)cnn1-c1cccc(C(F)(F)F)c1,0.5961204057981337,3.1383799386394085,[BOS]Cc1c(C(=O)N2CCC[C@H](c3nncn3C(C)C)C2)cnn1-c1cccc(C(F)(F)F)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,CCn1c(-c2cc(C)nc3ccccc23)nnc1N1CCN2C(=O)OCC2C1,0.6968580047709184,3.167577282248689,[BOS]CCn1c(-c2cc(C)nc3ccccc23)nnc1N1CCN2C(=O)OC[C@H]2C1[EOS],42
10.8,Cc1ccc(C2=NOC(CNC(=O)Nc3cc(N4CCOC4=O)ccc3C)C2)cc1C,0.7648122551438431,3.0319877185777013,[BOS]Cc1ccc(N2CCOC2=O)cc1NC(=O)NC[C@H]1CC(c2ccc(C)c(C)c2)=NO1[EOS][EOS][EOS],42
11.3,Cc1ccc(CC(=O)N2CCCCC2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)cc1,0.6299485969677228,2.8447344223606272,[BOS]Cc1ccc(CC(=O)N2CCCC[C@H]2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)cc1[EOS],42
10.7,CCC(=O)N1CCc2ccc(NC(=O)Cc3csc(NC(=O)c4ccccc4)n3)cc21,0.6160294635617903,2.233462908442503,[BOS]CCC(=O)N1CCc2ccc(NC(=O)Cc3csc(NC(=O)c4ccccc4)n3)cc21[EOS],42
11.5,CC(=O)N1CC2CCCC(NC(=O)c3cc(-c4ccccc4)nc4ccccc34)C2C1,0.6971904392935309,3.173375999287269,[BOS]CC(=O)N1C[C@@H]2CCC[C@H](NC(=O)c3cc(-c4ccccc4)nc4ccccc34)[C@H]2C1[EOS],42
11.6,CC(=O)N1CC2CCCC(NC(=O)c3cc(-c4ccc(F)cc4)nc4ccccc34)C2C1,0.667930027645364,3.235608686910238,[BOS]CC(=O)N1C[C@@H]2CCC[C@@H](NC(=O)c3cc(-c4ccc(F)cc4)nc4ccccc34)[C@H]2C1[EOS],42
10.6,CCOC(=O)C1C(C)=NC(=O)NC1c1ccc(F)c(-c2cccc(C(=O)NC)c2)c1,0.7383456759316205,3.3408061500238038,[BOS]CCOC(=O)C1C(C)=NC(=O)N[C@H]1c1ccc(F)c(-c2cccc(C(=O)NC)c2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.0,CN(CCc1cccc2ccccc12)C(=O)NC1CCc2ccccc2NC1=O,0.7113913273391811,2.7466668935394853,[BOS]CN(CCc1cccc2ccccc12)C(=O)N[C@@H]1CCc2ccccc2NC1=O[EOS],42
11.4,Cc1ccc(C(=O)N2CCC3COC(CNC(=O)c4cc(=O)n(-c5ccccc5)[nH]4)C3C2)c(O)c1,0.5214714341405974,3.8119298969357365,[BOS]Cc1ccc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4cc(=O)n(-c5ccccc5)[nH]4)[C@H]3C2)c(O)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.9,Cc1c(NC(=O)c2ccccc2C(=O)c2ccc(F)cc2)cccc1-n1cnnn1,0.5163412055923793,2.196622512165739,[BOS]Cc1c(NC(=O)c2ccccc2C(=O)c2ccc(F)cc2)cccc1-n1cnnn1[EOS],42
11.5,Cc1ccc(C(=O)Nc2ccc(F)c(-n3nnnc3C)c2)c2c1CCC2,0.7866453135850667,2.4134606744948446,[BOS]Cc1ccc(C(=O)Nc2ccc(F)c(-n3nnnc3C)c2)c2c1CCC2[EOS],42
11.3,Cc1ccc(CC(=O)N2CCCCC2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)cc1,0.6299485969677228,2.8447344223606272,[BOS]Cc1ccc(CC(=O)N2CCCC[C@H]2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)cc1[EOS],42
11.6,CC(=O)N1CC2CCCC(NC(=O)c3cccc(-c4cnc5[nH]c(=O)n(C)c5c4)c3)C2C1,0.6619825513210935,3.6414938352067594,[BOS]CC(=O)N1C[C@@H]2CCC[C@@H](NC(=O)c3cccc(-c4cnc5[nH]c(=O)n(C)c5c4)c3)[C@H]2C1[EOS],42
10.7,Cc1c(NC(=O)NCc2cccc(S(=O)(=O)N3CCCCC3)c2)cccc1N1CCNC1=O,0.6013585410664317,2.414248246707448,[BOS]Cc1c(NC(=O)NCc2cccc(S(=O)(=O)N3CCCCC3)c2)cccc1N1CCNC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
