rv,smi,qed,sa,cur_sentence,seed
12.1,CC(NC(=O)NC1CCCCC1Cc1ccccc1)c1ccc(N2CCCNC2=O)cc1,0.6128055762307992,3.278685502100661,[BOS]C[C@H](NC(=O)N[C@@H]1CCCC[C@@H]1Cc1ccccc1)c1ccc(N2CCCNC2=O)cc1[EOS],42
11.4,CC1CCN(c2ccc(C(=O)N3CCCC(c4nnc5n4CCCCC5)C3)cn2)CC1,0.7552249062731934,2.9939809080805055,[BOS]CC1CCN(c2ccc(C(=O)N3CCC[C@H](c4nnc5n4CCCCC5)C3)cn2)CC1[EOS][EOS][EOS][EOS][EOS],42
10.9,CCCc1ccc(-c2ccc(C(=O)N3CCC4(C3)CN(C(=O)c3ccc(C)o3)CCO4)cc2)cc1,0.5263328208394555,3.407591948725533,[BOS]CCCc1ccc(-c2ccc(C(=O)N3CC[C@]4(C3)CN(C(=O)c3ccc(C)o3)CCO4)cc2)cc1[EOS],42
11.3,Cc1nc2nc(-c3cccc(O)c3)nn2c(C)c1CCC(=O)NC1CCCCC1C,0.6720881677611795,3.2167984849744657,[BOS]Cc1nc2nc(-c3cccc(O)c3)nn2c(C)c1CCC(=O)N[C@H]1CCCC[C@H]1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1nc2cc(F)ccc2cc1C(=O)Nc1cccc(C(=O)Nc2ccccn2)c1,0.5251218712389125,2.081358111450177,[BOS]Cc1nc2cc(F)ccc2cc1C(=O)Nc1cccc(C(=O)Nc2ccccn2)c1[EOS],42
11.6,CN1C(=O)CCc2cc(CCc3ccc(S(=O)(=O)c4ccccc4)cc3)ccc21,0.6388281209263468,2.1359372106778522,[BOS]CN1C(=O)CCc2cc(CCc3ccc(S(=O)(=O)c4ccccc4)cc3)ccc21[EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1cc(C)cc(C(=O)N2CCCC(C(=O)NC(C)c3ccc(N4CCCCC4=O)cc3)C2)c1,0.7102274758171626,2.9869999451117817,[BOS]Cc1cc(C)cc(C(=O)N2CCC[C@@H](C(=O)N[C@H](C)c3ccc(N4CCCCC4=O)cc3)C2)c1[EOS],42
11.3,CC(NC(=O)c1cc(=O)[nH]c2c1CCCC2)c1ccc(NC(=O)c2ccc(F)cc2)cc1,0.5649182741659249,2.717836241886724,[BOS]C[C@H](NC(=O)c1cc(=O)[nH]c2c1CCCC2)c1ccc(NC(=O)c2ccc(F)cc2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,Cc1ccc(CC(=O)N2CCC3OCCCC3(CNC(=O)C3CC3c3ccccc3)C2)cc1C,0.7041850388775445,3.870167660436154,[BOS]Cc1ccc(CC(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)[C@@H]3C[C@H]3c3ccccc3)C2)cc1C[EOS],42
11.1,Cc1cccc(C(=O)N2CCOCC3(C2)CN(C(=O)C2CCc4ccccc4C2)CCO3)c1F,0.6829493181073356,3.9484233260782338,[BOS]Cc1cccc(C(=O)N2CCOC[C@@]3(C2)CN(C(=O)[C@@H]2CCc4ccccc4C2)CCO3)c1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,CN1C(=O)CC(NC(=O)c2cccc(C(=O)Nc3ccccc3)c2)C1c1ccc(F)c(F)c1,0.6199175612592381,3.0332272988312985,[BOS]CN1C(=O)C[C@H](NC(=O)c2cccc(C(=O)Nc3ccccc3)c2)[C@H]1c1ccc(F)c(F)c1[EOS][EOS][EOS][EOS][EOS],42
11.6,CC(NC(=O)C1=NN(c2ccccc2)C(C(N)=O)C1)c1cccc(NC(=O)c2ccccc2)c1,0.5069895197081957,2.9565253515352516,[BOS]C[C@H](NC(=O)C1=NN(c2ccccc2)[C@H](C(N)=O)C1)c1cccc(NC(=O)c2ccccc2)c1[EOS][EOS][EOS],42
11.3,Cc1cc(C)c(-c2cc(NC(=O)C3CCS(=O)(=O)C3)n(-c3ccccc3)n2)cc1C,0.6913639181494837,2.880351279481724,[BOS]Cc1cc(C)c(-c2cc(NC(=O)[C@H]3CCS(=O)(=O)C3)n(-c3ccccc3)n2)cc1C[EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1nc2cc(F)ccc2cc1C(=O)Nc1cccc(C2CCC(=O)N2)c1,0.7416751675222205,2.7721205412488885,[BOS]Cc1nc2cc(F)ccc2cc1C(=O)Nc1cccc([C@@H]2CCC(=O)N2)c1[EOS],42
11.2,CCC1CN(C(=O)NCc2ccccc2-c2ccc(Cn3cccn3)cc2)C(CC)CN1C(C)=O,0.5481437014554937,3.384873338555013,[BOS]CC[C@H]1CN(C(=O)NCc2ccccc2-c2ccc(Cn3cccn3)cc2)[C@H](CC)CN1C(C)=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1ccc(CC(=O)N2CCC3OCCCC3(CNC(=O)C3CC3c3ccccc3)C2)cc1C,0.7041850388775445,3.870167660436154,[BOS]Cc1ccc(CC(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)[C@H]3C[C@H]3c3ccccc3)C2)cc1C[EOS],42
12.9,CC1(C)Cc2cccc(C(=O)N3CCCCC3c3cc(NC(=O)c4cc(F)cc(F)c4)n[nH]3)c2O1,0.5489744944487984,3.2590297211212738,[BOS]CC1(C)Cc2cccc(C(=O)N3CCCC[C@H]3c3cc(NC(=O)c4cc(F)cc(F)c4)n[nH]3)c2O1[EOS],42
12.1,Cc1nnc(-c2cccc(NC(=O)C3CCCN(C(=O)N4CCCC4)C3)c2)n1C,0.8645735964715942,2.7690282334044394,[BOS]Cc1nnc(-c2cccc(NC(=O)[C@H]3CCCN(C(=O)N4CCCC4)C3)c2)n1C[EOS],42
11.6,CC(NC(=O)c1cccc(NC(=O)c2ccc(F)cc2)c1)c1cccc(N2CCCC2=O)c1,0.5775624761380322,2.4882680115711615,[BOS]C[C@H](NC(=O)c1cccc(NC(=O)c2ccc(F)cc2)c1)c1cccc(N2CCCC2=O)c1[EOS],42
11.9,CC(NC(=O)N1CCCCC1c1nnc(C2CCCO2)o1)c1ccc2c(c1)CCCC2,0.7626489975215269,3.6007898116287747,[BOS]C[C@H](NC(=O)N1CCCC[C@@H]1c1nnc([C@H]2CCCO2)o1)c1ccc2c(c1)CCCC2[EOS],42
12.5,Cc1cc(F)cc(C(=O)N2CCC3COC(CNC(=O)c4ccc(-c5ccccc5)cc4)C3C2)c1,0.5853052849645781,3.3766601893957517,[BOS]Cc1cc(F)cc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4ccc(-c5ccccc5)cc4)[C@H]3C2)c1[EOS],42
11.4,CN1C(=O)CCc2cc(NC(=O)c3ccccc3OCc3ccc(Cl)cc3)ccc21,0.6257210375094521,2.0371743905199438,[BOS]CN1C(=O)CCc2cc(NC(=O)c3ccccc3OCc3ccc(Cl)cc3)ccc21[EOS],42
11.4,Cc1ccc(-c2noc(C(C)Nc3cccc(C(=O)N4CCCCC4)c3)n2)cc1F,0.6444241534882881,2.704291414927674,[BOS]Cc1ccc(-c2noc([C@@H](C)Nc3cccc(C(=O)N4CCCCC4)c3)n2)cc1F[EOS],42
13.1,Cc1nc2cc(-c3ccc4c(c3)CN(Cc3ccccc3F)C4=O)ccc2o1,0.5026911444946367,2.344369937825057,[BOS]Cc1nc2cc(-c3ccc4c(c3)CN(Cc3ccccc3F)C4=O)ccc2o1[EOS],42
11.8,CC(C(=O)NC1CCCN(c2ccn(C)n2)C1=O)c1cccc(C(=O)c2ccccc2)c1,0.6094133838934435,3.2444572751354173,[BOS]C[C@H](C(=O)N[C@H]1CCCN(c2ccn(C)n2)C1=O)c1cccc(C(=O)c2ccccc2)c1[EOS],42
11.7,Cc1ccc(C(=O)N2CCCC(C(=O)Nc3ccccc3C(=O)NCCc3ccccc3)C2)cc1,0.5363725183274121,2.418042571637095,[BOS]Cc1ccc(C(=O)N2CCC[C@H](C(=O)Nc3ccccc3C(=O)NCCc3ccccc3)C2)cc1[EOS],42
11.2,Cc1c(C(=O)NC2CCCC2Cc2ccccc2)cccc1N1CCNC1=O,0.8352123106396662,3.0398609058984345,[BOS]Cc1c(C(=O)N[C@H]2CCC[C@@H]2Cc2ccccc2)cccc1N1CCNC1=O[EOS],42
11.2,Cc1ccc(NC(=O)C2CCCN(C(=O)C3CC3c3ccc(C(F)(F)F)cc3)C2)nc1,0.7811766074417522,3.269704540401328,[BOS]Cc1ccc(NC(=O)[C@@H]2CCCN(C(=O)[C@@H]3C[C@H]3c3ccc(C(F)(F)F)cc3)C2)nc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1nc(C(=O)N2CCC3COC(CNC(=O)c4ccc(N5CCCCC5)cc4)C3C2)ccc1F,0.709932931984926,3.607289130751427,[BOS]Cc1nc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4ccc(N5CCCCC5)cc4)[C@H]3C2)ccc1F[EOS],42
11.3,Cc1nc2cc(C(=O)N3CCCC(C(=O)Nc4ccccn4)C3)ccc2n1-c1ccccc1,0.5163383395526816,2.6875960393944034,[BOS]Cc1nc2cc(C(=O)N3CCC[C@@H](C(=O)Nc4ccccn4)C3)ccc2n1-c1ccccc1[EOS],42
12.1,Cc1c(C(=O)Nc2cc(C3CCCCN3C(=O)Cc3ccc4c(c3)CCC4)[nH]n2)ccc2c1OCCO2,0.536784689527558,3.2712397591287985,[BOS]Cc1c(C(=O)Nc2cc([C@H]3CCCCN3C(=O)Cc3ccc4c(c3)CCC4)[nH]n2)ccc2c1OCCO2[EOS],42
12.0,CN(C)c1cccc(C(=O)N2CCC3OCCCC3(CNC(=O)C3CC3c3ccccc3)C2)c1,0.7129514872544175,3.8850296698553066,[BOS]CN(C)c1cccc(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)[C@H]3C[C@@H]3c3ccccc3)C2)c1[EOS],42
11.1,CN(C)c1cccc(OCC(=O)NC2CC3CCC(C2)N3C(=O)C2CC2c2ccc(F)cc2)c1,0.6773156739032369,4.274512050639686,[BOS]CN(C)c1cccc(OCC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@@H]2C[C@@H]2c2ccc(F)cc2)c1[EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1ccc(C(C)C(=O)N2CC3COCC(C2)C3NC(=O)CCc2cnc3ccccc3c2)cc1,0.5925496172363369,4.305189390523207,[BOS]Cc1ccc([C@H](C)C(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)CCc2cnc3ccccc3c2)cc1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1ccc(F)c(C(=O)Nc2cc(C3CCCCN3C(=O)c3ccc4c(c3)C(=O)CC4)[nH]n2)c1,0.5946396580646025,3.072895107037855,[BOS]Cc1ccc(F)c(C(=O)Nc2cc([C@H]3CCCCN3C(=O)c3ccc4c(c3)C(=O)CC4)[nH]n2)c1[EOS][EOS],42
11.2,CC1CC(C(=O)Nc2cccc(-c3nnc4n3CCCCC4)c2)CCC1=O,0.900036428464374,3.202896219852229,[BOS]C[C@@H]1C[C@@H](C(=O)Nc2cccc(-c3nnc4n3CCCCC4)c2)CCC1=O[EOS],42
11.2,CC1CCCC(NC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCc4ccccc43)c2)C1,0.7781086518967912,2.943048572521434,[BOS]C[C@@H]1CCC[C@@H](NC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCc4ccccc43)c2)C1[EOS],42
11.7,Cc1ccc(C(=O)Nc2cccc(CNC(=O)c3ccc4c(c3)CCC(=O)N4)c2)cc1,0.589435682848388,2.0257814909835545,[BOS]Cc1ccc(C(=O)Nc2cccc(CNC(=O)c3ccc4c(c3)CCC(=O)N4)c2)cc1[EOS],42
11.3,Cc1ccc(C2=NOC(CNC(=O)NCc3ccc(OCc4cccc(F)c4)cc3)C2)cc1,0.5255921911851315,2.7120200778559393,[BOS]Cc1ccc(C2=NO[C@H](CNC(=O)NCc3ccc(OCc4cccc(F)c4)cc3)C2)cc1[EOS],42
12.6,Cc1cc(C)cc(C(=O)N2CCCC(C(=O)Nc3cccc(-c4nnc5n4CCCCC5)c3)C2)c1,0.5939132220560267,2.8637132494741095,[BOS]Cc1cc(C)cc(C(=O)N2CCC[C@@H](C(=O)Nc3cccc(-c4nnc5n4CCCCC5)c3)C2)c1[EOS],42
11.7,Cc1ccc(C(=O)N2CCCC(C(=O)Nc3ccccc3C(=O)NCCc3ccccc3)C2)cc1,0.5363725183274121,2.418042571637095,[BOS]Cc1ccc(C(=O)N2CCC[C@H](C(=O)Nc3ccccc3C(=O)NCCc3ccccc3)C2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,COc1cccc(CC(=O)N2CCc3ccc(NC(=O)c4cc(F)c(C)cc4F)cc32)c1,0.6326915245941542,2.279681742395937,[BOS]COc1cccc(CC(=O)N2CCc3ccc(NC(=O)c4cc(F)c(C)cc4F)cc32)c1[EOS],42
11.1,CC1CCN(Cc2ccc(CN=C(O)CN=C(O)c3ccc4c(c3)OCO4)cc2)CC1,0.5170070122863891,2.790696011294706,[BOS]CC1CCN(Cc2ccc(CN=C(O)CN=C(O)c3ccc4c(c3)OCO4)cc2)CC1[EOS][EOS][EOS][EOS],42
11.6,Cc1ccc(CN2CC(C(=O)Nc3ccc(F)c(C(=O)c4ccccc4)c3)CC2=O)cc1,0.5914511603731365,2.5012108826305948,[BOS]Cc1ccc(CN2C[C@@H](C(=O)Nc3ccc(F)c(C(=O)c4ccccc4)c3)CC2=O)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,Cc1cccc(C2=CCN(C(=O)c3cccc(C4(C)NC(=O)NC4=O)c3)CC2)c1,0.7924718924999026,2.9839608629846737,[BOS]Cc1cccc(C2=CCN(C(=O)c3cccc([C@]4(C)NC(=O)NC4=O)c3)CC2)c1[EOS],42
11.6,CN1CCc2ccc(NC(=O)N3CCCC(c4nc5ccccc5o4)C3)cc2C1=O,0.7033294371351073,2.8819028331005185,[BOS]CN1CCc2ccc(NC(=O)N3CCC[C@@H](c4nc5ccccc5o4)C3)cc2C1=O[EOS],42
12.4,CC(NC(=O)c1cccc(NC(=O)C2Cc3ccccc3O2)c1)c1ccc2c(c1)CCCC2,0.5868204728524637,2.9490108596253446,[BOS]C[C@H](NC(=O)c1cccc(NC(=O)[C@@H]2Cc3ccccc3O2)c1)c1ccc2c(c1)CCCC2[EOS],42
