rv,smi,qed,sa,cur_sentence,seed
10.0,Cc1cnoc1C(=O)Nc1cc(C2CCCCN2C(=O)C2CCN(c3ccccn3)CC2)[nH]n1,0.5953947585950475,3.293514932573144,[BOS]Cc1cnoc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)C2CCN(c3ccccn3)CC2)[nH]n1[EOS],42
10.3,Cc1cc(C#N)cc(C(=O)N2CCCCC2c2cc(NC(=O)c3ccc4c(c3)C(=O)CC4)n[nH]2)c1,0.5916455922536289,3.212082672170224,[BOS]Cc1cc(C#N)cc(C(=O)N2CCCC[C@@H]2c2cc(NC(=O)c3ccc4c(c3)C(=O)CC4)n[nH]2)c1[EOS],42
9.9,Cc1ccc2oc(CNC(=O)Nc3ccc(C(=O)N4CCCCC4C)cc3)cc2c1,0.6357580572449181,2.6524101984697133,[BOS]Cc1ccc2oc(CNC(=O)Nc3ccc(C(=O)N4CCCC[C@H]4C)cc3)cc2c1[EOS],42
9.5,CN(C)c1ccc(C(=O)N2CCCCC2C2CCN(C(=O)c3ccc4n[nH]nc4c3)CC2)cc1,0.6433967839237104,2.95682419473955,[BOS]CN(C)c1ccc(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3ccc4n[nH]nc4c3)CC2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.2,O=C(Nc1cc(C2CCCCN2C(=O)c2cc3n(n2)CCC3)[nH]n1)C1CCc2ccccc2C1,0.6236477610271476,3.609279906650242,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2cc3n(n2)CCC3)[nH]n1)[C@H]1CCc2ccccc2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.5,Cc1ccc(C(NC(=O)Nc2ccc(F)cc2)c2cccc(S(C)(=O)=O)c2)cc1,0.6501741535990649,2.4365423514149427,[BOS]Cc1ccc([C@H](NC(=O)Nc2ccc(F)cc2)c2cccc(S(C)(=O)=O)c2)cc1[EOS][EOS][EOS],42
9.7,Cc1nocc1C(=O)Nc1cc(C2CCCCN2C(=O)C2COc3ccccc3O2)[nH]n1,0.6433625832997601,3.6037663581119954,[BOS]Cc1nocc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@@H]2COc3ccccc3O2)[nH]n1[EOS],42
9.7,CC(NC(=O)c1ccc(F)cc1)C(=O)N1CCC2(CN(C(=O)c3[nH]nc4c3CCC4C)CCO2)C1,0.6904352829525946,4.36765824058237,[BOS]C[C@H](NC(=O)c1ccc(F)cc1)C(=O)N1CC[C@]2(CN(C(=O)c3[nH]nc4c3CC[C@H]4C)CCO2)C1[EOS],42
10.0,CC(NC(=O)Nc1cccc(N2CCCCC2)c1)c1ccc2c(c1)CCC(=O)N2,0.7199371520071984,2.6754877726603645,[BOS]C[C@H](NC(=O)Nc1cccc(N2CCCCC2)c1)c1ccc2c(c1)CCC(=O)N2[EOS][EOS][EOS][EOS][EOS][EOS],42
10.4,O=C(Cc1c[nH]c2ccccc12)NCC12CCCOC1CCN(C(=O)C1=NOC(c3ccccc3)C1)C2,0.539031783648983,3.99064613515284,[BOS]O=C(Cc1c[nH]c2ccccc12)NC[C@@]12CCCO[C@@H]1CCN(C(=O)C1=NO[C@H](c3ccccc3)C1)C2[EOS],42
