rv,smi,qed,sa,cur_sentence,seed
12.1,Cn1ccc(=O)cc1C(=O)N1CCOC2(COCCN(C(=O)Cc3ccc4c(c3)CCCO4)C2)C1,0.6505263145960951,3.9549866174231703,[BOS]Cn1ccc(=O)cc1C(=O)N1CCO[C@]2(COCCN(C(=O)Cc3ccc4c(c3)CCCO4)C2)C1[EOS],42
13.4,Cc1ccc(C(=O)N2CCCCC2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)nc1,0.6796941556926287,2.9581212120079954,[BOS]Cc1ccc(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)nc1[EOS],42
13.3,O=C(c1cc2ccccc2c(=O)[nH]1)N1CCCC2(CCCc3ccccc32)C1,0.7009012472150994,3.284985168677741,[BOS]O=C(c1cc2ccccc2c(=O)[nH]1)N1CCC[C@]2(CCCc3ccccc32)C1[EOS],42
13.3,O=C(Nc1ccc2c(c1)C(=O)CCC2)NC1CCCCC1N1CCN(C(=O)c2cc(F)c(F)cc2F)CC1,0.5724688833674797,3.355814114447381,[BOS]O=C(Nc1ccc2c(c1)C(=O)CCC2)N[C@H]1CCCC[C@H]1N1CCN(C(=O)c2cc(F)c(F)cc2F)CC1[EOS],42
11.6,O=C(N1CCCC(c2nnc3n2CCCCC3)C1)C1(c2ccc(Cl)cc2)CCCC1,0.702567591119546,3.065410670091115,[BOS]O=C(N1CCC[C@H](c2nnc3n2CCCCC3)C1)C1(c2ccc(Cl)cc2)CCCC1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,Cc1ccc(CC(=O)N2CC3COCC(C2)C3NC(=O)C2Cc3ccccc3N2)cc1C,0.7773077158630441,4.3638302569903065,[BOS]Cc1ccc(CC(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)[C@@H]2Cc3ccccc3N2)cc1C[EOS],42
13.2,O=C(c1cc(F)ccc1Cl)N1CCOC2(COCCN(C(=O)c3cccc4ccncc34)C2)C1,0.5583390154095004,3.614387077275863,[BOS]O=C(c1cc(F)ccc1Cl)N1CCO[C@]2(COCCN(C(=O)c3cccc4ccncc34)C2)C1[EOS],42
12.9,O=C(c1ccc(F)c(F)c1)N1CCC(C2CCCCN2C(=O)c2cc(=O)nc3cccnn23)CC1,0.5742025522300032,3.1320934414009933,[BOS]O=C(c1ccc(F)c(F)c1)N1CCC([C@@H]2CCCCN2C(=O)c2cc(=O)nc3cccnn23)CC1[EOS],42
12.7,O=C(Cc1n[nH]c(=O)c2ccccc12)N1CCC(c2c[nH]c3ccc(F)cc23)CC1,0.5484188606744604,2.458839019475592,[BOS]O=C(Cc1n[nH]c(=O)c2ccccc12)N1CCC(c2c[nH]c3ccc(F)cc23)CC1[EOS],42
13.0,O=C(Cc1c[nH]c2ccccc12)NCC12CCCOC1CCN(C(=O)C1CCCC3CCCCC31)C2,0.629122354154796,4.235111380676648,[BOS]O=C(Cc1c[nH]c2ccccc12)NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@@H]1CCC[C@@H]3CCCC[C@H]31)C2[EOS],42
12.7,Cc1cnoc1C(=O)Nc1cc(C2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1,0.6266722845069637,3.331449055588733,[BOS]Cc1cnoc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1[EOS],42
13.1,O=C(Cc1ccc2c(c1)CCCO2)N1CCOC2(CCN(C(=O)c3cc4cccnc4[nH]c3=O)C2)C1,0.6042775197211312,3.8091636908624595,[BOS]O=C(Cc1ccc2c(c1)CCCO2)N1CCO[C@]2(CCN(C(=O)c3cc4cccnc4[nH]c3=O)C2)C1[EOS],42
13.0,O=C(NC1CC2CCC(C1)N2C(=O)c1cnc2ccccc2n1)C1CCc2ccccc2C1O,0.6312593764325607,4.435201157409205,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnc2ccccc2n1)[C@@H]1CCc2ccccc2[C@H]1O[EOS],42
11.9,Cc1ccc(N2CCC(NC(=O)N3CC(c4ccccc4C)CC3C)C2=O)cc1,0.8599228753492177,3.3523523016338643,[BOS]Cc1ccc(N2CC[C@H](NC(=O)N3C[C@H](c4ccccc4C)C[C@H]3C)C2=O)cc1[EOS],42
12.5,CC(NC(=O)C1CCN(c2ccc3nncn3n2)CC1)c1ccc2c(c1)CCCC2,0.7232077902870562,2.9784867190421647,[BOS]C[C@H](NC(=O)C1CCN(c2ccc3nncn3n2)CC1)c1ccc2c(c1)CCCC2[EOS],42
12.7,Cc1cc(C)cc(C(=O)N2CCOCC3(C2)CN(C(=O)C2COc4ccccc4O2)CCO3)c1,0.6756231846714584,3.929383451666932,[BOS]Cc1cc(C)cc(C(=O)N2CCOC[C@]3(C2)CN(C(=O)[C@H]2COc4ccccc4O2)CCO3)c1[EOS][EOS][EOS][EOS][EOS],42
12.2,Cc1cc(F)c(F)c(C(=O)NC2CC3CCC(C2)N3C(=O)C2CCc3ccccc3C2O)c1,0.7409752073499034,4.457904376795315,[BOS]Cc1cc(F)c(F)c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@H]2CCc3ccccc3[C@H]2O)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
13.1,Cc1ccc(F)cc1C(=O)N1CCOC2(COCCN(C(=O)c3cc(=O)[nH]c4ccccc34)C2)C1,0.6094579145215103,3.61139882001266,[BOS]Cc1ccc(F)cc1C(=O)N1CCO[C@@]2(COCCN(C(=O)c3cc(=O)[nH]c4ccccc34)C2)C1[EOS],42
11.6,CN(C)c1cc(CNC(=O)N2CCNC(=O)CC2c2ccccc2)c2ccccc2n1,0.6840060020579083,2.953653792672146,[BOS]CN(C)c1cc(CNC(=O)N2CCNC(=O)C[C@H]2c2ccccc2)c2ccccc2n1[EOS],42
12.7,CC(NC(=O)NC1CCN(C(=O)C2COc3ccccc3O2)CC1)c1ccc2c(c1)CCC(=O)N2,0.6262677657648485,3.3047052593470934,[BOS]C[C@H](NC(=O)NC1CCN(C(=O)[C@H]2COc3ccccc3O2)CC1)c1ccc2c(c1)CCC(=O)N2[EOS],42
12.7,O=C(NCC1CCN(C(=O)c2ccc(=O)[nH]c2)C1c1cccnc1)c1ccc2c(c1)CCCC2=O,0.5955213310461644,3.444500689659355,[BOS]O=C(NC[C@@H]1CCN(C(=O)c2ccc(=O)[nH]c2)[C@H]1c1cccnc1)c1ccc2c(c1)CCCC2=O[EOS],42
13.2,Cc1cc(C(=O)NC2C3COCC2CN(C(=O)CC2Cc4ccccc4C2)C3)c2cc(O)ccc2n1,0.5920272330604283,4.289325584071597,[BOS]Cc1cc(C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)CC2Cc4ccccc4C2)C3)c2cc(O)ccc2n1[EOS],42
12.8,O=C(NC1CCc2nc(NC(=O)c3cccnc3-c3ccccc3)sc2C1)C1=COCCC1,0.5973598405970553,3.2975009759526888,[BOS]O=C(N[C@@H]1CCc2nc(NC(=O)c3cccnc3-c3ccccc3)sc2C1)C1=COCCC1[EOS],42
12.2,CC(C)c1ccc(C2(C(=O)N3CCN(S(=O)(=O)c4c[nH]c5ncccc45)CC3)CCCC2)cc1,0.5973764367970339,2.658735097181145,[BOS]CC(C)c1ccc(C2(C(=O)N3CCN(S(=O)(=O)c4c[nH]c5ncccc45)CC3)CCCC2)cc1[EOS],42
12.8,O=C(c1cccc2ccccc12)N1CC2COCC(C1)C2NC(=O)C1(c2ccccc2)CCCC1,0.6110088742940808,4.066503915291574,[BOS]O=C(c1cccc2ccccc12)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)C1(c2ccccc2)CCCC1[EOS],42
11.6,COc1ccc(-c2cccc(C(=O)N3CCc4[nH]nc(C(=O)N5CCCC5C)c4C3)c2)cc1,0.6618917300438324,2.866454399718288,[BOS]COc1ccc(-c2cccc(C(=O)N3CCc4[nH]nc(C(=O)N5CCC[C@H]5C)c4C3)c2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.0,Cc1c(C(=O)NC2CC3CCC(C2)N3C(=O)C2COc3ccccc3O2)cccc1C(F)(F)F,0.7274438953268789,4.256277721565882,[BOS]Cc1c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@H]2COc3ccccc3O2)cccc1C(F)(F)F[EOS],42
12.5,O=C(Cc1ccc(C(F)(F)F)cc1)N1CCCC2(CCN(C(=O)c3cc4cccnn4n3)CC2)C1,0.5654726321042555,3.3797623644779167,[BOS]O=C(Cc1ccc(C(F)(F)F)cc1)N1CCCC2(CCN(C(=O)c3cc4cccnn4n3)CC2)C1[EOS][EOS],42
13.4,O=C(C1Cc2ccccc2C1)N1CCC2(CCCN(C(=O)C3COc4ccccc4O3)C2)CC1,0.6887327913433532,3.556618465030965,[BOS]O=C(C1Cc2ccccc2C1)N1CCC2(CCCN(C(=O)[C@@H]3COc4ccccc4O3)C2)CC1[EOS],42
