rv,smi,qed,sa,cur_sentence,seed
12.2,CN1CC(CNC(=O)N2CCC(c3nc(-c4ccccc4)no3)CC2)Cc2c1cccc2C(F)(F)F,0.549809630530689,3.1976400160809417,[BOS]CN1C[C@@H](CNC(=O)N2CCC(c3nc(-c4ccccc4)no3)CC2)Cc2c1cccc2C(F)(F)F[EOS],42
12.8,Cc1ccc(NC(=O)N2Cc3ccccc3N3CCCC3C2)cc1S(=O)(=O)C1CCCCC1,0.6803937690942138,2.9930228207709177,[BOS]Cc1ccc(NC(=O)N2Cc3ccccc3N3CCC[C@@H]3C2)cc1S(=O)(=O)C1CCCCC1[EOS],42
11.8,Cc1cc(CNc2nnc(Cc3ccc4ccccc4c3)o2)c2c(n1)CCCC2,0.5240451052041395,2.6411035619505636,[BOS]Cc1cc(CNc2nnc(Cc3ccc4ccccc4c3)o2)c2c(n1)CCCC2[EOS],42
12.1,Cc1cccc(C2(O)CCN(C(=O)C3CC34CCCc3c(Br)cccc34)CC2)c1C,0.6609064316105996,4.0168887052150914,[BOS]Cc1cccc(C2(O)CCN(C(=O)[C@@H]3C[C@@]34CCCc3c(Br)cccc34)CC2)c1C[EOS],42
11.9,CCC1(C(=O)NCc2nn(-c3ccccc3)c3c2CCC3)CCN(C(=O)c2ccccc2)CC1,0.6010853166476424,2.546417456059382,[BOS]CCC1(C(=O)NCc2nn(-c3ccccc3)c3c2CCC3)CCN(C(=O)c2ccccc2)CC1[EOS],42
12.8,O=C(NCC1OCC2CCN(C(=O)c3cccc4c3OCCO4)CC21)C1CC12C(=O)Nc1ccccc12,0.6609966591190459,4.6822658494035885,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)c3cccc4c3OCCO4)C[C@H]21)[C@@H]1C[C@@]12C(=O)Nc1ccccc12[EOS],42
12.0,NC(=O)N1CCCC(CNC(=O)c2nn(-c3ccc(Cl)cc3)c3c2CC(Cc2ccccc2)CC3)C1,0.5198342793312053,3.282659468069225,[BOS]NC(=O)N1CCC[C@H](CNC(=O)c2nn(-c3ccc(Cl)cc3)c3c2CC(Cc2ccccc2)CC3)C1[EOS][EOS],42
12.5,CC1CN(C(=O)C(NC(=O)OCC2c3ccccc3-c3ccccc32)c2ccccc2)CC(=O)N1C,0.5960461574231636,3.314199085751767,[BOS]C[C@H]1CN(C(=O)[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)c2ccccc2)CC(=O)N1C[EOS],42
12.6,O=C1COc2cc(C(=O)Nc3nc(-c4cccc5ccccc45)cs3)ccc2N1,0.5279073353234446,2.249914333285931,[BOS]O=C1COc2cc(C(=O)Nc3nc(-c4cccc5ccccc45)cs3)ccc2N1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.8,COc1ccc2c(c1)CCC(CC(=O)N1CCC3(CC1)C(=O)NCC3c1ccccc1)C2,0.8013173791435536,3.7824992057062925,[BOS]COc1ccc2c(c1)CC[C@H](CC(=O)N1CCC3(CC1)C(=O)NC[C@@H]3c1ccccc1)C2[EOS],42
13.3,C1=Nc2ccccc2C1=c1[nH]c(=CC2c3ccccc3CCc3ccccc32)o1,0.5305712524255196,3.071944349070421,[BOS]C(=C1O/C(=C2\C=Nc3ccccc32)N1)C1c2ccccc2CCc2ccccc21[EOS],42
12.3,O=C(c1ccc2ncc(O)cc2c1)N1CC(c2ccccc2)C2C1CCCCN2C1CCS(=O)(=O)CC1,0.5630291705240454,3.7971012891902607,[BOS]O=C(c1ccc2ncc(O)cc2c1)N1C[C@H](c2ccccc2)[C@@H]2[C@H]1CCCCN2C1CCS(=O)(=O)CC1[EOS],42
12.1,O=C(Nc1cccc2c1CN(c1ccccn1)C2)c1cccc(-c2noc(=O)[nH]2)c1,0.5461465049247016,2.754911620150777,[BOS]O=C(Nc1cccc2c1CN(c1ccccn1)C2)c1cccc(-c2noc(=O)[nH]2)c1[EOS][EOS][EOS][EOS],42
13.6,Cc1ccnc(NC(=O)c2ccc(C)c(NC(=O)C3CN(c4ccc(C)c(C)c4)C(=O)O3)c2)c1,0.5850259137038605,2.8297155803464253,[BOS]Cc1ccc(N2C[C@@H](C(=O)Nc3cc(C(=O)Nc4cc(C)ccn4)ccc3C)OC2=O)cc1C[EOS][EOS][EOS][EOS][EOS][EOS],42
11.2,Cc1oc2ccc(NC(=O)C(=O)NC3CC(=O)N(c4c(F)cccc4F)C3)cc2c1C,0.6283689340034221,3.0211758264001105,[BOS]Cc1oc2ccc(NC(=O)C(=O)N[C@H]3CC(=O)N(c4c(F)cccc4F)C3)cc2c1C[EOS],42
12.4,Cc1cccc2c1C(C)CC2CC(=O)N1CCCN(C(=O)c2cccc(F)c2)CC1,0.7508502245815409,3.1577568560151894,[BOS]Cc1cccc2c1[C@@H](C)C[C@@H]2CC(=O)N1CCCN(C(=O)c2cccc(F)c2)CC1[EOS],42
12.7,O=C(OC1CC2CCCCC2NC1=O)C1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,0.6967131116737111,3.8541807183883927,[BOS]O=C(O[C@@H]1C[C@@H]2CCCC[C@H]2NC1=O)C1CCN(C2=NS(=O)(=O)c3ccccc32)CC1[EOS],42
11.9,O=C(C(=O)N1CCC(CNC(=O)C2C3CCCC2c2ccccc2N3)C1c1cccnc1)C1CC1,0.6287332640078457,4.939540882498246,[BOS]O=C(C(=O)N1CC[C@@H](CNC(=O)[C@H]2[C@@H]3CCC[C@H]2c2ccccc2N3)[C@@H]1c1cccnc1)C1CC1[EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(CC1Cc2ccccc2C1)NCC1CCC(C(=O)N2CCN(c3cc(Cl)ccn3)CC2)CC1,0.6559296085813818,2.5823624790789204,[BOS]O=C(CC1Cc2ccccc2C1)NC[C@H]1CC[C@H](C(=O)N2CCN(c3cc(Cl)ccn3)CC2)CC1[EOS],42
13.1,O=C(c1cccc(-c2nc(C3CCCCC3)no2)c1)N1CC2CC(C1)c1cccc(=O)n1C2,0.604626910044357,4.032136700815297,[BOS]O=C(c1cccc(-c2nc(C3CCCCC3)no2)c1)N1CC2CC(C1)c1cccc(=O)n1C2[EOS],42
11.8,OC(=NC1CCCc2ccccc21)N1CCOCC1c1nnc(-c2cccc(F)c2)o1,0.502089689829349,3.6948976302556584,[BOS]OC(=NC1CCCc2ccccc21)N1CCOCC1c1nnc(-c2cccc(F)c2)o1[EOS],42
12.3,Cc1ccc(-n2nc(NC(=O)NC3CCN(C(=O)c4ccccc4F)CC3)cc2C)cc1,0.6488492521929903,2.270611108414533,[BOS]Cc1ccc(-n2nc(NC(=O)NC3CCN(C(=O)c4ccccc4F)CC3)cc2C)cc1[EOS],42
13.0,O=C1CC(C(=O)N2CC3CN(Cc4ccccc4)c4ccccc4C3C2)N2CCc3ccccc3C2N1,0.6060500528737699,3.9625891454011137,[BOS]O=C1C[C@H](C(=O)N2C[C@H]3CN(Cc4ccccc4)c4ccccc4[C@@H]3C2)N2CCc3ccccc3[C@@H]2N1[EOS],42
11.8,Cc1cc(C)c(F)c(-c2nc(-c3cnc4c(c3)OCCO4)[nH]c3nncc2-3)c1,0.5748569392196283,3.1903049805600983,[BOS]Cc1cc(C)cc(-c2nc(-c3cnc4c(c3)OCCO4)[nH]c3nncc2-3)c1F[EOS],42
13.2,O=C(c1cnn2ccccc12)N1CCC(OC2CCN(C(=O)C3Cc4ccccc4C3)CC2)CC1,0.5841115536004166,2.7400587976661015,[BOS]O=C(c1cnn2ccccc12)N1CCC(OC2CCN(C(=O)C3Cc4ccccc4C3)CC2)CC1[EOS],42
12.4,c1ccc2c(N3CCNCC3)cc(-c3nnc(N4CCCC5CCCCCN54)o3)cc2c1,0.6696718547818789,3.365749909469142,[BOS]c1ccc2cc(-c3nnc(N4CCC[C@H]5CCCCCN54)o3)cc(N3CCNCC3)c2c1[EOS],42
12.7,O=C(CCc1ccc(NC(=O)N2CC(c3ccccc3)C3CCCCC32)cc1)N1CCCCC1,0.6123147656463477,3.2383092342617346,[BOS]O=C(CCc1ccc(NC(=O)N2C[C@H](c3ccccc3)[C@@H]3CCCC[C@@H]32)cc1)N1CCCCC1[EOS],42
12.5,CC1CCc2c1n[nH]c2C(=O)N1CCC(C2CCCCN2C(=O)c2n[nH]c3cccc(F)c23)CC1,0.5940792713711501,3.797906630253415,[BOS]C[C@@H]1CCc2c1n[nH]c2C(=O)N1CCC([C@H]2CCCCN2C(=O)c2n[nH]c3cccc(F)c23)CC1[EOS],42
13.3,Cc1ccc(CC2CCN(S(=O)(=O)c3ccc4c(c3)CC(C(=O)N3CCc5ncnc(N)c53)O4)CC2)cc1,0.5356730110765999,3.317058092146337,[BOS]Cc1ccc(CC2CCN(S(=O)(=O)c3ccc4c(c3)C[C@H](C(=O)N3CCc5ncnc(N)c53)O4)CC2)cc1[EOS][EOS],42
12.4,O=C(NCc1ccccc1)c1cccc(-c2cccc3c2C(=O)NS3(=O)=O)c1,0.714079134185794,2.295236775431894,[BOS]O=C(NCc1ccccc1)c1cccc(-c2cccc3c2C(=O)NS3(=O)=O)c1[EOS],42
12.2,O=C(c1cc2ccccc2[nH]1)N1CCC2CCN(c3ccc4nnnn4n3)C2C1,0.5620427522184669,3.489586658825374,[BOS]O=C(c1cc2ccccc2[nH]1)N1CC[C@H]2CCN(c3ccc4nnnn4n3)[C@H]2C1[EOS],42
12.6,O=c1ccccn1-c1nccc(N2CCC3(CCCc4ccccc43)CC2)n1,0.6908393558584777,3.074284109557924,[BOS]O=c1ccccn1-c1nccc(N2CCC3(CCCc4ccccc43)CC2)n1[EOS],42
12.7,Cn1ncc2c(-c3cnc4c(c3)C(=O)NC3(CCCC3)O4)cc(N=C3CCCCCCC3)nc21,0.5667067822045561,3.9689998556500674,[BOS]Cn1ncc2c(-c3cnc4c(c3)C(=O)NC3(CCCC3)O4)cc(N=C3CCCCCCC3)nc21[EOS],42
11.6,CC(NC(=O)c1cc2c(nc1O)CC(c1ccccc1)CC2=O)c1ccccc1C(F)(F)F,0.5673630360860232,3.327191712468154,[BOS]CC(NC(=O)c1cc2c(nc1O)CC(c1ccccc1)CC2=O)c1ccccc1C(F)(F)F[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,CC1(C(=O)NCc2ccc(N3CCc4ccccc4C3)nc2)CCCN1C(=O)c1ccccc1,0.6339724236064587,2.9156897577479697,[BOS]C[C@@]1(C(=O)NCc2ccc(N3CCc4ccccc4C3)nc2)CCCN1C(=O)c1ccccc1[EOS],42
11.4,Cc1ccccc1-c1nnc(N2CC3C4CCC(O4)C3C2)n1Cc1ccccc1,0.6817639266818382,4.2872333195697,[BOS]Cc1ccccc1-c1nnc(N2C[C@H]3[C@H](C2)[C@H]2CC[C@H]3O2)n1Cc1ccccc1[EOS],42
12.4,CC1=CC(=C2C(C(=O)NCc3nc(-c4ccc(C)c(C)c4)no3)=CNc3ccccc32)C=CC1=O,0.5747538649496257,3.0319829858662493,[BOS]Cc1ccc(-c2noc(CNC(=O)c3c[nH]c4ccccc4c3=C3C=CC(=O)C(C)=C3)n2)cc1C[EOS][EOS],42
11.9,O=C1CC(C(=O)OC(C(=O)NCc2ccc3c(c2)OCO3)c2ccccc2)C2CCCCC2N1,0.6374317819035563,3.709984315209952,[BOS]O=C1C[C@H](C(=O)O[C@H](C(=O)NCc2ccc3c(c2)OCO3)c2ccccc2)[C@@H]2CCCC[C@@H]2N1[EOS][EOS][EOS][EOS][EOS][EOS],42
13.2,Cc1nccc(-c2cccc(NC(=O)C3CC(=O)N(c4ccc5c(c4)CCC(=O)N5)C3)c2)c1C,0.616864306244633,2.989475598711131,[BOS]Cc1nccc(-c2cccc(NC(=O)[C@@H]3CC(=O)N(c4ccc5c(c4)CCC(=O)N5)C3)c2)c1C[EOS],42
12.4,O=C(CNC(=O)N1CC(c2ccccc2)C2CCCCC21)N1CCCCc2ccccc21,0.7642900061803011,3.3685885061659144,[BOS]O=C(CNC(=O)N1C[C@H](c2ccccc2)[C@@H]2CCCC[C@H]21)N1CCCCc2ccccc21[EOS],42
13.4,Cc1cc(F)c(F)c(C(=O)Nc2cc(C3CCCCN3C(=O)c3ccc4c(c3)CCCC4=O)[nH]n2)c1,0.5276147528602183,3.205358370427909,[BOS]Cc1cc(F)c(F)c(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)c3ccc4c(c3)CCCC4=O)[nH]n2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,O=C(NCC(=O)N1CCc2ccccc21)C(=O)N1C2C=C(c3ccccc3)CC1CC2,0.7836277549191476,4.056154870518386,[BOS]O=C(NCC(=O)N1CCc2ccccc21)C(=O)N1[C@@H]2CC[C@@H]1C=C(c1ccccc1)C2[EOS],42
11.7,Cc1nc(CC(=O)N2CCC3COC(CNC(=O)c4cccc(C(F)c5cccc(F)c5)c4)C3C2)n[nH]1,0.5098671720612271,4.172934512307014,[BOS]Cc1nc(CC(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4cccc([C@@H](F)c5cccc(F)c5)c4)[C@H]3C2)n[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,Cc1cccc(F)c1C(=O)NCC1OCC2CCN(C(=O)c3[nH]nc4c3CCc3ncccc3-4)CC21,0.5871389459109195,4.034995943609712,[BOS]Cc1cccc(F)c1C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3[nH]nc4c3CCc3ncccc3-4)C[C@@H]21[EOS],42
