rv,smi,qed,sa,cur_sentence,seed
12.2,CC(=O)N1CCc2c(NC(=O)C(=O)NC(c3ccccc3)C3CCCc4ccccc43)cccc21,0.5543544299226206,3.28689718623209,[BOS]CC(=O)N1CCc2c(NC(=O)C(=O)N[C@H](c3ccccc3)[C@H]3CCCc4ccccc43)cccc21[EOS],42
11.3,Cc1cccc(Oc2cc(CNC(=O)C(=O)Nc3ccc4c(c3F)CCNC4=O)ccn2)c1C,0.5048782009467271,2.7132017654999405,[BOS]Cc1cccc(Oc2cc(CNC(=O)C(=O)Nc3ccc4c(c3F)CCNC4=O)ccn2)c1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.3,CN1CCOc2ccc(NC(=O)NCCc3ccc(-c4ccc(F)cc4F)cc3)cc2C1=O,0.6018456188201763,2.3014006198662056,[BOS]CN1CCOc2ccc(NC(=O)NCCc3ccc(-c4ccc(F)cc4F)cc3)cc2C1=O[EOS][EOS][EOS],42
11.9,O=C1CCc2cc(-c3nc(-c4cccc(C(F)(F)F)c4)no3)cc3c2N1CCC3,0.6295934145192229,2.5351802134582044,[BOS]O=C1CCc2cc(-c3nc(-c4cccc(C(F)(F)F)c4)no3)cc3c2N1CCC3[EOS][EOS][EOS],42
12.0,CC1(c2ccc(C(=O)NC3(Cc4ccccc4)CCCCC3)cc2)CCC(O)=NC1=O,0.7250681478350622,3.3125087624214977,[BOS]C[C@@]1(c2ccc(C(=O)NC3(Cc4ccccc4)CCCCC3)cc2)CCC(O)=NC1=O[EOS],42
12.0,Cc1cc(F)c(C(=O)N2CCC3OCCCC3(CNC(=O)c3ccc4c(c3)CCCC4=O)C2)cc1F,0.6874789729247386,3.7152797517448253,[BOS]Cc1cc(F)c(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3ccc4c(c3)CCCC4=O)C2)cc1F[EOS],42
11.9,Cc1nc(-c2cccc(C(=O)N3CCCC(c4ccc(C(C)(C)N)cc4)C3)c2)n[nH]1,0.6893008764603441,2.9076976466439746,[BOS]Cc1nc(-c2cccc(C(=O)N3CCC[C@@H](c4ccc(C(C)(C)N)cc4)C3)c2)n[nH]1[EOS],42
11.9,O=C(NCc1ccnc(N2CCOCC2)c1)NC(Cc1ccccc1F)Cc1ccccc1F,0.5294115011981005,2.440800672842597,[BOS]O=C(NCc1ccnc(N2CCOCC2)c1)NC(Cc1ccccc1F)Cc1ccccc1F[EOS],42
12.3,Cc1ccc(C2CC(C)N(C(=O)Nc3cccc(S(=O)(=O)N=C4NCCCCCN4C)c3)C2)cc1,0.6617499912039682,3.656835800093475,[BOS]Cc1ccc([C@H]2C[C@@H](C)N(C(=O)Nc3cccc(S(=O)(=O)/N=C4NCCCCCN4C)c3)C2)cc1[EOS],42
12.3,O=C(NC1c2ccccc2-c2ccccc21)NC1CC(=O)N(c2ccc(F)cc2)C(=O)C12CCCC2,0.5098020583870237,3.6309625116570494,[BOS]O=C(NC1c2ccccc2-c2ccccc21)N[C@H]1CC(=O)N(c2ccc(F)cc2)C(=O)C12CCCC2[EOS],42
