rv,smi,qed,sa,cur_sentence,seed
11.2,O=C(c1cccnc1Nc1cccc(F)c1)N1CCN(C2C=CN=C3NN=NC32)C(c2ccccc2F)C1,0.5311129078600578,4.229958740742172,[BOS]O=C(c1cccnc1Nc1cccc(F)c1)N1CCN(C2C=CN=C3NN=NC32)[C@H](c2ccccc2F)C1[EOS],42
10.2,O=C1CN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(F)cc3cccnc23)CCN1,0.6208911830861341,2.5227312898092933,[BOS]O=C1CN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(F)cc3cccnc23)CCN1[EOS][EOS],42
9.8,Cc1ccc(N2CC(C(=O)Nc3n[nH]c(-c4ccc5ccccc5n4)n3)CC2=O)cc1F,0.5160820707924882,2.941100097596232,[BOS]Cc1ccc(N2C[C@H](C(=O)Nc3n[nH]c(-c4ccc5ccccc5n4)n3)CC2=O)cc1F[EOS][EOS],42
9.1,CS(=O)(=O)c1cccc(C(=O)Nc2ccccc2-n2ccc(C(N)=O)n2)c1,0.691694359278925,2.1495628849149444,[BOS]CS(=O)(=O)c1cccc(C(=O)Nc2ccccc2-n2ccc(C(N)=O)n2)c1[EOS][EOS][EOS][EOS][EOS],42
9.8,Cc1cc2cc(CNC(=O)c3cc(=O)[nH]c4c(F)cccc34)ccc2[nH]1,0.530115869189432,2.3545733564075277,[BOS]Cc1cc2cc(CNC(=O)c3cc(=O)[nH]c4c(F)cccc34)ccc2[nH]1[EOS],42
11.6,O=C(c1ccc2n[nH]nc2c1)N1CCC(C2CCCCN2C(=O)Cc2ccc(F)c(C(F)(F)F)c2)CC1,0.5135425416610326,3.1653022133412536,[BOS]O=C(c1ccc2n[nH]nc2c1)N1CCC([C@H]2CCCCN2C(=O)Cc2ccc(F)c(C(F)(F)F)c2)CC1[EOS],42
10.0,Cc1cccc(-c2ccc(NC(=O)N3CCCC(c4n[nH]c(=O)[nH]4)C3)nc2)c1,0.651277133196796,3.0667123249837314,[BOS]Cc1cccc(-c2ccc(NC(=O)N3CCC[C@H](c4n[nH]c(=O)[nH]4)C3)nc2)c1[EOS],42
9.4,Cc1cccc(-c2ncccc2C(=O)N2CCC3OCCCC3(CNC(=O)C3CCC(C)O3)C2)c1F,0.6808462133739249,4.3207125897015235,[BOS]Cc1cccc(-c2ncccc2C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)[C@H]3CC[C@@H](C)O3)C2)c1F[EOS][EOS][EOS][EOS],42
9.6,CC(c1ccc(CC(=O)N2CCCCC2c2cc(NC(=O)c3ncon3)n[nH]2)cc1)C(F)(F)F,0.5553559755842364,3.824643214342548,[BOS]C[C@@H](c1ccc(CC(=O)N2CCCC[C@H]2c2cc(NC(=O)c3ncon3)n[nH]2)cc1)C(F)(F)F[EOS][EOS][EOS][EOS][EOS],42
9.7,O=C(NCc1coc2ccccc12)NC(CN1CCCC1=O)c1cccc(C(F)(F)F)c1,0.581814263642559,2.982338862343191,[BOS]O=C(NCc1coc2ccccc12)N[C@@H](CN1CCCC1=O)c1cccc(C(F)(F)F)c1[EOS],42
10.3,Cc1cc2nnc(C(=O)N3C4CCC3CC(NC(=O)c3ccc5ncccc5c3)C4)c(C)n2n1,0.509314094438912,4.133034143169461,[BOS]Cc1cc2nnc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3ccc5ncccc5c3)C4)c(C)n2n1[EOS],42
10.0,NC(=O)c1ccc(NC(=O)N2CCCC2c2nc3ccc(Br)cc3[nH]2)cc1F,0.5679972525760472,2.8243452796521282,[BOS]NC(=O)c1ccc(NC(=O)N2CCC[C@@H]2c2nc3ccc(Br)cc3[nH]2)cc1F[EOS],42
11.5,O=C(NC1=NC=CN2C=CC=CC12)Nc1cc(Cl)ccc1C(=O)Nc1ccc(=O)[nH]n1,0.5852290455437167,3.77580884885192,[BOS]O=C(Nc1ccc(=O)[nH]n1)c1ccc(Cl)cc1NC(=O)NC1=NC=CN2C=CC=CC12[EOS],42
10.6,c1ccc2c(Nc3ccc4c(c3)OCO4)nc(-c3ccc4c(c3)CCCO4)nc2c1,0.5192014112753934,2.332203263507422,[BOS]c1ccc2c(Nc3ccc4c(c3)OCO4)nc(-c3ccc4c(c3)CCCO4)nc2c1[EOS][EOS][EOS][EOS],42
10.0,Cc1[nH]ccc1C(=O)N1CCC(C)CC1CNc1ccc2nnnn2n1,0.7358623352399133,3.8211807652293475,[BOS]Cc1[nH]ccc1C(=O)N1CC[C@@H](C)C[C@H]1CNc1ccc2nnnn2n1[EOS],42
9.5,O=C(NCC1C2Cc3ccccc3C12)c1ccc2noc(-c3ccc(F)cc3)c2c1,0.529224862357389,3.4238189857657186,[BOS]O=C(NC[C@@H]1[C@H]2Cc3ccccc3[C@H]12)c1ccc2noc(-c3ccc(F)cc3)c2c1[EOS],42
9.6,Cc1cc2[nH]ccc2c(N2CC3COCC(C(=O)N4CCC(C5CCC(F)C5)CC4)C3C2)n1,0.7630774253266355,4.376103353621625,[BOS]Cc1cc2[nH]ccc2c(N2C[C@@H]3COC[C@H](C(=O)N4CCC([C@H]5CC[C@@H](F)C5)CC4)[C@@H]3C2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.7,O=C1CCc2ccc(C(=O)N3CCC(C4CCCCN4C(=O)C4CCc5ccccc5O4)CC3)nc2N1,0.6926742291679227,3.5712738101289725,[BOS]O=C1CCc2ccc(C(=O)N3CCC([C@H]4CCCCN4C(=O)[C@@H]4CCc5ccccc5O4)CC3)nc2N1[EOS],42
10.5,Nc1cnc2[nH]c(C3CCN(C(=O)C4CCN(C(=O)N5CCCC5)CC4)CC3c3ccccc3)nc2c1,0.5699949783791528,3.568135348590511,[BOS]Nc1cnc2[nH]c([C@@H]3CCN(C(=O)C4CCN(C(=O)N5CCCC5)CC4)C[C@H]3c3ccccc3)nc2c1[EOS][EOS],42
9.3,Cc1cnn(C(C)C(=O)N2CCCCC2c2cc(NC(=O)c3c(C)noc3N)n[nH]2)c1,0.5669513007910195,3.7278837963442104,[BOS]Cc1cnn([C@H](C)C(=O)N2CCCC[C@H]2c2cc(NC(=O)c3c(C)noc3N)n[nH]2)c1[EOS][EOS],42
9.7,O=c1ccc2c(Nc3ccc4nnc(-c5cccc(F)c5)n4c3)cccc2[nH]1,0.5002447938435766,2.4558264940060024,[BOS]O=c1ccc2c(Nc3ccc4nnc(-c5cccc(F)c5)n4c3)cccc2[nH]1[EOS],42
9.9,Cn1cc(NC(=O)N2CCCC(c3nc4ccc(F)cc4o3)C2)c(-c2cccnc2)n1,0.5372556666709625,3.1065067745217574,[BOS]Cn1cc(NC(=O)N2CCC[C@@H](c3nc4ccc(F)cc4o3)C2)c(-c2cccnc2)n1[EOS],42
10.9,Cc1cnoc1C(=O)Nc1ncnc2[nH]nc(OCC3CCc4ccccc4O3)c12,0.5176537617677918,3.4985875931680397,[BOS]Cc1cnoc1C(=O)Nc1ncnc2[nH]nc(OC[C@H]3CCc4ccccc4O3)c12[EOS],42
9.9,O=C(Nc1ccc(Cl)cn1)c1ccccc1NC(=O)C1CCN(c2ccc3c(c2)OCCO3)C1=O,0.5248385814272869,2.9155335084230813,[BOS]O=C(Nc1ccc(Cl)cn1)c1ccccc1NC(=O)[C@H]1CCN(c2ccc3c(c2)OCCO3)C1=O[EOS],42
9.9,CN1CC(C2Nc3ccccc3C(=O)N2NC(=O)c2cc(Cl)ccn2)c2cc(F)ccc2C1(C)C,0.5660362575508043,3.861327008884685,[BOS]CN1CC(C2Nc3ccccc3C(=O)N2NC(=O)c2cc(Cl)ccn2)c2cc(F)ccc2C1(C)C[EOS],42
9.3,O=C(Nc1ccnc(Oc2ccc(F)cc2F)c1)C(=O)N1CC2CCC(=O)c3cccc1c32,0.6058717711105687,3.2691704665629775,[BOS]O=C1CC[C@H]2CN(C(=O)C(=O)Nc3ccnc(Oc4ccc(F)cc4F)c3)c3cccc1c32[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,Cc1cc2cc(NC(=O)NCc3cccc(-n4cncn4)c3)ccc2n(C)c1=O,0.5620963956339072,2.4004738186481926,[BOS]Cc1cc2cc(NC(=O)NCc3cccc(-n4cncn4)c3)ccc2n(C)c1=O[EOS],42
10.6,O=C(c1cnc2[nH]ccc2c1)N1CCC(C2CCCCN2C(=O)CC2CNc3ccccc3O2)CC1,0.57931187136474,3.5804445942275365,[BOS]O=C(c1cnc2[nH]ccc2c1)N1CCC([C@H]2CCCCN2C(=O)C[C@H]2CNc3ccccc3O2)CC1[EOS],42
10.1,Cc1cc(F)ccc1C(=O)NCC1OCC2CCN(C(=O)c3cc4cc(C(F)(F)F)ccc4[nH]3)CC21,0.5137376734871089,3.7314764272349974,[BOS]Cc1cc(F)ccc1C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3cc4cc(C(F)(F)F)ccc4[nH]3)C[C@@H]21[EOS],42
9.4,Cc1cc(C(=O)NCc2ccc3c(N)noc3c2)nc(-c2ccc(Cl)cc2)n1,0.5462944663903821,2.3954811985088167,[BOS]Cc1cc(C(=O)NCc2ccc3c(N)noc3c2)nc(-c2ccc(Cl)cc2)n1[EOS],42
10.6,Cc1sc(NC(=O)C2CCc3ncncc3C2)nc1-c1ccc2c(c1)CCC(=O)N2,0.6768631673053029,3.244619543975852,[BOS]Cc1sc(NC(=O)[C@H]2CCc3ncncc3C2)nc1-c1ccc2c(c1)CCC(=O)N2[EOS],42
