rv,smi,qed,sa,cur_sentence,seed
11.7,CC(=O)N1C=Cc2ccccc2C1Cc1nc(-c2cc(=O)[nH]c3ccccc23)no1,0.5681477844435378,3.2556423556469403,[BOS]CC(=O)N1C=Cc2ccccc2[C@H]1Cc1nc(-c2cc(=O)[nH]c3ccccc23)no1[EOS],42
11.9,CC(=O)N1CCCCCC1C1CCN(C(=O)c2cc(-c3ccccc3)nc(C)c2C)CC1,0.683771412618717,2.8366331987759867,[BOS]CC(=O)N1CCCCC[C@H]1C1CCN(C(=O)c2cc(-c3ccccc3)nc(C)c2C)CC1[EOS],42
11.7,O=C(OC1CCCN(C(=O)OCC2c3ccccc3-c3ccccc32)C1)c1ccc(=O)[nH]n1,0.6183398357265941,3.0657157509328643,[BOS]O=C(O[C@H]1CCCN(C(=O)OCC2c3ccccc3-c3ccccc32)C1)c1ccc(=O)[nH]n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,O=C(Nc1cccc2c1CNC2=O)c1ccc2c(c1)CC(c1ccccc1)OC2=O,0.6600407591445258,2.876892753524924,[BOS]O=C(Nc1cccc2c1CNC2=O)c1ccc2c(c1)C[C@@H](c1ccccc1)OC2=O[EOS],42
11.0,Cc1ccnc2ccc(C(=O)N3CCc4c(F)cc(F)cc4C3C)cc12,0.642160242348316,2.8818453106464545,[BOS]Cc1ccnc2ccc(C(=O)N3CCc4c(F)cc(F)cc4[C@@H]3C)cc12[EOS],42
11.0,Cc1cc(C)c2c(c1)CCCN2C(=O)CSc1nncn1-c1ccc(C)c(Cl)c1,0.555542486389236,2.570373551915221,[BOS]Cc1cc(C)c2c(c1)CCCN2C(=O)CSc1nncn1-c1ccc(C)c(Cl)c1[EOS],42
11.8,O=C(CC1CCC(c2ccnc3ccc(F)cc23)CC1)N1CCOC2(CC3CCC2C3)C1,0.6420458412745279,4.955250466598914,[BOS]O=C(CC1CCC(c2ccnc3ccc(F)cc23)CC1)N1CCO[C@]2(C[C@H]3CC[C@H]2C3)C1[EOS],42
11.7,O=C1NC(=O)C2(CC3CCC(C2)N3C(=O)c2cc(=O)c3ccc(Cl)cc3o2)N1,0.7079983885716337,4.751021081426929,[BOS]O=C(c1cc(=O)c2ccc(Cl)cc2o1)N1[C@H]2CC[C@H]1CC1(C2)NC(=O)NC1=O[EOS],42
10.6,Cc1nc2ccccc2n1C1CCN(C(=O)C2CCC(C(=O)N3CCOCC3)O2)CC1,0.7495017608502442,3.409053133214238,[BOS]Cc1nc2ccccc2n1C1CCN(C(=O)[C@@H]2CC[C@H](C(=O)N3CCOCC3)O2)CC1[EOS][EOS][EOS][EOS],42
10.5,Cc1cc(C#N)cc(C(=O)NCC23CCCOC2CCN(C(=O)c2noc(C)c2C)C3)c1,0.789447120162758,3.8969188643154684,[BOS]Cc1cc(C#N)cc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2noc(C)c2C)C3)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.9,O=C(NCC(O)c1ccccc1)c1c2ccccc2cc2ccccc12,0.5386276992518868,2.3505044227311966,[BOS]O=C(NC[C@H](O)c1ccccc1)c1c2ccccc2cc2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,O=C(Nc1[nH]ncc1-c1ccc2c(c1)OCO2)C(=O)N1CCc2c(F)cc(F)cc2C1,0.6144520648989701,2.89773136133792,[BOS]O=C(Nc1[nH]ncc1-c1ccc2c(c1)OCO2)C(=O)N1CCc2c(F)cc(F)cc2C1[EOS],42
10.7,Cc1ccc(C2=NOC(CNC(=O)NCc3cc4c([nH]c3=O)CCCC4)C2)cc1C,0.7098534816083338,3.173880502584205,[BOS]Cc1ccc(C2=NO[C@H](CNC(=O)NCc3cc4c([nH]c3=O)CCCC4)C2)cc1C[EOS][EOS][EOS][EOS][EOS][EOS],42
11.3,Cc1cc(=O)[nH]c2cc(C(=O)NCCc3cccc(-c4ccccc4)c3)ccc12,0.534697027134367,2.022336350092653,[BOS]Cc1cc(=O)[nH]c2cc(C(=O)NCCc3cccc(-c4ccccc4)c3)ccc12[EOS],42
12.0,CN1C(=O)CN(C(=O)Cc2coc3ccc4c(c23)CCC4)CC1c1cccc(C(F)(F)F)c1F,0.519070908191082,3.4979163900630237,[BOS]CN1C(=O)CN(C(=O)Cc2coc3ccc4c(c23)CCC4)C[C@H]1c1cccc(C(F)(F)F)c1F[EOS],42
10.7,N#Cc1ccc2c(c1)CC([NH2+]C1CCc3ccc(-c4nn[n-]n4)cc31)CC2,0.7670821464702529,4.836705583757553,[BOS]N#Cc1ccc2c(c1)C[C@H]([NH2+][C@H]1CCc3ccc(-c4nn[n-]n4)cc31)CC2[EOS],42
11.1,CN1C(=O)NCc2c(NC(=O)Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cccc21,0.5829349787309381,2.675229588293746,[BOS]CN1C(=O)NCc2c(NC(=O)Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cccc21[EOS],42
11.7,O=C(Cc1ccc2c(c1)CCO2)NCC12CCCOC1CCN(C(=O)C1ON=C(c3ccccc3)O1)C2,0.647634773418009,4.235120941080856,[BOS]O=C(Cc1ccc2c(c1)CCO2)NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@@H]1ON=C(c3ccccc3)O1)C2[EOS],42
11.0,Cc1ccc2c(CC(=O)N3CCOc4ccc(S(C)(=O)=O)cc43)coc2c1C,0.6744516854490042,2.551751331644912,[BOS]Cc1ccc2c(CC(=O)N3CCOc4ccc(S(C)(=O)=O)cc43)coc2c1C[EOS],42
11.1,CC1CC(F)(F)CCN1C(=O)c1ccc2c(c1)-c1ccccc1C2,0.6434738843110701,2.925427956357341,[BOS]C[C@@H]1CC(F)(F)CCN1C(=O)c1ccc2c(c1)-c1ccccc1C2[EOS],42
10.9,Cc1ccc(O)c(C(=O)NCC2CCN(C(=O)C3ON=C(c4ccccc4)O3)C2c2cccnc2)c1,0.5535083021593599,3.8714555589943274,[BOS]Cc1ccc(O)c(C(=O)NC[C@@H]2CCN(C(=O)[C@H]3ON=C(c4ccccc4)O3)[C@@H]2c2cccnc2)c1[EOS][EOS],42
10.8,Cn1ncc2c1CC(C(=O)NC(c1cccc3ccccc13)C(F)(F)F)CC2,0.7356587860520284,3.4153063024147183,[BOS]Cn1ncc2c1C[C@H](C(=O)N[C@@H](c1cccc3ccccc13)C(F)(F)F)CC2[EOS],42
11.5,CC(CC(=O)N1CC=C(c2cccc3ccccc23)CC1)c1ccc(O)cc1O,0.6577027418722637,2.9080869915138,[BOS]C[C@@H](CC(=O)N1CC=C(c2cccc3ccccc23)CC1)c1ccc(O)cc1O[EOS],42
11.2,CC(=O)NC1(c2noc(-c3oc4c(ccc5ccccc54)c3C)n2)CCCCC1,0.5181176291116882,2.7661731632794684,[BOS]CC(=O)NC1(c2noc(-c3oc4c(ccc5ccccc54)c3C)n2)CCCCC1[EOS],42
