rv,smi,qed,sa,cur_sentence,seed
12.3,Cc1c(Cl)ccc(C(=O)N2C3CCC2CC(NC(=O)c2cccc4c2NC(=O)C4=O)C3)c1Cl,0.6416117675183403,4.186757262481332,[BOS]Cc1c(Cl)ccc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cccc4c2NC(=O)C4=O)C3)c1Cl[EOS],42
12.9,O=C(c1cccn2c(=O)[nH]nc12)N1CCCCC1C1CCN(C(=O)C2(c3ccccc3)CCCC2)CC1,0.5893303123177472,3.31167181041085,[BOS]O=C(c1cccn2c(=O)[nH]nc12)N1CCCC[C@@H]1C1CCN(C(=O)C2(c3ccccc3)CCCC2)CC1[EOS],42
11.7,O=C(Nc1cc(Cl)ccc1OC1CCCC1)c1cnn2c1[nH]c(=O)c1ccccc12,0.5097292006343598,2.570859178626785,[BOS]O=C(Nc1cc(Cl)ccc1OC1CCCC1)c1cnn2c1[nH]c(=O)c1ccccc12[EOS],42
14.2,Cc1cccc2c1CCN(C(=O)c1ccc3[nH][nH]c(=O)c3c1)C2C(=O)N1CC2(CCCC2)OC(C)C1=O,0.5230006910428175,4.473422631964082,[BOS]Cc1cccc2c1CCN(C(=O)c1ccc3[nH][nH]c(=O)c3c1)C2C(=O)N1CC2(CCCC2)OC(C)C1=O[EOS],42
12.5,Cc1cnoc1C(=O)Nc1cc(C2CCCCN2C(=O)c2ccc3c(c2)NC(=O)C(C)O3)[nH]n1,0.5384948418702393,3.7016696814321612,[BOS]Cc1cnoc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)c2ccc3c(c2)NC(=O)[C@H](C)O3)[nH]n1[EOS],42
11.7,COc1ccc2c(NC(=O)c3ccc4c(c3)CCCC4=O)n[nH]c2c1,0.7686749291563986,2.2609243130997196,[BOS]COc1ccc2c(NC(=O)c3ccc4c(c3)CCCC4=O)n[nH]c2c1[EOS],42
13.1,Cc1ccc(NC(=O)N2CCOC(CN3CC=C(c4ccc5ccccc5c4F)CC3)C2)cc1C(N)=O,0.541196437440667,3.151892468369243,[BOS]Cc1ccc(NC(=O)N2CCO[C@@H](CN3CC=C(c4ccc5ccccc5c4F)CC3)C2)cc1C(N)=O[EOS],42
11.9,Cc1cc(Cl)c(Cl)cc1C(=O)NCC12CCCOC1CCN(C(=O)c1cnn3ccccc13)C2,0.5756599572443091,3.7602817353576166,[BOS]Cc1cc(Cl)c(Cl)cc1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1cnn3ccccc13)C2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,CC1(C(=O)N2Cc3ccccc3-c3ccccc3C2)CC(O)CN1C(=O)OCc1ccccc1,0.6359532829342862,3.3313872881259083,[BOS]C[C@@]1(C(=O)N2Cc3ccccc3-c3ccccc3C2)C[C@@H](O)CN1C(=O)OCc1ccccc1[EOS],42
12.6,CC1CCS(=O)(=O)CCN1CC(=O)Nc1cc(-c2ccc3c(c2)CCCC3)nn1-c1ccccc1,0.5846657521343018,3.1073575754451683,[BOS]C[C@H]1CCS(=O)(=O)CCN1CC(=O)Nc1cc(-c2ccc3c(c2)CCCC3)nn1-c1ccccc1[EOS],42
13.0,Cn1ccc(=O)cc1C(=O)N1CCCCC1C1CCN(C(=O)c2ccc3ncccc3c2)CC1,0.602281900657203,3.0563328289624696,[BOS]Cn1ccc(=O)cc1C(=O)N1CCCC[C@H]1C1CCN(C(=O)c2ccc3ncccc3c2)CC1[EOS],42
12.0,CCc1cc(C(=O)N2CCC3COC(CNC(=O)c4[nH]nc5c4CCc4ncccc4-5)C3C2)cc(C)n1,0.5570931160155245,4.138917536494359,[BOS]CCc1cc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4[nH]nc5c4CCc4ncccc4-5)[C@H]3C2)cc(C)n1[EOS],42
12.1,Cc1ccc(O)c(C(=O)N2CCC3(C2)CN(C(=O)c2cnn4cc(C)cnc24)CCO3)c1,0.659052071405701,3.7539169966606893,[BOS]Cc1ccc(O)c(C(=O)N2CC[C@@]3(C2)CN(C(=O)c2cnn4cc(C)cnc24)CCO3)c1[EOS],42
11.9,Cc1ccc2[nH]cc(C(C(=O)N3CCC4C3CCC(=O)N4c3ccccc3)C(F)(F)F)c2c1,0.6097165732342092,3.7362784527455224,[BOS]Cc1ccc2[nH]cc([C@H](C(=O)N3CC[C@@H]4[C@H]3CCC(=O)N4c3ccccc3)C(F)(F)F)c2c1[EOS],42
11.6,CN(Cc1cccc(NC(=O)c2cccc(C3(C)NC(=O)NC3=O)c2)c1)C(=O)C(F)(F)F,0.6112247587142033,2.9909847072144995,[BOS]CN(Cc1cccc(NC(=O)c2cccc([C@@]3(C)NC(=O)NC3=O)c2)c1)C(=O)C(F)(F)F[EOS],42
12.4,CCn1nc(C(=O)NC2CC3CCC(C2)N3C(=O)C2=Cc3ccccc3NC(=O)C2)c2ccccc21,0.5910412579601841,4.305126175787574,[BOS]CCn1nc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)C2=Cc3ccccc3NC(=O)C2)c2ccccc21[EOS],42
12.5,CC(=O)N1CCCCCC1C1CCN(C(=O)NCc2cc3ccccc3n(C)c2=O)CC1,0.7994211131378957,2.9215314236280587,[BOS]CC(=O)N1CCCCC[C@@H]1C1CCN(C(=O)NCc2cc3ccccc3n(C)c2=O)CC1[EOS],42
11.3,CC(NC(=O)N1CCC2CC(O)CCC2C1)C(c1ccccc1)c1ccccc1,0.8102737227243758,3.4187915209315367,[BOS]C[C@H](NC(=O)N1CC[C@@H]2C[C@@H](O)CC[C@@H]2C1)C(c1ccccc1)c1ccccc1[EOS],42
12.7,O=C(NC1C2CCc3ccccc3C21)N1CCc2c(cccc2N2CCOC2=O)C1,0.8356535920468645,3.6748371675839016,[BOS]O=C(N[C@@H]1[C@H]2CCc3ccccc3[C@H]21)N1CCc2c(cccc2N2CCOC2=O)C1[EOS],42
