rv,smi,qed,sa,cur_sentence,seed
11.2,O=C(Nc1cccc2c1OCCC2)c1ccc2[nH]c(=O)c3ccccc3c2c1,0.5180903433512722,2.253971522148591,[BOS]O=C(Nc1cccc2c1OCCC2)c1ccc2[nH]c(=O)c3ccccc3c2c1[EOS],42
11.8,O=C(C1CCc2cc(F)ccc21)N1CCC(n2cnc3cccnc3c2=O)CC1,0.6726203652180585,3.0210086517812433,[BOS]O=C([C@@H]1CCc2cc(F)ccc21)N1CCC(n2cnc3cccnc3c2=O)CC1[EOS],42
11.7,O=C(c1cc2ccccc2c(=O)[nH]1)N1Cc2ccccc2OC2(CCOCC2)C1,0.6930841133563305,3.06742627298357,[BOS]O=C(c1cc2ccccc2c(=O)[nH]1)N1Cc2ccccc2OC2(CCOCC2)C1[EOS],42
11.2,O=C(NC(c1cccc(C(F)(F)F)c1)C1CCOCC1)c1cnc2[nH]c(=O)[nH]c(=O)c2c1,0.5672172181835867,3.181874044084526,[BOS]O=C(N[C@H](c1cccc(C(F)(F)F)c1)C1CCOCC1)c1cnc2[nH]c(=O)[nH]c(=O)c2c1[EOS],42
12.0,O=C(Nc1cccc2ccccc12)N1CC2CC(C1)c1cccc(=O)n1C2,0.7209657845606895,3.682817342970173,[BOS]O=C(Nc1cccc2ccccc12)N1C[C@H]2C[C@@H](C1)c1cccc(=O)n1C2[EOS],42
11.1,OC1(c2nnc(N3Cc4ccccc4C4(CC4)C3)n2Cc2cccs2)CNOC1,0.6879305446338173,4.368322104083925,[BOS]O[C@]1(c2nnc(N3Cc4ccccc4C4(CC4)C3)n2Cc2cccs2)CNOC1[EOS],42
11.1,Cc1cc(NC(=O)NC2CCc3[nH]ncc3C2)nn1-c1ccc(F)cc1F,0.6606385685769643,3.2055896721180197,[BOS]Cc1cc(NC(=O)N[C@@H]2CCc3[nH]ncc3C2)nn1-c1ccc(F)cc1F[EOS],42
11.7,Cc1cc(C(=O)N2CCC3COC(CNC(=O)c4cccc(N5CCCNC(=O)N5)n4)C3C2)c(C)n1C,0.5600005184670963,4.24440616338149,[BOS]Cc1cc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4cccc(N5CCCNC(=O)[nH]5)n4)[C@H]3C2)c(C)n1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.2,Cn1ccc2cccc(C(=O)NC3CC4CCC(C3)N4C(=O)C3=C4c5ccccc5C(=O)N4CC3)c21,0.6213093882983429,4.424936678746154,[BOS]Cn1ccc2cccc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)C3=C4c5ccccc5C(=O)N4CC3)c21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.7,O=C(c1cnnc(-c2ccccc2)c1)N1CCCC(c2n[nH]c(=O)[nH]2)C1,0.7454567464170834,3.1397370138243144,[BOS]O=C(c1cnnc(-c2ccccc2)c1)N1CCC[C@@H](c2n[nH]c(=O)[nH]2)C1[EOS],42
10.9,CC1c2cc(F)cc(F)c2CC[NH+]1CC(=O)Nc1cc(Cl)ccc1-c1nn[n-]n1,0.6713656962608958,4.881795476836631,[BOS]C[C@@H]1c2cc(F)cc(F)c2CC[NH+]1CC(=O)Nc1cc(Cl)ccc1-c1nn[n-]n1[EOS],42
11.5,CN1CCN(C(=O)c2ccc3c(c2)CCCCC3=O)C2c3ccccc3C(O)=NC21,0.7412623634574055,3.6179258237096015,[BOS]CN1CCN(C(=O)c2ccc3c(c2)CCCCC3=O)[C@@H]2c3ccccc3C(O)=N[C@H]21[EOS],42
11.0,Cn1cc(C(=O)N2Cc3ccc([N+](=O)[O-])cc3C2)c2cc(F)ccc2c1=O,0.5148433505631052,2.4248004233764835,[BOS]Cn1cc(C(=O)N2Cc3ccc([N+](=O)[O-])cc3C2)c2cc(F)ccc2c1=O[EOS],42
11.9,Fc1ccc2c(c1)CCc1cnc(-c3cc(F)nc(N4CCOCC4)n3)cc1-2,0.6379335392801215,2.723668520272419,[BOS]Fc1ccc2c(c1)CCc1cnc(-c3cc(F)nc(N4CCOCC4)n3)cc1-2[EOS],42
11.5,CC1Oc2cc(C(=O)N3CCC(c4noc5ccc(F)cc45)CC3)ccc2NC1=O,0.6976171155586147,3.06645366895272,[BOS]C[C@H]1Oc2cc(C(=O)N3CCC(c4noc5ccc(F)cc45)CC3)ccc2NC1=O[EOS],42
11.8,Cc1cc(-c2cc(C(=O)N3CCOC4(CCOC4C)C3)c3ccccc3n2)c(C)cc1Cl,0.5386277095899715,3.96326330463466,[BOS]Cc1cc(-c2cc(C(=O)N3CCO[C@@]4(CCO[C@@H]4C)C3)c3ccccc3n2)c(C)cc1Cl[EOS],42
11.0,Cc1cc2c(cc1Br)N(C(=O)Cc1n[nH]c(=O)c3ccccc13)CC(C)O2,0.6796105545059293,3.1141640530002954,[BOS]Cc1cc2c(cc1Br)N(C(=O)Cc1n[nH]c(=O)c3ccccc13)C[C@@H](C)O2[EOS],42
11.5,CC1C(=O)Nc2cc(-c3cccc4[nH]c(=O)oc34)cc3c2N1CCC(N)=CC3,0.6057206743070693,3.8812392694281765,[BOS]C[C@@H]1C(=O)Nc2cc(-c3cccc4[nH]c(=O)oc34)cc3c2N1CCC(N)=CC3[EOS],42
11.7,Cc1ccc2ccnc(NC(=O)C3CCCN3C(=O)c3ccc4c(c3)OCO4)c2c1,0.7238245526539822,2.7573049551164353,[BOS]Cc1ccc2ccnc(NC(=O)[C@H]3CCCN3C(=O)c3ccc4c(c3)OCO4)c2c1[EOS],42
10.3,CC1CN(C(=O)NCCc2c[nH]c3cc(F)ccc23)CCC1c1ccccc1,0.6790642547728488,3.0274130426505703,[BOS]C[C@@H]1CN(C(=O)NCCc2c[nH]c3cc(F)ccc23)CC[C@H]1c1ccccc1[EOS][EOS][EOS][EOS],42
11.4,Cc1ccc2cccc(NC(=O)N3CC4COCC4(c4nnc(C)o4)C3)c2n1,0.7357647092759608,3.800753213590742,[BOS]Cc1ccc2cccc(NC(=O)N3C[C@@H]4COC[C@@]4(c4nnc(C)o4)C3)c2n1[EOS],42
11.2,Cc1c(C)c(C)c(CC(=O)N2C3CCC2C(NC(=O)c2ccno2)C3)c(C)c1C,0.8616871249986141,4.588211454510245,[BOS]Cc1c(C)c(C)c(CC(=O)N2[C@H]3CC[C@H]2[C@H](NC(=O)c2ccno2)C3)c(C)c1C[EOS],42
11.1,O=C(NC1COc2c(F)cc(F)cc2C1)N1CCc2ccc(F)c(F)c2C1,0.7716475687379935,3.226633081340376,[BOS]O=C(N[C@@H]1COc2c(F)cc(F)cc2C1)N1CCc2ccc(F)c(F)c2C1[EOS],42
10.8,CC1Cc2ccccc2N(C(=O)c2cccc(Nc3ncccn3)c2)C1,0.7783378392246032,2.6383714267797806,[BOS]C[C@H]1Cc2ccccc2N(C(=O)c2cccc(Nc3ncccn3)c2)C1[EOS],42
10.9,Cc1cc(C)cc(C(=O)NCC23CCCOC2CCN(C(=O)Cc2c[nH]c4ccc(C)cc24)C3)c1,0.5744820683635624,3.6228873385550138,[BOS]Cc1cc(C)cc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)Cc2c[nH]c4ccc(C)cc24)C3)c1[EOS][EOS][EOS][EOS],42
10.9,Cc1ccc(C2=NOC(CNC(=O)Nc3nc(-c4ccc5c(c4)CCC(=O)N5)cs3)C2)cc1C,0.5004969977038777,3.1644698776280897,[BOS]Cc1ccc(C2=NO[C@H](CNC(=O)Nc3nc(-c4ccc5c(c4)CCC(=O)N5)cs3)C2)cc1C[EOS],42
12.6,Nc1nc(N2CC=C(c3cccc4ccccc34)CCC2)nc2[nH]ncc12,0.5710611159160177,2.688251538761099,[BOS]Nc1nc(N2CC=C(c3cccc4ccccc34)CCC2)nc2[nH]ncc12[EOS],42
11.6,O=C(C1CCc2n[nH]c(=S)n2C1)N1CC=C(c2cccc3ccccc23)CC1,0.6738037502493488,3.2993740302161694,[BOS]O=C([C@@H]1CCc2n[nH]c(=S)n2C1)N1CC=C(c2cccc3ccccc23)CC1[EOS],42
11.4,CC(=O)N1CCCc2ccc(Nc3ccc4c(c3)C3(CC[NH2+]CC3)C(=O)N4c3cccc(C)n3)cc21,0.5964439954763054,3.879809588666685,[BOS]CC(=O)N1CCCc2ccc(Nc3ccc4c(c3)C3(CC[NH2+]CC3)C(=O)N4c3cccc(C)n3)cc21[EOS],42
11.4,CN1C(=O)c2ccc(NC(=O)CNc3cccc4c3CN(c3ccccn3)C4)cc2C1=O,0.6083597682121532,2.4966617423959363,[BOS]O=C(CNc1cccc2c1CN(c1ccccn1)C2)Nc1ccc2c(c1)C(=O)N(C)C2=O[EOS],42
11.2,O=C(NCc1cccc(N2CCCC2=O)c1)c1ccccc1C(=O)c1ccc(F)c(F)c1,0.5900862539742349,2.1637903138245065,[BOS]O=C(NCc1cccc(N2CCCC2=O)c1)c1ccccc1C(=O)c1ccc(F)c(F)c1[EOS],42
