rv,smi,qed,sa,cur_sentence,seed
11.3,Cc1c(NC(=O)NC2(Cc3ccc(Cl)cc3)CCCOC2)cccc1C(=O)N1CCOCC1,0.689473259974761,2.9902769098397446,[BOS]Cc1c(NC(=O)N[C@]2(Cc3ccc(Cl)cc3)CCCOC2)cccc1C(=O)N1CCOCC1[EOS][EOS],42
12.2,Cc1ccn(-c2cc(N3CCCC(C(=O)N4CCN(C(=O)c5ccccc5)CC4)C3)ncn2)n1,0.5943753179854014,2.9368505969088083,[BOS]Cc1ccn(-c2cc(N3CCC[C@H](C(=O)N4CCN(C(=O)c5ccccc5)CC4)C3)ncn2)n1[EOS][EOS][EOS][EOS],42
11.9,O=C(Nc1ccc(F)cc1)NC1CC2CCC(C1)N2S(=O)(=O)c1ccc2[nH]ncc2c1,0.575516564973521,3.91889117129626,[BOS]O=C(Nc1ccc(F)cc1)NC1C[C@H]2CC[C@@H](C1)N2S(=O)(=O)c1ccc2[nH]ncc2c1[EOS],42
11.5,NC(=O)NC(=O)c1cccc(NC2CCCC(c3ccccc3)CC2)c1,0.7273713863433157,2.7004749190755,[BOS]NC(=O)NC(=O)c1cccc(N[C@@H]2CCC[C@H](c3ccccc3)CC2)c1[EOS],42
11.0,CC1CCc2ccccc2N1C(=O)Cn1cnc2c(oc3ccccc32)c1=O,0.539194567723344,2.8405020685734748,[BOS]CC1CCc2ccccc2N1C(=O)Cn1cnc2c(oc3ccccc32)c1=O[EOS][EOS][EOS],42
12.1,O=C(NCc1cccc(N2CCOCC2=O)c1)NC1c2ccccc2-c2ccccc21,0.6864101813085168,2.3905468143378155,[BOS]O=C(NCc1cccc(N2CCOCC2=O)c1)NC1c2ccccc2-c2ccccc21[EOS],42
12.1,Cc1cncc(C(=O)N2CCC(OC3CCN(C(=O)CC4OCCc5ccccc54)CC3)CC2)c1,0.6566651753478634,3.190700844115926,[BOS]Cc1cncc(C(=O)N2CCC(OC3CCN(C(=O)C[C@H]4OCCc5ccccc54)CC3)CC2)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,O=C1CC(c2cccc(NC(=O)N3CC(c4ccccc4)C4CCCCC43)c2)CN1,0.7937338621295977,3.6044323254551944,[BOS]O=C1C[C@H](c2cccc(NC(=O)N3C[C@H](c4ccccc4)[C@H]4CCCC[C@H]43)c2)CN1[EOS],42
11.9,O=C1CCC(c2cccc(N3C(=O)NC4(CCc5cc(Cl)ccc54)C3=O)c2)N1,0.7663497122535647,3.906463506732324,[BOS]O=C1CC[C@H](c2cccc(N3C(=O)N[C@]4(CCc5cc(Cl)ccc54)C3=O)c2)N1[EOS][EOS][EOS][EOS],42
13.0,Cc1cccc(-c2cnccc2C(=O)N2C3CCC2CC(NC(=O)CC2COc4ccccc4O2)C3)c1,0.5599348195950735,4.302212003249741,[BOS]Cc1cccc(-c2cnccc2C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)C[C@@H]2COc4ccccc4O2)C3)c1[EOS],42
11.6,CC(C(=O)N1C2CCC1CC(NC(=O)Cc1ccc3ccccc3c1)C2)n1ccccc1=O,0.6566909591408736,4.139976535877017,[BOS]C[C@H](C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)Cc1ccc3ccccc3c1)C2)n1ccccc1=O[EOS],42
11.1,Cc1ccc(F)c(C(=O)NC2CC2c2ccc3ccccc3c2)c1F,0.7365400583096202,2.9312115433616146,[BOS]Cc1ccc(F)c(C(=O)N[C@@H]2C[C@H]2c2ccc3ccccc3c2)c1F[EOS],42
11.6,CC1Sc2ccc(C(=O)Nc3cccc(Cn4cccnc4=O)c3)cc2NC1=O,0.694872861781538,2.89397058743595,[BOS]C[C@@H]1Sc2ccc(C(=O)Nc3cccc(Cn4cccnc4=O)c3)cc2NC1=O[EOS],42
12.1,O=C(NCC1CCCN(C(=O)Nc2ccc3ccccc3n2)C1)N1CCc2ccccc2C1,0.6354407860822295,2.8100863843587156,[BOS]O=C(NC[C@@H]1CCCN(C(=O)Nc2ccc3ccccc3n2)C1)N1CCc2ccccc2C1[EOS],42
12.8,O=C(NCC1CCc2ccccc2C1)C(=O)NC(c1ccccc1)C1CCCc2ccccc21,0.5419951249324363,3.3857666188771187,[BOS]O=C(NC[C@@H]1CCc2ccccc2C1)C(=O)N[C@@H](c1ccccc1)[C@H]1CCCc2ccccc21[EOS][EOS][EOS],42
12.0,Cc1cc(NC(=O)C2CC(=O)N(c3cccc(F)c3)C2)nn1-c1cccc(C(F)(F)F)c1,0.6070282429865825,2.8648266110681053,[BOS]Cc1cc(NC(=O)[C@H]2CC(=O)N(c3cccc(F)c3)C2)nn1-c1cccc(C(F)(F)F)c1[EOS][EOS][EOS][EOS],42
12.7,O=C1CC(C(=O)Nc2nn(-c3ccc(F)cc3)c3c2CCC3)c2cc(Br)ccc2N1,0.6000180151339497,3.1070712002586234,[BOS]O=C1C[C@@H](C(=O)Nc2nn(-c3ccc(F)cc3)c3c2CCC3)c2cc(Br)ccc2N1[EOS][EOS],42
11.7,O=C(c1c(F)cccc1F)N1CCCC(c2nnc(-c3ccc4c(c3)OCCO4)o2)C1,0.6327914464455158,2.929180620675602,[BOS]O=C(c1c(F)cccc1F)N1CCCC(c2nnc(-c3ccc4c(c3)OCCO4)o2)C1[EOS],42
11.3,O=C(CC1C(=O)Nc2c1c(=O)[nH]c(=O)n2-c1ccccc1)NCc1ccc(C(F)(F)F)cc1,0.5445616906436881,3.068702143073332,[BOS]O=C(C[C@@H]1C(=O)Nc2c1c(=O)[nH]c(=O)n2-c1ccccc1)NCc1ccc(C(F)(F)F)cc1[EOS][EOS][EOS],42
11.1,Cc1ccc(C2CC(C)N(C(=O)NCC(=O)N3CCCc4ccccc43)C2)cc1,0.8637477039582648,3.0851288275000712,[BOS]Cc1ccc([C@@H]2C[C@H](C)N(C(=O)NCC(=O)N3CCCc4ccccc43)C2)cc1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,Cc1ccc(-c2cc(C(=O)N3CCCC(c4ccnc(N)n4)C3)[nH]n2)c(C)c1C,0.7137765315759748,3.1427661162679765,[BOS]Cc1ccc(-c2cc(C(=O)N3CCC[C@@H](c4ccnc(N)n4)C3)[nH]n2)c(C)c1C[EOS][EOS][EOS][EOS],42
11.2,O=C(Cc1cccc(OCc2cccc(F)c2)c1)N1CCC(O)C1Cc1ccccc1,0.6259451570648453,2.9343239024450067,[BOS]O=C(Cc1cccc(OCc2cccc(F)c2)c1)N1CC[C@H](O)[C@@H]1Cc1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
